query	reference	ani	ani_uniform	af_query	af_reference	std_err
DFNE01000027.1	PWUB01000016.1	NaN	NaN	0.0000	0.0000	NaN
JAFXRA010000237.1	JACPTH010000041.1	NaN	NaN	0.0000	0.0000	NaN
QMOP01000001.1	PWMP01000229.1	NaN	NaN	0.0000	0.0000	NaN
WOZJ01000045.1	PWMP01000229.1	NaN	NaN	0.0000	0.0000	NaN
SLGR01000071.1	PWQF01000298.1	NaN	NaN	0.0000	0.0000	NaN
JAADIO010000069.1	MNYV01000078.1	92.2397	92.2397	0.0038	0.0044	0.76521
JAERRU010000019.1	MNYV01000078.1	89.6335	89.6335	0.0025	0.0017	1.96274
JAGVZN010000016.1	MNYV01000078.1	NaN	NaN	0.0000	0.0000	NaN
DTIN01000034.1	MNYV01000078.1	NaN	NaN	0.0000	0.0000	NaN
PEXM01000032.1	QMOP01000001.1	NaN	NaN	0.0000	0.0000	NaN
PWQF01000298.1	PEXM01000032.1	NaN	NaN	0.0000	0.0000	NaN
VMTH01000161.1	PWOI01000200.1	NaN	NaN	0.0000	0.0000	NaN
JAAYVD010000105.1	CAJOND010000001.1	NaN	NaN	0.0000	0.0000	NaN
JADFYG010000100.1	JAAYNI010000043.1	NaN	NaN	0.0000	0.0000	NaN
DIWU01000001.1	JAAYNI010000043.1	NaN	NaN	0.0000	0.0000	NaN
JADFYG010000100.1	MNYA01000495.1	NaN	NaN	0.0000	0.0000	NaN
MWAR01000001.1	JADFYG010000100.1	NaN	NaN	0.0000	0.0000	NaN
JAFGRY010000032.1	JAFGCO010000050.1	NaN	NaN	0.0000	0.0000	NaN
QNDG01000001.1	DSAB01000121.1	NaN	NaN	0.0000	0.0000	NaN
JACQGJ010000129.1	LDYB01000001.1	NaN	NaN	0.0000	0.0000	NaN
JAFDWX010000001.1	JAFDWU010000001.1	NaN	NaN	0.0000	0.0000	NaN
JACQGM010000079.1	JAFDWU010000001.1	NaN	NaN	0.0000	0.0000	NaN
NC_021487.1	WJIW01000155.1	NaN	NaN	0.0000	0.0000	NaN
JAFAZH010000048.1	DDSP01000057.1	NaN	NaN	0.0000	0.0000	NaN
DSAP01000090.1	JAFGRY010000032.1	NaN	NaN	0.0000	0.0000	NaN
RFKJ01000545.1	JAFGRY010000032.1	NaN	NaN	0.0000	0.0000	NaN
NVUU01000055.1	JAFEGI010000010.1	NaN	NaN	0.0000	0.0000	NaN
MGLY01000001.1	NC_007899.1	NaN	NaN	0.0000	0.0000	NaN
PEQL01000001.1	JAAKFB010000001.1	NaN	NaN	0.0000	0.0000	NaN
NC_014225.1	PLSG01000039.1	NaN	NaN	0.0000	0.0000	NaN
JABDBC010000001.1	JABDEI010000001.1	88.2986	88.2986	0.0016	0.0019	1.66722
JAFGGN010000096.1	JAFGAX010000038.1	90.7918	90.7918	0.0002	0.0004	1.66474
DSAB01000121.1	JAFGAX010000038.1	NaN	NaN	0.0000	0.0000	NaN
PEWQ01000122.1	JAFGAX010000038.1	NaN	NaN	0.0000	0.0000	NaN
PMCA01000036.1	JACRDM010000042.1	NaN	NaN	0.0000	0.0000	NaN
JABDCX010000001.1	JACRDM010000042.1	NaN	NaN	0.0000	0.0000	NaN
PFSX01000003.1	JACRDM010000042.1	NaN	NaN	0.0000	0.0000	NaN
PMCA01000036.1	WVXT01000060.1	NaN	NaN	0.0000	0.0000	NaN
JACIXR010000001.1	WVXT01000060.1	NaN	NaN	0.0000	0.0000	NaN
PMCA01000036.1	DJVG01000048.1	NaN	NaN	0.0000	0.0000	NaN
RFFQ01000126.1	DJVG01000048.1	NaN	NaN	0.0000	0.0000	NaN
JAAXHE010000326.1	AQSL01000001.1	NaN	NaN	0.0000	0.0000	NaN
JAFGMP010000444.1	MVCY01000027.1	NaN	NaN	0.0000	0.0000	NaN
PBRM01000293.1	DTYK01000001.1	NaN	NaN	0.0000	0.0000	NaN
NZPK01000134.1	VXRD01000066.1	NaN	NaN	0.0000	0.0000	NaN
MVCY01000027.1	VXRD01000066.1	NaN	NaN	0.0000	0.0000	NaN
JABDBE010000001.1	RFHM01000364.1	NaN	NaN	0.0000	0.0000	NaN
QIAI01000271.1	SXOW01000059.1	NaN	NaN	0.0000	0.0000	NaN
JAHIYU010000071.1	JADJYS010000001.1	78.9496	83.7561	0.2441	0.2245	0.18658
JACNKJ010000151.1	JAFGPI010000016.1	NaN	NaN	0.0000	0.0000	NaN
JAGPKD010000168.1	DPKX01000263.1	NaN	NaN	0.0000	0.0000	NaN
NZ_SMGK01000001.1	JAEUQN010000100.1	NaN	NaN	0.0000	0.0000	NaN
JACQTD010000059.1	JAEUQN010000100.1	NaN	NaN	0.0000	0.0000	NaN
JAFGBK010000125.1	CAIOLW010000001.1	90.2117	90.2117	0.0003	0.0002	1.80342
DSPE01000085.1	JADJWL010000001.1	64.6703	92.6060	0.0004	0.0003	1.79674
JACNKJ010000151.1	JAFGCX010000032.1	NaN	NaN	0.0000	0.0000	NaN
WJIQ01000169.1	JAFGEZ010000009.1	NaN	NaN	0.0000	0.0000	NaN
DTIY01000045.1	MEYH01000001.1	NaN	NaN	0.0000	0.0000	NaN
JABUEZ010000150.1	JAFGSC010000005.1	NaN	NaN	0.0000	0.0000	NaN
JAHIPN010000007.1	PFIP01000081.1	92.0338	92.0338	0.0148	0.0178	0.51037
LQMQ01000001.1	DTKF01000025.1	NaN	NaN	0.0000	0.0000	NaN
QMUK01000001.1	QMWE01000001.1	NaN	NaN	0.0000	0.0000	NaN
PWOD01000181.1	QMWE01000001.1	NaN	NaN	0.0000	0.0000	NaN
SOKQ01000013.1	QMUK01000001.1	NaN	NaN	0.0000	0.0000	NaN
DTKF01000025.1	QMUK01000001.1	NaN	NaN	0.0000	0.0000	NaN
DTKF01000025.1	DTES01000070.1	NaN	NaN	0.0000	0.0000	NaN
JAAYZF010000056.1	DTES01000070.1	NaN	NaN	0.0000	0.0000	NaN
DKFO01000001.1	APKF01000001.1	NaN	NaN	0.0000	0.0000	NaN
DSSU01000119.1	PDSJ01000056.1	NaN	NaN	0.0000	0.0000	NaN
JADJXN010000001.1	PDSJ01000056.1	NaN	NaN	0.0000	0.0000	NaN
JAAYVF010000088.1	PMZC01000177.1	NaN	NaN	0.0000	0.0000	NaN
NBLI01000087.1	PMZC01000177.1	NaN	NaN	0.0000	0.0000	NaN
JACQOY010000071.1	PCWZ01000017.1	NaN	NaN	0.0000	0.0000	NaN
JAAZCA010000003.1	JACPFF010000002.1	NaN	NaN	0.0000	0.0000	NaN
JACRBV010000040.1	DTNB01000100.1	NaN	NaN	0.0000	0.0000	NaN
JACQOX010000050.1	JACPFA010000033.1	NaN	NaN	0.0000	0.0000	NaN
JACQOY010000071.1	JADFYH010000010.1	NaN	NaN	0.0000	0.0000	NaN
NZ_CP019436.1	NZ_AQXV01000001.1	NaN	NaN	0.0000	0.0000	NaN
WTBT01000066.1	LKHC01000001.1	93.8650	93.8650	0.0017	0.0024	1.12688
DF820462.1	DSSU01000119.1	NaN	NaN	0.0000	0.0000	NaN
NZ_JXCG01000001.1	DSSU01000119.1	NaN	NaN	0.0000	0.0000	NaN
JAAYTY010000100.1	MJAN01000001.1	NaN	NaN	0.0000	0.0000	NaN
MJAN01000001.1	JAFGKV010000043.1	NaN	NaN	0.0000	0.0000	NaN
NBMB01000001.1	JAFGKV010000043.1	NaN	NaN	0.0000	0.0000	NaN
DIXM01000013.1	WJMA01000002.1	93.8201	93.8201	0.0015	0.0016	0.96918
NZ_CP022242.1	NC_009135.1	92.7272	92.7272	0.0063	0.0077	0.73444
NC_013887.1	NZ_AGJL01000121.1	89.3046	89.3046	0.0329	0.0307	0.46772
WAKW01000004.1	NZ_AQUK01000001.1	90.1458	90.1458	0.0031	0.0072	1.40523
NC_009634.1	NC_015562.1	91.4954	91.4954	0.0108	0.0051	0.55531
DSSU01000119.1	DF820483.1	NaN	NaN	0.0000	0.0000	NaN
PUNC01000207.1	DF820483.1	NaN	NaN	0.0000	0.0000	NaN
JACQOF010000031.1	DF820483.1	NaN	NaN	0.0000	0.0000	NaN
SLMS01000325.1	DF820483.1	NaN	NaN	0.0000	0.0000	NaN
LKHC01000001.1	QNDR01000001.1	NaN	NaN	0.0000	0.0000	NaN
JAAYVD010000105.1	QNDR01000001.1	NaN	NaN	0.0000	0.0000	NaN
PKTZ01000198.1	WQZH01000001.1	NaN	NaN	0.0000	0.0000	NaN
JACQYR010000027.1	JAHJKA010000012.1	NaN	NaN	0.0000	0.0000	NaN
JACNJZ010000217.1	JACRCI010000036.1	NaN	NaN	0.0000	0.0000	NaN
JAAXQG010000289.1	JAFGRE010000037.1	NaN	NaN	0.0000	0.0000	NaN
JAGFXI010000388.1	JAADHK010000137.1	NaN	NaN	0.0000	0.0000	NaN
MIAO01000001.1	JAEUJG010000330.1	NaN	NaN	0.0000	0.0000	NaN
PTKV01000001.1	NZ_CP009654.1	NaN	NaN	0.0000	0.0000	NaN
MPNH01000035.1	JACPZR010000435.1	NaN	NaN	0.0000	0.0000	NaN
NC_015436.1	JAFGXR010000087.1	NaN	NaN	0.0000	0.0000	NaN
CAADGI010000001.1	JAGPBS010000006.1	NaN	NaN	0.0000	0.0000	NaN
WRIB01000001.1	DSTL01000016.1	NaN	NaN	0.0000	0.0000	NaN
JAHOYX010000019.1	JAAZOT010000067.1	NaN	NaN	0.0000	0.0000	NaN
NZ_CP008884.1	PBDC01000007.1	NaN	NaN	0.0000	0.0000	NaN
DSAU01000017.1	RQOI01000127.1	NaN	NaN	0.0000	0.0000	NaN
PLET01000050.1	RFHQ01000004.1	NaN	NaN	0.0000	0.0000	NaN
JAFGMA010000298.1	JAFGSU010000389.1	NaN	NaN	0.0000	0.0000	NaN
PWHN01000097.1	JAFGSU010000389.1	NaN	NaN	0.0000	0.0000	NaN
JACPAV010000055.1	JACPQY010000001.1	76.1233	90.6387	0.0066	0.0094	0.55855
NZ_RPEN01000001.1	NZ_FNYE01000111.1	NaN	NaN	0.0000	0.0000	NaN
NZ_PPRM01000001.1	ONSL01000086.1	NaN	NaN	0.0000	0.0000	NaN
URYK01000001.1	NZ_AUAT01000001.1	NaN	NaN	0.0000	0.0000	NaN
NZ_VATK01000001.1	CP065955.1	97.8261	97.8261	0.0002	0.0022	1.24139
JAAYOI010000044.1	NZ_QXJP01000010.1	NaN	NaN	0.0000	0.0000	NaN
DTON01000025.1	WJMF01000015.1	NaN	NaN	0.0000	0.0000	NaN
NZ_WUUL01000001.1	WRGF01000001.1	NaN	NaN	0.0000	0.0000	NaN
JADHVV010000018.1	JAAYTV010000333.1	NaN	NaN	0.0000	0.0000	NaN
JABDGD010000001.1	JAFGIQ010000229.1	NaN	NaN	0.0000	0.0000	NaN
PFSX01000003.1	JAFGIQ010000229.1	NaN	NaN	0.0000	0.0000	NaN
QMPZ01000001.1	QMQA01000001.1	99.5683	99.5683	0.0091	0.0087	0.13651
JAFGIQ010000229.1	JAAXVQ010000498.1	NaN	NaN	0.0000	0.0000	NaN
DHRX01000035.1	JAAXVQ010000498.1	NaN	NaN	0.0000	0.0000	NaN
WFTM01000001.1	WJME01000076.1	NaN	NaN	0.0000	0.0000	NaN
SOJT01000193.1	WJOQ01000255.1	96.7569	96.7569	0.0107	0.0048	0.44832
WRAZ01000001.1	WJOQ01000255.1	NaN	NaN	0.0000	0.0000	NaN
VXRC01000009.1	VGJU01000001.1	92.8226	92.8226	0.0002	0.0002	1.90373
JACQVL010000070.1	VGJU01000001.1	NaN	NaN	0.0000	0.0000	NaN
VXWP01000116.1	VGJU01000001.1	NaN	NaN	0.0000	0.0000	NaN
PLFD01000055.1	PLZG01000045.1	95.0619	95.0619	0.0007	0.0005	1.27425
AQRW01000001.1	NJBP01000024.1	NaN	NaN	0.0000	0.0000	NaN
DRTT01000110.1	NJBQ01000100.1	NaN	NaN	0.0000	0.0000	NaN
QMQA01000001.1	AQRW01000001.1	NaN	NaN	0.0000	0.0000	NaN
VYFM01000344.1	AQRW01000001.1	NaN	NaN	0.0000	0.0000	NaN
NZFK01000005.1	AQRW01000001.1	NaN	NaN	0.0000	0.0000	NaN
JAFARW010000063.1	CADAWZ010000001.1	NaN	NaN	0.0000	0.0000	NaN
JAFSXH010000121.1	JACRTZ010000204.1	NaN	NaN	0.0000	0.0000	NaN
JAFAXE010000199.1	PLED01000020.1	NaN	NaN	0.0000	0.0000	NaN
CADDZI010000001.1	JABCYQ010000001.1	87.3677	90.8983	0.0056	0.0047	0.96614
LSCK01000001.1	JACNIV010000001.1	NaN	NaN	0.0000	0.0000	NaN
DHVK01000024.1	PDOO01000051.1	NaN	NaN	0.0000	0.0000	NaN
JACNJR010000022.1	DRTC01000258.1	NaN	NaN	0.0000	0.0000	NaN
PHBQ01000123.1	JAFGEH010000214.1	NaN	NaN	0.0000	0.0000	NaN
PWNZ01000111.1	WRLO01000001.1	NaN	NaN	0.0000	0.0000	NaN
VSIX01000173.1	JAFGWL010000052.1	NaN	NaN	0.0000	0.0000	NaN
DDKK01000025.1	PGYF01000097.1	NaN	NaN	0.0000	0.0000	NaN
JAFAHD010000018.1	PLTN01000157.1	NaN	NaN	0.0000	0.0000	NaN
JAFGMN010000243.1	PLTN01000157.1	NaN	NaN	0.0000	0.0000	NaN
JACQBY010000176.1	JACRPZ010000001.1	NaN	NaN	0.0000	0.0000	NaN
MNVG01000038.1	JABWCK010000034.1	NaN	NaN	0.0000	0.0000	NaN
JACCLG010000013.1	CAIOIN010000001.1	NaN	NaN	0.0000	0.0000	NaN
WGEZ01000001.1	OUUY01000150.1	NaN	NaN	0.0000	0.0000	NaN
JACQZG010000011.1	VBOJ01000214.1	NaN	NaN	0.0000	0.0000	NaN
JAFGJD010000010.1	PBME01000001.1	NaN	NaN	0.0000	0.0000	NaN
JACQQB010000033.1	CABMCJ010000001.1	NaN	NaN	0.0000	0.0000	NaN
JAHJQN010000003.1	JACROM010000001.1	NaN	NaN	0.0000	0.0000	NaN
QJVM01000231.1	MTOX01000012.1	97.8356	97.8356	0.0003	0.0005	1.24226
JAFGCC010000015.1	JAGVWJ010000045.1	NaN	NaN	0.0000	0.0000	NaN
PLTG01000065.1	JABDEC010000001.1	NaN	NaN	0.0000	0.0000	NaN
JACDHA010000034.1	JAGOSF010000004.1	75.1179	89.2266	0.0029	0.0034	1.61833
LDIV01000001.1	CP064961.1	NaN	NaN	0.0000	0.0000	NaN
JAFEAY010000010.1	LBTE01000001.1	NaN	NaN	0.0000	0.0000	NaN
MFGV01000001.1	CAITPB010000001.1	NaN	NaN	0.0000	0.0000	NaN
MFGS01000001.1	CAIOVX010000001.1	85.9617	91.5657	0.0018	0.0022	1.25929
CAITEH010000001.1	CAIOVX010000001.1	99.7980	99.7980	0.0014	0.0017	0.20181
WOZJ01000045.1	CAIOVX010000001.1	NaN	NaN	0.0000	0.0000	NaN
DTFU01000017.1	MNUP01000121.1	NaN	NaN	0.0000	0.0000	NaN
NZ_FOHN01000054.1	MNUP01000121.1	NaN	NaN	0.0000	0.0000	NaN
RFHC01000201.1	JAENIX010000065.1	NaN	NaN	0.0000	0.0000	NaN
PQAK01000001.1	WVXK01000070.1	NaN	NaN	0.0000	0.0000	NaN
JAFLCA010000001.1	WVXK01000070.1	NaN	NaN	0.0000	0.0000	NaN
MGPO01000001.1	PQAK01000001.1	85.2743	87.2507	0.1262	0.1141	0.24512
MNUP01000121.1	MNUO01000111.1	92.2408	92.2408	0.0009	0.0016	1.66201
JACQWU010000025.1	MNUO01000111.1	NaN	NaN	0.0000	0.0000	NaN
JABMRT010000029.1	MNUO01000111.1	NaN	NaN	0.0000	0.0000	NaN
JACRNP010000049.1	JACRCO010000040.1	87.6717	87.6717	0.0362	0.0314	0.41930
CAJOKH010000001.1	NZ_AP011952.1	NaN	NaN	0.0000	0.0000	NaN
NZ_JAGGLN010000001.1	PMNN01000112.1	NaN	NaN	0.0000	0.0000	NaN
MGQW01000001.1	LDXO01000001.1	78.0711	87.5585	0.1650	0.1667	0.22098
DAWK01000087.1	NC_014658.1	NaN	NaN	0.0000	0.0000	NaN
VGTM01000001.1	NZ_RKRG01000001.1	90.2358	90.2358	0.0015	0.0017	1.95234
JAGCAP010000090.1	DACB01000009.1	NaN	NaN	0.0000	0.0000	NaN
PEWQ01000122.1	RFFU01000109.1	NaN	NaN	0.0000	0.0000	NaN
JAGOBX010000436.1	RFFU01000109.1	NaN	NaN	0.0000	0.0000	NaN
BJHH01000001.1	PAUA01000023.1	NaN	NaN	0.0000	0.0000	NaN
NATO01000067.1	QNEG01000001.1	NaN	NaN	0.0000	0.0000	NaN
JABMQX010000017.1	JAFGEW010000102.1	NaN	NaN	0.0000	0.0000	NaN
JAABRT010000099.1	CADEDA010000001.1	85.5853	85.5853	0.0033	0.0034	1.12188
JACORV010000047.1	JAENXO010000198.1	NaN	NaN	0.0000	0.0000	NaN
PXFI01000332.1	VXMR01000086.1	NaN	NaN	0.0000	0.0000	NaN
JAABRL010000099.1	QHUL01000043.1	NaN	NaN	0.0000	0.0000	NaN
DSAF01000158.1	JAFGQG010000128.1	NaN	NaN	0.0000	0.0000	NaN
WJMB01000135.1	JAFGQG010000128.1	NaN	NaN	0.0000	0.0000	NaN
DUSQ01000023.1	JABLWY010000001.1	NaN	NaN	0.0000	0.0000	NaN
JAADFF010000004.1	JABLWY010000001.1	NaN	NaN	0.0000	0.0000	NaN
CAIXRF010000001.1	JABLWY010000001.1	NaN	NaN	0.0000	0.0000	NaN
JAFGGQ010000138.1	DTLL01000100.1	NaN	NaN	0.0000	0.0000	NaN
JAFGQG010000128.1	DTLL01000100.1	NaN	NaN	0.0000	0.0000	NaN
DSAF01000158.1	JAFGGQ010000138.1	NaN	NaN	0.0000	0.0000	NaN
JAFGCO010000050.1	JAFGGQ010000138.1	NaN	NaN	0.0000	0.0000	NaN
CAIVAP010000001.1	PQAP01000001.1	NaN	NaN	0.0000	0.0000	NaN
MWCD01000001.1	DSWB01000427.1	NaN	NaN	0.0000	0.0000	NaN
JACQVL010000070.1	DSWB01000427.1	NaN	NaN	0.0000	0.0000	NaN
QMNL01000001.1	DSWB01000427.1	NaN	NaN	0.0000	0.0000	NaN
JACRMU010000057.1	DSWB01000427.1	NaN	NaN	0.0000	0.0000	NaN
JAAZOE010000260.1	LJVD01000085.1	NaN	NaN	0.0000	0.0000	NaN
QZKU01000128.1	QZKI01000095.1	88.0587	88.0587	0.0007	0.0008	1.84550
ONXP01000088.1	QZKI01000095.1	NaN	NaN	0.0000	0.0000	NaN
WJIR01000064.1	NATP01000016.1	NaN	NaN	0.0000	0.0000	NaN
QQUK01000120.1	WJIJ01000087.1	NaN	NaN	0.0000	0.0000	NaN
MGDB01000001.1	MGDH01000001.1	88.8210	88.8210	0.0032	0.0025	1.34686
CAIVRH010000001.1	JAHJOQ010000013.1	94.9358	94.9358	0.0004	0.0003	1.76223
JACRIR010000014.1	QZKU01000128.1	88.0556	88.0556	0.0015	0.0016	1.30354
JABWBZ010000144.1	QZKU01000128.1	NaN	NaN	0.0000	0.0000	NaN
JAFGUL010000139.1	QZKU01000128.1	NaN	NaN	0.0000	0.0000	NaN
JADJOY010000001.1	QZKU01000128.1	NaN	NaN	0.0000	0.0000	NaN
CADCVR010000001.1	JAGLBH010000100.1	NaN	NaN	0.0000	0.0000	NaN
NZ_PGFC01000001.1	SFII01000131.1	NaN	NaN	0.0000	0.0000	NaN
RFHX01000234.1	JACRJM010000008.1	NaN	NaN	0.0000	0.0000	NaN
MGDB01000001.1	JACRJM010000008.1	90.9803	90.9803	0.0006	0.0003	2.30156
MDLB01000001.1	JACRJM010000008.1	NaN	NaN	0.0000	0.0000	NaN
JAHIUL010000127.1	JABMQY010000017.1	NaN	NaN	0.0000	0.0000	NaN
JABIQV010000049.1	METM01000001.1	NaN	NaN	0.0000	0.0000	NaN
MFRH01000001.1	JAHJBW010000105.1	NaN	NaN	0.0000	0.0000	NaN
JACDGA010000302.1	NC_012669.1	NaN	NaN	0.0000	0.0000	NaN
ONBR01000040.1	JABMLG010000001.1	NaN	NaN	0.0000	0.0000	NaN
QFBU01000001.1	CAIYXV010000001.1	NaN	NaN	0.0000	0.0000	NaN
CAIUUT010000001.1	CACECR010000001.1	NaN	NaN	0.0000	0.0000	NaN
WVZY01000006.1	CACECR010000001.1	NaN	NaN	0.0000	0.0000	NaN
CAIOGO010000001.1	DRXL01000081.1	NaN	NaN	0.0000	0.0000	NaN
DFNF01000048.1	JAHEOA010000001.1	NaN	NaN	0.0000	0.0000	NaN
DRJF01000001.1	JAHEOA010000001.1	92.6606	92.6606	0.0000	0.0000	2.49785
JACPZZ010000029.1	JAFGDH010000032.1	NaN	NaN	0.0000	0.0000	NaN
MTNI01000155.1	JAGYNL010000001.1	NaN	NaN	0.0000	0.0000	NaN
JAFCFQ010000008.1	JAHIRU010000055.1	NaN	NaN	0.0000	0.0000	NaN
JACRAC010000018.1	CP066684.1	NaN	NaN	0.0000	0.0000	NaN
LGFI01000001.1	MFGX01000001.1	NaN	NaN	0.0000	0.0000	NaN
MFRS01000001.1	WALA01000001.1	NaN	NaN	0.0000	0.0000	NaN
QMZY01000001.1	JAFCEM010000008.1	NaN	NaN	0.0000	0.0000	NaN
SKTG01000503.1	NZ_BOPO01000001.1	NaN	NaN	0.0000	0.0000	NaN
SOJN01000024.1	LJUI01000062.1	95.0011	95.0011	0.0003	0.0003	1.43069
JAFSSM010000016.1	LJUI01000062.1	NaN	NaN	0.0000	0.0000	NaN
JAFYXV010000002.1	QMOL01000001.1	NaN	NaN	0.0000	0.0000	NaN
QMOL01000001.1	JAFZXZ010000019.1	NaN	NaN	0.0000	0.0000	NaN
QMNJ01000001.1	MFAF01000001.1	NaN	NaN	0.0000	0.0000	NaN
JAAYXZ010000030.1	MFAF01000001.1	NaN	NaN	0.0000	0.0000	NaN
QNCL01000001.1	JAFGGP010000043.1	NaN	NaN	0.0000	0.0000	NaN
MFAF01000001.1	WVWN01000040.1	NaN	NaN	0.0000	0.0000	NaN
QMNL01000001.1	JAFGIT010000282.1	NaN	NaN	0.0000	0.0000	NaN
CAJTVI010000001.1	JAFGIT010000282.1	NaN	NaN	0.0000	0.0000	NaN
MFAF01000001.1	WJLX01000049.1	90.4869	90.4869	0.0006	0.0004	1.89689
JAFYHD010000007.1	JAAYZF010000056.1	NaN	NaN	0.0000	0.0000	NaN
QNCM01000001.1	JADHWR010000039.1	NaN	NaN	0.0000	0.0000	NaN
WJLX01000049.1	QMNJ01000001.1	NaN	NaN	0.0000	0.0000	NaN
PWHN01000097.1	QMNJ01000001.1	NaN	NaN	0.0000	0.0000	NaN
JABMQX010000017.1	QMNJ01000001.1	NaN	NaN	0.0000	0.0000	NaN
JAFCEO010000024.1	JAGVZV010000015.1	NaN	NaN	0.0000	0.0000	NaN
PXAH01000044.1	JAFGHG010000151.1	NaN	NaN	0.0000	0.0000	NaN
JAFGHG010000151.1	MHFY01000001.1	NaN	NaN	0.0000	0.0000	NaN
PCWA01000001.1	JAGOJP010000044.1	NaN	NaN	0.0000	0.0000	NaN
JACQSU010000021.1	JAGVYX010000072.1	NaN	NaN	0.0000	0.0000	NaN
JACPIL010000002.1	PCYG01000066.1	NaN	NaN	0.0000	0.0000	NaN
JAHILJ010000019.1	JAGVXP010000013.1	NaN	NaN	0.0000	0.0000	NaN
JACQWU010000025.1	JACRDZ010000088.1	95.8591	95.8591	0.0005	0.0006	1.20681
WJKI01000002.1	WJKL01000024.1	89.0659	89.0659	0.0050	0.0033	1.82237
DHGO01000057.1	DTOV01000004.1	86.4214	86.4214	0.0013	0.0014	1.83815
CAIJOT010000001.1	PNOM01000001.1	92.4271	92.4271	0.0002	0.0002	2.00113
PNOF01000001.1	CAIJOT010000001.1	NaN	NaN	0.0000	0.0000	NaN
NZ_CP018099.1	RFHE01000344.1	NaN	NaN	0.0000	0.0000	NaN
JAADJD010000015.1	RFIL01000527.1	NaN	NaN	0.0000	0.0000	NaN
MVCZ01000200.1	RFIL01000527.1	NaN	NaN	0.0000	0.0000	NaN
WYBG01000129.1	RQOG01000047.1	NaN	NaN	0.0000	0.0000	NaN
WGBF01000001.1	RQOG01000047.1	NaN	NaN	0.0000	0.0000	NaN
PNOM01000001.1	JADGQN010000314.1	94.4148	94.4148	0.0005	0.0004	1.68927
JAAYVI010000087.1	JADKIY010000001.1	NaN	NaN	0.0000	0.0000	NaN
WQVR01000001.1	DTPC01000165.1	NaN	NaN	0.0000	0.0000	NaN
PEVQ01000231.1	PEXN01000015.1	NaN	NaN	0.0000	0.0000	NaN
JAHIVV010000004.1	JACPSV010000014.1	NaN	NaN	0.0000	0.0000	NaN
MVRP01000001.1	PNOF01000001.1	94.1606	94.1606	0.0000	0.0001	2.00336
JAADGT010000136.1	JAFGVI010000005.1	NaN	NaN	0.0000	0.0000	NaN
JACNFQ010000046.1	PBAU01000001.1	NaN	NaN	0.0000	0.0000	NaN
WGDA01000001.1	SRXB01000208.1	88.1441	88.1441	0.0018	0.0021	1.77515
WFRT01000001.1	WGDA01000001.1	NaN	NaN	0.0000	0.0000	NaN
PEXN01000015.1	JACQWX010000006.1	NaN	NaN	0.0000	0.0000	NaN
JAFGSY010000041.1	JAADGT010000136.1	NaN	NaN	0.0000	0.0000	NaN
JAHJDG010000077.1	JAHJDJ010000148.1	NaN	NaN	0.0000	0.0000	NaN
WFRT01000001.1	JACRMM010000014.1	NaN	NaN	0.0000	0.0000	NaN
QZKQ01000033.1	RPQS01000220.1	NaN	NaN	0.0000	0.0000	NaN
MWJR01000239.1	JAANWZ010000001.1	NaN	NaN	0.0000	0.0000	NaN
LKMN01000023.1	JAANWZ010000001.1	NaN	NaN	0.0000	0.0000	NaN
JAHJDG010000077.1	JABMRZ010000072.1	NaN	NaN	0.0000	0.0000	NaN
DKEX01000019.1	DUMW01000026.1	NaN	NaN	0.0000	0.0000	NaN
PKEU01000123.1	DIPB01000026.1	NaN	NaN	0.0000	0.0000	NaN
JAAYLQ010000001.1	DIQB01000010.1	NaN	NaN	0.0000	0.0000	NaN
RPQS01000220.1	JABGPL010000001.1	NaN	NaN	0.0000	0.0000	NaN
JAAZLZ010000128.1	MWDF01000001.1	NaN	NaN	0.0000	0.0000	NaN
PANO01000076.1	PUHO01000009.1	NaN	NaN	0.0000	0.0000	NaN
MWDF01000001.1	DUOH01000019.1	NaN	NaN	0.0000	0.0000	NaN
DVNI01000051.1	UQYL01000001.1	NaN	NaN	0.0000	0.0000	NaN
NVSR01000069.1	JACQKK010000140.1	NaN	NaN	0.0000	0.0000	NaN
NYUB01000001.1	MFNE01000001.1	NaN	NaN	0.0000	0.0000	NaN
NZ_CP006019.1	DQUR01000263.1	87.4088	87.4088	0.0016	0.0020	2.00419
NZ_FNBU01000048.1	JAFVEM010000055.1	NaN	NaN	0.0000	0.0000	NaN
CACXCN010000001.1	NZ_KB905839.1	NaN	NaN	0.0000	0.0000	NaN
JADFZZ010000010.1	JABHWU010000137.1	NaN	NaN	0.0000	0.0000	NaN
PXSL01000008.1	JABHWU010000137.1	NaN	NaN	0.0000	0.0000	NaN
JAFVEM010000055.1	NZ_CYSP01000001.1	NaN	NaN	0.0000	0.0000	NaN
NZ_LANF01000001.1	QMUN01000001.1	NaN	NaN	0.0000	0.0000	NaN
MTLP01000042.1	QMUN01000001.1	NaN	NaN	0.0000	0.0000	NaN
NZ_CP012200.1	JACVGT010000018.1	NaN	NaN	0.0000	0.0000	NaN
QMUB01000001.1	RXIG01000024.1	NaN	NaN	0.0000	0.0000	NaN
JAGPKI010000033.1	DHHO01000008.1	NaN	NaN	0.0000	0.0000	NaN
JAHJTV010000002.1	JADFZZ010000010.1	NaN	NaN	0.0000	0.0000	NaN
PXBT01000193.1	PNIL01000034.1	NaN	NaN	0.0000	0.0000	NaN
