query	reference	phylum	genus	q_species	r_species	skani_ani	skani_af_ref	skani_af_query	anim_ani
GCA_012103075.1	GCF_000017405.1	p__Proteobacteria	g__Ochrobactrum	s__Ochrobactrum cytisi	s__Ochrobactrum anthropi	95.06	75.58	67.08	95.4700
GCA_013205255.1	GCF_015840335.1	p__Cyanobacteria	g__Cyanobium_A	s__Cyanobium_A sp013205255	s__Cyanobium_A sp015840335	95.32	45.24	62.22	95.1800
GCA_013333795.2	GCA_013333845.2	p__Patescibacteria	g__Saccharimonas	s__Saccharimonas sp013333795	s__Saccharimonas sp013333845	95.16	69.2	70.55	95.1300
GCA_014204745.1	GCF_000717055.1	p__Actinobacteriota	g__Streptomyces	s__Streptomyces collinus	s__Streptomyces iakyrus	95.35	72.29	74.23	95.3100
GCA_014204745.1	GCF_001611795.1	p__Actinobacteriota	g__Streptomyces	s__Streptomyces collinus	s__Streptomyces qaidamensis	95.32	74.32	76.2	95.3300
GCA_014649355.1	GCA_014649575.1	p__Actinobacteriota	g__Streptomyces	s__Streptomyces althioticus	s__Streptomyces griseoincarnatus	95.32	77.51	75.54	95.3500
GCA_014649555.1	GCF_003501885.1	p__Actinobacteriota	g__Streptomyces	s__Streptomyces globisporus	s__Streptomyces globisporus_D	95.72	78.66	70.15	95.4000
GCA_014649555.1	GCF_014649875.1	p__Actinobacteriota	g__Streptomyces	s__Streptomyces globisporus	s__Streptomyces rubiginosohelvolus	96.27	84.37	77.23	96.0600
GCA_014652975.1	GCF_000786655.1	p__Actinobacteriota	g__Kocuria	s__Kocuria marina	s__Kocuria marina_A	95.79	77.57	85.34	95.6900
GCA_014801235.1	GCA_014801525.1	p__Bacteroidota	g__Muribaculum	s__Muribaculum sp014801235	s__Muribaculum sp014801525	99.06	35.6	40.95	98.7900
GCA_014801595.1	GCA_014802625.1	p__Bacteroidota	g__CAG-485	s__CAG-485 sp014801595	s__CAG-485 sp014802625	97.87	43.62	46.42	98.2100
GCA_014896455.1	GCF_000147695.2	p__Firmicutes_A	g__Thermoanaerobacter	s__Thermoanaerobacter sp014896455	s__Thermoanaerobacter wiegelii	95.05	54.21	67.87	96.0300
GCA_015062045.1	GCA_017399165.1	p__Verrucomicrobiota	g__Akkermansia	s__Akkermansia sp015062045	s__Akkermansia sp017399165	95.18	76.13	65.27	95.3200
GCA_015066745.1	GCA_017848115.1	p__Firmicutes_A	g__HUN007	s__HUN007 sp015066745	s__HUN007 sp017848115	95.92	56.92	59.23	95.9000
GCA_015068085.1	GCA_017408185.1	p__Firmicutes_A	g__SIG480	s__SIG480 sp015068085	s__SIG480 sp017408185	95.37	46.92	39.81	95.1100
GCA_016280695.1	GCA_017420585.1	p__Firmicutes	g__Bulleidia	s__Bulleidia sp016280695	s__Bulleidia sp017420585	95.3	69.89	79.2	95.3000
GCA_016290415.1	GCA_017428035.1	p__Bacteroidota	g__RUG11257	s__RUG11257 sp016290415	s__RUG11257 sp017428035	95.1	68.33	66.92	95.4000
GCA_016744155.1	GCA_018067325.1	p__Proteobacteria	g__Amphritea	s__Amphritea sp016744155	s__Amphritea sp018067325	95.06	83.12	66.09	95.2300
GCA_016777545.1	GCA_016778675.1	p__Proteobacteria	g__Pelagibacter	s__Pelagibacter sp016777545	s__Pelagibacter sp016778675	95.89	55.6	41.11	95.4900
GCA_016777745.1	GCA_905182145.1	p__Proteobacteria	g__CACCCN01	s__CACCCN01 sp016777745	s__CACCCN01 sp905182145	98.15	33.85	50.98	98.2900
GCA_016783995.1	GCA_018894445.1	p__Actinobacteriota	g__Hydromicrobium	s__Hydromicrobium sp016783995	s__Hydromicrobium sp018894445	95.62	32.29	33.09	95.0300
GCA_016882185.1	GCF_002688585.1	p__Proteobacteria	g__Fonsibacter	s__Fonsibacter sp016882185	s__Fonsibacter ubiquis	95.38	69.15	54.84	95.7200
GCA_017392345.1	GCA_900313105.1	p__Proteobacteria	g__Enterousia	s__Enterousia sp017392345	s__Enterousia sp900313105	95.18	54.76	74.34	95.2500
GCA_017392345.1	GCA_902787305.1	p__Proteobacteria	g__Enterousia	s__Enterousia sp017392345	s__Enterousia sp902787305	95.16	72.62	54.38	95.1300
GCA_017399555.1	GCA_017622255.1	p__Halobacteriota	g__Methanocorpusculum	s__Methanocorpusculum sp017399555	s__Methanocorpusculum sp017622255	95.44	62.6	46.42	95.1300
GCA_017429885.1	GCA_900320365.1	p__Bacteroidota	g__Cryptobacteroides	s__Cryptobacteroides sp017429885	s__Cryptobacteroides sp900320365	95.56	54.26	66.49	95.3100
GCA_017531065.1	GCA_902800255.1	p__Firmicutes	g__UBA4951	s__UBA4951 sp017531065	s__UBA4951 sp902800255	95.95	62.07	62.16	95.6200
GCA_017646885.1	GCA_017652345.1	p__Methanobacteriota	g__Methanobrevibacter	s__Methanobrevibacter sp017646885	s__Methanobrevibacter sp017652345	98.57	31.79	18.32	98.4900
GCA_017996075.1	GCF_014352935.1	p__Campylobacterota	g__Aliarcobacter	s__Aliarcobacter sp017996075	s__Aliarcobacter cryaerophilus_A	95.44	41.5	71.02	95.1600
GCA_018224395.1	GCF_004171285.1	p__Proteobacteria	g__Wolbachia	s__Wolbachia sp018224395	s__Wolbachia pipientis_C	96.21	61.76	53.51	95.3300
GCA_018363915.1	GCF_000163295.1	p__Firmicutes_A	g__Anaerococcus	s__Anaerococcus vaginalis_C	s__Anaerococcus vaginalis	96.29	77.9	74.05	96.7400
GCA_018363915.1	GCF_000311745.1	p__Firmicutes_A	g__Anaerococcus	s__Anaerococcus vaginalis_C	s__Anaerococcus obesiensis	96.83	77.29	79.12	96.9800
GCA_018366675.1	GCF_001813295.1	p__Firmicutes	g__Streptococcus	s__Streptococcus parasanguinis_E	s__Streptococcus sp001813295	95.11	72.01	78.5	95.5500
GCA_018366675.1	GCF_016648925.1	p__Firmicutes	g__Streptococcus	s__Streptococcus parasanguinis_E	s__Streptococcus sp900766505	95.11	76.56	78.64	95.5900
GCA_018372555.1	GCF_004794105.1	p__Firmicutes_A	g__Clostridium	s__Clostridium sp018372555	s__Clostridium sartagoforme_B	95.26	66.96	67.75	95.5500
GCA_018375265.1	GCF_003048375.1	p__Campylobacterota	g__Campylobacter_A	s__Campylobacter_A concisus_AB	s__Campylobacter_A concisus_T	95.09	68.15	72.45	95.2600
GCA_018375265.1	GCF_003048615.2	p__Campylobacterota	g__Campylobacter_A	s__Campylobacter_A concisus_AB	s__Campylobacter_A concisus_C	95.2	67.44	68.0	95.3200
GCA_018448495.1	GCA_904846265.1	p__Proteobacteria	g__Psychrobacter	s__Psychrobacter sp018448495	s__Psychrobacter immobilis_A	96.52	83.04	84.14	96.1100
GCA_018448495.1	GCF_000586475.1	p__Proteobacteria	g__Psychrobacter	s__Psychrobacter sp018448495	s__Psychrobacter sp000586475	96.06	83.18	81.7	95.7000
GCA_018448495.1	GCF_001435295.1	p__Proteobacteria	g__Psychrobacter	s__Psychrobacter sp018448495	s__Psychrobacter sp001435295	96.06	83.25	83.85	95.7700
GCA_018448495.1	GCF_904846615.1	p__Proteobacteria	g__Psychrobacter	s__Psychrobacter sp018448495	s__Psychrobacter sp000586455	96.51	86.32	81.85	95.7900
GCA_018656255.1	GCA_905182755.1	p__Bacteroidota	g__Patiriisocius	s__Patiriisocius sp018656255	s__Patiriisocius sp905182755	95.01	74.03	67.57	95.0400
GCA_018691945.1	GCA_902512865.1	p__Thermoproteota	g__Nitrosopelagicus	s__Nitrosopelagicus sp018691945	s__Nitrosopelagicus sp902512865	97.94	36.18	59.45	97.9400
GCA_019117185.1	GCA_902834055.1	p__Firmicutes	g__Limosilactobacillus	s__Limosilactobacillus intestinipullorum	s__Limosilactobacillus sp902834055	96.11	26.56	50.01	97.3300
GCA_900105215.1	GCF_900105615.1	p__Firmicutes_A	g__Lacrimispora	s__Lacrimispora sphenoides_A	s__Lacrimispora sphenoides	96.86	87.22	77.94	97.1300
GCA_900109485.1	GCF_000280495.2	p__Proteobacteria	g__Kosakonia	s__Kosakonia sacchari_B	s__Kosakonia radicincitans	95.34	77.62	85.81	95.9300
GCA_900109485.1	GCF_001658025.2	p__Proteobacteria	g__Kosakonia	s__Kosakonia sacchari_B	s__Kosakonia oryzae	95.38	88.04	86.1	95.9800
GCA_900316555.1	GCF_016680995.1	p__Firmicutes_A	g__Ruminococcus_E	s__Ruminococcus_E sp900316555	s__Ruminococcus_E sp016680995	96.98	31.06	15.73	96.5200
GCA_900317105.1	GCF_011065405.1	p__Proteobacteria	g__Succinivibrio	s__Succinivibrio sp900317105	s__Succinivibrio dextrinosolvens_A	95.53	71.34	57.31	95.2300
GCA_900321255.1	GCA_902775595.1	p__Verrucomicrobiota	g__UBA1067	s__UBA1067 sp900321255	s__UBA1067 sp002350535	95.87	59.98	52.81	95.9800
GCA_900450595.1	GCF_001277805.1	p__Firmicutes	g__Geobacillus	s__Geobacillus thermophilus	s__Geobacillus stearothermophilus	96.87	56.54	80.25	96.2300
GCA_900450595.1	GCF_002809955.1	p__Firmicutes	g__Geobacillus	s__Geobacillus thermophilus	s__Geobacillus sp002809955	97.3	66.16	77.42	96.8500
GCA_900458895.2	GCF_002901995.1	p__Firmicutes	g__Staphylococcus	s__Staphylococcus schleiferi	s__Staphylococcus coagulans	95.17	86.96	83.76	95.2600
GCA_900478025.1	GCF_002000985.1	p__Firmicutes	g__Streptococcus	s__Streptococcus pasteurianus	s__Streptococcus gallolyticus	96.2	63.36	72.52	96.7400
GCA_900541125.1	GCA_900544645.1	p__Actinobacteriota	g__Collinsella	s__Collinsella sp900541125	s__Collinsella sp900544645	95.06	83.97	73.7	95.0200
GCA_900543945.1	GCA_902364645.1	p__Actinobacteriota	g__Collinsella	s__Collinsella sp900543945	s__Collinsella sp902364645	95.08	83.98	73.36	95.0300
GCA_900543945.1	GCF_003465825.1	p__Actinobacteriota	g__Collinsella	s__Collinsella sp900543945	s__Collinsella sp003465825	95.06	83.31	74.98	95.1200
GCA_900544385.1	GCA_900547855.1	p__Actinobacteriota	g__Collinsella	s__Collinsella sp900544385	s__Collinsella sp900547855	95.1	74.04	70.9	95.0500
GCA_900546775.1	GCA_900764955.1	p__Actinobacteriota	g__Collinsella	s__Collinsella sp900546775	s__Collinsella sp900764955	96.06	23.24	54.15	95.0700
GCA_900556425.1	GCA_900756605.1	p__Actinobacteriota	g__QAMH01	s__QAMH01 sp900556425	s__QAMH01 sp900756605	96.45	66.53	48.22	96.4400
GCA_900557255.1	GCF_015074785.1	p__Bacteroidota	g__Prevotella	s__Prevotella sp900557255	s__Prevotella sp015074785	96.19	46.13	36.75	96.4100
GCA_900557355.1	GCF_000172175.1	p__Bacteroidota	g__Bacteroides	s__Bacteroides sp900557355	s__Bacteroides intestinalis	96.95	38.2	45.4	97.0800
GCA_900751995.1	GCF_001487165.1	p__Firmicutes_A	g__Blautia_A	s__Blautia_A sp900751995	s__Blautia_A massiliensis	96.79	32.22	59.55	97.4200
GCA_900757205.1	GCA_900764955.1	p__Actinobacteriota	g__Collinsella	s__Collinsella sp900757205	s__Collinsella sp900764955	95.6	48.46	19.42	95.1600
GCA_900757715.1	GCF_000024945.1	p__Firmicutes_C	g__Veillonella	s__Veillonella sp900757715	s__Veillonella parvula	95.66	81.01	67.19	95.2200
GCA_900759445.1	GCF_000735435.1	p__Proteobacteria	g__Klebsiella	s__Klebsiella sp900759445	s__Klebsiella planticola	97.31	35.48	56.84	97.9400
GCA_900760795.1	GCF_000012825.1	p__Bacteroidota	g__Phocaeicola	s__Phocaeicola sp900760795	s__Phocaeicola vulgatus	96.03	35.61	44.72	97.0300
GCA_900760795.1	GCF_000382445.1	p__Bacteroidota	g__Phocaeicola	s__Phocaeicola sp900760795	s__Phocaeicola massiliensis	96.38	39.38	44.5	96.7700
GCA_900764695.1	GCA_902363805.1	p__Firmicutes_A	g__Eubacterium_G	s__Eubacterium_G sp900764695	s__Eubacterium_G sp000434315	97.62	40.55	49.16	97.2100
GCA_900764695.1	GCF_000153885.1	p__Firmicutes_A	g__Eubacterium_G	s__Eubacterium_G sp900764695	s__Eubacterium_G ventriosum	95.71	29.25	36.91	96.5000
GCA_900764955.1	GCA_902363875.1	p__Actinobacteriota	g__Collinsella	s__Collinsella sp900764955	s__Collinsella sp902363875	95.9	21.27	60.02	95.1900
GCA_902510755.1	GCA_902512585.1	p__Proteobacteria	g__SP4260	s__SP4260 sp902510755	s__SP4260 sp902512585	98.66	50.81	46.32	99.1500
GCA_902530595.1	GCA_902581005.1	p__Proteobacteria	g__CACIJG01	s__CACIJG01 sp902530595	s__CACIJG01 sp902581005	97.28	42.99	48.28	98.0800
GCA_902549785.1	GCA_902562645.1	p__Proteobacteria	g__Pelagibacter	s__Pelagibacter sp902549785	s__Pelagibacter sp902562645	95.9	45.81	70.74	95.2000
GCA_902570525.1	GCA_902595115.1	p__Proteobacteria	g__Pelagibacter	s__Pelagibacter sp902570525	s__Pelagibacter sp902595115	95.7	52.95	67.4	95.5800
GCA_902612325.1	GCA_902616725.1	p__Proteobacteria	g__Pelagibacter	s__Pelagibacter sp902612325	s__Pelagibacter sp902616725	95.58	80.39	75.88	95.6900
GCA_903871865.1	GCA_903894125.1	p__Proteobacteria	g__Aquabacterium	s__Aquabacterium sp903871865	s__Aquabacterium sp903894125	96.24	57.47	68.9	95.7700
GCA_904846265.1	GCF_000586475.1	p__Proteobacteria	g__Psychrobacter	s__Psychrobacter immobilis_A	s__Psychrobacter sp000586475	96.45	85.22	84.81	95.9100
GCA_904846265.1	GCF_001435295.1	p__Proteobacteria	g__Psychrobacter	s__Psychrobacter immobilis_A	s__Psychrobacter sp001435295	96.47	82.28	83.96	95.9100
GCA_904846265.1	GCF_904846185.1	p__Proteobacteria	g__Psychrobacter	s__Psychrobacter immobilis_A	s__Psychrobacter immobilis_B	95.99	84.08	84.79	95.7800
GCA_905612275.1	GCA_905616385.1	p__Thermoproteota	g__Nitrosopumilus	s__Nitrosopumilus sp905612275	s__Nitrosopumilus sp905616385	98.59	47.31	48.47	98.9500
GCA_910589675.1	GCF_000159355.1	p__Firmicutes	g__Lactobacillus	s__Lactobacillus sp910589675	s__Lactobacillus johnsonii	96.42	50.56	53.32	96.5700
GCF_000007825.1	GCF_000021305.1	p__Firmicutes	g__Bacillus_A	s__Bacillus_A cereus	s__Bacillus_A thuringiensis_S	96.14	79.51	84.04	96.0300
GCF_000007825.1	GCF_001595725.1	p__Firmicutes	g__Bacillus_A	s__Bacillus_A cereus	s__Bacillus_A thuringiensis_K	96.75	72.98	85.94	96.5800
GCF_000007825.1	GCF_002119445.1	p__Firmicutes	g__Bacillus_A	s__Bacillus_A cereus	s__Bacillus_A thuringiensis	97.12	73.42	85.45	96.8100
GCF_000007825.1	GCF_002200015.1	p__Firmicutes	g__Bacillus_A	s__Bacillus_A cereus	s__Bacillus_A cereus_AZ	97.3	81.03	81.8	97.0000
GCF_000007825.1	GCF_006384875.1	p__Firmicutes	g__Bacillus_A	s__Bacillus_A cereus	s__Bacillus_A bombysepticus	97.37	78.36	85.66	97.2000
GCF_000008305.1	GCF_000701525.1	p__Firmicutes	g__Mesoplasma	s__Mesoplasma florum	s__Mesoplasma grammopterae	96.35	82.06	83.48	96.6600
GCF_000008685.2	GCF_000181875.2	p__Spirochaetota	g__Borreliella	s__Borreliella burgdorferi	s__Borreliella finlandensis	95.65	86.58	72.95	97.1500
GCF_000021305.1	GCF_001595725.1	p__Firmicutes	g__Bacillus_A	s__Bacillus_A thuringiensis_S	s__Bacillus_A thuringiensis_K	95.86	71.77	79.94	95.8900
GCF_000021305.1	GCF_002119445.1	p__Firmicutes	g__Bacillus_A	s__Bacillus_A thuringiensis_S	s__Bacillus_A thuringiensis	96.68	73.08	80.46	96.5200
GCF_000021305.1	GCF_002200015.1	p__Firmicutes	g__Bacillus_A	s__Bacillus_A thuringiensis_S	s__Bacillus_A cereus_AZ	95.54	78.03	74.52	95.8700
GCF_000021305.1	GCF_006384875.1	p__Firmicutes	g__Bacillus_A	s__Bacillus_A thuringiensis_S	s__Bacillus_A bombysepticus	95.86	76.59	79.21	96.0600
GCF_000022325.1	GCF_000166775.1	p__Firmicutes_A	g__Caldicellulosiruptor	s__Caldicellulosiruptor bescii	s__Caldicellulosiruptor kronotskyensis	96.31	76.04	73.76	96.1800
GCF_000023245.1	GCF_002354875.1	p__Actinobacteriota	g__Actinosynnema	s__Actinosynnema mirum	s__Actinosynnema auranticum	96.65	81.98	80.82	95.8600
GCF_000024945.1	GCF_902810435.1	p__Firmicutes_C	g__Veillonella	s__Veillonella parvula	s__Veillonella parvula_A	95.65	83.69	84.25	95.5900
GCF_000091545.1	GCF_001535545.1	p__Deinococcota	g__Thermus	s__Thermus thermophilus	s__Thermus parvatiensis	96.15	80.45	76.65	95.4400
GCF_000146185.1	GCF_009680455.1	p__Firmicutes_A	g__Lachnospira	s__Lachnospira eligens	s__Lachnospira eligens_A	95.58	68.57	73.22	96.3600
GCF_000152265.2	GCF_002078355.1	p__Thermoplasmatota	g__Ferroplasma	s__Ferroplasma acidarmanus	s__Ferroplasma acidiphilum	97.3	85.99	81.18	97.1900
GCF_000156195.1	GCF_009193325.2	p__Bacteroidota	g__Bacteroides	s__Bacteroides finegoldii	s__Bacteroides zhangwenhongi	96.2	60.0	55.17	96.7500
GCF_000157935.1	GCF_015074785.1	p__Bacteroidota	g__Prevotella	s__Prevotella copri	s__Prevotella sp015074785	95.81	65.16	59.23	96.6100
GCF_000160455.2	GCF_900107215.1	p__Synergistota	g__Acetomicrobium	s__Acetomicrobium hydrogeniformans	s__Acetomicrobium thermoterrenum	97.15	88.63	82.11	97.1300
GCF_000163295.1	GCF_000311745.1	p__Firmicutes_A	g__Anaerococcus	s__Anaerococcus vaginalis	s__Anaerococcus obesiensis	97.12	78.26	84.27	96.8100
GCF_000166295.1	GCF_002933295.1	p__Proteobacteria	g__Marinobacter	s__Marinobacter adhaerens	s__Marinobacter flavimaris	96.88	75.3	72.16	96.8000
GCF_000166295.1	GCF_900188315.1	p__Proteobacteria	g__Marinobacter	s__Marinobacter adhaerens	s__Marinobacter sp900188315	95.77	83.73	70.85	95.9200
GCF_000175635.1	GCF_013408445.1	p__Actinobacteriota	g__Corynebacterium	s__Corynebacterium tuberculostearicum_C	s__Corynebacterium tuberculostearicum	96.35	85.63	88.55	96.2500
GCF_000196255.1	GCF_003025615.1	p__Proteobacteria	g__Photobacterium	s__Photobacterium profundum_A	s__Photobacterium frigidiphilum	95.52	73.89	74.39	95.6000
GCF_000227275.1	GCF_000260655.1	p__Proteobacteria	g__Neisseria	s__Neisseria sp000227275	s__Neisseria sicca_B	96.67	80.28	83.34	96.6300
GCF_000227275.1	GCF_001815675.1	p__Proteobacteria	g__Neisseria	s__Neisseria sp000227275	s__Neisseria sp001815675	96.41	81.9	81.68	96.5400
GCF_000227275.1	GCF_014054945.1	p__Proteobacteria	g__Neisseria	s__Neisseria sp000227275	s__Neisseria sicca	96.31	82.59	78.98	96.5500
GCF_000230735.2	GCF_000337115.1	p__Halobacteriota	g__Natrinema	s__Natrinema pellirubrum	s__Natrinema thermotolerans	95.7	78.8	70.42	95.5700
GCF_000231035.2	GCF_000430445.1	p__Actinobacteriota	g__Saccharomonospora	s__Saccharomonospora paurometabolica	s__Saccharomonospora iraqiensis	96.86	67.01	80.31	96.9600
GCF_000235625.1	GCF_002933295.1	p__Proteobacteria	g__Marinobacter	s__Marinobacter manganoxydans_A	s__Marinobacter flavimaris	96.86	77.44	75.87	96.6000
GCF_000245735.1	GCF_000280055.1	p__Proteobacteria	g__Alishewanella	s__Alishewanella jeotgali	s__Alishewanella aestuarii	95.57	73.33	68.67	96.0400
GCF_000260655.1	GCF_001815675.1	p__Proteobacteria	g__Neisseria	s__Neisseria sicca_B	s__Neisseria sp001815675	96.27	80.61	83.46	96.6700
GCF_000260655.1	GCF_014054945.1	p__Proteobacteria	g__Neisseria	s__Neisseria sicca_B	s__Neisseria sicca	96.54	79.34	86.14	96.7200
GCF_000272405.2	GCF_900089855.1	p__Proteobacteria	g__Vibrio	s__Vibrio tasmaniensis_A	s__Vibrio atlanticus	96.64	82.81	77.96	96.1600
GCF_000275725.1	GCF_014651775.1	p__Proteobacteria	g__Halomonas	s__Halomonas stevensii	s__Halomonas hamiltonii	95.79	77.4	82.41	95.8900
GCF_000280495.2	GCF_001658025.2	p__Proteobacteria	g__Kosakonia	s__Kosakonia radicincitans	s__Kosakonia oryzae	95.69	80.62	91.13	95.9600
GCF_000284075.1	GCF_001951015.1	p__Proteobacteria	g__Rickettsia	s__Rickettsia rhipicephali	s__Rickettsia rickettsii	97.02	92.01	89.39	96.2000
GCF_000308475.2	GCF_001613425.1	p__Actinobacteriota	g__Nocardia	s__Nocardia brasiliensis	s__Nocardia vulneris	95.81	82.96	87.46	95.9100
GCF_000308575.1	GCF_001612985.1	p__Actinobacteriota	g__Nocardia	s__Nocardia exalbida	s__Nocardia gamkensis	96.81	80.12	83.94	97.0100
GCF_000312025.1	GCF_001517665.2	p__Firmicutes_A	g__Peptoniphilus_A	s__Peptoniphilus_A timonensis	s__Peptoniphilus_A phoceensis	97.16	80.26	79.39	96.8600
GCF_000316035.1	GCF_017874615.1	p__Firmicutes	g__Paenibacillus	s__Paenibacillus sp000316035	s__Paenibacillus xylanexedens	95.84	80.36	84.4	95.8900
GCF_000336775.1	GCF_000336815.1	p__Halobacteriota	g__Haloferax	s__Haloferax gibbonsii	s__Haloferax prahovense	96.87	83.35	84.63	96.4900
GCF_000337795.1	GCF_000337835.1	p__Halobacteriota	g__Haloferax	s__Haloferax denitrificans	s__Haloferax sulfurifontis	96.85	83.73	84.02	96.4000
GCF_000350485.1	GCF_000621505.1	p__Firmicutes_A	g__Ruminiclostridium	s__Ruminiclostridium termitidis	s__Ruminiclostridium cellobioparum	96.96	79.27	75.76	96.9600
GCF_000350545.1	GCF_000421285.1	p__Desulfobacterota	g__Desulfotignum	s__Desulfotignum phosphitoxidans	s__Desulfotignum balticum	97.02	70.47	72.17	97.3900
GCF_000376585.1	GCF_004171285.1	p__Proteobacteria	g__Wolbachia	s__Wolbachia sp000376585	s__Wolbachia pipientis_C	95.83	62.8	71.59	95.2300
GCF_000376585.1	GCF_018141665.1	p__Proteobacteria	g__Wolbachia	s__Wolbachia sp000376585	s__Wolbachia sp001439985	95.58	75.56	77.76	95.4200
GCF_000377505.1	GCF_000426545.1	p__Firmicutes	g__Paenibacillus	s__Paenibacillus massiliensis	s__Paenibacillus panacisoli	95.77	82.32	83.09	96.0200
GCF_000383595.1	GCF_014873495.1	p__Actinobacteriota	g__Streptomyces	s__Streptomyces bottropensis	s__Streptomyces stelliscabiei	97.2	79.52	67.84	96.8600
GCF_000419765.1	GCF_015353075.1	p__Proteobacteria	g__Rhizobium	s__Rhizobium mongolense	s__Rhizobium yanglingense	95.86	69.85	74.1	96.3000
GCF_000419765.1	GCF_900099775.1	p__Proteobacteria	g__Rhizobium	s__Rhizobium mongolense	s__Rhizobium loessense	96.07	76.76	72.07	96.5100
GCF_000421265.1	GCF_002844275.1	p__Proteobacteria	g__Thalassospira	s__Thalassospira lucentensis	s__Thalassospira lohafexi	95.77	84.41	84.03	95.7400
GCF_000421605.1	GCF_000734015.1	p__Desulfobacterota	g__Thermodesulfobacterium	s__Thermodesulfobacterium thermophilum	s__Thermodesulfobacterium commune	95.85	87.91	86.76	95.5500
GCF_000424105.1	GCF_900103815.1	p__Firmicutes_A	g__Lachnospira	s__Lachnospira multipara	s__Lachnospira pectinoschiza_B	95.83	75.65	71.24	95.5700
GCF_000426885.1	GCF_002014975.1	p__Proteobacteria	g__Moraxella	s__Moraxella caprae	s__Moraxella bovis	95.76	69.34	73.4	95.8600
GCF_000445105.1	GCF_001598335.1	p__Proteobacteria	g__Sphingobium	s__Sphingobium lactosutens	s__Sphingobium abikonense	95.74	73.97	51.74	96.0700
GCF_000473265.1	GCF_000739085.1	p__Actinobacteriota	g__Amycolatopsis	s__Amycolatopsis thermoflava	s__Amycolatopsis methanolica	96.58	67.03	80.52	96.6200
GCF_000487975.1	GCF_011058205.1	p__Proteobacteria	g__Acinetobacter	s__Acinetobacter lwoffii	s__Acinetobacter fasciculus	96.57	79.56	78.77	96.1900
GCF_000487975.1	GCF_014769185.1	p__Proteobacteria	g__Acinetobacter	s__Acinetobacter lwoffii	s__Acinetobacter lwoffii_D	96.36	82.37	81.16	96.1900
GCF_000487975.1	GCF_015602705.1	p__Proteobacteria	g__Acinetobacter	s__Acinetobacter lwoffii	s__Acinetobacter lwoffii_E	96.14	77.66	87.82	95.8000
GCF_000493015.1	GCF_003634515.1	p__Proteobacteria	g__Enterobacter	s__Enterobacter sp000493015	s__Enterobacter asburiae_A	95.74	83.41	85.82	95.8800
GCF_000495915.1	GCF_000935215.1	p__Proteobacteria	g__Pseudomonas_A	s__Pseudomonas_A chloritidismutans	s__Pseudomonas_A stutzeri_AD	96.61	77.41	74.45	96.7300
GCF_000495915.1	GCF_002929225.1	p__Proteobacteria	g__Pseudomonas_A	s__Pseudomonas_A chloritidismutans	s__Pseudomonas_A stutzeri_U	96.8	80.64	78.12	97.0100
GCF_000495915.1	GCF_013409135.1	p__Proteobacteria	g__Pseudomonas_A	s__Pseudomonas_A chloritidismutans	s__Pseudomonas_A kunmingensis_A	97.13	83.41	76.22	97.0300
GCF_000513215.1	GCF_006715005.1	p__Proteobacteria	g__Serratia	s__Serratia bockelmannii	s__Serratia marcescens_J	95.74	79.9	87.0	96.0500
GCF_000513215.1	GCF_017299535.1	p__Proteobacteria	g__Serratia	s__Serratia bockelmannii	s__Serratia marcescens	95.71	89.32	88.51	96.0900
GCF_000577275.2	GCF_900110205.1	p__Proteobacteria	g__Rhizobium	s__Rhizobium favelukesii	s__Rhizobium tibeticum	95.59	68.17	73.03	96.3200
GCF_000586475.1	GCF_001435295.1	p__Proteobacteria	g__Psychrobacter	s__Psychrobacter sp000586475	s__Psychrobacter sp001435295	96.11	82.81	84.91	95.9400
GCF_000586475.1	GCF_003148585.1	p__Proteobacteria	g__Psychrobacter	s__Psychrobacter sp000586475	s__Psychrobacter immobilis	96.21	86.47	81.81	95.9000
GCF_000622145.1	GCF_003285265.1	p__Proteobacteria	g__Paracoccus	s__Paracoccus yeei	s__Paracoccus mutanolyticus	98.19	62.64	77.22	97.9100
GCF_000633595.2	GCF_000968375.1	p__Firmicutes_A	g__Clostridium_AM	s__Clostridium_AM drakei	s__Clostridium_AM scatologenes	96.16	81.92	79.39	96.2400
GCF_000686565.1	GCF_001999985.1	p__Campylobacterota	g__Helicobacter_A	s__Helicobacter_A bilis	s__Helicobacter_A bilis_A	96.19	72.37	68.35	96.3500
GCF_000686565.1	GCF_900198625.1	p__Campylobacterota	g__Helicobacter_A	s__Helicobacter_A bilis	s__Helicobacter_A rappini	96.77	82.41	81.36	96.3300
GCF_000696305.2	GCF_001636015.1	p__Proteobacteria	g__Moraxella	s__Moraxella bovoculi	s__Moraxella ovis	96.47	75.73	85.18	96.4200
GCF_000711795.1	GCF_002811245.1	p__Proteobacteria	g__Vibrio	s__Vibrio pacinii	s__Vibrio salilacus	95.8	79.82	67.13	96.0800
GCF_000717595.1	GCF_001418135.1	p__Actinobacteriota	g__Streptomyces	s__Streptomyces flavochromogenes	s__Streptomyces aureus_A	95.63	80.29	71.78	95.5800
GCF_000719115.1	GCF_900100275.1	p__Actinobacteriota	g__Lentzea	s__Lentzea albidocapillata	s__Lentzea violacea	96.93	79.32	78.91	96.8500
GCF_000720805.1	GCF_000721105.1	p__Actinobacteriota	g__Streptomyces	s__Streptomyces violaceoruber_B	s__Streptomyces cellulosae_A	97.17	77.93	74.56	96.9500
GCF_000738675.1	GCF_017299535.1	p__Proteobacteria	g__Serratia	s__Serratia nematodiphila	s__Serratia marcescens	96.86	88.76	89.86	97.0400
