query	reference	label	q_domain	r_domain	q_phylum	r_phylum	q_genus	r_genus	q_species	r_species	fastani_ani	skani_ani	skani_align_frac	s2b_raw_ani	s2b_gbrt_ani	s2b_shared_tags	s2b_af_q	s2b_af_r	s2b_ref_gc
GCF_017303155.1	GCF_001639145.1	mid_high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Microbulbifer	g__Microbulbifer	s__Microbulbifer salipaludis	s__Microbulbifer sp001639145	0.938722	0.937700	78.110000	0.977040	0.945612	671	0.191223	0.195285	0.583619
GCF_000220505.1	GCF_002959965.1	mid_high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Microbulbifer	g__Microbulbifer	s__Microbulbifer agarilyticus_B	s__Microbulbifer pacificus	0.805825	0.000000	0.000000	0.958705	0.939487	84	0.023959	0.023803	0.573630
GCF_018853815.1	GCF_018853445.1	mid_high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Acidithiobacillus	g__Acidithiobacillus	s__Acidithiobacillus sp018853815	s__Acidithiobacillus sp018853445	0.926902	0.927300	68.950000	0.970480	0.937915	289	0.155460	0.170401	0.528592
GCF_003966655.1	GCF_018853815.1	mid_high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Acidithiobacillus	g__Acidithiobacillus	s__Acidithiobacillus ferridurans	s__Acidithiobacillus sp018853815	0.789814	0.000000	0.000000	0.961694	0.924773	31	0.013573	0.016676	0.527372
GCF_018854495.1	GCF_002847505.1	mid_high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Acidithiobacillus	g__Acidithiobacillus	s__Acidithiobacillus ferrooxidans_C	s__Acidithiobacillus sp002847505	0.784195	0.000000	0.000000	0.964286	0.909434	21	0.008838	0.011570	0.542627
GCF_009662475.1	GCF_003966655.1	mid_high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Acidithiobacillus	g__Acidithiobacillus	s__Acidithiobacillus thiooxidans	s__Acidithiobacillus ferridurans	0.799713	0.000000	0.000000	0.966090	0.946536	47	0.023130	0.020578	0.584280
GCF_015100155.1	GCF_018854775.1	mid_high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Acidithiobacillus	g__Acidithiobacillus	s__Acidithiobacillus sp015100155	s__Acidithiobacillus ferriphilus	0.777062	0.000000	0.000000	0.000000	0.000000	0	0.003743	0.003853	0.574156
GCF_000018785.1	GCA_002399815.1	mid_high	d__Bacteria	d__Bacteria	p__Firmicutes	p__Firmicutes	g__Acholeplasma	g__Acholeplasma	s__Acholeplasma laidlawii	s__Acholeplasma sp002399815	0.789682	0.000000	0.000000	0.000000	0.000000	0	0.039735	0.040816	0.303266
GCF_000526235.1	GCF_000018785.1	mid_high	d__Bacteria	d__Bacteria	p__Firmicutes	p__Firmicutes	g__Acholeplasma	g__Acholeplasma	s__Acholeplasma granularum	s__Acholeplasma laidlawii	0.804225	0.000000	0.000000	0.000000	0.000000	0	0.029126	0.019868	0.319278
GCF_000526235.1	GCF_900166985.1	mid_high	d__Bacteria	d__Bacteria	p__Firmicutes	p__Firmicutes	g__Acholeplasma	g__Acholeplasma	s__Acholeplasma granularum	s__Acholeplasma oculi	0.789934	0.000000	0.000000	0.000000	0.000000	0	0.000000	0.000000	0.312566
GCF_015709225.1	GCF_000526235.1	mid_high	d__Bacteria	d__Bacteria	p__Firmicutes	p__Firmicutes	g__Acholeplasma	g__Acholeplasma	s__Acholeplasma laidlawii_A	s__Acholeplasma granularum	0.801879	0.000000	0.000000	0.000000	0.000000	0	0.025641	0.029126	0.293998
GCF_016415625.1	GCF_000262305.1	mid_high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Shimwellia	g__Shimwellia	s__Shimwellia pseudoproteus	s__Shimwellia blattae	0.845735	0.847700	28.800000	0.965310	0.916159	109	0.059079	0.062286	0.565083
GCF_000316645.1	GCF_014697105.1	mid_high	d__Bacteria	d__Bacteria	p__Cyanobacteria	p__Cyanobacteria	g__Trichormus	g__Trichormus	s__Trichormus sp000316645	s__Trichormus subtropica	0.807292	0.000000	0.000000	0.959459	0.953731	37	0.023733	0.027468	0.408276
GCF_013393945.1	GCF_014696625.1	mid_high	d__Bacteria	d__Bacteria	p__Cyanobacteria	p__Cyanobacteria	g__Trichormus	g__Trichormus	s__Trichormus sp013393945	s__Trichormus parmelioides	0.807284	0.000000	0.000000	0.961277	0.939090	46	0.020852	0.024825	0.413286
GCF_014697105.1	GCF_002896875.1	mid_high	d__Bacteria	d__Bacteria	p__Cyanobacteria	p__Cyanobacteria	g__Trichormus	g__Trichormus	s__Trichormus subtropica	s__Trichormus sp002896875	0.795968	0.000000	0.000000	0.965993	0.937665	34	0.025241	0.020859	0.408414
GCF_013393945.1	GCF_002896875.1	mid_high	d__Bacteria	d__Bacteria	p__Cyanobacteria	p__Cyanobacteria	g__Trichormus	g__Trichormus	s__Trichormus sp013393945	s__Trichormus sp002896875	0.793247	0.000000	0.000000	0.962340	0.947711	39	0.017679	0.023926	0.408414
GCF_009856605.1	GCF_000009705.1	mid_high	d__Bacteria	d__Bacteria	p__Cyanobacteria	p__Cyanobacteria	g__Trichormus	g__Trichormus	s__Trichormus variabilis	s__Trichormus sp000009705	0.930425	0.932100	60.620000	0.976116	0.949223	420	0.235955	0.239180	0.412683
GCF_003336205.1	GCA_015478785.1	mid_high	d__Bacteria	d__Bacteria	p__Bacteroidota	p__Bacteroidota	g__Planobacterium	g__Planobacterium	s__Planobacterium lacus	s__Planobacterium sp015478785	0.945065	0.946500	85.560000	0.979356	0.966285	165	0.220884	0.247748	0.398784
GCF_014041915.1	GCA_002319955.1	mid_high	d__Bacteria	d__Bacteria	p__Bacteroidota	p__Bacteroidota	g__Planobacterium	g__Planobacterium	s__Planobacterium sp014041915	s__Planobacterium sp002319955	0.000000	0.000000	0.000000	0.000000	0.000000	0	0.002273	0.002950	0.423333
GCF_003336205.1	GCF_008831505.1	mid_high	d__Bacteria	d__Bacteria	p__Bacteroidota	p__Bacteroidota	g__Planobacterium	g__Planobacterium	s__Planobacterium lacus	s__Planobacterium sp008831505	0.000000	0.000000	0.000000	0.970982	0.931777	14	0.018742	0.014989	0.434195
GCF_003336205.1	GCF_015354315.1	mid_high	d__Bacteria	d__Bacteria	p__Bacteroidota	p__Bacteroidota	g__Planobacterium	g__Planobacterium	s__Planobacterium lacus	s__Planobacterium sp015354315	0.000000	0.000000	0.000000	0.979167	0.937763	12	0.016064	0.017070	0.437113
GCF_014041915.1	GCF_015354315.1	mid_high	d__Bacteria	d__Bacteria	p__Bacteroidota	p__Bacteroidota	g__Planobacterium	g__Planobacterium	s__Planobacterium sp014041915	s__Planobacterium sp015354315	0.000000	0.000000	0.000000	0.000000	0.000000	0	0.006818	0.008535	0.437113
GCA_015660155.1	GCA_014382585.1	mid_high	d__Bacteria	d__Bacteria	p__Verrucomicrobiota	p__Verrucomicrobiota	g__JACNJL01	g__JACNJL01	s__JACNJL01 sp015660155	s__JACNJL01 sp014382585	0.845518	0.872700	13.980000	0.958401	0.966000	154	0.072437	0.044393	0.565870
GCA_014382585.1	GCA_014239365.1	mid_high	d__Bacteria	d__Bacteria	p__Verrucomicrobiota	p__Verrucomicrobiota	g__JACNJL01	g__JACNJL01	s__JACNJL01 sp014382585	s__JACNJL01 sp014239365	0.883276	0.885800	47.870000	0.966277	0.927905	417	0.120208	0.124552	0.567873
GCF_900101475.1	GCF_010500245.1	mid_high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Ruegeria_B	g__Ruegeria_B	s__Ruegeria_B marina	s__Ruegeria_B sp010500245	0.862837	0.865400	35.920000	0.962981	0.943058	390	0.070896	0.073682	0.627878
GCF_900101475.1	GCF_000011965.2	mid_high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Ruegeria_B	g__Ruegeria_B	s__Ruegeria_B marina	s__Ruegeria_B pomeroyi	0.842838	0.841300	22.350000	0.957682	0.950332	288	0.052354	0.058513	0.640696
GCF_012972675.1	GCF_009827545.1	mid_high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Pontixanthobacter	g__Pontixanthobacter	s__Pontixanthobacter rizhaonensis	s__Pontixanthobacter gangjinensis	0.781461	0.000000	0.000000	0.000000	0.000000	0	0.002802	0.002190	0.554606
GCF_009828095.1	GCF_012972675.1	mid_high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Pontixanthobacter	g__Pontixanthobacter	s__Pontixanthobacter luteolus	s__Pontixanthobacter rizhaonensis	0.777949	0.000000	0.000000	0.000000	0.000000	0	0.001861	0.002802	0.554887
GCF_012972675.1	GCF_009827455.1	mid_high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Pontixanthobacter	g__Pontixanthobacter	s__Pontixanthobacter rizhaonensis	s__Pontixanthobacter aestiaquae	0.784092	0.000000	0.000000	0.959821	0.922766	42	0.016813	0.011073	0.571541
GCF_009827545.1	GCF_009827455.1	mid_high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Pontixanthobacter	g__Pontixanthobacter	s__Pontixanthobacter gangjinensis	s__Pontixanthobacter aestiaquae	0.784481	0.000000	0.000000	0.951858	0.892707	37	0.011577	0.009755	0.571541
GCF_009828095.1	GCF_017812015.1	mid_high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Pontixanthobacter	g__Pontixanthobacter	s__Pontixanthobacter luteolus	s__Pontixanthobacter sp017812015	0.782393	0.000000	0.000000	0.948370	0.887429	23	0.006115	0.005814	0.565163
GCA_003246795.1	GCA_016792785.1	mid_high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__SZUA-430	g__SZUA-430	s__SZUA-430 sp003246795	s__SZUA-430 sp016792785	0.801630	0.000000	0.000000	0.953309	0.909011	85	0.028352	0.013242	0.643478
GCA_016792785.1	GCA_016792645.1	mid_high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__SZUA-430	g__SZUA-430	s__SZUA-430 sp016792785	s__SZUA-430 sp016792645	0.805326	0.000000	0.000000	0.957338	0.950572	178	0.027730	0.031371	0.636631
GCA_902826695.1	GCA_017983635.1	mid_high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__SZUA-430	g__SZUA-430	s__SZUA-430 sp902826695	s__SZUA-430 sp017983635	0.803254	0.000000	0.000000	0.957112	0.945879	145	0.023152	0.021091	0.627298
GCA_003246795.1	GCA_013140995.1	mid_high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__SZUA-430	g__SZUA-430	s__SZUA-430 sp003246795	s__SZUA-430 sp013140995	0.790054	0.000000	0.000000	0.953629	0.891163	62	0.020680	0.010141	0.624966
GCA_002305315.1	GCA_017467985.1	mid_high	d__Bacteria	d__Bacteria	p__Firmicutes_A	p__Firmicutes_A	g__Faecimorpha	g__Faecimorpha	s__Faecimorpha stercoravium	s__Faecimorpha sp017467985	0.000000	0.000000	0.000000	0.000000	0.000000	0	0.002046	0.003774	0.477816
GCA_002305315.1	GCA_900764045.1	mid_high	d__Bacteria	d__Bacteria	p__Firmicutes_A	p__Firmicutes_A	g__Faecimorpha	g__Faecimorpha	s__Faecimorpha stercoravium	s__Faecimorpha sp900764045	0.777982	0.000000	0.000000	0.000000	0.000000	0	0.003411	0.004562	0.507735
GCA_017467985.1	GCA_900764045.1	mid_high	d__Bacteria	d__Bacteria	p__Firmicutes_A	p__Firmicutes_A	g__Faecimorpha	g__Faecimorpha	s__Faecimorpha sp017467985	s__Faecimorpha sp900764045	0.000000	0.000000	0.000000	0.000000	0.000000	0	0.000000	0.000000	0.507735
GCA_018302785.1	GCA_018302805.1	mid_high	d__Archaea	d__Archaea	p__Nanoarchaeota	p__Nanoarchaeota	g__JAGVZF01	g__JAGVZF01	s__JAGVZF01 sp018302785	s__JAGVZF01 sp018302805	0.789685	0.000000	0.000000	0.000000	0.000000	0	0.028571	0.011765	0.300577
GCA_002011425.1	GCA_002010365.1	mid_high	d__Bacteria	d__Bacteria	p__Bipolaricaulota	p__Bipolaricaulota	g__UBA3571	g__UBA3571	s__UBA3571 sp002011425	s__UBA3571 sp002010365	0.793403	0.000000	0.000000	0.000000	0.000000	0	0.006445	0.012048	0.618993
GCA_013151115.1	GCA_002011425.1	mid_high	d__Bacteria	d__Bacteria	p__Bipolaricaulota	p__Bipolaricaulota	g__UBA3571	g__UBA3571	s__UBA3571 sp013151115	s__UBA3571 sp002011425	0.822854	0.857200	10.910000	0.958333	0.940520	27	0.056962	0.029001	0.612160
GCA_002010365.1	GCA_013151115.1	mid_high	d__Bacteria	d__Bacteria	p__Bipolaricaulota	p__Bipolaricaulota	g__UBA3571	g__UBA3571	s__UBA3571 sp002010365	s__UBA3571 sp013151115	0.809368	0.000000	0.000000	0.953125	0.927541	10	0.020080	0.021097	0.677323
GCA_013151115.1	GCA_002375995.1	mid_high	d__Bacteria	d__Bacteria	p__Bipolaricaulota	p__Bipolaricaulota	g__UBA3571	g__UBA3571	s__UBA3571 sp013151115	s__UBA3571 sp002375995	0.819301	0.846700	9.460000	0.963942	0.948012	13	0.027426	0.018440	0.625440
GCA_002375995.1	GCA_002011425.1	mid_high	d__Bacteria	d__Bacteria	p__Bipolaricaulota	p__Bipolaricaulota	g__UBA3571	g__UBA3571	s__UBA3571 sp002375995	s__UBA3571 sp002011425	0.796271	0.000000	0.000000	0.954167	0.915655	15	0.021277	0.016112	0.612160
GCF_012848855.1	GCF_000689395.1	mid_high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Pyruvatibacter	g__Pyruvatibacter	s__Pyruvatibacter mobilis	s__Pyruvatibacter ectocarpi	0.791407	0.000000	0.000000	0.000000	0.000000	0	0.000000	0.000000	0.588294
GCA_003485715.1	GCA_002299125.1	mid_high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__UBA7966	g__UBA7966	s__UBA7966 sp003485715	s__UBA7966 sp002299125	0.915998	0.915200	55.070000	0.967792	0.941347	685	0.236860	0.216841	0.666055
GCA_017450695.1	GCA_017544725.1	mid_high	d__Bacteria	d__Bacteria	p__Verrucomicrobiota	p__Verrucomicrobiota	g__RGIG6996	g__RGIG6996	s__RGIG6996 sp017450695	s__RGIG6996 sp017544725	0.834700	0.844400	15.860000	0.957721	0.950769	204	0.043702	0.055480	0.555882
GCA_015485585.1	GCA_015489555.1	mid_high	d__Bacteria	d__Bacteria	p__Patescibacteria	p__Patescibacteria	g__S139-149	g__S139-149	s__S139-149 sp015485585	s__S139-149 sp015489555	0.000000	0.000000	0.000000	0.000000	0.000000	0	0.000000	0.000000	0.377111
GCF_000264455.2	GCF_014636235.1	mid_high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Tistrella	g__Tistrella	s__Tistrella mobilis	s__Tistrella bauzanensis	0.832002	0.000000	0.000000	0.961598	0.942367	402	0.047018	0.057667	0.670808
GCA_018660965.1	GCA_016764135.1	mid_high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__JABJJH01	g__JABJJH01	s__JABJJH01 sp018660965	s__JABJJH01 sp016764135	0.774510	0.000000	0.000000	0.953125	0.905502	20	0.005590	0.011567	0.559901
GCF_000787815.1	GCF_014084125.1	mid_high	d__Bacteria	d__Bacteria	p__Actinobacteriota	p__Actinobacteriota	g__Streptacidiphilus	g__Streptacidiphilus	s__Streptacidiphilus neutrinimicus	s__Streptacidiphilus sp014084125	0.814147	0.000000	0.000000	0.960018	0.954030	204	0.024196	0.031356	0.726397
GCF_015690355.1	GCF_000719095.1	mid_high	d__Bacteria	d__Bacteria	p__Actinobacteriota	p__Actinobacteriota	g__Streptacidiphilus	g__Streptacidiphilus	s__Streptacidiphilus fuscans	s__Streptacidiphilus jeojiense	0.816798	0.000000	0.000000	0.962289	0.949460	266	0.029671	0.032400	0.714526
GCF_000744655.1	GCF_000787835.1	mid_high	d__Bacteria	d__Bacteria	p__Actinobacteriota	p__Actinobacteriota	g__Streptacidiphilus	g__Streptacidiphilus	s__Streptacidiphilus rugosus	s__Streptacidiphilus melanogenes	0.847016	0.845700	15.030000	0.964049	0.914582	565	0.062486	0.061688	0.716276
GCF_000744655.1	GCA_014284505.1	mid_high	d__Bacteria	d__Bacteria	p__Actinobacteriota	p__Actinobacteriota	g__Streptacidiphilus	g__Streptacidiphilus	s__Streptacidiphilus rugosus	s__Streptacidiphilus sp014284505	0.809087	0.000000	0.000000	0.960690	0.959964	221	0.024441	0.029427	0.718279
GCF_000787815.1	GCA_014284505.1	mid_high	d__Bacteria	d__Bacteria	p__Actinobacteriota	p__Actinobacteriota	g__Streptacidiphilus	g__Streptacidiphilus	s__Streptacidiphilus neutrinimicus	s__Streptacidiphilus sp014284505	0.806595	0.000000	0.000000	0.959047	0.948074	219	0.025976	0.029161	0.718279
GCF_000820705.1	GCF_900142075.1	mid_high	d__Bacteria	d__Bacteria	p__Firmicutes_A	p__Firmicutes_A	g__Clostridium_AA	g__Clostridium_AA	s__Clostridium_AA polynesiense	s__Clostridium_AA amylolyticum	0.789121	0.000000	0.000000	0.000000	0.000000	0	0.016722	0.020833	0.320738
GCF_000331225.1	GCA_002280855.1	mid_high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Sandarakinorhabdus	g__Sandarakinorhabdus	s__Sandarakinorhabdus sp000331225	s__Sandarakinorhabdus sp002280855	0.880808	0.881100	51.860000	0.963651	0.920592	619	0.149915	0.159536	0.648851
GCF_009733735.1	GCF_000331225.1	mid_high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Sandarakinorhabdus	g__Sandarakinorhabdus	s__Sandarakinorhabdus oryzae	s__Sandarakinorhabdus sp000331225	0.859760	0.859000	30.060000	0.961677	0.910753	296	0.069030	0.071688	0.654804
GCF_010994245.1	GCF_009733735.1	mid_high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Sandarakinorhabdus	g__Sandarakinorhabdus	s__Sandarakinorhabdus rubra	s__Sandarakinorhabdus oryzae	0.843975	0.845900	13.810000	0.960604	0.920295	234	0.064892	0.054571	0.665571
GCF_000331225.1	GCF_002251755.1	mid_high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Sandarakinorhabdus	g__Sandarakinorhabdus	s__Sandarakinorhabdus sp000331225	s__Sandarakinorhabdus cyanobacteriorum	0.839397	0.830500	16.500000	0.960980	0.965319	185	0.044805	0.043356	0.661563
GCA_003164335.1	GCA_903888815.1	mid_high	d__Bacteria	d__Bacteria	p__Fibrobacterota	p__Fibrobacterota	g__BOG-1184	g__BOG-1184	s__BOG-1184 sp003164335	s__BOG-1184 sp903888815	0.000000	0.000000	0.000000	0.000000	0.000000	0	0.002021	0.002704	0.526924
GCF_001548395.1	GCA_003695655.1	mid_high	d__Bacteria	d__Bacteria	p__Cyanobacteria	p__Cyanobacteria	g__O-77	g__O-77	s__O-77 sp001548395	s__O-77 sp003695655	0.824440	0.000000	0.000000	0.959918	0.954522	184	0.037330	0.045466	0.557841
GCF_013177315.1	GCF_001548395.1	mid_high	d__Bacteria	d__Bacteria	p__Cyanobacteria	p__Cyanobacteria	g__O-77	g__O-77	s__O-77 sp013177315	s__O-77 sp001548395	0.913464	0.909900	60.420000	0.971128	0.942600	1012	0.209828	0.205315	0.559273
GCA_018061025.1	GCA_018061485.1	mid_high	d__Bacteria	d__Bacteria	p__Patescibacteria	p__Patescibacteria	g__JAGOUA01	g__JAGOUA01	s__JAGOUA01 sp018061025	s__JAGOUA01 sp018061485	0.000000	0.000000	0.000000	0.000000	0.000000	0	0.000000	0.000000	0.536212
GCF_001832905.1	GCF_001832885.1	mid_high	d__Bacteria	d__Bacteria	p__Firmicutes	p__Firmicutes	g__Floricoccus	g__Floricoccus	s__Floricoccus tropicus	s__Floricoccus penangensis	0.935804	0.937100	75.710000	0.981841	0.967149	74	0.253425	0.264286	0.330772
GCA_016882345.1	GCA_016882555.1	mid_high	d__Bacteria	d__Bacteria	p__Cyanobacteria	p__Cyanobacteria	g__RGUW01	g__RGUW01	s__RGUW01 sp016882345	s__RGUW01 sp016882555	0.827414	0.000000	0.000000	0.964086	0.946762	134	0.041422	0.059928	0.672976
GCA_016882345.1	GCA_018970945.1	mid_high	d__Bacteria	d__Bacteria	p__Cyanobacteria	p__Cyanobacteria	g__RGUW01	g__RGUW01	s__RGUW01 sp016882345	s__RGUW01 sp018970945	0.814137	0.000000	0.000000	0.957325	0.955905	93	0.028748	0.042350	0.666001
GCA_010027605.1	GCA_016882555.1	mid_high	d__Bacteria	d__Bacteria	p__Cyanobacteria	p__Cyanobacteria	g__RGUW01	g__RGUW01	s__RGUW01 sp010027605	s__RGUW01 sp016882555	0.822450	0.000000	0.000000	0.960674	0.960852	89	0.035095	0.039803	0.672976
GCA_016882345.1	GCA_010027605.1	mid_high	d__Bacteria	d__Bacteria	p__Cyanobacteria	p__Cyanobacteria	g__RGUW01	g__RGUW01	s__RGUW01 sp016882345	s__RGUW01 sp010027605	0.811894	0.000000	0.000000	0.959926	0.954154	85	0.026275	0.033517	0.654931
GCA_903928565.1	GCA_001822095.1	mid_high	d__Bacteria	d__Bacteria	p__Patescibacteria	p__Patescibacteria	g__XYD1-FULL-39-28	g__XYD1-FULL-39-28	s__XYD1-FULL-39-28 sp903928565	s__XYD1-FULL-39-28 sp001822095	0.762338	0.000000	0.000000	0.000000	0.000000	0	0.004425	0.005291	0.387322
GCA_903839895.1	GCA_001822095.1	mid_high	d__Bacteria	d__Bacteria	p__Patescibacteria	p__Patescibacteria	g__XYD1-FULL-39-28	g__XYD1-FULL-39-28	s__XYD1-FULL-39-28 sp903839895	s__XYD1-FULL-39-28 sp001822095	0.000000	0.000000	0.000000	0.000000	0.000000	0	0.005025	0.005291	0.387322
GCA_001822065.1	GCA_903831095.1	mid_high	d__Bacteria	d__Bacteria	p__Patescibacteria	p__Patescibacteria	g__XYD1-FULL-39-28	g__XYD1-FULL-39-28	s__XYD1-FULL-39-28 sp001822065	s__XYD1-FULL-39-28 sp903831095	0.000000	0.000000	0.000000	0.000000	0.000000	0	0.000000	0.000000	0.353153
GCA_903923535.1	GCA_903928565.1	mid_high	d__Bacteria	d__Bacteria	p__Patescibacteria	p__Patescibacteria	g__XYD1-FULL-39-28	g__XYD1-FULL-39-28	s__XYD1-FULL-39-28 sp903923535	s__XYD1-FULL-39-28 sp903928565	0.768765	0.000000	0.000000	0.000000	0.000000	0	0.005556	0.004425	0.372785
GCA_903835075.1	GCA_903845295.1	mid_high	d__Bacteria	d__Bacteria	p__Patescibacteria	p__Patescibacteria	g__XYD1-FULL-39-28	g__XYD1-FULL-39-28	s__XYD1-FULL-39-28 sp903835075	s__XYD1-FULL-39-28 sp903845295	0.773640	0.000000	0.000000	0.000000	0.000000	0	0.000000	0.000000	0.400313
GCF_000010985.1	GCF_008362905.1	mid_high	d__Bacteria	d__Bacteria	p__Deferribacterota	p__Deferribacterota	g__Deferribacter	g__Deferribacter	s__Deferribacter desulfuricans	s__Deferribacter autotrophicus	0.779191	0.000000	0.000000	0.000000	0.000000	0	0.027322	0.016949	0.326169
GCA_900539665.1	GCA_000222855.1	mid_high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__WG-1	g__WG-1	s__WG-1 sp900539665	s__WG-1 sp000222855	0.000000	0.000000	0.000000	0.000000	0.000000	0	0.002825	0.005479	0.271572
GCA_900540345.1	GCA_900539675.1	mid_high	d__Bacteria	d__Bacteria	p__Actinobacteriota	p__Actinobacteriota	g__CAG-1427	g__CAG-1427	s__CAG-1427 sp900540345	s__CAG-1427 sp900539675	0.000000	0.000000	0.000000	0.000000	0.000000	0	0.000465	0.000682	0.490754
GCA_000435675.1	GCA_900753095.1	mid_high	d__Bacteria	d__Bacteria	p__Actinobacteriota	p__Actinobacteriota	g__CAG-1427	g__CAG-1427	s__CAG-1427 sp000435675	s__CAG-1427 sp900753095	0.000000	0.000000	0.000000	0.000000	0.000000	0	0.001864	0.002168	0.576463
GCA_905214325.1	GCA_000435475.1	mid_high	d__Bacteria	d__Bacteria	p__Actinobacteriota	p__Actinobacteriota	g__CAG-1427	g__CAG-1427	s__CAG-1427 sp905214325	s__CAG-1427 sp000435475	0.000000	0.000000	0.000000	0.000000	0.000000	0	0.001660	0.002229	0.448350
GCA_900548955.1	GCA_900753095.1	mid_high	d__Bacteria	d__Bacteria	p__Actinobacteriota	p__Actinobacteriota	g__CAG-1427	g__CAG-1427	s__CAG-1427 sp900548955	s__CAG-1427 sp900753095	0.000000	0.000000	0.000000	0.965625	0.905332	10	0.009158	0.004337	0.576463
GCA_000435475.1	GCA_900542265.1	mid_high	d__Bacteria	d__Bacteria	p__Actinobacteriota	p__Actinobacteriota	g__CAG-1427	g__CAG-1427	s__CAG-1427 sp000435475	s__CAG-1427 sp900542265	0.000000	0.000000	0.000000	0.000000	0.000000	0	0.002229	0.002681	0.456535
GCA_018982925.1	GCF_007097155.1	mid_high	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Proteobacteria	g__Glacieibacterium	g__Glacieibacterium	s__Glacieibacterium sp018982925	s__Glacieibacterium frigidum	0.817766	0.000000	0.000000	0.961397	0.947697	238	0.029713	0.037339	0.688448
GCA_003154335.1	GCA_002839605.1	mid_high	d__Archaea	d__Archaea	p__Halobacteriota	p__Halobacteriota	g__Methanoregula	g__Methanoregula	s__Methanoregula sp003154335	s__Methanoregula sp002839605	0.000000	0.000000	0.000000	0.000000	0.000000	0	0.006239	0.003634	0.553118
GCA_003136075.1	GCF_000017625.1	mid_high	d__Archaea	d__Archaea	p__Halobacteriota	p__Halobacteriota	g__Methanoregula	g__Methanoregula	s__Methanoregula sp003136075	s__Methanoregula boonei	0.774038	0.000000	0.000000	0.000000	0.000000	0	0.004441	0.003382	0.545136
GCA_002839675.1	GCA_002067035.1	mid_high	d__Archaea	d__Archaea	p__Halobacteriota	p__Halobacteriota	g__Methanoregula	g__Methanoregula	s__Methanoregula sp002839675	s__Methanoregula sp002067035	0.777919	0.000000	0.000000	0.945833	0.894978	15	0.008436	0.006183	0.564734
GCF_000017625.1	GCA_003157895.1	mid_high	d__Archaea	d__Archaea	p__Halobacteriota	p__Halobacteriota	g__Methanoregula	g__Methanoregula	s__Methanoregula boonei	s__Methanoregula sp003157895	0.779442	0.000000	0.000000	0.000000	0.000000	0	0.001691	0.002076	0.536404
GCF_000017625.1	GCA_002495065.1	mid_high	d__Archaea	d__Archaea	p__Halobacteriota	p__Halobacteriota	g__Methanoregula	g__Methanoregula	s__Methanoregula boonei	s__Methanoregula sp002495065	0.000000	0.000000	0.000000	0.000000	0.000000	0	0.000564	0.000675	0.500938
GCA_016789305.1	GCA_016789345.1	mid_high	d__Bacteria	d__Bacteria	p__Chloroflexota	p__Chloroflexota	g__OLB14	g__OLB14	s__OLB14 sp016789305	s__OLB14 sp016789345	0.000000	0.000000	0.000000	0.000000	0.000000	0	0.001690	0.004084	0.408150
GCA_016715195.1	GCA_002343775.1	mid_high	d__Bacteria	d__Bacteria	p__Chloroflexota	p__Chloroflexota	g__OLB14	g__OLB14	s__OLB14 sp016715195	s__OLB14 sp002343775	0.772584	0.000000	0.000000	0.952381	0.908679	21	0.007508	0.004904	0.529133
