assembly_acc	strain	biosample	organism	assembly_level	genome_file	epi_type	serovar_pd	serotype_biosample	geo	host	isolation_source	collection_date	host_disease	amrfinderplus_applied	n_amr_genes	AMR_genotypes	AMR_genotypes_core	AST_phenotypes	n_virulence_genes	virulence_genotypes	stress_genotypes
GCF_002393365.1	FDAARGOS_403	SAMN07312447	Escherichia coli	Complete Genome	genomes/ecoli/GCF_002393365.1.fna	clinical		O104:H4	missing	Homo sapiens	human	missing	missing	1	12	acrF=COMPLETE,aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaCTX-M-15=COMPLETE,blaEC=COMPLETE,blaTEM-1=COMPLETE,dfrA7=COMPLETE,gyrA_S83A=POINT,mdtM=COMPLETE,sul1=COMPLETE,sul2=COMPLETE,tet(A)=COMPLETE	aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaCTX-M-15=COMPLETE,blaTEM-1=COMPLETE,dfrA7=COMPLETE,gyrA_S83A=POINT,sul1=COMPLETE,sul2=COMPLETE,tet(A)=COMPLETE		30	aaiC=COMPLETE,aap=COMPLETE,aar=COMPLETE,aatA=COMPLETE,aggA=COMPLETE,aggC=COMPLETE,aggD=COMPLETE,aggR=COMPLETE,capU=COMPLETE,espX1=PARTIAL,fdeC=COMPLETE,iha=COMPLETE,iucA=COMPLETE,iucB=COMPLETE,iucC=COMPLETE,iucD=COMPLETE,iutA=COMPLETE,lpfA-O113=COMPLETE,lpfA=COMPLETE,mchB=COMPLETE,mchF=COMPLETE,pic=COMPLETE,sepA=COMPLETE,sigA=COMPLETE,sslE=HMM,stx2a_operon=COMPLETE,stxA2=COMPLETE,stxB2=COMPLETE,ybtP=COMPLETE,ybtQ=COMPLETE	ariR=COMPLETE,emrE=COMPLETE,emrE=PARTIAL,merA=HMM,merC=COMPLETE,merD=HMM,merE=HMM,merP=COMPLETE,merR=COMPLETE,merT=COMPLETE,pcoA=COMPLETE,pcoB=COMPLETE,pcoC=COMPLETE,pcoD=COMPLETE,pcoE=COMPLETE,pcoR=COMPLETE,pcoS=COMPLETE,qacEdelta1=COMPLETE,silA=COMPLETE,silB=COMPLETE,silC=COMPLETE,silE=COMPLETE,silF=COMPLETE,silP=COMPLETE,silR=COMPLETE,silS=COMPLETE,terD=COMPLETE,terW=COMPLETE,terZ=COMPLETE
GCF_002393465.1	FDAARGOS_401	SAMN07312445	Escherichia coli	Complete Genome	genomes/ecoli/GCF_002393465.1.fna	clinical		O104:H4	Georgia	Homo sapiens	stool	2009	Bloody diarrhea	1	10	acrF=COMPLETE,aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaEC=COMPLETE,blaTEM-1=COMPLETE,dfrA7=COMPLETE,gyrA_S83A=POINT,mdtM=COMPLETE,sul1=COMPLETE,sul2=COMPLETE	aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaTEM-1=COMPLETE,dfrA7=COMPLETE,gyrA_S83A=POINT,sul1=COMPLETE,sul2=COMPLETE		30	aaiC=COMPLETE,aap=COMPLETE,aar=COMPLETE,aatA=COMPLETE,aggA=COMPLETE,aggC=COMPLETE,aggD=COMPLETE,aggR=COMPLETE,capU=COMPLETE,espX1=PARTIAL,fdeC=COMPLETE,iha=COMPLETE,iucA=COMPLETE,iucB=COMPLETE,iucC=COMPLETE,iucD=COMPLETE,iutA=COMPLETE,lpfA-O113=COMPLETE,lpfA=COMPLETE,mchB=COMPLETE,mchF=COMPLETE,pic=PARTIAL,sepA=COMPLETE,sigA=COMPLETE,sslE=HMM,stx2a_operon=COMPLETE,stxA2=COMPLETE,stxB2=COMPLETE,ybtP=COMPLETE,ybtQ=COMPLETE	ariR=COMPLETE,emrE=COMPLETE,emrE=PARTIAL,pcoA=COMPLETE,pcoB=COMPLETE,pcoC=COMPLETE,pcoD=COMPLETE,pcoE=COMPLETE,pcoR=COMPLETE,pcoS=COMPLETE,qacEdelta1=COMPLETE,silA=COMPLETE,silB=COMPLETE,silC=COMPLETE,silE=COMPLETE,silF=COMPLETE,silP=COMPLETE,silR=COMPLETE,silS=COMPLETE,terD=COMPLETE,terW=COMPLETE,terZ=COMPLETE
GCF_002554325.1	FDAARGOS_400	SAMN07312444	Escherichia coli	Contig	genomes/ecoli/GCF_002554325.1.fna	clinical		O157:H7	missing	Homo sapiens	human	missing	missing	1	3	acrF=MISTRANSLATION,blaEC=COMPLETE,mdtM=COMPLETE			28	eae=COMPLETE,ehxA=COMPLETE,espA=COMPLETE,espB=COMPLETE,espF=COMPLETE,espJ=COMPLETE,espK=COMPLETE,espP=COMPLETE,espX1=COMPLETE,etpD=COMPLETE,fdeC=COMPLETE,iha=COMPLETE,katP=PARTIAL,lpfA1=COMPLETE,lpfA2=COMPLETE,nleA=COMPLETE,nleB2=COMPLETE,nleB=COMPLETE,nleC=COMPLETE,stx1a_operon=COMPLETE,stx2a_operon=COMPLETE,stxA1=COMPLETE,stxA2=COMPLETE,stxB1=COMPLETE,stxB2=COMPLETE,tccP=COMPLETE,tir=COMPLETE,toxB=COMPLETE	emrE=COMPLETE,terD=COMPLETE,terW=COMPLETE,terZ=COMPLETE
GCF_002554475.1	FDAARGOS_398	SAMN07312442	Escherichia coli	Contig	genomes/ecoli/GCF_002554475.1.fna	clinical		O157:H7	missing	Homo sapiens	human	missing	missing	1	3	acrF=MISTRANSLATION,blaEC=COMPLETE,mdtM=COMPLETE			28	eae=COMPLETE,ehxA=COMPLETE,espA=COMPLETE,espB=COMPLETE,espF=COMPLETE,espJ=COMPLETE,espK=COMPLETE,espP=COMPLETE,espX1=COMPLETE,etpD=COMPLETE,fdeC=COMPLETE,iha=COMPLETE,katP=COMPLETE,lpfA1=COMPLETE,lpfA2=COMPLETE,nleA=COMPLETE,nleB2=COMPLETE,nleB=COMPLETE,nleC=COMPLETE,stx1a_operon=COMPLETE,stx2a_operon=COMPLETE,stxA1=COMPLETE,stxA2=COMPLETE,stxB1=COMPLETE,stxB2=COMPLETE,tccP=COMPLETE,tir=COMPLETE,toxB=COMPLETE	emrE=COMPLETE,terD=COMPLETE,terW=COMPLETE,terZ=COMPLETE
GCF_002554485.1	FDAARGOS_402	SAMN07312446	Escherichia coli	Contig	genomes/ecoli/GCF_002554485.1.fna	clinical		O104:H4	missing	Homo sapiens	human	missing	missing	1	13	acrF=COMPLETE,aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaCTX-M-15=COMPLETE,blaEC=COMPLETE,blaTEM-1=COMPLETE,blaTEM=COMPLETE,dfrA7=COMPLETE,gyrA_S83A=POINT,mdtM=COMPLETE,sul1=COMPLETE,sul2=COMPLETE,tet(A)=COMPLETE	aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaCTX-M-15=COMPLETE,blaTEM-1=COMPLETE,blaTEM=COMPLETE,dfrA7=COMPLETE,gyrA_S83A=POINT,sul1=COMPLETE,sul2=COMPLETE,tet(A)=COMPLETE		30	aaiC=COMPLETE,aap=COMPLETE,aar=COMPLETE,aatA=COMPLETE,aggA=COMPLETE,aggC=COMPLETE,aggD=COMPLETE,aggR=COMPLETE,capU=COMPLETE,espX1=PARTIAL,fdeC=COMPLETE,iha=COMPLETE,iucA=COMPLETE,iucB=COMPLETE,iucC=COMPLETE,iucD=COMPLETE,iutA=COMPLETE,lpfA-O113=COMPLETE,lpfA=COMPLETE,mchB=COMPLETE,mchF=COMPLETE,pic=PARTIAL,sepA=PARTIAL,sigA=COMPLETE,sslE=HMM,stx2a_operon=COMPLETE,stxA2=COMPLETE,stxB2=COMPLETE,ybtP=COMPLETE,ybtQ=COMPLETE	ariR=COMPLETE,emrE=COMPLETE,emrE=PARTIAL,merA=HMM,merC=COMPLETE,merD=HMM,merE=HMM,merP=COMPLETE,merR=COMPLETE,merT=COMPLETE,pcoA=COMPLETE,pcoB=COMPLETE,pcoC=COMPLETE,pcoD=COMPLETE,pcoE=COMPLETE,pcoR=COMPLETE,pcoS=COMPLETE,qacEdelta1=COMPLETE,silA=COMPLETE,silB=COMPLETE,silC=COMPLETE,silE=COMPLETE,silF=COMPLETE,silP=COMPLETE,silR=COMPLETE,silS=COMPLETE,terD=COMPLETE,terW=COMPLETE,terZ=COMPLETE
GCF_002554675.1	FDAARGOS_399	SAMN07312443	Escherichia coli	Contig	genomes/ecoli/GCF_002554675.1.fna	clinical		O157:H7	missing	Homo sapiens	human	missing	missing	1	3	acrF=MISTRANSLATION,blaEC=COMPLETE,mdtM=COMPLETE			28	eae=COMPLETE,ehxA=COMPLETE,espA=COMPLETE,espB=COMPLETE,espF=PARTIAL,espJ=COMPLETE,espK=COMPLETE,espP=COMPLETE,espX1=COMPLETE,etpD=COMPLETE,fdeC=COMPLETE,iha=COMPLETE,katP=COMPLETE,lpfA1=COMPLETE,lpfA2=COMPLETE,nleA=COMPLETE,nleB2=COMPLETE,nleB=COMPLETE,nleC=COMPLETE,stx1a_operon=COMPLETE,stx2a_operon=COMPLETE,stxA1=COMPLETE,stxA2=COMPLETE,stxB1=COMPLETE,stxB2=COMPLETE,tccP=COMPLETE,tir=COMPLETE,toxB=COMPLETE	emrE=COMPLETE,terD=COMPLETE,terW=COMPLETE,terZ=COMPLETE
GCF_002588125.1	FDAARGOS_441	SAMN07312485	Escherichia coli	Contig	genomes/ecoli/GCF_002588125.1.fna	clinical			Canada:BC	Homo sapiens	urine	2015-01	missing	1	24	aac(6')-Ib-cr5=COMPLETE,aadA5=COMPLETE,acrF=COMPLETE,blaDHA=PARTIAL,blaEC=COMPLETE,blaNDM-1=COMPLETE,blaOXA-1=COMPLETE,ble=COMPLETE,catB3=PARTIAL,dfrA17=COMPLETE,gyrA_D87N=POINT,gyrA_S83L=POINT,mdtM=COMPLETE,mph(A)=COMPLETE,mph(E)=COMPLETE,mrx(A)=COMPLETE,msr(E)=COMPLETE,ompF_D135EfsTer10=POINT,parC_E84V=POINT,parC_S80I=POINT,parE_I529L=POINT,ptsI_V25I=POINT,sul1=COMPLETE,uhpT_E350Q=POINT	aac(6')-Ib-cr5=COMPLETE,aadA5=COMPLETE,blaDHA=PARTIAL,blaNDM-1=COMPLETE,blaOXA-1=COMPLETE,ble=COMPLETE,catB3=PARTIAL,dfrA17=COMPLETE,gyrA_D87N=POINT,gyrA_S83L=POINT,mph(A)=COMPLETE,mph(E)=COMPLETE,mrx(A)=COMPLETE,msr(E)=COMPLETE,ompF_D135EfsTer10=POINT,parC_E84V=POINT,parC_S80I=POINT,parE_I529L=POINT,ptsI_V25I=POINT,sul1=COMPLETE,uhpT_E350Q=POINT		14	fdeC=COMPLETE,iha=COMPLETE,iss=COMPLETE,iucA=COMPLETE,iucB=COMPLETE,iucC=COMPLETE,iucD=COMPLETE,iutA=COMPLETE,papA=PARTIAL,sat=COMPLETE,sinH=HMM,sslE=HMM,ybtP=COMPLETE,ybtQ=COMPLETE	ariR=COMPLETE,emrE=COMPLETE,ncrA=COMPLETE,ncrB=COMPLETE,ncrC=COMPLETE,ncrY=COMPLETE,qacE=PARTIAL,qacEdelta1=COMPLETE
GCF_002588135.1	FDAARGOS_437	SAMN07312481	Escherichia coli	Contig	genomes/ecoli/GCF_002588135.1.fna	clinical			Canada:BC	Homo sapiens	urine	2014-09	missing	1	31	aac(3)-IIe=COMPLETE,aac(6')-Ib-cr5=COMPLETE,acrF=COMPLETE,acrR_T5N=POINT,aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaCTX-M-15=COMPLETE,blaEC=COMPLETE,blaNDM-1=COMPLETE,blaOXA-1=COMPLETE,blaOXA-2=COMPLETE,blaTEM-1=COMPLETE,blaTEMp_C32T=POINT,ble=COMPLETE,catA1=COMPLETE,catB3=PARTIAL,dfrA29=COMPLETE,ftsI_N337NYRIN=POINT,gyrA_D87N=POINT,gyrA_S83L=POINT,mdtM=COMPLETE,mph(A)=COMPLETE,mrx(A)=COMPLETE,nfsA_Q195Ter=POINT,nfsB_F167LfsTer11=POINT,ompF_D34RfsTer1=POINT,parC_S80I=POINT,parE_E460D=POINT,rmtB1=COMPLETE,sul1=COMPLETE,tet(A)=COMPLETE	aac(3)-IIe=COMPLETE,aac(6')-Ib-cr5=COMPLETE,acrR_T5N=POINT,aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaCTX-M-15=COMPLETE,blaNDM-1=COMPLETE,blaOXA-1=COMPLETE,blaOXA-2=COMPLETE,blaTEM-1=COMPLETE,blaTEMp_C32T=POINT,ble=COMPLETE,catA1=COMPLETE,catB3=PARTIAL,dfrA29=COMPLETE,ftsI_N337NYRIN=POINT,gyrA_D87N=POINT,gyrA_S83L=POINT,mph(A)=COMPLETE,mrx(A)=COMPLETE,nfsA_Q195Ter=POINT,nfsB_F167LfsTer11=POINT,ompF_D34RfsTer1=POINT,parC_S80I=POINT,parE_E460D=POINT,rmtB1=COMPLETE,sul1=COMPLETE,tet(A)=COMPLETE		7	espX1=COMPLETE,fdeC=COMPLETE,iss=COMPLETE,lpfA-O113=COMPLETE,lpfA=COMPLETE,ybtP=COMPLETE,ybtQ=COMPLETE	ariR=COMPLETE,merR=COMPLETE,qacEdelta1=COMPLETE
GCF_002588385.1	FDAARGOS_427	SAMN07312471	Escherichia coli	Contig	genomes/ecoli/GCF_002588385.1.fna	clinical			Canada:BC	Homo sapiens	urine	2015-03	missing	1	22	aadA2=COMPLETE,acrF=COMPLETE,blaCMY-42=COMPLETE,blaEC=COMPLETE,blaNDM-5=COMPLETE,blaTEM-1=COMPLETE,ble=COMPLETE,dfrA12=COMPLETE,erm(B)=COMPLETE,ftsI_N337NYRIN=POINT,gyrA_D87N=POINT,gyrA_S83L=POINT,mdtM=COMPLETE,mph(A)=COMPLETE,mrx(A)=COMPLETE,nfsA_G126R=POINT,ompF_F166insTer8=POINT,parC_S80I=POINT,parE_S458A=POINT,rmtB1=COMPLETE,sul1=COMPLETE,tet(B)=COMPLETE	aadA2=COMPLETE,blaCMY-42=COMPLETE,blaNDM-5=COMPLETE,blaTEM-1=COMPLETE,ble=COMPLETE,dfrA12=COMPLETE,erm(B)=COMPLETE,ftsI_N337NYRIN=POINT,gyrA_D87N=POINT,gyrA_S83L=POINT,mph(A)=COMPLETE,mrx(A)=COMPLETE,nfsA_G126R=POINT,ompF_F166insTer8=POINT,parC_S80I=POINT,parE_S458A=POINT,rmtB1=COMPLETE,sul1=COMPLETE,tet(B)=COMPLETE		7	capU=COMPLETE,espX1=COMPLETE,fdeC=COMPLETE,iss=COMPLETE,sinH=HMM,ybtP=COMPLETE,ybtQ=COMPLETE	ariR=COMPLETE,emrE=COMPLETE,qacEdelta1=COMPLETE
GCF_002589795.1	FDAARGOS_433	SAMN07312477	Escherichia coli	Complete Genome	genomes/ecoli/GCF_002589795.1.fna	clinical			Canada:BC	Homo sapiens	rectal	2015-12	Screening	1	26	aac(6')-Ib-cr5=COMPLETE,aadA2=COMPLETE,acrF=COMPLETE,blaCMY-42=COMPLETE,blaCTX-M-15=COMPLETE,blaEC=COMPLETE,blaNDM-5=COMPLETE,blaOXA-181=COMPLETE,blaOXA-1=COMPLETE,blaTEM-1=COMPLETE,ble=COMPLETE,catB3=PARTIAL,dfrA12=COMPLETE,ftsI_I336IKYRI=POINT,gyrA_D87N=POINT,gyrA_S83L=POINT,mdtM=COMPLETE,mph(A)=COMPLETE,mrx(A)=COMPLETE,mrx(A)=PARTIAL,parC_S80I=POINT,parE_S458A=POINT,qnrS1=COMPLETE,rmtB1=COMPLETE,sul1=COMPLETE,tet(A)=COMPLETE	aac(6')-Ib-cr5=COMPLETE,aadA2=COMPLETE,blaCMY-42=COMPLETE,blaCTX-M-15=COMPLETE,blaNDM-5=COMPLETE,blaOXA-181=COMPLETE,blaOXA-1=COMPLETE,blaTEM-1=COMPLETE,ble=COMPLETE,catB3=PARTIAL,dfrA12=COMPLETE,ftsI_I336IKYRI=POINT,gyrA_D87N=POINT,gyrA_S83L=POINT,mph(A)=COMPLETE,mrx(A)=COMPLETE,mrx(A)=PARTIAL,parC_S80I=POINT,parE_S458A=POINT,qnrS1=COMPLETE,rmtB1=COMPLETE,sul1=COMPLETE,tet(A)=COMPLETE		9	espX1=PARTIAL,fdeC=COMPLETE,iucA=COMPLETE,iucB=COMPLETE,iucC=COMPLETE,iucD=COMPLETE,iutA=COMPLETE,lpfA-O113=COMPLETE,traT=COMPLETE	ariR=COMPLETE,emrE=COMPLETE,pcoA=COMPLETE,pcoB=COMPLETE,pcoC=COMPLETE,pcoD=COMPLETE,pcoE=COMPLETE,pcoR=COMPLETE,pcoS=COMPLETE,qacEdelta1=COMPLETE,silA=COMPLETE,silB=COMPLETE,silC=COMPLETE,silE=COMPLETE,silF=COMPLETE,silP=COMPLETE,silR=COMPLETE,silS=COMPLETE
GCF_002591135.1	FDAARGOS_448	SAMN07312492	Escherichia coli	Complete Genome	genomes/ecoli/GCF_002591135.1.fna	clinical			Canada:BC	Homo sapiens	urine	2014-08	missing	1	21	aadA2=COMPLETE,acrF=COMPLETE,blaCMY=COMPLETE,blaEC=COMPLETE,blaNDM-5=COMPLETE,blaTEM-1=COMPLETE,ble=COMPLETE,cyaA_S352T=POINT,dfrA12=COMPLETE,ftsI_I336IKYRI=POINT,gyrA_D87N=POINT,gyrA_S83L=POINT,mph(A)=COMPLETE,mph(A)=PARTIAL_END_OF_CONTIG,mrx(A)=COMPLETE,ompF_Y253EfsTer3=POINT,parC_S80I=POINT,parE_S458A=POINT,qepA4=COMPLETE,sul1=COMPLETE,tet(B)=COMPLETE	aadA2=COMPLETE,blaCMY=COMPLETE,blaNDM-5=COMPLETE,blaTEM-1=COMPLETE,ble=COMPLETE,cyaA_S352T=POINT,dfrA12=COMPLETE,ftsI_I336IKYRI=POINT,gyrA_D87N=POINT,gyrA_S83L=POINT,mph(A)=COMPLETE,mph(A)=PARTIAL_END_OF_CONTIG,mrx(A)=COMPLETE,ompF_Y253EfsTer3=POINT,parC_S80I=POINT,parE_S458A=POINT,qepA4=COMPLETE,sul1=COMPLETE,tet(B)=COMPLETE		16	air=COMPLETE,eilA=COMPLETE,espX1=COMPLETE,fdeC=COMPLETE,iha=COMPLETE,iucA=COMPLETE,iucB=COMPLETE,iucC=COMPLETE,iucD=COMPLETE,iutA=COMPLETE,papA=PARTIAL,sat=COMPLETE,sinH=HMM,sslE=HMM,ybtP=COMPLETE,ybtQ=COMPLETE	ariR=COMPLETE,emrE=COMPLETE,qacEdelta1=COMPLETE
GCF_002634895.1	FDAARGOS_434	SAMN07312478	Escherichia coli	Chromosome	genomes/ecoli/GCF_002634895.1.fna	clinical			Canada:BC	Homo sapiens	rectal	2014-08	Screening	1	25	aadA2=COMPLETE,aadA5=COMPLETE,acrF=COMPLETE,acrR_V29YfsTer44=POINT,aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaCTX-M-15=COMPLETE,blaEC=COMPLETE,blaNDM-5=COMPLETE,ble=COMPLETE,cirA_S90YfsTer15=POINT,dfrA12=COMPLETE,dfrA17=COMPLETE,dfrA17=PARTIAL,ftsI_N337NYRIN=POINT,gyrA_D87N=POINT,gyrA_S83L=POINT,mdtM=COMPLETE,mph(A)=COMPLETE,mrx(A)=PARTIAL,parC_S80I=POINT,parE_S458A=POINT,sul1=COMPLETE,sul2=COMPLETE,tet(A)=COMPLETE	aadA2=COMPLETE,aadA5=COMPLETE,acrR_V29YfsTer44=POINT,aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaCTX-M-15=COMPLETE,blaNDM-5=COMPLETE,ble=COMPLETE,cirA_S90YfsTer15=POINT,dfrA12=COMPLETE,dfrA17=COMPLETE,dfrA17=PARTIAL,ftsI_N337NYRIN=POINT,gyrA_D87N=POINT,gyrA_S83L=POINT,mph(A)=COMPLETE,mrx(A)=PARTIAL,parC_S80I=POINT,parE_S458A=POINT,sul1=COMPLETE,sul2=COMPLETE,tet(A)=COMPLETE		7	capU=COMPLETE,espX1=COMPLETE,fdeC=COMPLETE,iss=COMPLETE,sslE=HMM,ybtP=COMPLETE,ybtQ=COMPLETE	ariR=COMPLETE,qacEdelta1=COMPLETE
GCF_002944935.1	FDAARGOS_144	SAMN03996288	Escherichia coli	Complete Genome	genomes/ecoli/GCF_002944935.1.fna	clinical			USA:DC	Homo sapiens	urine	2014-03-21	Urinary tract infection	1	5	acrF=COMPLETE,blaEC=COMPLETE,blaTEM=PARTIAL_END_OF_CONTIG,parE_D475E=POINT,uhpT_E350Q=POINT	blaTEM=PARTIAL_END_OF_CONTIG,parE_D475E=POINT,uhpT_E350Q=POINT		9	fdeC=COMPLETE,ibeA=COMPLETE,senB=COMPLETE,sinH=HMM,sslE=COMPLETE,traT=COMPLETE,vactox=PARTIAL,ybtP=COMPLETE,ybtQ=COMPLETE	ariR=COMPLETE,emrE=COMPLETE
GCF_002983645.1	FDAARGOS_349	SAMN06173362	Escherichia coli O104:H4	Complete Genome	genomes/ecoli/GCF_002983645.1.fna	clinical		O104:H4	Germany	Homo sapiens	stool	2001	Hemolytic uremic syndrome	1	12	acrF=COMPLETE,aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaCTX-M-15=COMPLETE,blaEC=COMPLETE,blaTEM-1=COMPLETE,dfrA7=COMPLETE,gyrA_S83A=POINT,mdtM=COMPLETE,sul1=COMPLETE,sul2=COMPLETE,tet(A)=COMPLETE	aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaCTX-M-15=COMPLETE,blaTEM-1=COMPLETE,dfrA7=COMPLETE,gyrA_S83A=POINT,sul1=COMPLETE,sul2=COMPLETE,tet(A)=COMPLETE		30	aaiC=COMPLETE,aap=COMPLETE,aar=COMPLETE,aatA=COMPLETE,aggA=COMPLETE,aggC=COMPLETE,aggD=COMPLETE,aggR=COMPLETE,capU=COMPLETE,espX1=PARTIAL,fdeC=COMPLETE,iha=COMPLETE,iucA=COMPLETE,iucB=COMPLETE,iucC=COMPLETE,iucD=COMPLETE,iutA=COMPLETE,lpfA-O113=COMPLETE,lpfA=COMPLETE,mchB=COMPLETE,mchF=COMPLETE,pic=PARTIAL,sepA=MISTRANSLATION,sigA=COMPLETE,sslE=HMM,stx2a_operon=COMPLETE,stxA2=COMPLETE,stxB2=COMPLETE,ybtP=COMPLETE,ybtQ=COMPLETE	ariR=COMPLETE,emrE=COMPLETE,emrE=PARTIAL,merA=HMM,merC=COMPLETE,merD=HMM,merE=HMM,merP=COMPLETE,merR=COMPLETE,merT=COMPLETE,pcoA=COMPLETE,pcoB=COMPLETE,pcoC=COMPLETE,pcoD=COMPLETE,pcoE=COMPLETE,pcoR=COMPLETE,pcoS=COMPLETE,qacEdelta1=COMPLETE,silA=COMPLETE,silB=COMPLETE,silC=COMPLETE,silE=COMPLETE,silF=COMPLETE,silP=COMPLETE,silR=COMPLETE,silS=COMPLETE,terD=COMPLETE,terW=COMPLETE,terZ=COMPLETE
GCF_003812625.1	FDAARGOS_536	SAMN10163231	Escherichia coli	Complete Genome	genomes/ecoli/GCF_003812625.1.fna	clinical			not applicable	Homo sapiens	Peripheral blood	2016-04-02	missing	1	16	aadA1=COMPLETE,acrF=COMPLETE,aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaCTX-M-15=COMPLETE,blaEC=COMPLETE,blaTEM-1=COMPLETE,dfrA1=COMPLETE,erm(B)=COMPLETE,gyrA_S83L=POINT,mdtM=COMPLETE,mph(A)=COMPLETE,mrx(A)=COMPLETE,sat2=COMPLETE,sul2=COMPLETE,tet(B)=COMPLETE	aadA1=COMPLETE,aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaCTX-M-15=COMPLETE,blaTEM-1=COMPLETE,dfrA1=COMPLETE,erm(B)=COMPLETE,gyrA_S83L=POINT,mph(A)=COMPLETE,mrx(A)=COMPLETE,sat2=COMPLETE,sul2=COMPLETE,tet(B)=COMPLETE		14	afaC=COMPLETE,fdeC=COMPLETE,iucA=COMPLETE,iucB=COMPLETE,iucC=COMPLETE,iucD=COMPLETE,iutA=COMPLETE,lpfA=COMPLETE,nfaE=COMPLETE,sinH=HMM,sslE=COMPLETE,vactox=COMPLETE,ybtP=COMPLETE,ybtQ=COMPLETE	ariR=COMPLETE,emrE=COMPLETE
GCF_003812945.1	FDAARGOS_497	SAMN10163173	Escherichia coli	Complete Genome	genomes/ecoli/GCF_003812945.1.fna	clinical			missing	Homo sapiens	UCC isolate	missing	missing	1	16	aac(3)-IIe=COMPLETE,aac(6')-Ib-cr5=COMPLETE,acrF=COMPLETE,blaCTX-M-15=COMPLETE,blaEC=COMPLETE,blaOXA-1=COMPLETE,catB3=PARTIAL,cyaA_S352T=POINT,erm(B)=COMPLETE,gyrA_D87N=POINT,gyrA_S83L=POINT,mdtM=COMPLETE,nfsA_L43FfsTer3=POINT,parC_S80I=POINT,parE_S458A=POINT,tet(A)=COMPLETE	aac(3)-IIe=COMPLETE,aac(6')-Ib-cr5=COMPLETE,blaCTX-M-15=COMPLETE,blaOXA-1=COMPLETE,catB3=PARTIAL,cyaA_S352T=POINT,erm(B)=COMPLETE,gyrA_D87N=POINT,gyrA_S83L=POINT,nfsA_L43FfsTer3=POINT,parC_S80I=POINT,parE_S458A=POINT,tet(A)=COMPLETE		8	eilA=COMPLETE,espX1=COMPLETE,fdeC=COMPLETE,lpfA-O113=COMPLETE,sinH=HMM,sslE=HMM,ybtP=COMPLETE,ybtQ=COMPLETE	ariR=COMPLETE,emrE=COMPLETE
GCF_003937705.1	FDAARGOS_499	SAMN10163175	Escherichia coli	Contig	genomes/ecoli/GCF_003937705.1.fna	clinical			missing	Homo sapiens	UCC isolate	missing	missing	1	24	aac(3)-IId=COMPLETE,aadA2=COMPLETE,acrF=COMPLETE,aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaCTX-M-15=COMPLETE,blaEC=COMPLETE,blaTEM-190=COMPLETE,blaTEM-1=COMPLETE,blaTEMp_C32T=POINT,dfrA12=COMPLETE,erm(B)=COMPLETE,gyrA_D87N=POINT,gyrA_S83L=POINT,mdtM=COMPLETE,mph(A)=COMPLETE,mrx(A)=PARTIAL,nfsA_G126R=POINT,parC_S80I=POINT,parE_S458A=POINT,qepA4=COMPLETE,sul1=COMPLETE,sul2=COMPLETE,tet(B)=COMPLETE	aac(3)-IId=COMPLETE,aadA2=COMPLETE,aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaCTX-M-15=COMPLETE,blaTEM-190=COMPLETE,blaTEM-1=COMPLETE,blaTEMp_C32T=POINT,dfrA12=COMPLETE,erm(B)=COMPLETE,gyrA_D87N=POINT,gyrA_S83L=POINT,mph(A)=COMPLETE,mrx(A)=PARTIAL,nfsA_G126R=POINT,parC_S80I=POINT,parE_S458A=POINT,qepA4=COMPLETE,sul1=COMPLETE,sul2=COMPLETE,tet(B)=COMPLETE		11	espX1=COMPLETE,fdeC=COMPLETE,iss=COMPLETE,iucA=COMPLETE,iucB=COMPLETE,iucC=COMPLETE,iucD=COMPLETE,iutA=COMPLETE,sinH=HMM,ybtP=COMPLETE,ybtQ=COMPLETE	ariR=COMPLETE,qacEdelta1=COMPLETE
