assembly_acc	assembly_name	organism	strain	biosample	seq_rel_date	submission	assembly_level
GCF_016890005.1	ASM1689000v1	Escherichia coli (E. coli)	FDAARGOS_1250	SAMN16357392	2021/02/15 00:00	2021/02/15 00:00	Complete Genome
GCF_016889985.1	ASM1688998v1	Corynebacterium sp. FDAARGOS 1242 (high G+C Gram-positive bacteria)	FDAARGOS_1242	SAMN16357384	2021/02/15 00:00	2021/02/15 00:00	Complete Genome
GCF_016889965.1	ASM1688996v1	Staphylococcus condimenti (firmicutes)	FDAARGOS_1205	SAMN16357347	2021/02/15 00:00	2021/02/15 00:00	Complete Genome
GCF_016889945.1	ASM1688994v1	Staphylococcus aureus (firmicutes)	FDAARGOS_1245	SAMN16357387	2021/02/15 00:00	2021/02/15 00:00	Complete Genome
GCF_016889925.1	ASM1688992v1	Bacteroides fragilis (CFB group bacteria)	FDAARGOS_1225	SAMN16357367	2021/02/15 00:00	2021/02/15 00:00	Complete Genome
GCF_016889905.1	ASM1688990v1	Escherichia coli (E. coli)	FDAARGOS_1259	SAMN16357401	2021/02/15 00:00	2021/02/15 00:00	Complete Genome
GCF_016889885.1	ASM1688988v1	Streptococcus constellatus (firmicutes)	FDAARGOS_1208	SAMN16357350	2021/02/15 00:00	2021/02/15 00:00	Complete Genome
GCF_016889865.1	ASM1688986v1	Escherichia coli (E. coli)	FDAARGOS_1253	SAMN16357395	2021/02/15 00:00	2021/02/15 00:00	Complete Genome
GCF_016889845.1	ASM1688984v1	Escherichia coli (E. coli)	FDAARGOS_1248	SAMN16357390	2021/02/15 00:00	2021/02/15 00:00	Complete Genome
GCF_016889825.1	ASM1688982v1	Acinetobacter pittii (g-proteobacteria)	FDAARGOS_1214	SAMN16357356	2021/02/15 00:00	2021/02/15 00:00	Complete Genome
GCF_016889805.1	ASM1688980v1	Rhodanobacter sp. FDAARGOS 1247 (g-proteobacteria)	FDAARGOS_1247	SAMN16357389	2021/02/15 00:00	2021/02/15 00:00	Complete Genome
GCF_016889785.1	ASM1688978v1	Corynebacterium glucuronolyticum (high G+C Gram-positive bacteria)	FDAARGOS_1191	SAMN16357333	2021/02/15 00:00	2021/02/15 00:00	Complete Genome
GCF_016889765.1	ASM1688976v1	Corynebacterium minutissimum (high G+C Gram-positive bacteria)	FDAARGOS_1196	SAMN16357338	2021/02/15 00:00	2021/02/15 00:00	Complete Genome
GCF_016889745.1	ASM1688974v1	Bacteroides caccae (CFB group bacteria)	FDAARGOS_1219	SAMN16357361	2021/02/15 00:00	2021/02/15 00:00	Complete Genome
GCF_016889725.1	ASM1688972v1	Escherichia coli (E. coli)	FDAARGOS_1252	SAMN16357394	2021/02/15 00:00	2021/02/15 00:00	Complete Genome
GCF_016889705.1	ASM1688970v1	Amycolatopsis sp. FDAARGOS 1241 (high G+C Gram-positive bacteria)	FDAARGOS_1241	SAMN16357383	2021/02/15 00:00	2021/02/15 00:00	Complete Genome
GCF_016889685.1	ASM1688968v1	Escherichia coli (E. coli)	FDAARGOS_1267	SAMN16357409	2021/02/15 00:00	2021/02/15 00:00	Complete Genome
GCF_016889665.1	ASM1688966v1	Enterocloster bolteae (firmicutes)	FDAARGOS_1231	SAMN16357373	2021/02/15 00:00	2021/02/15 00:00	Complete Genome
GCF_016889645.1	ASM1688964v1	Salmonella enterica (enterobacteria)	FDAARGOS_1271	SAMN16357413	2021/02/15 00:00	2021/02/15 00:00	Complete Genome
GCF_016889625.1	ASM1688962v1	Escherichia coli (E. coli)	FDAARGOS_1262	SAMN16357404	2021/02/15 00:00	2021/02/15 00:00	Complete Genome
GCF_016889605.1	ASM1688960v1	Escherichia coli (E. coli)	FDAARGOS_1268	SAMN16357410	2021/02/15 00:00	2021/02/15 00:00	Complete Genome
GCF_016889465.1	ASM1688946v1	Corynebacterium macginleyi (high G+C Gram-positive bacteria)	FDAARGOS_1195	SAMN16357337	2021/02/15 00:00	2021/02/15 00:00	Complete Genome
GCF_016889445.1	ASM1688944v1	Corynebacterium striatum (high G+C Gram-positive bacteria)	FDAARGOS_1197	SAMN16357339	2021/02/15 00:00	2021/02/15 00:00	Complete Genome
GCF_016889425.1	ASM1688942v1	Corynebacterium amycolatum (high G+C Gram-positive bacteria)	FDAARGOS_1189	SAMN16357331	2021/02/15 00:00	2021/02/15 00:00	Complete Genome
GCF_016889405.1	ASM1688940v1	Corynebacterium kroppenstedtii (high G+C Gram-positive bacteria)	FDAARGOS_1194	SAMN16357336	2021/02/15 00:00	2021/02/15 00:00	Complete Genome
GCF_016889385.1	ASM1688938v1	Haemophilus parahaemolyticus (g-proteobacteria)	FDAARGOS_1199	SAMN16357341	2021/02/15 00:00	2021/02/15 00:00	Complete Genome
GCF_016889365.1	ASM1688936v1	Corynebacterium kroppenstedtii (high G+C Gram-positive bacteria)	FDAARGOS_1192	SAMN16357334	2021/02/15 00:00	2021/02/15 00:00	Complete Genome
GCF_016889345.1	ASM1688934v1	Acinetobacter pittii (g-proteobacteria)	FDAARGOS_1215	SAMN16357357	2021/02/15 00:00	2021/02/15 00:00	Complete Genome
GCF_016889325.1	ASM1688932v1	Escherichia coli (E. coli)	FDAARGOS_1258	SAMN16357400	2021/02/15 00:00	2021/02/15 00:00	Complete Genome
GCF_016889305.1	ASM1688930v1	Acinetobacter pittii (g-proteobacteria)	FDAARGOS_1217	SAMN16357359	2021/02/15 00:00	2021/02/15 00:00	Complete Genome
GCF_016889285.1	ASM1688928v1	Kytococcus sedentarius (high G+C Gram-positive bacteria)	FDAARGOS_1200	SAMN16357342	2021/02/15 00:00	2021/02/15 00:00	Complete Genome
GCF_016889265.1	ASM1688926v1	Escherichia coli (E. coli)	FDAARGOS_1264	SAMN16357406	2021/02/15 00:00	2021/02/15 00:00	Complete Genome
GCF_016889245.1	ASM1688924v1	Mammaliicoccus vitulinus (firmicutes)	FDAARGOS_1207	SAMN16357349	2021/02/15 00:00	2021/02/15 00:00	Complete Genome
GCF_016889225.1	ASM1688922v1	Corynebacterium glucuronolyticum (high G+C Gram-positive bacteria)	FDAARGOS_1190	SAMN16357332	2021/02/15 00:00	2021/02/15 00:00	Complete Genome
GCF_016889205.1	ASM1688920v1	Burkholderia dolosa (b-proteobacteria)	FDAARGOS_1272	SAMN16357414	2021/02/15 00:00	2021/02/15 00:00	Complete Genome
GCF_016889185.1	ASM1688918v1	Escherichia coli (E. coli)	FDAARGOS_1257	SAMN16357399	2021/02/15 00:00	2021/02/15 00:00	Complete Genome
GCF_016889165.1	ASM1688916v1	Staphylococcus epidermidis (firmicutes)	FDAARGOS_1243	SAMN16357385	2021/02/15 00:00	2021/02/15 00:00	Complete Genome
GCF_016889145.1	ASM1688914v1	Staphylococcus aureus (firmicutes)	FDAARGOS_1246	SAMN16357388	2021/02/15 00:00	2021/02/15 00:00	Complete Genome
GCF_016889125.1	ASM1688912v1	Escherichia coli (E. coli)	FDAARGOS_1249	SAMN16357391	2021/02/15 00:00	2021/02/15 00:00	Complete Genome
GCF_016889105.1	ASM1688910v1	Escherichia coli (E. coli)	FDAARGOS_1254	SAMN16357396	2021/02/15 00:00	2021/02/15 00:00	Complete Genome
GCF_016889085.1	ASM1688908v1	Escherichia coli (E. coli)	FDAARGOS_1256	SAMN16357398	2021/02/15 00:00	2021/02/15 00:00	Complete Genome
GCF_016889065.1	ASM1688906v1	Butyricimonas virosa (CFB group bacteria)	FDAARGOS_1229	SAMN16357371	2021/02/15 00:00	2021/02/15 00:00	Complete Genome
GCF_016889045.1	ASM1688904v1	Escherichia coli (E. coli)	FDAARGOS_1255	SAMN16357397	2021/02/15 00:00	2021/02/15 00:00	Complete Genome
GCF_016889025.1	ASM1688902v1	Escherichia coli (E. coli)	FDAARGOS_1251	SAMN16357393	2021/02/15 00:00	2021/02/15 00:00	Complete Genome
GCF_016889005.1	ASM1688900v1	[Clostridium] scindens (firmicutes)	FDAARGOS_1227	SAMN16357369	2021/02/15 00:00	2021/02/15 00:00	Complete Genome
GCF_016888985.1	ASM1688898v1	Chromobacterium violaceum (b-proteobacteria)	FDAARGOS_1274	SAMN16357416	2021/02/15 00:00	2021/02/15 00:00	Complete Genome
GCF_016888965.1	ASM1688896v1	Escherichia coli (E. coli)	FDAARGOS_1261	SAMN16357403	2021/02/15 00:00	2021/02/15 00:00	Complete Genome
GCF_016888945.1	ASM1688894v1	Phocaeicola coprophilus (CFB group bacteria)	FDAARGOS_1220	SAMN16357362	2021/02/15 00:00	2021/02/15 00:00	Complete Genome
GCF_016888925.1	ASM1688892v1	Escherichia coli (E. coli)	FDAARGOS_1260	SAMN16357402	2021/02/15 00:00	2021/02/15 00:00	Complete Genome
GCF_016888905.1	ASM1688890v1	Parabacteroides distasonis (CFB group bacteria)	FDAARGOS_1234	SAMN16357376	2021/02/15 00:00	2021/02/15 00:00	Complete Genome
GCF_016888885.1	ASM1688888v1	Faucicola osloensis (g-proteobacteria)	FDAARGOS_1202	SAMN16357344	2021/02/15 00:00	2021/02/15 00:00	Complete Genome
GCF_016888685.1	ASM1688868v1	Escherichia coli (E. coli)	FDAARGOS_1263	SAMN16357405	2021/02/14 00:00	2021/02/14 00:00	Contig
GCF_016888665.1	ASM1688866v1	Parabacteroides distasonis (CFB group bacteria)	FDAARGOS_1233	SAMN16357375	2021/02/14 00:00	2021/02/14 00:00	Contig
GCF_016888645.1	ASM1688864v1	Bacteroides fragilis (CFB group bacteria)	FDAARGOS_1222	SAMN16357364	2021/02/14 00:00	2021/02/14 00:00	Scaffold
GCF_016888625.1	ASM1688862v1	Escherichia coli (E. coli)	FDAARGOS_1270	SAMN16357412	2021/02/14 00:00	2021/02/14 00:00	Contig
GCF_016888605.1	ASM1688860v1	Staphylococcus pasteuri (firmicutes)	FDAARGOS_1206	SAMN16357348	2021/02/14 00:00	2021/02/14 00:00	Contig
GCF_016888585.1	ASM1688858v1	Acinetobacter baumannii (g-proteobacteria)	FDAARGOS_1244	SAMN16357386	2021/02/14 00:00	2021/02/14 00:00	Contig
GCF_016888565.1	ASM1688856v1	Parabacteroides distasonis (CFB group bacteria)	FDAARGOS_1223	SAMN16357365	2021/02/14 00:00	2021/02/14 00:00	Contig
GCF_016888545.1	ASM1688854v1	Bacteroides thetaiotaomicron (CFB group bacteria)	FDAARGOS_1226	SAMN16357368	2021/02/14 00:00	2021/02/14 00:00	Contig
GCF_016888505.1	ASM1688850v1	Phocaeicola dorei (CFB group bacteria)	FDAARGOS_1224	SAMN16357366	2021/02/14 00:00	2021/02/14 00:00	Scaffold
GCF_016791645.1	ASM1679164v1	Faucicola osloensis (g-proteobacteria)	FDAARGOS_1129	SAMN16357298	2021/02/01 00:00	2021/02/01 00:00	Contig
GCF_016791605.1	ASM1679160v1	Peptoniphilus asaccharolyticus (firmicutes)	FDAARGOS_1135	SAMN16357304	2021/02/01 00:00	2021/02/01 00:00	Contig
GCF_016766935.1	ASM1676693v1	Phocaeicola vulgatus (CFB group bacteria)	FDAARGOS_1099	SAMN16357268	2021/01/28 00:00	2021/01/28 00:00	Chromosome
GCF_016766915.1	ASM1676691v1	Phocaeicola vulgatus (CFB group bacteria)	FDAARGOS_1098	SAMN16357267	2021/01/28 00:00	2021/01/28 00:00	Chromosome
GCF_016766895.1	ASM1676689v1	Campylobacter ureolyticus (e-proteobacteria)	FDAARGOS_1102	SAMN16357271	2021/01/28 00:00	2021/01/28 00:00	Chromosome
GCF_016766875.1	ASM1676687v1	Chryseobacterium gleum (CFB group bacteria)	FDAARGOS_1103	SAMN16357272	2021/01/28 00:00	2021/01/28 00:00	Chromosome
GCF_016766855.1	ASM1676685v1	Thomasclavelia ramosa (firmicutes)	FDAARGOS_1106	SAMN16357275	2021/01/28 00:00	2021/01/28 00:00	Chromosome
GCF_016766835.1	ASM1676683v1	Dermacoccus nishinomiyaensis (high G+C Gram-positive bacteria)	FDAARGOS_1119	SAMN16357288	2021/01/28 00:00	2021/01/28 00:00	Chromosome
GCF_016766815.1	ASM1676681v1	Enterococcus hirae (firmicutes)	FDAARGOS_1123	SAMN16357292	2021/01/28 00:00	2021/01/28 00:00	Chromosome
GCF_016766795.1	ASM1676679v1	Mammaliicoccus vitulinus (firmicutes)	FDAARGOS_1154	SAMN16357323	2021/01/28 00:00	2021/01/28 00:00	Chromosome
GCF_016766775.1	ASM1676677v1	Streptococcus dysgalactiae (firmicutes)	FDAARGOS_1087	SAMN16357256	2021/01/28 00:00	2021/01/28 00:00	Chromosome
GCF_016751935.1	ASM1675193v1	Staphylococcus pasteuri (firmicutes)	FDAARGOS_1070	SAMN16357239	2021/01/25 00:00	2021/01/25 00:00	Scaffold
GCF_016728825.1	ASM1672882v1	Achromobacter xylosoxidans (b-proteobacteria)	FDAARGOS_1091	SAMN16357260	2021/01/20 00:00	2021/01/20 00:00	Complete Genome
GCF_016728805.1	ASM1672880v1	Acinetobacter johnsonii (g-proteobacteria)	FDAARGOS_1092	SAMN16357261	2021/01/20 00:00	2021/01/20 00:00	Complete Genome
GCF_016728785.1	ASM1672878v1	Thomasclavelia ramosa (firmicutes)	FDAARGOS_1105	SAMN16357274	2021/01/20 00:00	2021/01/20 00:00	Complete Genome
GCF_016728765.1	ASM1672876v1	Chryseobacterium sp. FDAARGOS 1104 (CFB group bacteria)	FDAARGOS_1104	SAMN16357273	2021/01/20 00:00	2021/01/20 00:00	Complete Genome
GCF_016728745.1	ASM1672874v1	Corynebacterium amycolatum (high G+C Gram-positive bacteria)	FDAARGOS_1107	SAMN16357276	2021/01/20 00:00	2021/01/20 00:00	Complete Genome
GCF_016728725.1	ASM1672872v1	Corynebacterium amycolatum (high G+C Gram-positive bacteria)	FDAARGOS_1108	SAMN16357277	2021/01/20 00:00	2021/01/20 00:00	Complete Genome
GCF_016728705.1	ASM1672870v1	Corynebacterium aurimucosum (high G+C Gram-positive bacteria)	FDAARGOS_1109	SAMN16357278	2021/01/20 00:00	2021/01/20 00:00	Complete Genome
GCF_016728685.1	ASM1672868v1	Corynebacterium aurimucosum (high G+C Gram-positive bacteria)	FDAARGOS_1110	SAMN16357279	2021/01/20 00:00	2021/01/20 00:00	Complete Genome
GCF_016728665.1	ASM1672866v1	Corynebacterium propinquum (high G+C Gram-positive bacteria)	FDAARGOS_1112	SAMN16357281	2021/01/20 00:00	2021/01/20 00:00	Complete Genome
GCF_016728645.1	ASM1672864v1	Corynebacterium glucuronolyticum (high G+C Gram-positive bacteria)	FDAARGOS_1111	SAMN16357280	2021/01/20 00:00	2021/01/20 00:00	Complete Genome
GCF_016728625.1	ASM1672862v1	Corynebacterium propinquum (high G+C Gram-positive bacteria)	FDAARGOS_1113	SAMN16357282	2021/01/20 00:00	2021/01/20 00:00	Complete Genome
GCF_016728505.1	ASM1672850v1	Corynebacterium riegelii (high G+C Gram-positive bacteria)	FDAARGOS_1114	SAMN16357283	2021/01/20 00:00	2021/01/20 00:00	Complete Genome
GCF_016728365.1	ASM1672836v1	Corynebacterium tuberculostearicum (high G+C Gram-positive bacteria)	FDAARGOS_1117	SAMN16357286	2021/01/20 00:00	2021/01/20 00:00	Complete Genome
GCF_016728205.1	ASM1672820v1	Corynebacterium striatum (high G+C Gram-positive bacteria)	FDAARGOS_1116	SAMN16357285	2021/01/20 00:00	2021/01/20 00:00	Complete Genome
GCF_016728105.1	ASM1672810v1	Corynebacterium striatum (high G+C Gram-positive bacteria)	FDAARGOS_1115	SAMN16357284	2021/01/20 00:00	2021/01/20 00:00	Complete Genome
GCF_016728085.1	ASM1672808v1	Escherichia coli (E. coli)	FDAARGOS_1077	SAMN16357246	2021/01/20 00:00	2021/01/20 00:00	Complete Genome
GCF_016728065.1	ASM1672806v1	Pseudomonas fluorescens (g-proteobacteria)	FDAARGOS_1088	SAMN16357257	2021/01/20 00:00	2021/01/20 00:00	Complete Genome
GCF_016728045.1	ASM1672804v1	Serratia ureilytica (enterobacteria)	FDAARGOS_1089	SAMN16357258	2021/01/20 00:00	2021/01/20 00:00	Complete Genome
GCF_016728025.1	ASM1672802v1	Listeria monocytogenes (firmicutes)	FDAARGOS_1080	SAMN16357249	2021/01/20 00:00	2021/01/20 00:00	Complete Genome
GCF_016728005.1	ASM1672800v1	Serratia liquefaciens (enterobacteria)	FDAARGOS_1081	SAMN16357250	2021/01/20 00:00	2021/01/20 00:00	Complete Genome
GCF_016727905.1	ASM1672790v1	Yersinia enterocolitica (enterobacteria)	FDAARGOS_1090	SAMN16357259	2021/01/20 00:00	2021/01/20 00:00	Complete Genome
GCF_016727765.1	ASM1672776v1	Yersinia enterocolitica (enterobacteria)	FDAARGOS_1082	SAMN16357251	2021/01/20 00:00	2021/01/20 00:00	Complete Genome
GCF_016727585.1	ASM1672758v1	Staphylococcus aureus (firmicutes)	FDAARGOS_1086	SAMN16357255	2021/01/20 00:00	2021/01/20 00:00	Complete Genome
GCF_016727445.1	ASM1672744v1	Morganella morganii (enterobacteria)	FDAARGOS_1085	SAMN16357254	2021/01/20 00:00	2021/01/20 00:00	Complete Genome
GCF_016727425.1	ASM1672742v1	Klebsiella pneumoniae (enterobacteria)	FDAARGOS_1076	SAMN16357245	2021/01/20 00:00	2021/01/20 00:00	Complete Genome
GCF_016727405.1	ASM1672740v1	Bacillus cereus (firmicutes)	FDAARGOS_1084	SAMN16357253	2021/01/20 00:00	2021/01/20 00:00	Complete Genome
GCF_016727385.1	ASM1672738v1	Staphylococcus epidermidis (firmicutes)	FDAARGOS_1083	SAMN16357252	2021/01/20 00:00	2021/01/20 00:00	Complete Genome
GCF_016727365.1	ASM1672736v1	Corynebacterium ulcerans (high G+C Gram-positive bacteria)	FDAARGOS_1118	SAMN16357287	2021/01/20 00:00	2021/01/20 00:00	Complete Genome
GCF_016727345.1	ASM1672734v1	Enterococcus casseliflavus (firmicutes)	FDAARGOS_1120	SAMN16357289	2021/01/20 00:00	2021/01/20 00:00	Complete Genome
GCF_016727325.1	ASM1672732v1	Enterococcus casseliflavus (firmicutes)	FDAARGOS_1121	SAMN16357290	2021/01/20 00:00	2021/01/20 00:00	Complete Genome
GCF_016727305.1	ASM1672730v1	Enterococcus casseliflavus (firmicutes)	FDAARGOS_1122	SAMN16357291	2021/01/20 00:00	2021/01/20 00:00	Complete Genome
GCF_016727265.1	ASM1672726v1	Enterococcus hirae (firmicutes)	FDAARGOS_1125	SAMN16357294	2021/01/20 00:00	2021/01/20 00:00	Complete Genome
GCF_016727125.1	ASM1672712v1	Enterococcus hirae (firmicutes)	FDAARGOS_1124	SAMN16357293	2021/01/20 00:00	2021/01/20 00:00	Complete Genome
GCF_016727005.1	ASM1672700v1	Myroides odoratus (CFB group bacteria)	FDAARGOS_1132	SAMN16357301	2021/01/20 00:00	2021/01/20 00:00	Complete Genome
GCF_016726985.1	ASM1672698v1	Myroides odoratus (CFB group bacteria)	FDAARGOS_1131	SAMN16357300	2021/01/20 00:00	2021/01/20 00:00	Complete Genome
GCF_016726965.1	ASM1672696v1	Mobiluncus curtisii (high G+C Gram-positive bacteria)	FDAARGOS_1128	SAMN16357297	2021/01/20 00:00	2021/01/20 00:00	Complete Genome
GCF_016726945.1	ASM1672694v1	Faucicola osloensis (g-proteobacteria)	FDAARGOS_1130	SAMN16357299	2021/01/20 00:00	2021/01/20 00:00	Complete Genome
GCF_016726885.1	ASM1672688v1	Pediococcus pentosaceus (firmicutes)	FDAARGOS_1134	SAMN16357303	2021/01/20 00:00	2021/01/20 00:00	Complete Genome
GCF_016726765.1	ASM1672676v1	Pediococcus acidilactici (firmicutes)	FDAARGOS_1133	SAMN16357302	2021/01/20 00:00	2021/01/20 00:00	Complete Genome
GCF_016726625.1	ASM1672662v1	Acinetobacter johnsonii (g-proteobacteria)	FDAARGOS_1094	SAMN16357263	2021/01/20 00:00	2021/01/20 00:00	Complete Genome
GCF_016726485.1	ASM1672648v1	Peptoniphilus harei (firmicutes)	FDAARGOS_1136	SAMN16357305	2021/01/20 00:00	2021/01/20 00:00	Complete Genome
GCF_016726365.1	ASM1672636v1	Rothia aeria (high G+C Gram-positive bacteria)	FDAARGOS_1137	SAMN16357306	2021/01/20 00:00	2021/01/20 00:00	Complete Genome
GCF_016726345.1	ASM1672634v1	Acinetobacter ursingii (g-proteobacteria)	FDAARGOS_1096	SAMN16357265	2021/01/20 00:00	2021/01/20 00:00	Complete Genome
GCF_016726325.1	ASM1672632v1	Serratia plymuthica (enterobacteria)	FDAARGOS_1138	SAMN16357307	2021/01/20 00:00	2021/01/20 00:00	Complete Genome
GCF_016726305.1	ASM1672630v1	Bacteroides caccae (CFB group bacteria)	FDAARGOS_1097	SAMN16357266	2021/01/20 00:00	2021/01/20 00:00	Complete Genome
GCF_016726285.1	ASM1672628v1	Shigella boydii (enterobacteria)	FDAARGOS_1139	SAMN16357308	2021/01/20 00:00	2021/01/20 00:00	Complete Genome
GCF_016726265.1	ASM1672626v1	Campylobacter lari (e-proteobacteria)	FDAARGOS_1101	SAMN16357270	2021/01/20 00:00	2021/01/20 00:00	Complete Genome
GCF_016726245.1	ASM1672624v1	Brevibacterium casei (high G+C Gram-positive bacteria)	FDAARGOS_1100	SAMN16357269	2021/01/20 00:00	2021/01/20 00:00	Complete Genome
GCF_016726205.1	ASM1672620v1	Acinetobacter ursingii (g-proteobacteria)	FDAARGOS_1095	SAMN16357264	2021/01/20 00:00	2021/01/20 00:00	Complete Genome
GCF_016726045.1	ASM1672604v1	Sphingobacterium multivorum (CFB group bacteria)	FDAARGOS_1140	SAMN16357309	2021/01/20 00:00	2021/01/20 00:00	Complete Genome
GCF_016725945.1	ASM1672594v1	Acinetobacter johnsonii (g-proteobacteria)	FDAARGOS_1093	SAMN16357262	2021/01/20 00:00	2021/01/20 00:00	Complete Genome
GCF_016725925.1	ASM1672592v1	Sphingobacterium multivorum (CFB group bacteria)	FDAARGOS_1141	SAMN16357310	2021/01/20 00:00	2021/01/20 00:00	Complete Genome
GCF_016725905.1	ASM1672590v1	Proteus mirabilis (enterobacteria)	FDAARGOS_1079	SAMN16357248	2021/01/20 00:00	2021/01/20 00:00	Complete Genome
GCF_016725865.1	ASM1672586v1	Sphingobacterium multivorum (CFB group bacteria)	FDAARGOS_1143	SAMN16357312	2021/01/20 00:00	2021/01/20 00:00	Complete Genome
GCF_016725825.1	ASM1672582v1	Enterobacter hormaechei (CDC Enteric Group 75)	FDAARGOS_1078	SAMN16357247	2021/01/20 00:00	2021/01/20 00:00	Complete Genome
GCF_016725645.1	ASM1672564v1	Sphingobacterium spiritivorum (CFB group bacteria)	FDAARGOS_1144	SAMN16357313	2021/01/20 00:00	2021/01/20 00:00	Complete Genome
GCF_016725465.1	ASM1672546v1	Sphingobacterium multivorum (CFB group bacteria)	FDAARGOS_1142	SAMN16357311	2021/01/20 00:00	2021/01/20 00:00	Complete Genome
GCF_016725325.1	ASM1672532v1	Sphingobacterium spiritivorum (CFB group bacteria)	FDAARGOS_1145	SAMN16357314	2021/01/20 00:00	2021/01/20 00:00	Complete Genome
GCF_016725305.1	ASM1672530v1	Staphylococcus equorum (firmicutes)	FDAARGOS_1149	SAMN16357318	2021/01/20 00:00	2021/01/20 00:00	Complete Genome
GCF_016725285.1	ASM1672528v1	Staphylococcus pasteuri (firmicutes)	FDAARGOS_1151	SAMN16357320	2021/01/20 00:00	2021/01/20 00:00	Complete Genome
GCF_016725265.1	ASM1672526v1	Staphylococcus equorum (firmicutes)	FDAARGOS_1150	SAMN16357319	2021/01/20 00:00	2021/01/20 00:00	Complete Genome
GCF_016725245.1	ASM1672524v1	Mammaliicoccus vitulinus (firmicutes)	FDAARGOS_1153	SAMN16357322	2021/01/20 00:00	2021/01/20 00:00	Complete Genome
GCF_016725225.1	ASM1672522v1	Mobiluncus curtisii (high G+C Gram-positive bacteria)	FDAARGOS_1127	SAMN16357296	2021/01/20 00:00	2021/01/20 00:00	Complete Genome
GCF_016725205.1	ASM1672520v1	Staphylococcus pasteuri (firmicutes)	FDAARGOS_1152	SAMN16357321	2021/01/20 00:00	2021/01/20 00:00	Complete Genome
GCF_016725185.1	ASM1672518v1	Streptococcus anginosus (firmicutes)	FDAARGOS_1155	SAMN16357324	2021/01/20 00:00	2021/01/20 00:00	Complete Genome
GCF_016725165.1	ASM1672516v1	Streptococcus lutetiensis (firmicutes)	FDAARGOS_1158	SAMN16357327	2021/01/20 00:00	2021/01/20 00:00	Complete Genome
GCF_016725005.1	ASM1672500v1	Streptococcus constellatus (firmicutes)	FDAARGOS_1156	SAMN16357325	2021/01/20 00:00	2021/01/20 00:00	Complete Genome
GCF_016724885.1	ASM1672488v1	Streptococcus dysgalactiae (firmicutes)	FDAARGOS_1157	SAMN16357326	2021/01/20 00:00	2021/01/20 00:00	Complete Genome
GCF_016724865.1	ASM1672486v1	Peribacillus psychrosaccharolyticus (firmicutes)	FDAARGOS_1161	SAMN16357330	2021/01/20 00:00	2021/01/20 00:00	Complete Genome
GCF_016724845.1	ASM1672484v1	Sphingobacterium spiritivorum (CFB group bacteria)	FDAARGOS_1146	SAMN16357315	2021/01/20 00:00	2021/01/20 00:00	Complete Genome
GCF_016724825.1	ASM1672482v1	Heyndrickxia coagulans (firmicutes)	FDAARGOS_1160	SAMN16357329	2021/01/20 00:00	2021/01/20 00:00	Complete Genome
GCF_016724805.1	ASM1672480v1	Sutterella wadsworthensis (b-proteobacteria)	FDAARGOS_1159	SAMN16357328	2021/01/20 00:00	2021/01/20 00:00	Complete Genome
GCF_016724785.1	ASM1672478v1	Fusobacterium canifelinum (fusobacteria)	FDAARGOS_1126	SAMN16357295	2021/01/20 00:00	2021/01/20 00:00	Complete Genome
GCF_016724665.1	ASM1672466v1	Staphylococcus carnosus (firmicutes)	FDAARGOS_1147	SAMN16357316	2021/01/20 00:00	2021/01/20 00:00	Complete Genome
GCF_016724565.1	ASM1672456v1	Staphylococcus condimenti (firmicutes)	FDAARGOS_1148	SAMN16357317	2021/01/20 00:00	2021/01/20 00:00	Complete Genome
GCF_016623685.1	ASM1662368v1	Bacteroides fragilis (CFB group bacteria)	FDAARGOS_1025	SAMN16357194	2021/01/05 00:00	2021/01/05 00:00	Scaffold
GCF_016623665.1	ASM1662366v1	Staphylococcus hominis (firmicutes)	FDAARGOS_1043	SAMN16357212	2021/01/05 00:00	2021/01/05 00:00	Scaffold
GCF_016623625.1	ASM1662362v1	Providencia stuartii (enterobacteria)	FDAARGOS_1035	SAMN16357204	2021/01/05 00:00	2021/01/05 00:00	Contig
GCF_016599835.1	ASM1659983v1	Elizabethkingia bruuniana (CFB group bacteria)	FDAARGOS_1031	SAMN16357200	2021/01/11 00:00	2021/01/11 00:00	Complete Genome
GCF_016599815.1	ASM1659981v1	Anaerococcus obesiensis (firmicutes)	FDAARGOS_989	SAMN16357158	2021/01/11 00:00	2021/01/11 00:00	Complete Genome
GCF_016599795.1	ASM1659979v1	Staphylococcus pasteuri (firmicutes)	FDAARGOS_1069	SAMN16357238	2021/01/11 00:00	2021/01/11 00:00	Complete Genome
GCF_016599775.1	ASM1659977v1	Stutzerimonas balearica (g-proteobacteria)	FDAARGOS_1013	SAMN16357182	2021/01/11 00:00	2021/01/11 00:00	Complete Genome
GCF_016599755.1	ASM1659975v1	Corynebacterium kefirresidentii (high G+C Gram-positive bacteria)	FDAARGOS_1055	SAMN16357224	2021/01/11 00:00	2021/01/11 00:00	Complete Genome
GCF_016598875.1	ASM1659887v1	Burkholderia glumae (b-proteobacteria)	FDAARGOS_921	SAMN13450451	2021/01/10 00:00	2021/01/10 00:00	Complete Genome
GCF_016535385.1	ASM1653538v1	Haemophilus influenzae (g-proteobacteria)	FDAARGOS_1022	SAMN16357191	2021/01/05 00:00	2021/01/05 00:00	Contig
GCF_016535475.1	ASM1653547v1	Yersinia pseudotuberculosis (enterobacteria)	FDAARGOS_1047	SAMN16357216	2021/01/05 00:00	2021/01/05 00:00	Contig
