acc	species	genus	contig_count	n50_contigs	genome_size	checkm_completeness	checkm_contamination	ncbi_assembly_level	ncbi_genbank_assembly_accession	ncbi_strain_identifiers
GCF_018409365.1	Pseudomonas aeruginosa	Pseudomonas	1	6411763	6411763	99.68	0.11	Complete Genome	GCA_018409365.1	Pa12
GCF_902703215.1	Pseudomonas aeruginosa	Pseudomonas	1	6479881	6479881	99.68	0.11	Complete Genome	GCA_902703215.1	C7-25
GCF_000271985.2	Pseudomonas aeruginosa	Pseudomonas	1	6243825	6243825	99.68	0.22	Complete Genome	GCA_000271985.2	SJTD-1
GCF_000359505.1	Pseudomonas aeruginosa	Pseudomonas	1	6421010	6421010	99.68	0.11	Complete Genome	GCA_000359505.1	B136-33
GCF_000508765.1	Pseudomonas aeruginosa	Pseudomonas	1	6550070	6550070	99.68	0.45	Complete Genome	GCA_000508765.1	LES431
GCF_001086805.1	Pseudomonas aeruginosa	Pseudomonas	1	6879005	6879005	99.68	0.49	Contig	GCA_001086805.1	BTP036
GCF_001457615.1	Pseudomonas aeruginosa	Pseudomonas	1	6316979	6316979	99.68	0.11	Complete Genome	GCA_001457615.1	NCTC10332
GCF_001515845.2	Pseudomonas aeruginosa	Pseudomonas	1	6934277	6934277	99.68	0.11	Complete Genome	GCA_001515845.2	S86968
GCF_001518975.1	Pseudomonas aeruginosa	Pseudomonas	1	6364583	6364583	99.68	0.11	Complete Genome	GCA_001518975.1	USDA-ARS-USMARC-41639
GCF_003060845.1	Pseudomonas aeruginosa	Pseudomonas	1	6867314	6867314	99.68	0.27	Complete Genome	GCA_003060845.1	JB2
GCF_003319235.1	Pseudomonas aeruginosa	Pseudomonas	1	6876988	6876988	99.68	0.15	Complete Genome	GCA_003319235.1	HS9
GCF_003641125.1	Pseudomonas aeruginosa	Pseudomonas	1	7030474	7030474	99.68	0.84	Complete Genome	GCA_003641125.1	268
GCF_003798105.1	Pseudomonas aeruginosa	Pseudomonas	1	7079598	7079598	99.68	0.85	Complete Genome	GCA_003798105.1	H26027
GCF_009648875.1	Pseudomonas aeruginosa	Pseudomonas	1	6441924	6441924	99.68	0.11	Complete Genome	GCA_009648875.1	CFSAN084950
GCF_009664165.1	Pseudomonas aeruginosa	Pseudomonas	1	6835731	6835731	99.68	0.16	Complete Genome	GCA_009664165.1	ST773
GCF_009911735.1	Pseudomonas aeruginosa	Pseudomonas	1	6397159	6397159	99.68	0.14	Complete Genome	GCA_009911735.1	RD1-3
GCF_013343575.1	Pseudomonas aeruginosa	Pseudomonas	1	6557595	6557595	99.68	0.11	Complete Genome	GCA_013343575.1	DVT401
GCF_013375855.1	Pseudomonas aeruginosa	Pseudomonas	1	7122984	7123084	99.68	0.38	Chromosome	GCA_013375855.1	PABCH14
GCF_013467605.1	Pseudomonas aeruginosa	Pseudomonas	1	6490021	6490021	99.68	0.14	Complete Genome	GCA_013467605.1	ACR22
GCF_014854655.1	Pseudomonas aeruginosa	Pseudomonas	1	6520277	6520277	99.68	0.22	Complete Genome	GCA_014854655.1	JT86
GCF_016745135.1	Pseudomonas aeruginosa	Pseudomonas	1	6904218	6904218	99.68	0.11	Complete Genome	GCA_016745135.1	SE5352
GCF_000168335.1	Pseudomonas aeruginosa	Pseudomonas	1	6492423	6492423	99.68	0.49	Chromosome	GCA_000168335.1	PACS2
GCF_001482325.1	Pseudomonas aeruginosa	Pseudomonas	1	6431911	6431911	99.68	0.11	Complete Genome	GCA_001482325.1	12-4-4(59)
GCF_001516325.2	Pseudomonas aeruginosa	Pseudomonas	1	6568228	6568228	99.68	0.14	Complete Genome	GCA_001516325.2	H27930
GCF_001542795.2	Pseudomonas aeruginosa	Pseudomonas	1	6348761	6348761	99.68	0.11	Complete Genome	GCA_001542795.2	X78812
GCF_003000655.1	Pseudomonas aeruginosa	Pseudomonas	1	7172470	7172470	99.68	1.03	Contig	GCA_003000655.1	AR_0355
GCF_003957825.1	Pseudomonas aeruginosa	Pseudomonas	1	6258491	6258491	99.68	0.11	Complete Genome	GCA_003957825.1	GIMC5015:PAKB6
GCF_004355125.1	Pseudomonas aeruginosa	Pseudomonas	1	6373139	6373139	99.68	0.11	Complete Genome	GCA_004355125.1	AES1M
GCF_007559085.1	Pseudomonas aeruginosa	Pseudomonas	1	6616247	6616247	99.68	0.16	Complete Genome	GCA_007559085.1	A681
GCF_016064595.1	Pseudomonas aeruginosa	Pseudomonas	1	7044064	7044064	99.68	0.43	Complete Genome	GCA_016064595.1	CMC-097
GCF_018279265.1	Pseudomonas aeruginosa	Pseudomonas	1	6878937	6878937	99.68	0.55	Complete Genome	GCA_018279265.1	ZBX-P13
GCF_900618325.1	Pseudomonas aeruginosa	Pseudomonas	1	6434133	6434133	99.68	0.11	Complete Genome	GCA_900618325.1	paerg011
GCF_902703185.1	Pseudomonas aeruginosa	Pseudomonas	1	6621209	6621209	99.68	0.14	Complete Genome	GCA_902703185.1	PcyII-29
GCF_902703195.1	Pseudomonas aeruginosa	Pseudomonas	1	6831274	6831274	99.68	0.19	Complete Genome	GCA_902703195.1	PcyII-40
GCF_001548135.1	Pseudomonas aeruginosa	Pseudomonas	1	6613260	6613260	99.68	0.22	Complete Genome	GCA_001548135.1	8380
GCF_001721745.1	Pseudomonas aeruginosa	Pseudomonas	1	6643823	6643823	99.68	0.43	Complete Genome	GCA_001721745.1	PA_D1
GCF_001874465.1	Pseudomonas aeruginosa	Pseudomonas	1	6723378	6723378	99.68	0.54	Complete Genome	GCA_001874465.1	B10W
GCF_002968955.1	Pseudomonas aeruginosa	Pseudomonas	1	7162784	7162784	99.68	0.53	Complete Genome	GCA_002968955.1	AR_0357
GCF_003052005.2	Pseudomonas aeruginosa	Pseudomonas	1	6886080	6886080	99.68	0.5	Complete Genome	GCA_003052005.2	WCHPA075019
GCF_008033745.1	Pseudomonas aeruginosa	Pseudomonas	1	6481697	6481697	99.68	0.11	Complete Genome	GCA_008033745.1	IMP68
GCF_008033765.1	Pseudomonas aeruginosa	Pseudomonas	1	6486336	6486336	99.68	0.67	Complete Genome	GCA_008033765.1	IMP66
GCF_013375795.1	Pseudomonas aeruginosa	Pseudomonas	1	6496101	6496201	99.68	0.11	Chromosome	GCA_013375795.1	PABCH13
GCF_013414965.1	Pseudomonas aeruginosa	Pseudomonas	1	6264475	6264575	99.68	0.11	Chromosome	GCA_013414965.1	PAO1CT
GCF_013414985.1	Pseudomonas aeruginosa	Pseudomonas	1	6264475	6264575	99.68	0.11	Chromosome	GCA_013414985.1	P4PBS
GCF_015697605.1	Pseudomonas aeruginosa	Pseudomonas	1	6325392	6325392	99.68	0.11	Complete Genome	GCA_015697605.1	C-I-1
GCF_015697645.1	Pseudomonas aeruginosa	Pseudomonas	1	6935851	6935851	99.68	0.49	Complete Genome	GCA_015697645.1	B-I-1
GCF_900095805.1	Pseudomonas aeruginosa	Pseudomonas	1	6541482	6541482	99.68	0.11	Complete Genome	GCA_900095805.1	PA14Or_reads
GCF_900636735.1	Pseudomonas aeruginosa	Pseudomonas	1	6766292	6766292	99.68	0.21	Complete Genome	GCA_900636735.1	NCTC11445
GCF_000510305.1	Pseudomonas aeruginosa	Pseudomonas	1	6725183	6725183	99.68	0.27	Complete Genome	GCA_000510305.1	SCV20265
GCF_001516305.2	Pseudomonas aeruginosa	Pseudomonas	1	6334378	6334378	99.68	0.14	Complete Genome	GCA_001516305.2	H5708
GCF_001548335.1	Pseudomonas aeruginosa	Pseudomonas	1	6897018	6897018	99.68	0.43	Complete Genome	GCA_001548335.1	IOMTU 133
GCF_001687285.1	Pseudomonas aeruginosa	Pseudomonas	1	6833187	6833187	99.68	0.11	Complete Genome	GCA_001687285.1	ATCC 27853
GCF_002075065.1	Pseudomonas aeruginosa	Pseudomonas	1	6445239	6445239	99.68	0.11	Complete Genome	GCA_002075065.1	PA_154197
GCF_002411865.3	Pseudomonas aeruginosa	Pseudomonas	1	6925889	6925889	99.68	0.25	Complete Genome	GCA_002411865.3	97
GCF_002812905.2	Pseudomonas aeruginosa	Pseudomonas	1	6752906	6752906	99.68	0.11	Complete Genome	GCA_002812905.2	PB350
GCF_013001005.1	Pseudomonas aeruginosa	Pseudomonas	1	6217899	6217899	99.68	0.11	Complete Genome	GCA_013001005.1	PAO1
GCF_013260445.1	Pseudomonas aeruginosa	Pseudomonas	1	6496756	6496756	99.68	0.16	Complete Genome	GCA_013260445.1	YD001
GCF_013393665.2	Pseudomonas aeruginosa	Pseudomonas	1	7056430	7056430	99.68	0.11	Complete Genome	GCA_013393665.2	SE5331
GCF_013393705.1	Pseudomonas aeruginosa	Pseudomonas	1	6874270	6874270	99.68	0.47	Complete Genome	GCA_013393705.1	SE5416
GCF_013414905.1	Pseudomonas aeruginosa	Pseudomonas	1	6264419	6264519	99.68	0.11	Chromosome	GCA_013414905.1	UAB2PBS
GCF_013414925.1	Pseudomonas aeruginosa	Pseudomonas	1	6264382	6264482	99.68	0.11	Chromosome	GCA_013414925.1	UAB2CT
GCF_016107485.1	Pseudomonas aeruginosa	Pseudomonas	1	6275467	6275467	99.68	0.11	Complete Genome	GCA_016107485.1	MPAO1
GCF_016745175.1	Pseudomonas aeruginosa	Pseudomonas	1	7103853	7103853	99.68	0.46	Complete Genome	GCA_016745175.1	SE5429
GCF_018448985.1	Pseudomonas aeruginosa	Pseudomonas	1	6932250	6932250	99.68	0.16	Complete Genome	GCA_018448985.1	PA790
GCF_900618265.1	Pseudomonas aeruginosa	Pseudomonas	1	6452809	6452809	99.68	0.11	Complete Genome	GCA_900618265.1	paerg004
GCF_900618285.1	Pseudomonas aeruginosa	Pseudomonas	1	6931425	6931425	99.68	0.57	Complete Genome	GCA_900618285.1	paerg005
GCF_900618335.1	Pseudomonas aeruginosa	Pseudomonas	1	6434020	6434020	99.68	0.11	Complete Genome	GCA_900618335.1	paerg012
GCF_000284555.1	Pseudomonas aeruginosa	Pseudomonas	1	6764661	6764661	99.68	0.43	Complete Genome	GCA_000284555.1	NCGM2.S1
GCF_001722045.1	Pseudomonas aeruginosa	Pseudomonas	1	6639108	6639108	99.68	0.43	Complete Genome	GCA_001722045.1	PA_D21
GCF_007559065.1	Pseudomonas aeruginosa	Pseudomonas	1	6809062	6809062	99.68	0.45	Complete Genome	GCA_007559065.1	60503
GCF_013376775.1	Pseudomonas aeruginosa	Pseudomonas	1	6770626	6770626	99.68	0.11	Complete Genome	GCA_013376775.1	CDN129
GCF_013415025.1	Pseudomonas aeruginosa	Pseudomonas	1	6264423	6264523	99.68	0.11	Chromosome	GCA_013415025.1	P16PBS
GCF_015697465.1	Pseudomonas aeruginosa	Pseudomonas	1	6480192	6480192	99.68	0.14	Complete Genome	GCA_015697465.1	G-I-1
GCF_001516105.1	Pseudomonas aeruginosa	Pseudomonas	1	6456866	6456866	99.68	0.14	Complete Genome	GCA_001516105.1	T63266
GCF_001547955.1	Pseudomonas aeruginosa	Pseudomonas	1	7090694	7090694	99.68	0.95	Complete Genome	GCA_001547955.1	NCGM257
GCF_001606045.1	Pseudomonas aeruginosa	Pseudomonas	1	6370730	6370730	99.68	0.11	Complete Genome	GCA_001606045.1	N17-1
GCF_001792855.1	Pseudomonas aeruginosa	Pseudomonas	1	6928736	6928736	99.68	0.84	Complete Genome	GCA_001792855.1	PA8281
GCF_001879525.1	Pseudomonas aeruginosa	Pseudomonas	1	6504659	6504659	99.68	0.11	Complete Genome	GCA_001879525.1	PAER4_119;Paer4_119
GCF_002237425.1	Pseudomonas aeruginosa	Pseudomonas	1	6943220	6943220	99.68	0.14	Complete Genome	GCA_002237425.1	Ocean-1175
GCF_003324255.1	Pseudomonas aeruginosa	Pseudomonas	1	6752712	6752712	99.68	0.14	Contig	GCA_003324255.1	AR_0459
GCF_003429205.1	Pseudomonas aeruginosa	Pseudomonas	1	6503460	6503460	99.68	0.11	Complete Genome	GCA_003429205.1	PABL017
GCF_004102665.1	Pseudomonas aeruginosa	Pseudomonas	1	6383803	6383803	99.68	0.11	Complete Genome	GCA_004102665.1	PAO1161
GCF_004193735.1	Pseudomonas aeruginosa	Pseudomonas	1	6902135	6902135	99.68	0.84	Complete Genome	GCA_004193735.1	14;1334/14;1334
GCF_009867055.1	Pseudomonas aeruginosa	Pseudomonas	1	6299465	6299465	99.68	0.43	Complete Genome	GCA_009867055.1	YB01
GCF_013414945.1	Pseudomonas aeruginosa	Pseudomonas	1	6264434	6264534	99.68	0.11	Chromosome	GCA_013414945.1	PAO1PBS
GCF_016105885.1	Pseudomonas aeruginosa	Pseudomonas	1	6660255	6660255	99.68	0.15	Complete Genome	GCA_016105885.1	TJ2014-049
GCF_018141565.1	Pseudomonas aeruginosa	Pseudomonas	1	6715242	6715242	99.68	0.43	Complete Genome	GCA_018141565.1	PAG7
GCF_902172305.2	Pseudomonas aeruginosa	Pseudomonas	1	6395872	6395872	99.68	0.11	Complete Genome	GCA_902172305.2	PAK
GCF_000026645.1	Pseudomonas aeruginosa	Pseudomonas	1	6601757	6601757	99.68	0.45	Complete Genome	GCA_000026645.1	LESB58
GCF_001721845.1	Pseudomonas aeruginosa	Pseudomonas	1	6683204	6683204	99.68	0.76	Complete Genome	GCA_001721845.1	PA_D25
GCF_002208645.1	Pseudomonas aeruginosa	Pseudomonas	1	7411863	7411863	99.68	0.53	Complete Genome	GCA_002208645.1	Pa1207
GCF_002442855.1	Pseudomonas aeruginosa	Pseudomonas	1	6334472	6334472	99.68	0.11	Complete Genome	GCA_002442855.1	PA_150577
GCF_002997005.1	Pseudomonas aeruginosa	Pseudomonas	1	6822666	6822666	99.68	0.94	Complete Genome	GCA_002997005.1	AR_0095
GCF_003347525.2	Pseudomonas aeruginosa	Pseudomonas	1	6468234	6468334	99.68	0.16	Chromosome	GCA_003347525.2	LV
GCF_003798125.1	Pseudomonas aeruginosa	Pseudomonas	1	6706800	6706800	99.68	0.11	Complete Genome	GCA_003798125.1	H25883
GCF_004355145.1	Pseudomonas aeruginosa	Pseudomonas	1	6373893	6373893	99.68	0.11	Complete Genome	GCA_004355145.1	AES1R
GCF_009676765.1	Pseudomonas aeruginosa	Pseudomonas	1	7344079	7344079	99.68	0.78	Complete Genome	GCA_009676765.1	1811-13R031
GCF_013375875.1	Pseudomonas aeruginosa	Pseudomonas	1	6866106	6866206	99.68	0.45	Chromosome	GCA_013375875.1	PABCH46
GCF_900636975.1	Pseudomonas aeruginosa	Pseudomonas	1	6765311	6765311	99.68	0.53	Complete Genome	GCA_900636975.1	NCTC13715
GCF_900637045.1	Pseudomonas aeruginosa	Pseudomonas	1	6363395	6363395	99.68	0.43	Complete Genome	GCA_900637045.1	NCTC10728
GCF_000006765.1	Pseudomonas aeruginosa	Pseudomonas	1	6264404	6264404	99.68	0.11	Complete Genome	GCA_000006765.1	PAO1
GCF_000223965.1	Pseudomonas aeruginosa	Pseudomonas	1	6719211	6719211	99.68	0.54	Chromosome	GCA_000223965.2	213BR
GCF_000414035.1	Pseudomonas aeruginosa	Pseudomonas	1	6342034	6342034	99.68	0.11	Complete Genome	GCA_000414035.1	RP73
GCF_001293085.1	Pseudomonas aeruginosa	Pseudomonas	1	6500439	6500439	99.68	0.3	Complete Genome	GCA_001293085.1	PA1RG
GCF_001516225.2	Pseudomonas aeruginosa	Pseudomonas	1	6896700	6896700	99.68	0.11	Complete Genome	GCA_001516225.2	W60856
GCF_003074095.1	Pseudomonas aeruginosa	Pseudomonas	1	7167115	7167215	99.68	1.03	Chromosome	GCA_003074095.1	AR_0440
GCF_003074115.1	Pseudomonas aeruginosa	Pseudomonas	1	6776614	6776714	99.68	0.17	Chromosome	GCA_003074115.1	AR_0443
GCF_012276675.1	Pseudomonas aeruginosa	Pseudomonas	1	6375262	6375262	99.68	0.11	Complete Genome	GCA_012276675.1	CMC-115
GCF_013305645.2	Pseudomonas aeruginosa	Pseudomonas	1	6870662	6870662	99.68	0.51	Complete Genome	GCA_013305645.2	YT12746
GCF_013305765.1	Pseudomonas aeruginosa	Pseudomonas	1	6275136	6275136	99.68	0.11	Complete Genome	GCA_013305765.1	LIUYANG-E
GCF_013415005.1	Pseudomonas aeruginosa	Pseudomonas	1	6264423	6264523	99.68	0.11	Chromosome	GCA_013415005.1	P4CT
GCF_016126955.1	Pseudomonas aeruginosa	Pseudomonas	1	6842475	6842475	99.68	0.11	Complete Genome	GCA_016126955.1	FDAARGOS_1041
GCF_016745115.1	Pseudomonas aeruginosa	Pseudomonas	1	7177049	7177049	99.68	0.86	Complete Genome	GCA_016745115.1	YTSEY8
GCF_017378395.1	Pseudomonas aeruginosa	Pseudomonas	1	6638990	6638990	99.68	0.48	Complete Genome	GCA_017378395.1	LYSZa5
GCF_001045685.1	Pseudomonas aeruginosa	Pseudomonas	1	6317050	6317050	99.68	0.11	Complete Genome	GCA_001045685.1	DSM 50071
GCF_001516345.1	Pseudomonas aeruginosa	Pseudomonas	1	6836415	6836415	99.68	0.11	Complete Genome	GCA_001516345.1	H47921
GCF_001721825.1	Pseudomonas aeruginosa	Pseudomonas	1	6681981	6681981	99.68	0.76	Complete Genome	GCA_001721825.1	PA_D22
GCF_002085605.1	Pseudomonas aeruginosa	Pseudomonas	1	7380063	7380063	99.68	0.11	Complete Genome	GCA_002085605.1	RIVM-EMC2982
GCF_002104615.1	Pseudomonas aeruginosa	Pseudomonas	1	6893164	6893164	99.68	0.56	Complete Genome	GCA_002104615.1	PASGNDM345
GCF_002287725.2	Pseudomonas aeruginosa	Pseudomonas	1	6930893	6930893	99.68	0.47	Complete Genome	GCA_002287725.2	PPF-1
GCF_003028335.1	Pseudomonas aeruginosa	Pseudomonas	1	7050928	7050928	99.68	0.43	Complete Genome	GCA_003028335.1	MRSN12280
GCF_003073795.1	Pseudomonas aeruginosa	Pseudomonas	1	7267567	7267567	99.68	0.56	Complete Genome	GCA_003073795.1	AR442
GCF_009676785.1	Pseudomonas aeruginosa	Pseudomonas	1	7343000	7343000	99.68	0.78	Complete Genome	GCA_009676785.1	1811-18R001
GCF_013375815.1	Pseudomonas aeruginosa	Pseudomonas	1	7025566	7025666	99.68	0.35	Chromosome	GCA_013375815.1	PABCH10
GCF_013375915.1	Pseudomonas aeruginosa	Pseudomonas	1	7046351	7046451	99.68	0.49	Chromosome	GCA_013375915.1	PABCH01
GCF_014155905.1	Pseudomonas aeruginosa	Pseudomonas	1	7092673	7092673	99.68	0.19	Complete Genome	GCA_014155905.1	401853
GCF_016584725.1	Pseudomonas aeruginosa	Pseudomonas	1	6534364	6534364	99.68	0.11	Complete Genome	GCA_016584725.1	LYSZa7
GCF_017900915.1	Pseudomonas aeruginosa	Pseudomonas	1	6602988	6602988	99.68	0.22	Complete Genome	GCA_017900915.1	LICME WGH-6
GCF_000504045.1	Pseudomonas aeruginosa	Pseudomonas	1	6580038	6580038	99.68	0.11	Complete Genome	GCA_000504045.1	MTB-1
GCF_000981825.1	Pseudomonas aeruginosa	Pseudomonas	1	7497593	7497593	99.68	0.11	Complete Genome	GCA_000981825.1	Carb01 63
GCF_001722025.1	Pseudomonas aeruginosa	Pseudomonas	1	6681992	6681992	99.68	0.76	Complete Genome	GCA_001722025.1	PA_D5
GCF_002205355.1	Pseudomonas aeruginosa	Pseudomonas	1	7148302	7148302	99.68	1.18	Complete Genome	GCA_002205355.1	Pa127
GCF_003324465.1	Pseudomonas aeruginosa	Pseudomonas	1	6418505	6418505	99.68	0.49	Contig	GCA_003324465.1	AR_0352
GCF_003369755.1	Pseudomonas aeruginosa	Pseudomonas	1	7106857	7106857	99.68	0.11	Complete Genome	GCA_003369755.1	Y82
GCF_003429185.1	Pseudomonas aeruginosa	Pseudomonas	1	6546467	6546467	99.68	0.32	Complete Genome	GCA_003429185.1	PABL012
GCF_009676885.1	Pseudomonas aeruginosa	Pseudomonas	1	6737396	6737396	99.68	0.11	Complete Genome	GCA_009676885.1	KRP1
GCF_013343375.1	Pseudomonas aeruginosa	Pseudomonas	1	6506945	6506945	99.68	0.11	Complete Genome	GCA_013343375.1	DVT425
GCF_016919425.1	Pseudomonas aeruginosa	Pseudomonas	1	6398674	6398774	99.68	0.11	Chromosome	GCA_016919425.1	PDNC003
GCF_900618255.1	Pseudomonas aeruginosa	Pseudomonas	1	6451470	6451470	99.68	0.11	Complete Genome	GCA_900618255.1	paerg002
GCF_900636755.1	Pseudomonas aeruginosa	Pseudomonas	1	6839985	6839985	99.68	0.11	Complete Genome	GCA_900636755.1	NCTC12903
GCF_001516245.2	Pseudomonas aeruginosa	Pseudomonas	1	6517340	6517340	99.68	0.11	Complete Genome	GCA_001516245.2	F23197
GCF_001594325.2	Pseudomonas aeruginosa	Pseudomonas	1	6618768	6618768	99.68	0.15	Complete Genome	GCA_001594325.2	F63912
GCF_001792835.1	Pseudomonas aeruginosa	Pseudomonas	1	6721480	6721480	99.68	0.54	Complete Genome	GCA_001792835.1	PA1088
GCF_001874805.1	Pseudomonas aeruginosa	Pseudomonas	1	6963676	6963676	99.68	0.15	Contig	GCA_001874805.1	AR_0092
GCF_002946935.1	Pseudomonas aeruginosa	Pseudomonas	1	6645227	6645227	99.68	1.93	Complete Genome	GCA_002946935.1	F5677
GCF_003073615.1	Pseudomonas aeruginosa	Pseudomonas	1	6853499	6853499	99.68	0.11	Complete Genome	GCA_003073615.1	AR444
GCF_003324295.1	Pseudomonas aeruginosa	Pseudomonas	1	7079305	7079305	99.68	0.48	Contig	GCA_003324295.1	AR_0456
GCF_003813005.1	Pseudomonas aeruginosa	Pseudomonas	1	7029824	7029824	99.68	0.11	Complete Genome	GCA_003813005.1	FDAARGOS_505
GCF_004291075.1	Pseudomonas aeruginosa	Pseudomonas	1	6819140	6819140	99.68	0.37	Complete Genome	GCA_004291075.1	E80
GCF_006364795.1	Pseudomonas aeruginosa	Pseudomonas	1	6792215	6792215	99.68	0.61	Complete Genome	GCA_006364795.1	FDAARGOS_610
GCF_013395035.1	Pseudomonas aeruginosa	Pseudomonas	1	6490014	6490014	99.68	0.14	Complete Genome	GCA_013395035.1	B18
GCF_013415045.1	Pseudomonas aeruginosa	Pseudomonas	1	6264554	6264654	99.68	0.11	Chromosome	GCA_013415045.1	P16CT
GCF_013415085.1	Pseudomonas aeruginosa	Pseudomonas	1	6264658	6264758	99.68	0.11	Chromosome	GCA_013415085.1	A17CT
GCF_015697665.1	Pseudomonas aeruginosa	Pseudomonas	1	7087087	7087087	99.68	0.11	Complete Genome	GCA_015697665.1	A-I-1
GCF_018279305.1	Pseudomonas aeruginosa	Pseudomonas	1	6734601	6734601	99.68	0.11	Complete Genome	GCA_018279305.1	ZBX-P11
GCF_000524595.1	Pseudomonas aeruginosa	Pseudomonas	1	6433441	6433441	99.68	0.43	Complete Genome	GCA_000524595.1	YL84
GCF_001516185.2	Pseudomonas aeruginosa	Pseudomonas	1	6791731	6791731	99.68	0.17	Complete Genome	GCA_001516185.2	W36662
GCF_002223805.1	Pseudomonas aeruginosa	Pseudomonas	1	6661962	6661962	99.68	0.17	Complete Genome	GCA_002223805.1	L10
GCF_002753655.1	Pseudomonas aeruginosa	Pseudomonas	1	6621378	6621378	99.68	0.43	Complete Genome	GCA_002753655.1	12939
GCF_003194245.1	Pseudomonas aeruginosa	Pseudomonas	1	6859232	6859232	99.68	0.43	Complete Genome	GCA_003194245.1	CCUG 70744
GCF_008033725.1	Pseudomonas aeruginosa	Pseudomonas	1	6501414	6501414	99.68	1.08	Complete Genome	GCA_008033725.1	IMP67
GCF_008195485.1	Pseudomonas aeruginosa	Pseudomonas	1	7012798	7012798	99.68	0.27	Complete Genome	GCA_008195485.1	CCUG 51971
GCF_009905195.1	Pseudomonas aeruginosa	Pseudomonas	1	6335031	6335031	99.68	0.14	Complete Genome	GCA_009905195.1	INP-43
GCF_013255565.1	Pseudomonas aeruginosa	Pseudomonas	1	6924367	6924367	99.68	0.55	Complete Genome	GCA_013255565.1	PSE6684
GCF_013305815.1	Pseudomonas aeruginosa	Pseudomonas	1	6266737	6266737	99.68	0.11	Complete Genome	GCA_013305815.1	LIUYANG-C
GCF_013347245.1	Pseudomonas aeruginosa	Pseudomonas	1	6832395	6832395	99.68	0.51	Complete Genome	GCA_013347245.1	CDN118
GCF_016864415.1	Pseudomonas aeruginosa	Pseudomonas	1	7130555	7130555	99.68	0.6	Complete Genome	GCA_016864415.1	PARM801
GCF_017378475.1	Pseudomonas aeruginosa	Pseudomonas	1	6638980	6638980	99.68	0.48	Complete Genome	GCA_017378475.1	LYSZa2
GCF_900070375.1	Pseudomonas aeruginosa	Pseudomonas	1	6276469	6276469	99.68	0.11	Complete Genome	GCA_900070375.1	PAO1_Orsay
GCF_904866275.1	Pseudomonas aeruginosa	Pseudomonas	1	6270455	6270455	99.68	0.19	Complete Genome	GCA_904866275.1	MINF_7A-sc-2280434
GCF_000223945.1	Pseudomonas aeruginosa	Pseudomonas	1	6742964	6742964	99.68	0.9	Chromosome	GCA_000223945.2	19BR
GCF_000271365.1	Pseudomonas aeruginosa	Pseudomonas	1	6402658	6402658	99.68	0.11	Complete Genome	GCA_000271365.1	DK2
GCF_000829275.1	Pseudomonas aeruginosa	Pseudomonas	1	6814936	6814936	99.68	0.49	Complete Genome	GCA_000829275.1	NCGM1900;NCGM 1900
GCF_001721785.1	Pseudomonas aeruginosa	Pseudomonas	1	6645477	6645477	99.68	0.76	Complete Genome	GCA_001721785.1	PA_D9
GCF_013343475.1	Pseudomonas aeruginosa	Pseudomonas	1	6386887	6386887	99.68	0.11	Complete Genome	GCA_013343475.1	DVT779
GCF_013343515.1	Pseudomonas aeruginosa	Pseudomonas	1	6930600	6930600	99.68	0.11	Complete Genome	GCA_013343515.1	DVT413
GCF_013393685.1	Pseudomonas aeruginosa	Pseudomonas	1	7153217	7153217	99.68	0.15	Complete Genome	GCA_013393685.1	SE5369
GCF_013415065.1	Pseudomonas aeruginosa	Pseudomonas	1	6264406	6264506	99.68	0.11	Chromosome	GCA_013415065.1	A17PBS
GCF_900149285.1	Pseudomonas aeruginosa	Pseudomonas	1	6288645	6288645	99.68	0.11	Complete Genome	GCA_900149285.1	PcyII-10
GCF_900185255.1	Pseudomonas aeruginosa	Pseudomonas	1	6902967	6902967	99.68	0.39	Complete Genome	GCA_900185255.1	early isolate NN2 (clone C)
GCF_000496605.2	Pseudomonas aeruginosa	Pseudomonas	1	6498072	6498072	99.68	0.43	Complete Genome	GCA_000496605.2	PA1
GCF_000816985.1	Pseudomonas aeruginosa	Pseudomonas	1	6603099	6603099	99.68	0.11	Complete Genome	GCA_000816985.1	F22031
GCF_001721805.1	Pseudomonas aeruginosa	Pseudomonas	1	6681975	6681975	99.68	0.76	Complete Genome	GCA_001721805.1	PA_D16
GCF_003204335.1	Pseudomonas aeruginosa	Pseudomonas	1	6799785	6799785	99.68	0.49	Complete Genome	GCA_003204335.1	AR_0110
GCF_003798145.1	Pseudomonas aeruginosa	Pseudomonas	1	6729216	6729216	99.68	0.81	Complete Genome	GCA_003798145.1	H26023
GCF_004014755.1	Pseudomonas aeruginosa	Pseudomonas	1	6241875	6241875	99.68	0.11	Complete Genome	GCA_004014755.2	PA0750
GCF_006364735.1	Pseudomonas aeruginosa	Pseudomonas	1	6263676	6263676	99.68	0.11	Complete Genome	GCA_006364735.1	FDAARGOS_767
GCF_000623675.2	Salmonella enterica	Salmonella	1	4685848	4685848	100.0	0.13	Complete Genome	GCA_000623675.2	SA19970769
GCF_000626095.2	Salmonella enterica	Salmonella	1	4685848	4685848	100.0	0.13	Complete Genome	GCA_000626095.2	EC20120200
GCF_000750435.1	Salmonella enterica	Salmonella	1	4678377	4678377	100.0	0.04	Complete Genome	GCA_000750435.1	OLF-SE4-0317-8
GCF_000941015.2	Salmonella enterica	Salmonella	1	4856438	4856438	100.0	0.04	Complete Genome	GCA_000941015.2	USDA-ARS-USMARC-1899
