pairid	q_acc	r_acc	band	split	anim_ani	af_tier	stratum
GCA_002392135.1__GCF_000239915.1	GCA_002392135.1	GCF_000239915.1	97-100	train	99.3500	strict	
GCA_002393085.1__GCA_017940505.1	GCA_002393085.1	GCA_017940505.1	97-100	train	97.8700	strict	
GCA_002393085.1__GCA_902789255.1	GCA_002393085.1	GCA_902789255.1	97-100	train	98.0100	strict	
GCA_002394115.1__GCA_002394445.1	GCA_002394115.1	GCA_002394445.1	97-100	train	98.3600	strict	
GCA_002396275.1__GCA_003477385.1	GCA_002396275.1	GCA_003477385.1	97-100	test	97.9700	strict	
GCA_002396305.1__GCA_902770955.1	GCA_002396305.1	GCA_902770955.1	97-100	train	98.4000	strict	
GCA_002396855.1__GCA_002400165.1	GCA_002396855.1	GCA_002400165.1	97-100	test	99.4600	strict	
GCA_002396905.1__GCA_002397125.1	GCA_002396905.1	GCA_002397125.1	97-100	train	99.8700	strict	
GCA_002396905.1__GCA_002427175.1	GCA_002396905.1	GCA_002427175.1	97-100	train	99.8200	strict	
GCA_002397945.1__GCA_012515675.1	GCA_002397945.1	GCA_012515675.1	97-100	train	98.5200	strict	
GCA_002397945.1__GCA_019137035.1	GCA_002397945.1	GCA_019137035.1	97-100	train	98.3100	strict	
GCA_002398185.1__GCA_002424445.1	GCA_002398185.1	GCA_002424445.1	97-100	test	99.5400	strict	
GCA_002398265.1__GCA_002424085.1	GCA_002398265.1	GCA_002424085.1	97-100	train	99.0200	strict	
GCA_002398805.1__GCA_002427175.1	GCA_002398805.1	GCA_002427175.1	97-100	train	99.6400	strict	
GCA_002400245.1__GCA_002427335.1	GCA_002400245.1	GCA_002427335.1	97-100	train	98.8700	verylow-AF	
GCA_002403185.1__GCA_017999775.1	GCA_002403185.1	GCA_017999775.1	97-100	train	97.7700	strict	
GCA_002403255.1__GCA_003543575.1	GCA_002403255.1	GCA_003543575.1	97-100	train	99.3700	strict	
GCA_002405135.1__GCA_002431265.1	GCA_002405135.1	GCA_002431265.1	97-100	train	99.5600	strict	
GCA_002405135.1__GCA_002476685.1	GCA_002405135.1	GCA_002476685.1	97-100	train	99.8500	strict	
GCA_002407765.1__GCA_002426185.1	GCA_002407765.1	GCA_002426185.1	97-100	train	99.7200	strict	
GCA_002408625.1__GCA_018054665.1	GCA_002408625.1	GCA_018054665.1	97-100	test	97.1600	low-AF	
GCA_002412085.1__GCA_002505115.1	GCA_002412085.1	GCA_002505115.1	97-100	train	99.8300	strict	
GCA_002413445.1__GCA_902564855.1	GCA_002413445.1	GCA_902564855.1	97-100	test	99.5100	strict	
GCA_002413545.1__GCA_012964995.1	GCA_002413545.1	GCA_012964995.1	97-100	train	99.5400	strict	
GCA_002414925.1__GCA_002694475.1	GCA_002414925.1	GCA_002694475.1	97-100	train	99.9700	strict	
GCA_002415645.1__GCA_002480445.1	GCA_002415645.1	GCA_002480445.1	97-100	train	99.0400	strict	
GCA_002417865.1__GCA_002418135.1	GCA_002417865.1	GCA_002418135.1	97-100	train	99.8800	strict	
GCA_002418405.1__GCA_018372615.1	GCA_002418405.1	GCA_018372615.1	97-100	train	98.7300	strict	
GCA_002420065.1__GCA_003529165.1	GCA_002420065.1	GCA_003529165.1	97-100	train	99.4900	strict	
GCA_002420405.1__GCA_002687415.1	GCA_002420405.1	GCA_002687415.1	97-100	train	99.9900	strict	
GCA_002420865.1__GCA_900547885.1	GCA_002420865.1	GCA_900547885.1	97-100	train	98.2100	strict	
GCA_002425115.1__GCA_002433925.1	GCA_002425115.1	GCA_002433925.1	97-100	train	99.9800	strict	
GCA_002425625.1__GCF_003086915.1	GCA_002425625.1	GCF_003086915.1	97-100	train	97.1100	strict	
GCA_002428535.1__GCA_003454985.1	GCA_002428535.1	GCA_003454985.1	97-100	test	97.9500	low-AF	
GCA_002428535.1__GCA_018433905.1	GCA_002428535.1	GCA_018433905.1	97-100	test	97.4500	strict	
GCA_002430065.1__GCA_017857325.1	GCA_002430065.1	GCA_017857325.1	97-100	test	99.0100	strict	
GCA_002430565.1__GCA_003455755.1	GCA_002430565.1	GCA_003455755.1	97-100	train	99.8900	strict	
GCA_002431195.1__GCA_002708035.1	GCA_002431195.1	GCA_002708035.1	97-100	train	99.5200	low-AF	
GCA_002431265.1__GCA_002476685.1	GCA_002431265.1	GCA_002476685.1	97-100	train	99.5800	strict	
GCA_002431505.1__GCA_003488365.1	GCA_002431505.1	GCA_003488365.1	97-100	test	99.8900	strict	
GCA_002433445.1__GCA_002719855.1	GCA_002433445.1	GCA_002719855.1	97-100	train	99.9800	strict	
GCA_002435455.1__GCA_002438765.1	GCA_002435455.1	GCA_002438765.1	97-100	train	98.7700	strict	
GCA_002436715.1__GCA_002477875.1	GCA_002436715.1	GCA_002477875.1	97-100	test	99.1100	strict	
GCA_002438115.1__GCA_003532415.1	GCA_002438115.1	GCA_003532415.1	97-100	train	97.7600	strict	
GCA_002438765.1__GCA_002439715.1	GCA_002438765.1	GCA_002439715.1	97-100	train	98.6500	strict	
GCA_002440075.1__GCA_002451815.1	GCA_002440075.1	GCA_002451815.1	97-100	train	99.3900	strict	
GCA_002450435.1__GCA_002500965.1	GCA_002450435.1	GCA_002500965.1	97-100	train	99.7100	strict	
GCA_002450765.1__GCA_003483585.1	GCA_002450765.1	GCA_003483585.1	97-100	train	99.7200	strict	
GCA_002450845.1__GCA_003525265.1	GCA_002450845.1	GCA_003525265.1	97-100	train	99.9500	strict	
GCA_002450995.1__GCA_002451215.1	GCA_002450995.1	GCA_002451215.1	97-100	train	99.3900	strict	
GCA_002451285.1__GCA_903839765.1	GCA_002451285.1	GCA_903839765.1	97-100	train	99.4500	strict	
GCA_002452655.1__GCA_003445665.1	GCA_002452655.1	GCA_003445665.1	97-100	train	98.9400	strict	
GCA_002453235.1__GCA_003538795.1	GCA_002453235.1	GCA_003538795.1	97-100	train	99.8800	strict	
GCA_002453805.1__GCA_002453945.1	GCA_002453805.1	GCA_002453945.1	97-100	train	99.6400	strict	
GCA_002455845.1__GCA_002717065.1	GCA_002455845.1	GCA_002717065.1	97-100	train	99.9800	strict	
GCA_002457765.1__GCA_003523885.1	GCA_002457765.1	GCA_003523885.1	97-100	train	99.6000	strict	
GCA_002469795.1__GCA_002690685.1	GCA_002469795.1	GCA_002690685.1	97-100	train	99.4700	strict	
GCA_002469955.1__GCA_003506855.1	GCA_002469955.1	GCA_003506855.1	97-100	train	99.4500	strict	
GCA_002470035.1__GCA_900299445.1	GCA_002470035.1	GCA_900299445.1	97-100	train	99.9700	strict	
GCA_002471725.1__GCA_002686325.1	GCA_002471725.1	GCA_002686325.1	97-100	test	99.9500	strict	
GCA_002472155.1__GCA_902790945.1	GCA_002472155.1	GCA_902790945.1	97-100	train	97.6100	strict	
GCA_002472355.1__GCA_002481925.1	GCA_002472355.1	GCA_002481925.1	97-100	train	99.8000	strict	
GCA_002473005.1__GCA_016277725.1	GCA_002473005.1	GCA_016277725.1	97-100	train	99.6500	strict	
GCA_002473225.1__GCF_013267085.1	GCA_002473225.1	GCF_013267085.1	97-100	test	98.0000	strict	
GCA_002480055.1__GCA_905478815.1	GCA_002480055.1	GCA_905478815.1	97-100	train	99.7300	strict	
GCA_002490555.1__GCA_002491645.1	GCA_002490555.1	GCA_002491645.1	97-100	train	99.9900	strict	
GCA_002491085.1__GCA_002493585.1	GCA_002491085.1	GCA_002493585.1	97-100	test	99.8700	strict	
GCA_002491315.1__GCA_002492815.1	GCA_002491315.1	GCA_002492815.1	97-100	train	99.9800	strict	
GCA_002491555.1__GCA_002493265.1	GCA_002491555.1	GCA_002493265.1	97-100	train	99.9600	strict	
GCA_002491735.1__GCA_002493555.1	GCA_002491735.1	GCA_002493555.1	97-100	train	99.9600	strict	
GCA_002491865.1__GCA_910584515.1	GCA_002491865.1	GCA_910584515.1	97-100	train	99.4800	strict	
GCA_002493245.1__GCA_905204545.1	GCA_002493245.1	GCA_905204545.1	97-100	test	99.5900	strict	
GCA_002496995.1__GCA_009387855.1	GCA_002496995.1	GCA_009387855.1	97-100	test	99.0700	strict	
GCA_002497045.1__GCA_003584605.1	GCA_002497045.1	GCA_003584605.1	97-100	train	99.8300	strict	
GCA_002497705.1__GCA_002503835.1	GCA_002497705.1	GCA_002503835.1	97-100	train	99.6000	strict	
GCA_002500215.1__GCA_003537275.1	GCA_002500215.1	GCA_003537275.1	97-100	test	98.9200	strict	
GCA_002502935.1__GCA_900079125.1	GCA_002502935.1	GCA_900079125.1	97-100	train	98.8200	strict	
GCA_002505035.1__GCA_002763205.1	GCA_002505035.1	GCA_002763205.1	97-100	train	99.7500	strict	
GCA_002505035.1__GCA_002763255.1	GCA_002505035.1	GCA_002763255.1	97-100	train	99.7700	strict	
GCA_002505645.1__GCA_019056895.1	GCA_002505645.1	GCA_019056895.1	97-100	train	99.9800	strict	
GCA_002509505.1__GCA_017994735.1	GCA_002509505.1	GCA_017994735.1	97-100	test	99.5000	strict	
GCA_002509605.1__GCA_902786095.1	GCA_002509605.1	GCA_902786095.1	97-100	train	98.1800	strict	
GCA_002689885.1__GCA_902593395.1	GCA_002689885.1	GCA_902593395.1	97-100	train	97.2500	strict	
GCA_002692635.1__GCA_002729675.1	GCA_002692635.1	GCA_002729675.1	97-100	train	98.6600	strict	
GCA_002693025.1__GCA_002725105.1	GCA_002693025.1	GCA_002725105.1	97-100	train	99.7200	strict	
GCA_002695845.1__GCA_002702225.1	GCA_002695845.1	GCA_002702225.1	97-100	train	98.2800	strict	
GCA_002698025.1__GCA_002712225.1	GCA_002698025.1	GCA_002712225.1	97-100	train	97.1600	strict	
GCA_002700265.1__GCA_017643205.1	GCA_002700265.1	GCA_017643205.1	97-100	train	99.2200	strict	
GCA_002702005.1__GCA_003209665.1	GCA_002702005.1	GCA_003209665.1	97-100	test	97.9000	strict	
GCA_002705225.1__GCA_003331375.1	GCA_002705225.1	GCA_003331375.1	97-100	test	98.1800	strict	
GCA_002712965.1__GCA_009391645.1	GCA_002712965.1	GCA_009391645.1	97-100	train	98.7800	strict	
GCA_002716425.1__GCA_003448475.1	GCA_002716425.1	GCA_003448475.1	97-100	train	98.7000	strict	
GCA_002716425.1__GCA_009391675.1	GCA_002716425.1	GCA_009391675.1	97-100	train	98.6400	strict	
GCA_002725245.1__GCA_013330135.1	GCA_002725245.1	GCA_013330135.1	97-100	test	99.7200	strict	
GCA_002754795.1__GCF_002271775.1	GCA_002754795.1	GCF_002271775.1	97-100	test	98.9500	strict	
GCA_002763255.1__GCA_002785255.1	GCA_002763255.1	GCA_002785255.1	97-100	train	99.4900	strict	
GCA_002772225.1__GCA_002793275.1	GCA_002772225.1	GCA_002793275.1	97-100	train	99.5300	strict	
GCA_002772855.1__GCA_009992265.1	GCA_002772855.1	GCA_009992265.1	97-100	train	99.9400	strict	
GCA_002779155.1__GCA_002789755.1	GCA_002779155.1	GCA_002789755.1	97-100	train	99.9000	strict	
GCA_002781685.1__GCA_002784285.1	GCA_002781685.1	GCA_002784285.1	97-100	test	99.5800	strict	
GCA_002781865.1__GCA_009993355.1	GCA_002781865.1	GCA_009993355.1	97-100	test	99.8400	strict	
GCA_002782325.1__GCA_002787335.1	GCA_002782325.1	GCA_002787335.1	97-100	test	99.7200	strict	
GCA_002785285.1__GCA_002790275.1	GCA_002785285.1	GCA_002790275.1	97-100	train	99.9000	strict	
GCA_002786095.1__GCF_900640075.1	GCA_002786095.1	GCF_900640075.1	97-100	train	99.8000	strict	
GCA_002788255.1__GCA_002793395.1	GCA_002788255.1	GCA_002793395.1	97-100	train	99.9500	strict	
GCA_002788415.1__GCA_002792975.1	GCA_002788415.1	GCA_002792975.1	97-100	train	99.9400	strict	
GCA_002789155.1__GCA_009993785.1	GCA_002789155.1	GCA_009993785.1	97-100	test	99.8200	strict	
GCA_002790895.1__GCA_002792655.1	GCA_002790895.1	GCA_002792655.1	97-100	train	99.8500	strict	
GCA_002792455.1__GCA_002793975.1	GCA_002792455.1	GCA_002793975.1	97-100	train	99.3200	strict	
GCA_002816355.1__GCA_009392645.1	GCA_002816355.1	GCA_009392645.1	97-100	train	98.5300	strict	
GCA_002839685.1__GCF_012933645.1	GCA_002839685.1	GCF_012933645.1	97-100	train	98.9500	strict	
GCA_002905835.1__GCF_000452525.3	GCA_002905835.1	GCF_000452525.3	97-100	test	98.6100	strict	
GCA_003058485.1__GCA_019100325.1	GCA_003058485.1	GCA_019100325.1	97-100	train	99.6500	strict	
GCA_003131505.1__GCA_003134935.1	GCA_003131505.1	GCA_003134935.1	97-100	train	99.0500	strict	
GCA_003131995.1__GCA_003167035.1	GCA_003131995.1	GCA_003167035.1	97-100	train	98.3700	strict	
GCA_003132345.1__GCA_003134935.1	GCA_003132345.1	GCA_003134935.1	97-100	train	99.0100	strict	
GCA_003132375.1__GCA_003132845.1	GCA_003132375.1	GCA_003132845.1	97-100	train	99.5100	strict	
GCA_003132485.1__GCA_003132545.1	GCA_003132485.1	GCA_003132545.1	97-100	train	98.8400	strict	
GCA_003132485.1__GCA_003132965.1	GCA_003132485.1	GCA_003132965.1	97-100	train	99.1500	strict	
GCA_003132545.1__GCA_003132965.1	GCA_003132545.1	GCA_003132965.1	97-100	train	99.0000	strict	
GCA_003132845.1__GCA_003140755.1	GCA_003132845.1	GCA_003140755.1	97-100	train	99.7500	strict	
GCA_003135235.1__GCA_003161155.1	GCA_003135235.1	GCA_003161155.1	97-100	train	99.0700	strict	
GCA_003135655.1__GCA_003169785.1	GCA_003135655.1	GCA_003169785.1	97-100	train	99.6900	strict	
GCA_003138155.1__GCA_003158015.1	GCA_003138155.1	GCA_003158015.1	97-100	train	99.4400	strict	
GCA_003138175.1__GCA_003161105.1	GCA_003138175.1	GCA_003161105.1	97-100	test	99.5100	strict	
GCA_003138335.1__GCA_003156515.1	GCA_003138335.1	GCA_003156515.1	97-100	test	99.8100	strict	
GCA_003138715.1__GCA_003159855.1	GCA_003138715.1	GCA_003159855.1	97-100	test	99.7000	strict	
GCA_003139495.1__GCA_003166935.1	GCA_003139495.1	GCA_003166935.1	97-100	train	99.5000	strict	
GCA_003140725.1__GCA_003153175.1	GCA_003140725.1	GCA_003153175.1	97-100	train	99.4500	strict	
GCA_003150015.1__GCA_018367385.1	GCA_003150015.1	GCA_018367385.1	97-100	train	99.8100	strict	
GCA_003150885.1__GCA_018381625.1	GCA_003150885.1	GCA_018381625.1	97-100	test	99.9800	strict	
GCA_003150885.1__GCF_017566165.1	GCA_003150885.1	GCF_017566165.1	97-100	test	99.9800	strict	
GCA_003153795.1__GCA_003157475.1	GCA_003153795.1	GCA_003157475.1	97-100	train	99.3200	strict	
GCA_003154505.1__GCA_003155355.1	GCA_003154505.1	GCA_003155355.1	97-100	test	99.3200	strict	
GCA_003154505.1__GCA_003158325.1	GCA_003154505.1	GCA_003158325.1	97-100	test	99.7100	strict	
GCA_003154875.1__GCA_003157795.1	GCA_003154875.1	GCA_003157795.1	97-100	train	98.8300	strict	
GCA_003155455.1__GCA_003158815.1	GCA_003155455.1	GCA_003158815.1	97-100	test	99.2100	strict	
GCA_003155455.1__GCA_003161995.1	GCA_003155455.1	GCA_003161995.1	97-100	test	99.2700	strict	
GCA_003156515.1__GCA_003169085.1	GCA_003156515.1	GCA_003169085.1	97-100	test	99.7300	strict	
GCA_003156875.1__GCA_003157305.1	GCA_003156875.1	GCA_003157305.1	97-100	train	98.2700	strict	
GCA_003159365.1__GCA_003159975.1	GCA_003159365.1	GCA_003159975.1	97-100	train	99.2700	strict	
GCA_003161595.1__GCA_003167225.1	GCA_003161595.1	GCA_003167225.1	97-100	test	99.3900	strict	
GCA_003209665.1__GCA_902594495.1	GCA_003209665.1	GCA_902594495.1	97-100	test	100.0000	strict	
GCA_003218855.1__GCA_003219835.1	GCA_003218855.1	GCA_003219835.1	97-100	train	98.4700	strict	
GCA_003225115.1__GCA_003225155.1	GCA_003225115.1	GCA_003225155.1	97-100	train	99.3100	strict	
GCA_003241585.1__GCA_003241635.1	GCA_003241585.1	GCA_003241635.1	97-100	test	100.0000	strict	
GCA_003248635.1__GCF_000224715.1	GCA_003248635.1	GCF_000224715.1	97-100	train	98.0000	strict	
GCA_003343525.1__GCA_905206385.1	GCA_003343525.1	GCA_905206385.1	97-100	train	98.3700	strict	
GCA_003343635.1__GCF_015550205.1	GCA_003343635.1	GCF_015550205.1	97-100	train	98.8700	strict	
GCA_003343635.1__GCF_902386815.1	GCA_003343635.1	GCF_902386815.1	97-100	train	99.9000	strict	
GCA_003385575.1__GCA_003389245.1	GCA_003385575.1	GCA_003389245.1	97-100	train	99.9800	strict	
GCA_003388515.1__GCA_003389355.1	GCA_003388515.1	GCA_003389355.1	97-100	test	99.5000	strict	
GCA_003445655.1__GCA_012521605.1	GCA_003445655.1	GCA_012521605.1	97-100	train	99.7400	strict	
GCA_003446395.1__GCA_902789255.1	GCA_003446395.1	GCA_902789255.1	97-100	train	98.1100	strict	
GCA_003447905.1__GCA_017413135.1	GCA_003447905.1	GCA_017413135.1	97-100	test	97.3500	strict	
GCA_003448475.1__GCA_009391675.1	GCA_003448475.1	GCA_009391675.1	97-100	train	99.7400	strict	
GCA_003451515.1__GCA_905214595.1	GCA_003451515.1	GCA_905214595.1	97-100	train	97.3500	strict	
GCA_003452555.1__GCA_018383075.1	GCA_003452555.1	GCA_018383075.1	97-100	train	98.4900	strict	
GCA_003453075.1__GCA_003535715.1	GCA_003453075.1	GCA_003535715.1	97-100	train	99.6400	strict	
GCA_003459985.1__GCA_014864285.1	GCA_003459985.1	GCA_014864285.1	97-100	train	99.1800	strict	
GCA_003459985.1__GCA_905196935.1	GCA_003459985.1	GCA_905196935.1	97-100	train	99.1900	strict	
GCA_003478565.1__GCA_905196385.1	GCA_003478565.1	GCA_905196385.1	97-100	train	98.1100	strict	
GCA_003480625.1__GCF_018917925.1	GCA_003480625.1	GCF_018917925.1	97-100	test	98.4500	strict	
GCA_003484445.1__GCA_003534055.1	GCA_003484445.1	GCA_003534055.1	97-100	train	99.1300	strict	
GCA_003486265.1__GCA_009929385.1	GCA_003486265.1	GCA_009929385.1	97-100	test	98.7600	strict	
GCA_003486585.1__GCA_003507035.1	GCA_003486585.1	GCA_003507035.1	97-100	test	99.4100	strict	
GCA_003487495.1__GCA_003537815.1	GCA_003487495.1	GCA_003537815.1	97-100	train	98.7900	strict	
GCA_003491695.1__GCA_018609025.1	GCA_003491695.1	GCA_018609025.1	97-100	test	99.9100	strict	
GCA_003497385.1__GCA_902796015.1	GCA_003497385.1	GCA_902796015.1	97-100	train	98.8900	strict	
GCA_003497385.1__GCA_902802235.1	GCA_003497385.1	GCA_902802235.1	97-100	train	98.9000	strict	
GCA_003499865.1__GCA_003512145.1	GCA_003499865.1	GCA_003512145.1	97-100	train	98.7000	strict	
GCA_003500785.1__GCA_003505675.1	GCA_003500785.1	GCA_003505675.1	97-100	test	99.2900	strict	
GCA_003503375.1__GCA_003525025.1	GCA_003503375.1	GCA_003525025.1	97-100	train	99.4000	strict	
GCA_003509125.1__GCA_003533685.1	GCA_003509125.1	GCA_003533685.1	97-100	test	99.7300	strict	
GCA_003510855.1__GCA_014764115.1	GCA_003510855.1	GCA_014764115.1	97-100	test	99.0200	strict	
GCA_003511045.1__GCA_003524005.1	GCA_003511045.1	GCA_003524005.1	97-100	train	99.9900	strict	
GCA_003516345.1__GCA_902526635.1	GCA_003516345.1	GCA_902526635.1	97-100	train	99.3400	low-AF	
GCA_003521015.1__GCA_003529415.1	GCA_003521015.1	GCA_003529415.1	97-100	test	99.0000	strict	
GCA_003526955.1__GCF_015553695.1	GCA_003526955.1	GCF_015553695.1	97-100	test	98.3000	strict	
GCA_003529475.1__GCA_018379325.1	GCA_003529475.1	GCA_018379325.1	97-100	train	99.5800	strict	
GCA_003530025.1__GCA_905213035.1	GCA_003530025.1	GCA_905213035.1	97-100	train	98.7200	strict	
GCA_003534915.1__GCA_003545475.1	GCA_003534915.1	GCA_003545475.1	97-100	test	99.9400	strict	
GCA_003534955.1__GCA_905479175.1	GCA_003534955.1	GCA_905479175.1	97-100	test	99.1800	strict	
GCA_003535215.1__GCA_902755205.1	GCA_003535215.1	GCA_902755205.1	97-100	train	98.4900	strict	
GCA_003537025.1__GCF_900156585.1	GCA_003537025.1	GCF_900156585.1	97-100	train	98.7300	strict	
GCA_003537815.1__GCA_905201315.1	GCA_003537815.1	GCA_905201315.1	97-100	train	98.7900	strict	
GCA_003539535.1__GCA_018370305.1	GCA_003539535.1	GCA_018370305.1	97-100	train	98.3700	strict	
GCA_003542775.1__GCF_016760265.1	GCA_003542775.1	GCF_016760265.1	97-100	train	97.6900	strict	
GCA_003542775.1__GCF_016760285.1	GCA_003542775.1	GCF_016760285.1	97-100	train	97.6800	strict	
GCA_003551885.1__GCA_007121875.1	GCA_003551885.1	GCA_007121875.1	97-100	test	99.5800	strict	
GCA_003553145.1__GCA_003557985.1	GCA_003553145.1	GCA_003557985.1	97-100	train	99.4500	strict	
GCA_003555365.1__GCA_017536985.1	GCA_003555365.1	GCA_017536985.1	97-100	train	98.4600	strict	
GCA_003556235.1__GCA_007123475.1	GCA_003556235.1	GCA_007123475.1	97-100	train	99.6100	strict	
GCA_003556465.1__GCA_003564375.1	GCA_003556465.1	GCA_003564375.1	97-100	train	99.3500	strict	
GCA_003556885.1__GCA_007120735.1	GCA_003556885.1	GCA_007120735.1	97-100	train	99.6800	strict	
GCA_003557615.1__GCA_007124755.1	GCA_003557615.1	GCA_007124755.1	97-100	train	99.6400	strict	
GCA_003557985.1__GCA_003568175.1	GCA_003557985.1	GCA_003568175.1	97-100	train	99.5100	strict	
GCA_003560055.1__GCA_003563265.1	GCA_003560055.1	GCA_003563265.1	97-100	train	99.5700	strict	
GCA_003560415.1__GCA_003564115.1	GCA_003560415.1	GCA_003564115.1	97-100	train	99.5300	strict	
GCA_003560415.1__GCA_007126425.1	GCA_003560415.1	GCA_007126425.1	97-100	train	99.6300	low-AF	
GCA_003560635.1__GCA_003564175.1	GCA_003560635.1	GCA_003564175.1	97-100	test	99.7700	strict	
GCA_003561075.1__GCA_003561905.1	GCA_003561075.1	GCA_003561905.1	97-100	train	99.5500	strict	
GCA_003561415.1__GCA_003564555.1	GCA_003561415.1	GCA_003564555.1	97-100	train	99.5000	low-AF	
GCA_003561545.1__GCA_003564695.1	GCA_003561545.1	GCA_003564695.1	97-100	test	99.4500	strict	
GCA_003562035.1__GCA_003568175.1	GCA_003562035.1	GCA_003568175.1	97-100	train	99.5300	strict	
GCA_003562135.1__GCA_007121255.1	GCA_003562135.1	GCA_007121255.1	97-100	test	99.9100	strict	
GCA_003562135.1__GCA_007136505.1	GCA_003562135.1	GCA_007136505.1	97-100	test	99.9000	strict	
GCA_003562515.1__GCA_007124975.1	GCA_003562515.1	GCA_007124975.1	97-100	train	99.6200	low-AF	
GCA_003564115.1__GCA_007126425.1	GCA_003564115.1	GCA_007126425.1	97-100	train	99.7300	low-AF	
GCA_003564595.1__GCA_007116325.1	GCA_003564595.1	GCA_007116325.1	97-100	test	99.8900	strict	
GCA_003564595.1__GCA_007124025.1	GCA_003564595.1	GCA_007124025.1	97-100	test	99.9100	strict	
GCA_003564625.1__GCA_007130795.1	GCA_003564625.1	GCA_007130795.1	97-100	train	99.6700	strict	
GCA_003566115.1__GCA_007129125.1	GCA_003566115.1	GCA_007129125.1	97-100	test	99.6500	strict	
GCA_003567995.1__GCA_007123295.1	GCA_003567995.1	GCA_007123295.1	97-100	train	99.4300	strict	
GCA_003568135.1__GCA_007130225.1	GCA_003568135.1	GCA_007130225.1	97-100	test	99.7600	strict	
GCA_003577345.1__GCA_013360835.1	GCA_003577345.1	GCA_013360835.1	97-100	train	99.1200	strict	
GCA_003585625.1__GCF_000263655.1	GCA_003585625.1	GCF_000263655.1	97-100	train	97.5500	strict	
GCA_003644685.1__GCA_003644735.1	GCA_003644685.1	GCA_003644735.1	97-100	test	98.5100	strict	
GCA_003672125.1__GCA_018671035.1	GCA_003672125.1	GCA_018671035.1	97-100	train	99.1600	strict	
GCA_003696925.1__GCA_015296045.1	GCA_003696925.1	GCA_015296045.1	97-100	train	99.7800	strict	
GCA_003709175.1__GCA_004124485.1	GCA_003709175.1	GCA_004124485.1	97-100	test	97.6500	low-AF	
GCA_003712035.1__GCA_017641265.1	GCA_003712035.1	GCA_017641265.1	97-100	test	98.9100	strict	
GCA_003762755.1__GCA_009775475.1	GCA_003762755.1	GCA_009775475.1	97-100	test	98.9700	strict	
GCA_003762805.1__GCA_009775475.1	GCA_003762805.1	GCA_009775475.1	97-100	test	98.9800	strict	
GCA_003966995.1__GCF_011317485.1	GCA_003966995.1	GCF_011317485.1	97-100	train	99.9900	strict	
GCA_003979385.1__GCF_004803935.1	GCA_003979385.1	GCF_004803935.1	97-100	test	99.2900	strict	
GCA_004006215.1__GCF_004551665.1	GCA_004006215.1	GCF_004551665.1	97-100	train	98.1300	strict	
GCA_004212715.1__GCA_905478345.1	GCA_004212715.1	GCA_905478345.1	97-100	test	99.3300	strict	
GCA_004213355.1__GCA_902604955.1	GCA_004213355.1	GCA_902604955.1	97-100	train	98.2600	strict	
GCA_004213395.1__GCA_902572725.1	GCA_004213395.1	GCA_902572725.1	97-100	train	99.5000	low-AF	
GCA_004213445.1__GCA_009391625.1	GCA_004213445.1	GCA_009391625.1	97-100	train	99.6700	strict	
GCA_004283095.1__GCA_018677255.1	GCA_004283095.1	GCA_018677255.1	97-100	train	99.4900	strict	
GCA_004292525.1__GCA_004293465.1	GCA_004292525.1	GCA_004293465.1	97-100	train	99.4100	strict	
GCA_004292525.1__GCA_004293515.1	GCA_004292525.1	GCA_004293515.1	97-100	train	99.2600	strict	
GCA_004292975.1__GCA_004294245.1	GCA_004292975.1	GCA_004294245.1	97-100	test	98.6400	strict	
GCA_004293395.1__GCA_004293515.1	GCA_004293395.1	GCA_004293515.1	97-100	train	99.5500	strict	
GCA_004552785.1__GCA_900541165.1	GCA_004552785.1	GCA_900541165.1	97-100	train	97.1100	strict	
GCA_004552785.1__GCA_905195025.1	GCA_004552785.1	GCA_905195025.1	97-100	train	97.0800	strict	
GCA_004553345.1__GCA_018385255.1	GCA_004553345.1	GCA_018385255.1	97-100	train	99.4500	strict	
GCA_004555945.1__GCA_905200965.1	GCA_004555945.1	GCA_905200965.1	97-100	train	97.3000	strict	
GCA_004556815.1__GCA_004562555.1	GCA_004556815.1	GCA_004562555.1	97-100	train	98.2600	strict	
GCA_004557615.1__GCA_905209415.1	GCA_004557615.1	GCA_905209415.1	97-100	test	99.3100	strict	
GCA_004563445.1__GCA_016296925.1	GCA_004563445.1	GCA_016296925.1	97-100	train	99.1400	strict	
GCA_004768385.1__GCA_004768435.1	GCA_004768385.1	GCA_004768435.1	97-100	train	98.8600	strict	
GCA_005768775.1__GCA_905369865.1	GCA_005768775.1	GCA_905369865.1	97-100	train	97.3700	strict	
GCA_005776525.1__GCA_005790695.1	GCA_005776525.1	GCA_005790695.1	97-100	test	99.8900	strict	
GCA_005777705.1__GCA_005790615.1	GCA_005777705.1	GCA_005790615.1	97-100	train	99.9200	strict	
GCA_005777705.1__GCA_005800055.1	GCA_005777705.1	GCA_005800055.1	97-100	train	99.9300	strict	
GCA_005777725.1__GCA_005792345.1	GCA_005777725.1	GCA_005792345.1	97-100	test	99.9900	strict	
GCA_005777725.1__GCA_005797875.1	GCA_005777725.1	GCA_005797875.1	97-100	test	99.9900	strict	
GCA_005787845.1__GCA_005799035.1	GCA_005787845.1	GCA_005799035.1	97-100	train	99.7900	strict	
GCA_005789365.1__GCA_005792965.1	GCA_005789365.1	GCA_005792965.1	97-100	train	99.8700	strict	
GCA_005790615.1__GCA_005800055.1	GCA_005790615.1	GCA_005800055.1	97-100	train	99.9400	strict	
