pairid	band	dnadiff_blocks	dnadiff_inverted_blocks	dnadiff_aligned_bp	dnadiff_inverted_bp	dnadiff_inverted_fraction
GCA_002380835.1__GCF_001534765.1	97-100	757	414	2225039	1137379	0.5111726131541964
GCA_002380835.1__GCF_003660425.1	97-100	794	444	2229605	1122458	0.5034335678292792
GCA_002380895.1__GCA_002454595.1	97-100	242	149	3970176	2513731	0.6331535428152304
GCA_002382185.1__GCA_002422585.1	97-100	194	106	2120904	1009148	0.47581031484687664
GCA_002383505.1__GCA_002419535.1	97-100	54	15	2586138	955554	0.3694907232328669
GCA_002384255.1__GCF_004353485.1	97-100	257	140	2737541	1519148	0.5549315973715097
GCA_002384615.1__GCA_002388765.1	97-100	473	255	3170111	1760249	0.555264153211039
GCA_002385395.1__GCA_012728345.1	97-100	314	183	2081277	1274897	0.6125551764613745
GCA_002386485.1__GCA_002437745.1	97-100	115	54	781899	301659	0.3858030257104818
GCA_002386485.1__GCA_002451575.1	97-100	21	14	925601	450610	0.48682963825665704
GCA_002387615.1__GCA_009886705.1	97-100	277	158	1503077	918864	0.6113219748555796
GCA_002387705.1__GCA_018607345.1	97-100	453	199	2040205	882789	0.4326962241539453
GCA_002388965.1__GCF_006740765.1	97-100	46	29	4080408	2711608	0.66454334958661
GCA_002389565.1__GCA_018609025.1	97-100	121	61	2916504	1537666	0.5272291757528877
GCA_002390335.1__GCA_018609025.1	97-100	18	4	69669	5739	0.08237523145157817
GCA_002391355.1__GCA_012840645.1	97-100	275	129	1863087	901869	0.48407240241599025
GCA_002391805.1__GCA_003488365.1	97-100	935	455	3122163	1434883	0.45957978491193446
GCA_002392135.1__GCF_000239915.1	97-100	240	136	1570355	869521	0.553709829942911
GCA_002393085.1__GCA_017940505.1	97-100	458	223	1903201	911197	0.47877076567320004
GCA_002393085.1__GCA_902789255.1	97-100	503	246	1433897	702555	0.4899619707691696
GCA_002394115.1__GCA_002394445.1	97-100	281	165	1330965	783199	0.5884444744978268
GCA_002396275.1__GCA_003477385.1	97-100	357	157	926259	391471	0.4226366491445697
GCA_002396305.1__GCA_902770955.1	97-100	333	168	2184378	961102	0.4399888663958344
GCA_002396855.1__GCA_002400165.1	97-100	546	276	1548373	789450	0.5098577668300855
GCA_002396905.1__GCA_002397125.1	97-100	789	365	2251112	1014082	0.45048047365035593
GCA_002396905.1__GCA_002427175.1	97-100	868	413	2195010	1014107	0.4620056400654211
GCA_002397945.1__GCA_012515675.1	97-100	426	214	1161850	633067	0.5448784266471576
GCA_002397945.1__GCA_019137035.1	97-100	428	216	1131140	532844	0.47106812596141945
GCA_002398185.1__GCA_002424445.1	97-100	1091	519	1846577	917213	0.4967098582945634
GCA_002398265.1__GCA_002424085.1	97-100	285	109	1886607	922031	0.4887244667278347
GCA_002398805.1__GCA_002427175.1	97-100	997	555	2179268	1228109	0.5635419783156547
GCA_002400245.1__GCA_002427335.1	97-100	6	6	14244	14244	1.0
GCA_002403185.1__GCA_017999775.1	97-100	203	112	1064664	631092	0.5927616600166813
GCA_002403255.1__GCA_003543575.1	97-100	354	192	1498044	819933	0.5473357257864255
GCA_002405135.1__GCA_002431265.1	97-100	192	90	1527858	676525	0.44279311297254065
GCA_002405135.1__GCA_002476685.1	97-100	108	52	1555602	710851	0.4569619992774501
GCA_002407765.1__GCA_002426185.1	97-100	273	97	1909943	726307	0.3802767936006467
GCA_002408625.1__GCA_018054665.1	97-100	557	252	1105370	509276	0.4607289866741453
GCA_002412085.1__GCA_002505115.1	97-100	105	52	737551	379512	0.5145569594509397
GCA_002413445.1__GCA_902564855.1	97-100	296	148	1544805	837322	0.5420243979013533
GCA_002413545.1__GCA_012964995.1	97-100	654	319	2806724	1388947	0.4948641191652617
GCA_002414925.1__GCA_002694475.1	97-100	96	51	4024952	2111993	0.5247250153542203
GCA_002415645.1__GCA_002480445.1	97-100	427	201	3073070	1345628	0.43787743201423984
GCA_002417865.1__GCA_002418135.1	97-100	126	54	1041072	467677	0.4492263743525904
GCA_002418405.1__GCA_018372615.1	97-100	242	88	4135374	1641292	0.39689082535219306
GCA_002420065.1__GCA_003529165.1	97-100	1107	646	1656427	999000	0.6031053587027982
GCA_002420405.1__GCA_002687415.1	97-100	192	90	1649214	743686	0.45093359624645435
GCA_002420865.1__GCA_900547885.1	97-100	296	126	2230230	1003796	0.45008631396761767
GCA_002425115.1__GCA_002433925.1	97-100	55	24	870140	341116	0.3920242719562369
GCA_002425625.1__GCF_003086915.1	97-100	843	390	3876599	1711364	0.44146015618329365
GCA_002428535.1__GCA_003454985.1	97-100	426	200	1303123	624276	0.47906145467465466
GCA_002428535.1__GCA_018433905.1	97-100	432	221	1909180	944416	0.4946710105909343
GCA_002430065.1__GCA_017857325.1	97-100	671	352	1895952	998199	0.5264895946732828
GCA_002430565.1__GCA_003455755.1	97-100	818	393	2265967	1194849	0.5273020304355712
GCA_002431195.1__GCA_002708035.1	97-100	141	57	2110906	966312	0.45777121292942463
GCA_002431265.1__GCA_002476685.1	97-100	227	104	1491878	690840	0.4630673553735627
GCA_002431505.1__GCA_003488365.1	97-100	858	461	3252462	1742719	0.5358153300484372
GCA_002433445.1__GCA_002719855.1	97-100	134	62	1474815	634705	0.43036245223977243
GCA_002435455.1__GCA_002438765.1	97-100	207	97	1230848	612021	0.4972352394446755
GCA_002436715.1__GCA_002477875.1	97-100	85	41	806598	360899	0.44743354186348094
GCA_002438115.1__GCA_003532415.1	97-100	338	176	1419428	698488	0.4920911803909744
GCA_002438765.1__GCA_002439715.1	97-100	247	135	1177166	655177	0.5565714606096337
GCA_002440075.1__GCA_002451815.1	97-100	216	119	1860311	1198232	0.644103055886892
GCA_002450435.1__GCA_002500965.1	97-100	307	109	1030128	343130	0.33309452805864903
GCA_002450765.1__GCA_003483585.1	97-100	579	290	1636564	881825	0.5388270791731946
GCA_002450845.1__GCA_003525265.1	97-100	482	220	2006241	988112	0.49251909416665296
GCA_002450995.1__GCA_002451215.1	97-100	526	289	2428537	1399763	0.5763811710507191
GCA_002451285.1__GCA_903839765.1	97-100	368	229	1848976	1168329	0.6318789427228909
GCA_002452655.1__GCA_003445665.1	97-100	430	206	1903481	932125	0.48969493259980007
GCA_002453235.1__GCA_003538795.1	97-100	538	272	1949444	956092	0.4904434289982169
GCA_002453805.1__GCA_002453945.1	97-100	218	92	3910603	1693276	0.43299613895862094
GCA_002455845.1__GCA_002717065.1	97-100	150	70	1149635	518780	0.4512562682938498
GCA_002457765.1__GCA_003523885.1	97-100	430	208	1382201	597794	0.43249426096493926
GCA_002469795.1__GCA_002690685.1	97-100	486	235	2577059	1312833	0.5094307115203804
GCA_002469955.1__GCA_003506855.1	97-100	202	99	849223	463264	0.5455151356004253
GCA_002470035.1__GCA_900299445.1	97-100	350	178	3002885	1599867	0.5327766464583226
GCA_002471725.1__GCA_002686325.1	97-100	169	70	1172635	457752	0.39036187731050154
GCA_002472155.1__GCA_902790945.1	97-100	431	230	2247587	1161663	0.5168489584607848
GCA_002472355.1__GCA_002481925.1	97-100	124	51	1694204	648919	0.3830229417472748
GCA_002473005.1__GCA_016277725.1	97-100	358	182	2807789	1517618	0.5405028654218675
GCA_002473225.1__GCF_013267085.1	97-100	431	209	3824061	1413319	0.3695858931120607
GCA_002480055.1__GCA_905478815.1	97-100	281	140	2018405	1063223	0.5267639547068106
GCA_002490555.1__GCA_002491645.1	97-100	133	76	3303327	1763346	0.5338090961022024
GCA_002491085.1__GCA_002493585.1	97-100	168	87	1290448	574291	0.44503226786356365
GCA_002491315.1__GCA_002492815.1	97-100	114	56	2161506	1009887	0.4672145254281043
GCA_002491555.1__GCA_002493265.1	97-100	503	272	1325224	698599	0.5271554091987468
GCA_002491735.1__GCA_002493555.1	97-100	423	191	2631800	1177091	0.4472570104111255
GCA_002491865.1__GCA_910584515.1	97-100	130	59	1640022	790102	0.48176304952006743
GCA_002493245.1__GCA_905204545.1	97-100	340	181	1514514	829343	0.5475967868240241
GCA_002496995.1__GCA_009387855.1	97-100	182	87	1331160	617577	0.46393897052195077
GCA_002497045.1__GCA_003584605.1	97-100	314	160	2416472	1235062	0.5111013080226049
GCA_002497705.1__GCA_002503835.1	97-100	366	181	1462843	706394	0.4828911920144541
GCA_002500215.1__GCA_003537275.1	97-100	847	416	3167095	1530649	0.48329746976330046
GCA_002502935.1__GCA_900079125.1	97-100	455	260	2148895	1132893	0.5271979319603797
GCA_002505035.1__GCA_002763205.1	97-100	100	53	659813	279601	0.42375794353854807
GCA_002505035.1__GCA_002763255.1	97-100	114	46	697039	261031	0.37448550224592886
GCA_002505645.1__GCA_019056895.1	97-100	391	159	2700796	1294275	0.4792198300056724
GCA_002509505.1__GCA_017994735.1	97-100	241	118	1501040	708274	0.47185551351063265
GCA_002509605.1__GCA_902786095.1	97-100	223	130	1280339	758521	0.5924376278469999
GCA_002689885.1__GCA_902593395.1	97-100	90	48	759707	390008	0.5133663372852955
GCA_002692635.1__GCA_002729675.1	97-100	277	147	1714357	853455	0.4978280486503103
GCA_002693025.1__GCA_002725105.1	97-100	233	113	1753075	836657	0.47725111589635355
GCA_002695845.1__GCA_002702225.1	97-100	70	38	1038361	552658	0.5322407139713452
GCA_002698025.1__GCA_002712225.1	97-100	110	55	1764005	836251	0.47406384902537124
GCA_002700265.1__GCA_017643205.1	97-100	124	30	3431415	745559	0.21727450628967934
GCA_002702005.1__GCA_003209665.1	97-100	175	94	1704981	857184	0.5027528166003022
GCA_002705225.1__GCA_003331375.1	97-100	70	37	702949	380592	0.5414219239233572
GCA_002712965.1__GCA_009391645.1	97-100	76	41	1284740	696171	0.5418769556486137
GCA_002716425.1__GCA_003448475.1	97-100	165	85	775203	352234	0.45437646655134206
GCA_002716425.1__GCA_009391675.1	97-100	104	50	852183	375779	0.4409604509829462
GCA_002725245.1__GCA_013330135.1	97-100	187	88	1063706	515420	0.4845511823755812
GCA_002754795.1__GCF_002271775.1	97-100	190	92	3616074	1715838	0.474503010723785
GCA_002763255.1__GCA_002785255.1	97-100	205	85	680258	304607	0.4477815769899068
GCA_002772225.1__GCA_002793275.1	97-100	157	66	607814	246088	0.40487385943726206
GCA_002772855.1__GCA_009992265.1	97-100	22	10	940189	331537	0.3526280354269195
GCA_002779155.1__GCA_002789755.1	97-100	212	102	1226401	573518	0.4676431281448727
GCA_002781685.1__GCA_002784285.1	97-100	387	121	1582267	458510	0.28978042264674675
GCA_002781865.1__GCA_009993355.1	97-100	106	52	780058	342905	0.43958910747662355
GCA_002782325.1__GCA_002787335.1	97-100	71	30	391605	167397	0.42746389857126443
GCA_002785285.1__GCA_002790275.1	97-100	140	53	748031	293788	0.3927484288752739
GCA_002786095.1__GCF_900640075.1	97-100	162	88	3163885	1561344	0.4934894915586376
GCA_002788255.1__GCA_002793395.1	97-100	240	100	1730035	642526	0.3713947983711312
GCA_002788415.1__GCA_002792975.1	97-100	106	42	905297	376833	0.4162534505250763
GCA_002789155.1__GCA_009993785.1	97-100	672	305	2217907	1000237	0.4509823901543212
GCA_002790895.1__GCA_002792655.1	97-100	65	31	429115	221056	0.5151439590785687
GCA_002792455.1__GCA_002793975.1	97-100	110	47	430564	180109	0.41830947315613937
GCA_002816355.1__GCA_009392645.1	97-100	202	111	1331600	730150	0.5483253229197957
GCA_002839685.1__GCF_012933645.1	97-100	549	280	2024784	1053343	0.5202248733692088
GCA_002905835.1__GCF_000452525.3	97-100	289	117	5539248	2444406	0.4412884203776397
GCA_003058485.1__GCA_019100325.1	97-100	436	212	4143738	1931742	0.46618343148143054
GCA_003131505.1__GCA_003134935.1	97-100	834	423	3150956	1677934	0.5325158459845203
GCA_003131995.1__GCA_003167035.1	97-100	1372	658	3652306	1801078	0.49313447449364867
GCA_003132345.1__GCA_003134935.1	97-100	691	333	3342721	1643382	0.491630022368005
GCA_003132375.1__GCA_003132845.1	97-100	606	286	4495436	2140493	0.4761480310252443
GCA_003132485.1__GCA_003132545.1	97-100	887	464	2880974	1475597	0.5121868506970212
GCA_003132485.1__GCA_003132965.1	97-100	770	405	3394246	1761294	0.5189058188475437
GCA_003132545.1__GCA_003132965.1	97-100	765	343	3007731	1422632	0.4729917668834081
GCA_003132845.1__GCA_003140755.1	97-100	416	198	4810610	2476529	0.5148056067733614
GCA_003135235.1__GCA_003161155.1	97-100	764	391	1912774	1017602	0.5320032580953108
GCA_003135655.1__GCA_003169785.1	97-100	514	261	2431893	1253459	0.5154252263565873
GCA_003138155.1__GCA_003158015.1	97-100	1066	530	4255601	2030686	0.47717960400892845
GCA_003138175.1__GCA_003161105.1	97-100	631	332	2634493	1421182	0.5394518034399788
GCA_003138335.1__GCA_003156515.1	97-100	202	112	2366121	1289869	0.5451407599188715
GCA_003138715.1__GCA_003159855.1	97-100	250	139	2596631	1289902	0.4967598399618583
GCA_003139495.1__GCA_003166935.1	97-100	1030	505	4436443	2247473	0.5065934578670345
GCA_003140725.1__GCA_003153175.1	97-100	1284	634	6374158	3295018	0.5169338444387478
GCA_003150015.1__GCA_018367385.1	97-100	65	32	1039060	493630	0.4750736242372914
GCA_003150885.1__GCA_018381625.1	97-100	169	87	3007036	1564298	0.5202125947278317
GCA_003150885.1__GCF_017566165.1	97-100	68	25	3091865	526810	0.17038583508659014
GCA_003153795.1__GCA_003157475.1	97-100	545	277	2497066	1265421	0.5067631372178388
GCA_003154505.1__GCA_003155355.1	97-100	729	351	3069186	1359284	0.44288094628347713
GCA_003154505.1__GCA_003158325.1	97-100	386	171	3618821	1577919	0.4360312377981669
GCA_003154875.1__GCA_003157795.1	97-100	987	536	2725597	1494111	0.5481775185399749
GCA_003155455.1__GCA_003158815.1	97-100	635	299	2520078	1284211	0.5095917666040496
GCA_003155455.1__GCA_003161995.1	97-100	533	265	2584002	1322692	0.5118773127884576
GCA_003156515.1__GCA_003169085.1	97-100	186	64	2393586	887600	0.3708243614392798
GCA_003156875.1__GCA_003157305.1	97-100	857	416	1621383	773397	0.476998340305776
GCA_003159365.1__GCA_003159975.1	97-100	1474	712	5195465	2455204	0.47256674811590493
GCA_003161595.1__GCA_003167225.1	97-100	856	390	3444767	1695757	0.4922704496414416
GCA_003209665.1__GCA_902594495.1	97-100	108	0	2246969	0	0.0
GCA_003218855.1__GCA_003219835.1	97-100	460	241	1865159	943707	0.5059659793079303
GCA_003225115.1__GCA_003225155.1	97-100	1628	801	3080334	1494455	0.4851600508256572
GCA_003241585.1__GCA_003241635.1	97-100	184	0	8374384	0	0.0
GCA_003248635.1__GCF_000224715.1	97-100	597	305	2652635	1373249	0.5176924077379662
GCA_003343525.1__GCA_905206385.1	97-100	196	90	1237280	547014	0.44211011250484933
GCA_003343635.1__GCF_015550205.1	97-100	306	145	1940178	937471	0.4831881404695858
GCA_003343635.1__GCF_902386815.1	97-100	206	101	1971795	921110	0.46714288250046276
GCA_003385575.1__GCA_003389245.1	97-100	10	0	4138966	0	0.0
GCA_003388515.1__GCA_003389355.1	97-100	298	155	5075293	2124089	0.418515541861327
GCA_003445655.1__GCA_012521605.1	97-100	363	189	1170603	625530	0.5343656218205489
GCA_003446395.1__GCA_902789255.1	97-100	475	261	1142867	638170	0.5583939338523205
GCA_003447905.1__GCA_017413135.1	97-100	461	243	1473604	783995	0.5320255645342983
GCA_003448475.1__GCA_009391675.1	97-100	454	232	1532804	801296	0.5227648153319016
GCA_003451515.1__GCA_905214595.1	97-100	256	146	2111090	1102358	0.5221748006953754
GCA_003452555.1__GCA_018383075.1	97-100	179	92	1654492	890539	0.5382552469277578
GCA_003453075.1__GCA_003535715.1	97-100	369	201	1229152	641933	0.5222568079456406
GCA_003459985.1__GCA_014864285.1	97-100	185	102	2563290	1386002	0.5407121316745277
GCA_003459985.1__GCA_905196935.1	97-100	189	88	2356679	1094923	0.46460421635700067
GCA_003478565.1__GCA_905196385.1	97-100	376	182	2871088	1252363	0.4361980545354235
GCA_003480625.1__GCF_018917925.1	97-100	513	214	2304576	882133	0.3827745320614291
GCA_003484445.1__GCA_003534055.1	97-100	328	165	949879	495189	0.5213179783951429
GCA_003486265.1__GCA_009929385.1	97-100	402	191	1202013	554184	0.461046594337998
GCA_003486585.1__GCA_003507035.1	97-100	580	330	1426243	771522	0.5409470896614392
GCA_003487495.1__GCA_003537815.1	97-100	136	52	1431152	636289	0.44459917604838617
GCA_003491695.1__GCA_018609025.1	97-100	389	195	2570875	1275095	0.495977050615063
GCA_003497385.1__GCA_902796015.1	97-100	458	251	1401419	725484	0.5176781533574184
GCA_003497385.1__GCA_902802235.1	97-100	431	222	1476296	712393	0.48255431160146744
GCA_003499865.1__GCA_003512145.1	97-100	497	244	1124726	556193	0.49451421946322927
GCA_003500785.1__GCA_003505675.1	97-100	888	447	1876767	967357	0.5154379845766682
GCA_003503375.1__GCA_003525025.1	97-100	945	483	2284544	1188125	0.5200709638334827
GCA_003509125.1__GCA_003533685.1	97-100	840	407	1831616	922892	0.5038676229078585
GCA_003510855.1__GCA_014764115.1	97-100	909	422	3031481	1416063	0.4671192067507598
GCA_003511045.1__GCA_003524005.1	97-100	17	10	2173570	1406757	0.6472103497931974
GCA_003516345.1__GCA_902526635.1	97-100	463	238	1182345	625517	0.529047782161721
GCA_003521015.1__GCA_003529415.1	97-100	228	110	3697328	1767156	0.47795489066698976
GCA_003526955.1__GCF_015553695.1	97-100	233	133	1715311	840351	0.489911741952334
GCA_003529475.1__GCA_018379325.1	97-100	166	92	2432764	1411219	0.5800887385706135
GCA_003530025.1__GCA_905213035.1	97-100	74	46	639932	422024	0.659482570023065
GCA_003534915.1__GCA_003545475.1	97-100	20	17	1002199	849618	0.8477537894170719
GCA_003534955.1__GCA_905479175.1	97-100	443	250	1751742	941236	0.5373142848661504
GCA_003535215.1__GCA_902755205.1	97-100	397	209	1560359	825005	0.5287276838214795
GCA_003537025.1__GCF_900156585.1	97-100	143	57	3951538	1810814	0.45825549444292324
GCA_003537815.1__GCA_905201315.1	97-100	128	74	1400199	730564	0.5217572645031171
GCA_003539535.1__GCA_018370305.1	97-100	221	131	1352759	817222	0.6041149975716296
GCA_003542775.1__GCF_016760265.1	97-100	156	101	1545348	929402	0.6014192272549613
GCA_003542775.1__GCF_016760285.1	97-100	154	86	1545358	845829	0.5473353100058368
GCA_003551885.1__GCA_007121875.1	97-100	455	221	1694960	846623	0.4994943833482796
GCA_003553145.1__GCA_003557985.1	97-100	586	275	2648878	1248983	0.4715139768611465
GCA_003555365.1__GCA_017536985.1	97-100	477	218	2266217	1034762	0.4566032290817693
GCA_003556235.1__GCA_007123475.1	97-100	368	186	1706656	883737	0.51781788479928
GCA_003556465.1__GCA_003564375.1	97-100	368	180	1919868	1042323	0.5429138878297883
GCA_003556885.1__GCA_007120735.1	97-100	519	256	3011769	1391904	0.4621549660681148
GCA_003557615.1__GCA_007124755.1	97-100	607	304	3251748	1699570	0.5226635028298626
GCA_003557985.1__GCA_003568175.1	97-100	601	295	2704098	1345127	0.49744018153188235
GCA_003560055.1__GCA_003563265.1	97-100	489	251	2308163	1176525	0.5097235333899729
GCA_003560415.1__GCA_003564115.1	97-100	707	333	3189128	1455119	0.4562748814095891
GCA_003560415.1__GCA_007126425.1	97-100	572	292	1916477	1015237	0.5297412909207885
GCA_003560635.1__GCA_003564175.1	97-100	456	220	1792570	870503	0.4856172980692525
GCA_003561075.1__GCA_003561905.1	97-100	578	290	2045772	1022252	0.4996900925420819
GCA_003561415.1__GCA_003564555.1	97-100	334	159	2030827	930041	0.45796170722567703
GCA_003561545.1__GCA_003564695.1	97-100	598	317	2427908	1294633	0.5332298423169247
GCA_003562035.1__GCA_003568175.1	97-100	525	272	2570660	1428416	0.5556611920674068
GCA_003562135.1__GCA_007121255.1	97-100	400	154	2825785	1069250	0.3783904295620509
GCA_003562135.1__GCA_007136505.1	97-100	415	159	2877141	1063560	0.36965862986902626
GCA_003562515.1__GCA_007124975.1	97-100	350	178	1703704	846622	0.4969302179251795
GCA_003564115.1__GCA_007126425.1	97-100	466	221	2090919	1002125	0.4792749025667661
GCA_003564595.1__GCA_007116325.1	97-100	298	134	1442213	660202	0.45777010746678887
GCA_003564595.1__GCA_007124025.1	97-100	277	131	1635166	766115	0.46852429661575645
GCA_003564625.1__GCA_007130795.1	97-100	296	155	3120767	1520030	0.48706936467861905
GCA_003566115.1__GCA_007129125.1	97-100	636	315	2366374	1195231	0.5050896434798556
GCA_003567995.1__GCA_007123295.1	97-100	214	110	1247804	605656	0.4853775112116967
GCA_003568135.1__GCA_007130225.1	97-100	62	35	297168	169941	0.5718684380552415
GCA_003577345.1__GCA_013360835.1	97-100	667	388	3177082	1788258	0.5628617706436283
GCA_003585625.1__GCF_000263655.1	97-100	523	320	1372426	844849	0.615588017131707
GCA_003644685.1__GCA_003644735.1	97-100	496	231	1382336	680210	0.492072839020325
GCA_003672125.1__GCA_018671035.1	97-100	263	125	1322496	621492	0.4699386614401858
GCA_003696925.1__GCA_015296045.1	97-100	214	119	2243844	1175112	0.5237048564873494
GCA_003709175.1__GCA_004124485.1	97-100	204	123	841269	513377	0.6102411951468555
GCA_003712035.1__GCA_017641265.1	97-100	92	19	3415271	871709	0.25523860332020504
GCA_003762755.1__GCA_009775475.1	97-100	229	108	2465009	1166588	0.47325912400319836
GCA_003762805.1__GCA_009775475.1	97-100	229	105	2465008	1126192	0.45687153956498316
GCA_003966995.1__GCF_011317485.1	97-100	836	404	4908255	2133419	0.4346593646825603
GCA_003979385.1__GCF_004803935.1	97-100	168	79	2068142	1007673	0.48723588612387353
GCA_004006215.1__GCF_004551665.1	97-100	149	9	3542013	8798	0.002483898280441094
GCA_004212715.1__GCA_905478345.1	97-100	168	79	1293539	593761	0.45902056296717764
GCA_004213355.1__GCA_902604955.1	97-100	41	18	807601	255580	0.3164681569240256
GCA_004213395.1__GCA_902572725.1	97-100	110	52	1234510	606362	0.4911762561664142
GCA_004213445.1__GCA_009391625.1	97-100	77	34	968816	436549	0.4506005268286238
GCA_004283095.1__GCA_018677255.1	97-100	737	372	2437608	1224480	0.5023285122136127
GCA_004292525.1__GCA_004293465.1	97-100	1173	514	4572435	1930613	0.42222863747653055
GCA_004292525.1__GCA_004293515.1	97-100	1038	530	5187921	2320445	0.4472783991891935
GCA_004292975.1__GCA_004294245.1	97-100	673	281	1799078	680247	0.3781086756660912
GCA_004293395.1__GCA_004293515.1	97-100	578	240	5830094	2271762	0.38966129877151207
GCA_004552785.1__GCA_900541165.1	97-100	342	156	1673883	816956	0.4880603960969793
GCA_004552785.1__GCA_905195025.1	97-100	344	174	1699652	855947	0.5036013254477976
GCA_004553345.1__GCA_018385255.1	97-100	107	54	1170058	636302	0.543820904604729
GCA_004555945.1__GCA_905200965.1	97-100	520	226	1976306	880129	0.4453404482909023
GCA_004556815.1__GCA_004562555.1	97-100	371	190	1462608	738196	0.504712130659753
GCA_004557615.1__GCA_905209415.1	97-100	154	55	1538564	623567	0.40529155758226504
GCA_004563445.1__GCA_016296925.1	97-100	226	115	1776731	973898	0.5481403769056767
GCA_004768385.1__GCA_004768435.1	97-100	673	359	1665014	883601	0.5306868290596956
GCA_005768775.1__GCA_905369865.1	97-100	355	173	1363177	709007	0.5201136756268628
GCA_005776525.1__GCA_005790695.1	97-100	176	80	1055010	452311	0.4287267419266168
GCA_005777705.1__GCA_005790615.1	97-100	316	148	2351124	1072376	0.45611205534033933
GCA_005777705.1__GCA_005800055.1	97-100	207	112	2562705	1327950	0.5181829356090537
GCA_005777725.1__GCA_005792345.1	97-100	14	4	1212313	202686	0.1671894964419255
GCA_005777725.1__GCA_005797875.1	97-100	25	7	1512481	226083	0.14947824137956114
GCA_005787845.1__GCA_005799035.1	97-100	137	77	905850	479505	0.5293426063917868
GCA_005789365.1__GCA_005792965.1	97-100	178	84	1773007	790823	0.44603490003141555
GCA_005790615.1__GCA_005800055.1	97-100	324	182	2555582	1425505	0.5578005323249263
GCA_005792345.1__GCA_005797875.1	97-100	16	4	887404	98981	0.11153995249063561
GCA_005792965.1__GCA_005805455.1	97-100	53	21	1943477	553853	0.2849804757144026
GCA_005799295.1__GCA_005808605.1	97-100	248	120	1134301	576710	0.5084276572091535
GCA_005877575.1__GCA_005877605.1	97-100	877	409	2260775	1029533	0.45538941292255974
GCA_005878575.1__GCA_005879105.1	97-100	234	111	1479452	629379	0.4254135990893926
GCA_005879625.1__GCA_005880215.1	97-100	693	310	2548710	1185487	0.4651321648991058
GCA_005880425.1__GCA_005880595.1	97-100	966	469	2080352	958891	0.46092728538247374
GCA_005881185.1__GCA_005883535.1	97-100	719	366	2049332	1087492	0.5306568189048919
GCA_005882515.1__GCA_005885585.1	97-100	529	263	2012917	1009935	0.5017270955533686
GCA_005883535.1__GCA_005889125.1	97-100	672	355	1891771	947878	0.5010532458738399
GCA_005885195.1__GCA_005885225.1	97-100	832	422	1655421	806761	0.4873449110528379
GCA_006226575.1__GCA_006226625.1	97-100	619	280	1888675	816867	0.43250797516777634
GCA_006228015.1__GCA_006228035.1	97-100	348	169	2629810	1237276	0.4704811374205741
GCA_007116325.1__GCA_007122615.1	97-100	454	228	1578785	819478	0.5190561096032709
GCA_007118405.1__GCA_007132805.1	97-100	360	184	1437314	698268	0.48581451234733675
GCA_007118755.1__GCA_007125865.1	97-100	418	166	2284276	908220	0.39759643755833357
GCA_007118845.1__GCA_007133475.1	97-100	275	148	2441572	1357271	0.5559004608506323
GCA_007120115.1__GCA_007127115.1	97-100	480	227	2494623	1093039	0.43815799020533364
GCA_007121255.1__GCA_007136505.1	97-100	383	126	2741657	804096	0.293288328919336
GCA_007121905.1__GCA_007129935.1	97-100	677	321	2449903	1194041	0.4873829698563576
GCA_007125865.1__GCA_007132815.1	97-100	372	130	2734289	924428	0.3380871590384191
GCA_007129275.1__GCA_007130315.1	97-100	334	154	3747239	1810875	0.48325580514079836
GCA_007859155.1__GCF_001618265.1	97-100	214	120	1986086	1091274	0.5494595903702055
GCA_008011925.1__GCA_017997765.1	97-100	478	222	2388773	1128102	0.47225165388255813
GCA_008080525.1__GCA_009773225.1	97-100	190	106	3057912	1796603	0.5875260635361645
GCA_008080525.1__GCA_009773295.1	97-100	190	107	3048418	1774497	0.5821042258640383
GCA_008363105.1__GCA_014338175.1	97-100	136	66	2760301	1472631	0.5335037736826527
GCA_008363445.1__GCA_013360885.1	97-100	509	251	3253445	1578305	0.48511808252483135
GCA_008501795.1__GCA_016743565.1	97-100	35	11	5318970	2321842	0.43652098056578625
GCA_008667525.1__GCA_018380225.1	97-100	338	186	1810126	989310	0.546542063922622
GCA_008667915.1__GCA_008668315.1	97-100	137	65	1884128	863191	0.45813819443265
GCA_008668375.1__GCA_014866525.1	97-100	487	289	2571308	1490425	0.5796369007524576
GCA_008932945.1__GCA_903836985.1	97-100	734	375	2928135	1459472	0.4984305709948483
GCA_009391445.1__GCA_009392385.1	97-100	449	230	2251880	1164143	0.5169649359646162
GCA_009392385.1__GCA_009392625.1	97-100	486	239	1646581	790566	0.48012578792054567
GCA_009697445.1__GCA_013521055.1	97-100	101	57	906988	395845	0.43643907085871037
GCA_009697445.1__GCA_016106165.1	97-100	100	54	909569	437778	0.48130268291905287
GCA_009697645.1__GCA_009705485.1	97-100	26	12	1351029	466762	0.34548629230016525
GCA_009697925.1__GCA_009705485.1	97-100	37	13	1383845	551858	0.3987859912056625
GCA_009698005.1__GCA_009701225.1	97-100	13	3	1460201	630727	0.43194532807469654
GCA_009698145.1__GCA_009698395.1	97-100	376	196	1234801	599814	0.4857576241029931
GCA_009699675.1__GCA_009705265.1	97-100	465	207	1848210	826229	0.4470428143987967
GCA_009699785.1__GCA_009706025.1	97-100	259	131	1368887	637339	0.46558919764743184
GCA_009700335.1__GCA_009701535.1	97-100	34	17	1168634	700137	0.5991071627216049
GCA_009700745.1__GCA_009706105.1	97-100	429	224	3035949	1553117	0.5115754579540038
