query_asm	ref_asm
GCA_009840445.1	GCA_001007665.1
GCF_015207705.1	GCA_003990705.1
GCA_002749975.1	GCF_002964865.1
GCA_018993265.1	GCF_014697615.1
GCF_014698035.1	GCF_014023275.1
GCA_015295825.1	GCA_015296025.1
GCA_004299065.1	GCF_009846485.1
GCA_012842325.1	GCA_001513125.1
GCA_011330655.1	GCF_000183745.1
GCF_001880325.1	GCF_001280255.1
GCF_000430045.1	GCF_003574095.1
GCF_000373205.1	GCF_000430045.1
GCF_003426945.1	GCF_000236585.1
GCF_003226535.1	GCF_000092125.1
GCA_002401785.1	GCA_016763165.1
GCA_003153775.1	GCA_003142295.1
GCA_016844545.1	GCA_016208525.1
GCA_015493715.1	GCA_015489765.1
GCA_011390615.1	GCA_011390635.1
GCA_011051875.1	GCA_015484845.1
GCF_007830435.1	GCF_006175995.1
GCA_016874945.1	GCA_016874915.1
GCA_015489765.1	GCA_011322715.1
GCA_003142295.1	GCA_003142635.1
GCA_003566995.1	GCA_007125915.1
GCA_018333535.1	GCA_016874935.1
GCA_018823005.1	GCA_011391695.1
GCF_008802355.1	GCF_008330225.1
GCF_000215975.1	GCA_011361985.1
GCA_011390695.1	GCA_011390615.1
GCF_014201505.1	GCA_000769715.1
GCA_003153775.1	GCA_903893135.1
GCA_015233625.1	GCA_015233295.1
GCA_003641645.1	GCA_017656385.1
GCA_013619105.1	GCA_001751225.1
GCA_015233055.1	GCA_015233625.1
GCA_002841865.1	GCA_013177825.1
GCA_006226895.1	GCA_012974435.1
GCA_012513605.1	GCA_016931115.1
GCA_003486165.1	GCA_002868985.1
GCF_008330225.1	GCF_008802365.1
GCA_015492245.1	GCA_011371515.1
GCA_903893135.1	GCA_003142635.1
GCA_011042305.1	GCA_002327445.1
GCA_018399235.1	GCA_018334555.1
GCA_011390235.1	GCA_011390335.1
GCA_011390065.1	GCA_011389855.1
GCA_004193595.1	GCA_001751005.1
GCA_004028505.1	GCA_004028495.1
GCA_016218095.1	GCA_001797465.1
GCA_903885795.1	GCA_003451635.1
GCA_014859605.1	GCA_002841765.1
GCA_007134025.1	GCA_003561875.1
GCA_003141195.1	GCA_001873745.1
GCA_015233285.1	GCA_015233625.1
GCA_002238415.1	GCA_011523265.1
GCA_005888095.1	GCA_005879585.1
GCA_005879205.1	GCA_005888095.1
GCA_009837205.1	GCA_009840385.1
GCA_018654605.1	GCA_002701865.2
GCA_002697665.2	GCA_902609885.1
GCA_001775255.1	GCA_902826595.1
GCA_002715585.2	GCA_002697665.2
GCA_001873935.1	GCA_007280195.1
GCA_017881405.1	GCA_001797445.1
GCA_001873935.1	GCA_001797445.1
GCF_000512235.1	GCA_002067165.1
GCA_002418945.1	GCA_017992765.1
GCF_000422565.1	GCA_002382645.1
GCA_018822105.1	GCA_903843965.1
GCA_003135255.1	GCA_003141695.1
GCA_005880855.1	GCA_005880315.1
GCA_003153215.1	GCA_003142035.1
GCA_017610525.1	GCA_003660865.1
GCA_018821925.1	GCA_001777915.1
GCA_005893275.1	GCA_005893265.1
GCA_016710095.1	GCA_016215625.1
GCA_003500765.1	GCA_009773155.1
GCA_017651625.1	GCA_017528425.1
GCA_016208085.1	GCA_018829985.1
GCA_003167155.1	GCA_013289785.1
GCA_003158175.1	GCA_013289785.1
GCA_902791745.1	GCA_902790465.1
GCA_004554425.1	GCA_900772775.1
GCA_017959225.1	GCA_002390045.1
GCA_016715065.1	GCA_016699655.1
GCA_017625775.1	GCA_017631885.1
GCA_902796785.1	GCA_017650365.1
GCA_903916325.1	GCA_903915125.1
GCA_903916325.1	GCA_903861835.1
GCF_003001905.1	GCF_900113175.1
GCF_000632715.1	GCF_011761475.1
GCA_001916215.1	GCA_900547045.1
GCF_000935355.1	GCF_008364765.1
GCF_900114715.1	GCF_900115625.1
GCF_002742685.1	GCF_900111795.1
GCA_900538465.1	GCF_004343035.1
GCA_016298185.1	GCA_016290145.1
GCA_910588025.1	GCA_910587775.1
GCA_910576855.1	GCA_009917405.1
GCF_001592085.1	GCF_003946545.1
GCF_001578185.1	GCF_017355165.1
GCF_003931795.1	GCF_900637845.1
GCA_014238525.1	GCA_014238225.1
GCA_017633835.1	GCA_017645255.1
GCF_003339585.1	GCF_000685865.1
GCF_002096815.1	GCF_001579025.1
GCA_003554025.1	GCA_003552925.1
GCF_900115605.1	GCF_900116255.1
GCF_018967645.1	GCF_018138385.1
GCF_904424705.1	GCF_001591825.1
GCF_900129085.1	GCA_019116785.1
GCF_000833605.1	GCF_014201585.1
GCA_900754615.1	GCA_900547815.1
GCA_900110015.1	GCF_002272135.1
GCF_003458715.1	GCF_003436425.1
GCF_000484595.1	GCF_003058165.1
GCA_900544435.1	GCF_003024675.1
GCF_002874535.1	GCF_018613195.1
GCF_000307855.1	GCA_012840465.1
GCA_000438415.1	GCA_003524085.1
GCA_900754715.1	GCA_900543035.1
GCF_003316765.1	GCF_008180615.1
GCF_006861775.1	GCF_900111345.1
GCA_012839485.1	GCA_012838635.1
GCA_910579535.1	GCA_910583945.1
GCA_012513195.1	GCA_012516175.1
GCF_018390575.1	GCF_000348905.1
GCF_900107305.1	GCF_004341445.1
GCA_017962745.1	GCA_017617065.1
GCA_017646825.1	GCA_017397315.1
GCA_017616855.1	GCA_017620395.1
GCF_000244875.1	GCF_000022065.1
GCA_012523915.1	GCA_012735285.1
GCA_017379935.1	GCA_017415025.1
GCA_012511525.1	GCA_012523135.1
GCA_000702525.1	GCA_017392525.1
GCF_904384255.1	GCA_900554165.1
GCA_017416855.1	GCA_015068865.1
GCA_017619985.1	GCA_017557505.1
GCA_017428635.1	GCA_017545225.1
GCA_015068285.1	GCA_017547995.1
GCF_900538275.1	GCA_002841495.1
GCA_017441925.1	GCA_902782895.1
GCA_001513385.1	GCA_012522015.1
GCA_017548765.1	GCA_017543445.1
GCA_017425305.1	GCF_015668515.1
GCA_017548765.1	GCA_900319565.1
GCA_017613995.1	GCA_902796565.1
GCA_002841435.1	GCA_002841495.1
GCA_017524445.1	GCA_017393775.1
GCA_017507985.1	GCA_015064805.1
GCA_012518535.1	GCA_002385665.1
GCA_017619295.1	GCA_900103495.1
GCA_900539725.1	GCF_000312505.2
GCA_017938145.1	GCA_017622795.1
GCA_900539655.1	GCA_900540475.1
GCA_012521175.1	GCA_012519955.1
GCA_900315945.1	GCA_002373675.1
GCA_017556805.1	GCA_015057365.1
GCA_017531925.1	GCA_017483195.1
GCA_900753135.1	GCA_900765095.1
GCA_900544965.1	GCA_900547135.1
GCA_016650135.1	GCA_016650115.1
GCA_002404515.1	GCA_900553925.1
GCA_019114065.1	GCA_902406105.1
GCA_015064725.1	GCA_017621475.1
GCA_900553865.1	GCA_900553405.1
GCA_902794055.1	GCA_017523925.1
GCF_003589745.1	GCF_003862475.1
GCF_000018425.1	GCA_002294005.1
GCA_003513005.1	GCA_003485325.1
GCF_000024605.1	GCF_003368535.1
GCA_002424365.1	GCA_012729715.1
GCF_900129285.1	GCA_000214705.1
GCA_002382755.1	GCA_003513005.1
GCA_002402825.1	GCA_002327235.1
GCA_016841875.1	GCA_016841245.1
GCA_900759105.1	GCA_900553245.1
GCA_012516535.1	GCA_012842275.1
GCA_003509545.1	GCF_013167955.1
GCA_011048115.1	GCA_003445475.1
GCA_000681355.2	GCA_002327235.1
GCA_000961765.1	GCA_000802045.1
GCF_002257705.1	GCA_017889675.1
GCF_003992135.1	GCA_900766245.1
GCA_015058545.1	GCF_003992065.1
GCA_900545535.1	GCF_003269275.1
GCF_902810435.1	GCF_002959775.1
GCF_003467125.1	GCA_900095875.1
GCF_003463825.1	GCF_002959915.1
GCF_003992135.1	GCF_003999875.1
GCA_900554395.1	GCA_003150755.1
GCF_000271485.2	GCF_900114615.1
GCF_000374545.1	GCA_009929485.1
GCF_000702545.1	GCA_017635515.1
GCA_902782705.1	GCA_017619685.1
GCA_017444395.1	GCA_016280345.1
GCA_017635515.1	GCA_015058655.1
GCF_003992005.1	GCF_003992055.1
GCF_000024945.1	GCA_900552445.1
GCA_900554395.1	GCA_000436095.1
GCA_012798135.1	GCA_002329525.1
GCF_000702545.1	GCA_902780915.1
GCF_000286455.1	GCF_000234095.1
GCF_900114615.1	GCF_000271665.2
GCA_002314325.1	GCA_900554895.1
GCF_900111575.1	GCF_900142275.1
GCA_012841735.1	GCA_012521345.1
GCA_018725345.1	GCA_018333455.1
GCA_018335695.1	GCA_018333635.1
GCA_012522075.1	GCA_012521345.1
GCA_018333455.1	GCA_018333635.1
GCF_001280565.1	GCF_900176145.1
GCA_012842495.1	GCA_014896535.1
GCF_000009905.1	GCA_003242675.1
GCF_001693735.1	GCF_003001995.1
GCA_015666175.1	GCA_007130465.1
GCA_002398515.1	GCA_012512055.1
GCA_012735195.1	GCA_012839115.1
GCA_012799075.1	GCA_012522085.1
GCA_012727895.1	GCA_012839115.1
GCA_012727675.1	GCA_012735435.1
GCA_012521755.1	GCA_012522085.1
GCF_008327825.1	GCF_000469385.1
GCF_000426625.1	GCA_002084825.1
GCF_000023905.1	GCF_007990635.1
GCF_000469505.1	GCF_001274535.1
GCF_000482505.1	GCF_007990635.1
GCA_013361745.1	GCA_013361935.1
GCA_002238605.1	GCA_012267435.1
GCA_009840525.1	GCA_002238605.1
GCA_009838765.1	GCA_012270965.1
GCA_017881545.1	GCA_017881465.1
GCA_016712265.1	GCA_016794835.1
GCA_002238605.1	GCA_009843625.1
GCA_002724575.1	GCA_002501085.1
GCA_003142495.1	GCA_013697785.1
GCA_012270965.1	GCA_009840115.1
GCA_002839855.1	GCA_016937715.1
GCA_018725485.1	GCA_018725175.1
GCA_001515185.1	GCA_004375695.1
GCF_000328685.1	GCF_000337675.1
GCF_000336635.1	GCF_000337775.1
GCA_003162175.1	GCA_003139855.1
GCA_016926855.1	GCA_001412355.1
GCF_000196895.1	GCF_001593955.1
GCA_011048835.1	GCA_016841665.1
GCF_000328685.1	GCA_003559215.1
GCA_012910725.1	GCA_905067535.1
GCF_014647115.1	GCF_014647155.1
GCF_000336615.1	GCF_001280425.1
GCA_016926455.1	GCA_016935475.1
GCA_015520115.1	GCF_000025505.1
GCF_013415885.1	GCF_000337455.1
GCF_016065055.1	GCF_000337455.1
GCA_905067555.1	GCA_012910725.1
GCF_002487355.1	GCA_905339155.1
GCA_003022745.1	GCA_018609945.1
GCF_003781945.1	GCF_001261915.1
GCF_000711215.1	GCA_017553245.1
GCF_007004735.1	GCF_002906575.1
GCA_012511245.1	GCF_001017125.1
GCA_007128515.1	GCA_007129135.1
GCA_016841625.1	GCA_016841265.1
GCF_000970045.1	GCA_016841625.1
GCA_001896715.1	GCA_019136335.1
GCA_018609665.1	GCA_003020965.1
GCF_001469955.1	GCF_003439925.1
GCF_900110215.1	GCF_004118325.1
GCF_000328685.1	GCF_000337695.1
GCA_013329455.1	GCA_002502785.1
GCF_017874335.1	GCF_014647115.1
GCF_004681185.1	GCF_010119205.1
GCA_003336485.1	GCA_013139985.1
GCF_014647155.1	GCF_017874335.1
GCF_004799685.1	GCF_000739575.1
GCF_900116205.1	GCF_000517625.1
GCA_001602645.1	GCF_000235565.1
GCF_002025255.2	GCF_000739555.1
GCA_015661395.1	GCA_003158275.1
GCF_002844335.1	GCF_000337775.1
GCA_003552765.1	GCA_007118235.1
GCA_011338105.1	GCA_000493945.1
GCA_003230355.1	GCA_002923215.1
GCA_015521945.1	GCA_013152995.1
GCA_016187745.1	GCA_018304445.1
GCA_009837395.1	GCA_012270975.1
GCA_012270975.1	GCA_009841265.1
GCA_903847545.1	GCA_903859215.1
GCA_002691365.1	GCA_002707905.1
GCA_012964825.1	GCA_004124465.1
GCA_003644575.1	GCA_001509335.1
GCA_902525615.1	GCA_902624275.1
GCA_002256485.1	GCA_002436185.1
GCA_902581045.1	GCA_002713455.1
GCA_002471865.1	GCA_002402135.1
GCF_003264935.1	GCA_012840175.1
GCA_011370395.1	GCA_001507955.1
GCA_003158115.1	GCA_003151535.1
GCA_012840175.1	GCA_001507955.1
GCA_013330915.1	GCA_016282985.1
GCF_000145295.1	GCF_000828575.1
GCA_012838205.1	GCA_002496805.1
GCA_003151535.1	GCA_003164415.1
GCA_016217785.1	GCA_000309865.1
GCA_015661555.1	GCA_015662355.1
GCA_015661585.1	GCF_003351865.1
GCF_001484685.1	GCF_000430485.1
GCF_000151105.2	GCA_017656495.1
GCF_012027325.1	GCF_000517445.1
GCA_017656495.1	GCF_000517445.1
GCA_003221695.1	GCA_001914535.1
GCA_003220315.1	GCA_003220675.1
GCA_003221695.1	GCA_003220675.1
GCA_016177555.1	GCA_016188005.1
GCA_001788395.1	GCA_016188005.1
GCA_003220335.1	GCA_003220225.1
GCA_001788415.1	GCA_016177555.1
GCA_003220495.1	GCA_003220685.1
GCA_001914535.1	GCA_003220675.1
GCA_001917585.1	GCA_003220615.1
GCA_001443385.1	GCA_016179965.1
GCA_001790315.1	GCA_001788495.1
GCA_003220315.1	GCA_001914535.1
GCA_000091165.1	GCA_002634395.1
GCA_903920925.1	GCA_013425455.1
GCF_003611695.1	GCF_003611735.1
GCF_016859125.1	GCF_000733295.1
GCF_000737335.2	GCF_002994635.1
GCF_004005565.1	GCA_007997005.1
GCF_000418325.1	GCF_002950945.1
GCF_000165485.1	GCF_900111745.1
GCA_903874275.1	GCA_903904005.1
GCF_016859125.1	GCF_001027285.1
GCF_002950945.1	GCF_004135735.1
GCF_000255295.1	GCF_003611635.1
GCF_000733295.1	GCF_016887565.1
GCA_009781495.1	GCA_009786315.1
GCA_903912275.1	GCA_013205435.1
GCA_003157315.1	GCA_003153015.1
GCF_004005565.1	GCA_007997015.1
GCF_000067165.1	GCF_004135735.1
GCA_016717005.1	GCA_016794525.1
GCF_003611675.1	GCF_009909145.1
GCF_013372585.1	GCF_010894435.1
GCA_005879505.1	GCA_001918155.1
GCF_016904885.1	GCF_002305855.1
GCF_002950945.1	GCF_000067165.1
GCF_000165485.1	GCF_900109545.1
GCA_903855945.1	GCA_903904005.1
GCA_018901315.1	GCA_017609385.1
GCA_007133845.1	GCA_003563585.1
GCA_016205905.1	GCA_018303325.1
GCA_018819345.1	GCA_018901315.1
GCA_016784245.1	GCA_018692925.1
GCA_003009815.1	GCA_003009795.1
GCA_016234205.1	GCA_001805005.1
GCA_003489165.1	GCA_016194325.1
GCA_016234205.1	GCA_003489165.1
GCA_016212185.1	GCA_016207865.1
GCA_001805105.1	GCA_003535475.1
GCA_016195565.1	GCA_001871685.1
GCA_002083555.1	GCF_900403705.1
GCA_003523945.1	GCA_013817135.1
GCA_003599795.1	GCA_016195565.1
GCA_016873495.1	GCA_004296885.1
GCA_015491705.1	GCA_013152795.1
GCA_001803635.1	GCA_016212685.1
GCA_016873525.1	GCA_004296865.1
GCA_013334545.1	GCA_017885365.1
GCA_005877505.1	GCA_005877615.1
GCA_005877855.1	GCA_005877505.1
GCA_009840285.1	GCA_009842645.1
GCA_005799365.1	GCA_016873495.1
GCA_005877565.1	GCA_005877505.1
GCA_002869855.2	GCA_002083555.1
GCA_005877855.1	GCA_005877615.1
GCA_013140455.1	GCA_002083555.1
GCA_002897895.1	GCA_011040095.1
GCA_018896985.1	GCA_016195565.1
GCA_003232715.1	GCA_013152195.1
GCA_018819285.1	GCA_003485765.1
GCA_001805575.1	GCA_001805845.1
GCA_018817585.1	GCA_018817165.1
GCA_007136035.1	GCA_007130415.1
GCA_903880655.1	GCA_903859365.1
GCA_016214105.1	GCA_016207245.1
GCA_009995495.1	GCA_016938415.1
GCA_004322365.1	GCA_007378985.1
GCA_001774455.1	GCA_002778715.1
GCA_002400405.1	GCA_002328565.1
GCA_015256915.2	GCA_013333405.2
GCA_000991805.1	GCA_903906305.1
GCA_016185525.1	GCA_016181105.1
GCA_016432405.1	GCA_001778495.1
GCA_001783595.1	GCA_002782365.1
GCA_018818345.1	GCA_000991805.1
GCA_014238395.1	GCA_014238475.1
GCA_003260325.1	GCA_002761215.1
GCA_016201685.1	GCA_016178535.1
GCA_018662325.1	GCA_002718715.1
GCA_003507445.1	GCA_000991245.1
GCA_002402755.1	GCA_002070955.1
GCF_900129635.1	GCF_000242455.2
GCA_013202635.1	GCA_014384025.1
GCA_012959525.1	GCA_002720975.1
GCA_016793195.1	GCA_013360695.1
GCA_016935635.1	GCA_002482415.1
GCA_903951635.1	GCA_009691925.1
GCA_002698965.1	GCA_002705165.1
GCA_002084585.1	GCA_003644215.1
GCA_015200345.1	GCA_007753915.1
GCA_016719295.1	GCA_016793245.1
GCA_007122045.1	GCA_003561895.1
GCA_903892045.1	GCA_016872795.1
GCA_016709145.1	GCA_016795255.1
GCA_014584315.1	GCA_900696545.1
GCA_002295885.1	GCA_002591705.1
GCA_001303465.1	GCA_016782865.1
GCA_002168105.2	GCA_004213555.1
GCF_001997385.1	GCF_002117005.1
GCA_009926625.1	GCA_005799495.1
GCA_016873115.1	GCA_016873375.1
GCA_003712165.1	GCA_009827205.1
GCF_007753095.1	GCF_007751715.1
GCA_002690755.1	GCA_009936695.1
GCA_002303765.1	GCA_003671255.1
GCA_017454585.1	GCA_017447865.1
GCF_007753095.1	GCA_007741475.1
GCA_005798965.1	GCA_018970045.1
GCA_905480285.1	GCA_016779205.1
GCA_017407125.1	GCA_017557195.1
GCA_017652805.1	GCA_902796885.1
GCA_017447745.1	GCA_902770245.1
GCA_017447745.1	GCA_017407125.1
GCA_009936695.1	GCA_002683215.1
GCA_017557195.1	GCA_017447745.1
GCA_007693845.1	GCA_007127615.1
GCA_903927725.1	GCA_016873115.1
GCA_012271015.1	GCA_007571305.1
GCA_018644665.1	GCA_002687025.1
GCA_012963885.1	GCA_002697225.1
GCA_002697225.1	GCA_002709695.1
GCA_003523085.1	GCA_018647765.1
GCA_005791235.1	GCA_903828265.1
GCF_019166065.1	GCF_002209565.1
GCF_010974825.1	GCF_000819785.1
GCF_000243075.1	GCF_003049725.1
GCF_004377485.1	GCF_001982605.1
GCA_013416395.1	GCF_005239165.1
GCA_905339295.1	GCA_016704895.1
GCA_018658635.1	GCF_002688585.1
GCF_002723975.1	GCF_000964465.1
GCF_003382565.2	GCF_002847345.1
GCF_003626975.1	GCF_002355475.1
GCF_000067205.1	GCF_019218885.1
GCA_011046015.1	GCA_014762505.1
GCF_013116765.2	GCF_002812705.1
GCF_013266695.1	GCF_009826895.1
GCA_903845215.1	GCA_903873585.1
GCF_009380215.1	GCF_009674495.1
GCA_011525295.1	GCA_009841615.1
GCA_002707605.1	GCF_004354915.1
GCA_000513075.1	GCA_000513055.1
GCA_902571315.1	GCA_902614225.1
GCF_008728855.1	GCF_008728835.1
GCF_014138285.1	GCA_900539805.1
GCF_000264765.2	GCF_000341505.1
GCA_002281415.1	GCA_903905475.1
GCA_017744315.1	GCF_018599195.1
GCA_002732845.1	GCA_002401565.1
GCA_900470285.1	GCF_003314995.1
GCA_002690875.1	GCA_002689325.1
GCF_001026905.1	GCF_002118315.1
GCA_010021145.1	GCF_002688585.1
GCA_017745195.1	GCF_010211765.1
GCF_018448905.1	GCF_018448935.1
GCF_002940065.1	GCF_001908725.1
GCF_005144475.1	GCF_003217355.1
GCA_003279705.1	GCA_902537725.1
GCF_000759835.1	GCF_009363175.1
GCA_017744285.1	GCA_017744935.1
GCF_009827515.1	GCF_001028625.1
GCA_017417215.1	GCA_017526725.1
GCA_900317935.1	GCA_017526725.1
GCA_002683655.1	GCA_003541985.1
GCA_011522845.1	GCA_003541985.1
GCA_002707655.1	GCA_002726945.1
GCA_002730365.1	GCA_000224765.2
GCA_017554185.1	GCA_902787125.1
GCA_007693485.1	GCA_007130025.1
GCA_002441395.1	GCA_002425765.1
GCF_000412995.1	GCF_010365865.1
GCA_017642445.1	GCA_017446885.1
GCF_000316195.1	GCF_000223215.1
GCA_002070605.1	GCA_017998755.1
GCA_001829395.1	GCA_013177895.1
GCF_000755145.1	GCF_000008185.1
GCA_017554185.1	GCA_017642445.1
GCA_007128315.1	GCA_007694005.1
GCA_011328725.1	GCF_000219725.1
GCA_009782955.1	GCA_009782495.1
GCF_002379365.1	GCF_001746205.1
GCA_018262985.1	GCA_016926955.1
GCA_003552985.1	GCA_003552665.1
GCA_902787125.1	GCA_017535435.1
GCA_017537925.1	GCA_016288355.1
GCA_018716365.1	GCA_900545755.1
GCF_002159945.1	GCA_900544635.1
GCA_018436595.1	GCA_016756745.1
GCA_002696315.1	GCA_002498205.1
GCA_001875425.1	GCA_002509225.1
GCA_002509405.1	GCA_002498365.1
GCA_002713585.1	GCA_002497905.1
GCA_011620825.1	GCA_002505345.1
GCA_015520565.1	GCA_015523135.1
GCA_002502965.1	GCA_002506255.1
GCA_015063185.1	GCA_017508065.1
GCA_013330765.1	GCA_013330925.1
GCA_002505325.1	GCA_014240285.1
GCA_002457605.1	GCA_002495735.1
GCA_002507175.1	GCA_002495675.1
GCA_002719395.1	GCA_002699425.1
GCA_011334735.1	GCA_014361295.1
GCA_001800675.1	GCA_001800815.1
GCA_000484975.1	GCA_016784625.1
GCA_018396515.1	GCA_018396865.1
GCA_001316285.1	GCA_001316005.1
GCA_014523525.1	GCA_014523495.1
GCA_003096255.1	GCA_016930555.1
GCF_900248165.1	GCA_013538675.1
GCA_011355205.1	GCA_018396915.1
GCA_016201435.1	GCA_005877305.1
GCA_002506515.1	GCF_000018305.1
GCA_002508315.1	GCA_001315925.1
GCA_005877365.1	GCA_005877185.1
GCA_004347955.1	GCA_014361445.1
GCA_003724275.1	GCA_007570915.1
GCA_013694585.1	GCA_009379865.1
GCA_011362965.1	GCA_014361445.1
GCA_005877225.1	GCA_005877185.1
GCA_011375535.1	GCA_011373125.1
GCF_000015945.1	GCF_000092465.1
GCF_009601705.1	GCF_019175345.1
GCA_013154355.1	GCA_013153895.1
GCA_001918765.1	GCA_005881615.1
GCA_005881615.1	GCA_005884195.1
GCA_011338225.1	GCA_018396815.1
GCA_016871975.1	GCA_016176745.1
GCA_018397055.1	GCA_018397065.1
GCA_011055275.1	GCA_002507085.1
GCA_012030815.1	GCA_005798405.1
GCA_011375845.1	GCA_011337925.1
GCA_011355205.1	GCA_018396565.1
GCA_004297665.1	GCA_003569705.1
GCA_009379865.1	GCF_007826885.1
GCF_011057715.1	GCF_016908145.1
GCA_015489955.1	GCF_000745455.1
GCA_002878315.1	GCF_009936215.1
GCA_017616555.1	GCA_017539325.1
GCA_017649705.1	GCA_017650925.1
GCA_017538635.1	GCA_017554565.1
GCA_011773355.1	GCA_009619095.1
GCA_009839615.1	GCA_002238965.1
GCA_016192135.1	GCA_001790955.1
GCA_016184445.1	GCA_016192135.1
GCA_002310995.1	GCA_017645765.1
GCA_002716355.1	GCA_002501535.1
GCA_002687935.1	GCA_014189675.1
GCA_002687935.1	GCA_002495465.1
GCA_015660155.1	GCA_014382585.1
GCA_018695085.1	GCA_905612515.1
GCA_002730975.1	GCA_018695085.1
GCA_003445855.1	GCA_003219195.1
GCA_900320095.1	GCA_017963105.1
GCA_902802585.1	GCA_016285335.1
GCA_902802585.1	GCA_902762495.1
GCA_014382585.1	GCA_014239365.1
GCA_003567805.1	GCA_007129405.1
GCA_002708005.1	GCA_002684915.1
GCA_005791875.1	GCA_009695395.1
GCA_017543165.1	GCA_017450525.1
GCA_903929325.1	GCA_903957465.1
GCA_002070945.1	GCA_012799905.1
GCF_902143375.2	GCF_000379365.1
GCA_017417585.1	GCA_017525435.1
GCA_014239335.1	GCA_013213965.1
GCA_012800565.1	GCA_012515455.1
GCA_017629515.1	GCA_017504325.1
GCA_003134375.1	GCA_003161635.1
GCA_015061915.1	GCA_017623265.1
GCA_007134215.1	GCA_007123395.1
GCF_001613545.1	GCA_017305195.1
GCA_017479315.1	GCA_016286235.1
GCA_900547395.1	GCA_017629765.1
GCA_017613085.1	GCA_017962315.1
GCF_000172155.1	GCA_000739635.1
GCA_017615955.1	GCA_017543165.1
GCA_018402585.1	GCA_903934135.1
GCA_002387565.1	GCA_002386905.1
GCA_903869675.1	GCA_010027235.1
GCA_903896925.1	GCA_903912445.1
GCA_902591645.1	GCA_014239335.1
GCA_903840235.1	GCA_903859115.1
GCA_011523245.1	GCA_003517285.1
GCA_003219995.1	GCA_003219195.1
GCA_019233825.1	GCA_019236035.1
GCA_019239825.1	GCA_019237325.1
GCA_014239365.1	GCA_015660155.1
GCA_017525435.1	GCA_017617415.1
GCA_001508335.1	GCA_002441125.1
GCA_903903945.1	GCA_903930455.1
GCA_011056555.1	GCA_011777135.1
GCA_002714165.1	GCA_002717745.1
GCA_002730735.1	GCA_002717745.1
GCA_013361705.1	GCF_008000815.1
GCA_011053475.1	GCA_011333465.1
GCA_001766965.1	GCA_011055645.1
GCA_002730735.1	GCA_002714165.1
GCA_016934555.1	GCA_012729555.1
GCA_012517875.1	GCA_017996395.1
GCA_002923315.1	GCA_002898775.1
GCA_017304135.1	GCA_016713735.1
GCA_002714165.1	GCA_002720285.1
GCA_003162425.1	GCA_003166875.1
GCA_011333575.1	GCF_000022565.1
GCA_002696705.1	GCA_003509065.1
GCA_009836625.1	GCA_009843505.1
GCF_014203225.1	GCF_000178955.2
GCA_009841225.1	GCA_009838515.1
GCA_002730525.1	GCA_002328835.1
GCA_009861545.1	GCA_011523485.1
GCF_001570525.1	GCF_001570585.1
GCA_013816105.1	GCA_013817655.1
GCF_001984125.1	GCF_900167575.1
GCF_000718085.1	GCF_003667575.1
GCA_003553795.1	GCA_007133145.1
GCA_005787345.1	GCA_903827085.1
GCF_009695875.1	GCA_905214865.1
GCF_014960965.1	GCF_009805705.1
GCA_002729215.1	GCA_002728915.1
GCF_000058485.1	GCF_000262465.1
GCF_000062885.1	GCF_018141105.1
GCF_013408535.1	GCF_013407855.1
GCF_900116515.1	GCF_900182545.1
GCF_001019615.1	GCF_009708005.2
GCA_902364645.1	GCF_003438495.1
GCA_014360685.1	GCA_011337865.1
GCF_002240635.1	GCF_015351075.1
GCA_019218415.1	GCA_019218375.1
GCA_017413255.1	GCA_017632945.1
GCF_016907365.1	GCF_005937995.2
GCF_004217495.1	GCF_001425085.1
GCF_002198655.1	GCA_016213575.1
GCA_902783175.1	GCA_900758075.1
GCF_000422625.1	GCF_008831045.1
GCA_005884515.1	GCA_005883175.1
GCA_014190215.1	GCA_009694465.1
GCA_017856815.1	GCA_903925985.1
GCF_014647795.1	GCF_017592555.1
GCF_011038975.1	GCF_013185065.1
GCA_009702245.1	GCA_002737595.1
GCF_009708215.1	GCF_902703175.1
GCF_009720385.1	GCF_011297335.1
GCA_900549745.1	GCF_015557435.1
GCA_012927555.1	GCA_003132125.1
GCA_902834555.1	GCA_900770865.1
GCF_014205275.1	GCF_014200435.1
GCF_014775655.1	GCF_001280205.1
GCA_018894445.1	GCA_013202875.1
GCF_002355395.1	GCF_004216855.1
GCF_013450155.1	GCF_900188115.1
GCA_015523085.1	GCA_015522745.1
GCA_018304565.1	GCA_016184005.1
GCA_000806115.1	GCA_018304605.1
GCA_009618505.1	GCA_005223095.1
GCA_018771605.1	GCA_011054805.1
GCF_900182585.1	GCA_003978105.1
GCA_015491275.1	GCA_015487615.1
GCF_000213785.1	GCF_000020785.1
GCF_000512735.1	GCA_011375435.1
GCA_002352215.1	GCA_002162095.1
GCA_012512265.1	GCA_012841485.1
GCA_903881535.1	GCA_903915615.1
GCA_005222975.1	GCA_019057795.1
GCA_019058165.1	GCA_013166835.1
GCA_004524385.1	GCA_004524535.1
GCA_019058015.1	GCA_019058135.1
GCA_018238375.1	GCA_019057475.1
GCA_004524385.1	GCA_019058295.1
GCA_019057385.1	GCA_016840515.1
GCA_000353875.1	GCA_011363075.1
GCA_003542295.1	GCF_015775515.1
GCA_005799065.1	GCA_016868485.1
GCF_002797735.1	GCF_900116565.1
GCA_018652335.1	GCA_002683775.1
GCF_002023665.2	GCF_001675285.1
GCF_001592945.1	GCF_001593005.1
