q_acc	r_acc	skani_ani	skani_af_min	band	phylum
GCA_013205145.1	GCA_903858075.1	90.91	49.57	90-95	Actinobacteriota
GCF_002531955.1	GCF_001662075.1	94.28	69.88	90-95	Proteobacteria
GCF_000308575.1	GCF_000308415.1	89.06	41.54	85-90	Actinobacteriota
GCA_902611265.1	GCA_902528135.1	84.26	22.98	80-85	Proteobacteria
GCF_014190915.1	GCF_010725485.1	82.65	15.77	80-85	Actinobacteriota
GCF_900186955.1	GCF_000691145.1	89.55	63.81	85-90	Firmicutes
GCF_000515355.1	GCF_014137995.1	90.09	37.33	90-95	Actinobacteriota
GCF_003252755.1	GCF_014931395.1	93.82	74.51	90-95	Proteobacteria
GCF_002531825.1	GCF_000371905.1	87.50	38.51	85-90	Proteobacteria
GCA_017420535.1	GCA_902789175.1	90.84	56.45	90-95	Firmicutes_A
GCF_011383005.1	GCA_014763705.1	87.77	23.80	85-90	Actinobacteriota
GCF_009729855.1	GCF_009709675.1	91.64	63.94	90-95	Actinobacteriota
GCF_004310665.1	GCF_014395225.1	83.10	15.60	80-85	Bacteroidota
GCF_001277995.1	GCF_000011325.1	84.56	15.78	80-85	Actinobacteriota
GCA_014730295.1	GCA_008080735.1	88.69	40.34	85-90	Asgardarchaeota
GCF_900465055.1	GCF_015082335.1	83.56	16.40	80-85	Proteobacteria
GCA_018378775.1	GCA_900754745.1	92.25	58.94	90-95	Actinobacteriota
GCF_004353895.1	GCA_002070045.1	88.18	37.41	85-90	Cloacimonadota
GCF_008180865.1	GCF_000935355.1	89.21	54.01	85-90	Firmicutes
GCA_902587155.1	GCA_902578265.1	91.78	54.25	90-95	Proteobacteria
GCF_013394655.1	GCF_013394595.1	90.33	54.40	90-95	Bacteroidota
GCA_902536005.1	GCA_902522385.1	90.75	46.10	90-95	Proteobacteria
GCA_002309915.1	GCA_905234745.1	86.14	24.46	85-90	Bacteroidota
GCF_003208475.1	GCF_900105325.1	87.52	38.86	85-90	Proteobacteria
GCF_003863365.1	GCF_003952485.1	89.28	45.75	85-90	Proteobacteria
GCA_902604035.1	GCA_902546145.1	82.58	15.63	80-85	Proteobacteria
GCA_902620465.1	GCA_902528645.1	83.59	16.65	80-85	Proteobacteria
GCF_000012905.2	GCA_017599285.1	88.04	34.71	85-90	Proteobacteria
GCA_902609685.1	GCA_902563555.1	84.76	15.91	80-85	Proteobacteria
GCF_008520305.1	GCF_013170825.1	87.78	37.91	85-90	Proteobacteria
GCF_013141695.1	GCF_000620565.1	84.42	16.49	80-85	Firmicutes
GCF_002878485.1	GCF_018449725.1	86.25	30.46	85-90	Proteobacteria
GCF_001995985.1	GCF_001996005.1	92.29	78.18	90-95	Proteobacteria
GCF_001667145.1	GCF_002102255.1	83.53	15.96	80-85	Actinobacteriota
GCF_000948285.1	GCA_001610955.1	93.70	65.98	90-95	Firmicutes
GCF_001955655.1	GCF_001274945.1	93.48	71.74	90-95	Firmicutes
GCA_900554455.1	GCA_900761615.1	94.75	56.82	90-95	Actinobacteriota
GCA_900554275.1	GCA_003487665.1	84.42	15.06	80-85	Firmicutes_A
GCF_013032025.1	GCF_017872555.1	82.99	23.66	80-85	Proteobacteria
GCF_006151805.1	GCF_003173755.1	91.00	49.13	90-95	Proteobacteria
GCF_009729075.1	GCF_010730955.1	88.91	50.19	85-90	Actinobacteriota
GCA_003282155.1	GCA_902615625.1	90.00	43.35	90-95	Proteobacteria
GCF_003052515.2	GCF_009905615.1	83.10	16.02	80-85	Proteobacteria
GCF_019219825.1	GCA_014204745.1	85.25	21.06	85-90	Actinobacteriota
GCF_000448565.1	GCA_018366675.1	94.78	67.54	90-95	Firmicutes
GCF_007713465.1	GCF_003732225.1	91.81	65.15	90-95	Proteobacteria
GCF_902460845.1	GCF_902460545.1	94.77	76.52	90-95	Campylobacterota
GCF_004348675.1	GCF_002210435.1	85.83	15.97	85-90	Actinobacteriota
GCA_016788925.1	GCA_902500715.1	91.41	47.58	90-95	Nitrospirota
GCF_000745055.1	GCF_000745005.1	83.81	21.03	80-85	Proteobacteria
GCA_902617465.1	GCA_902610415.1	83.14	15.79	80-85	Proteobacteria
GCF_001113365.1	GCA_905221545.1	91.76	53.33	90-95	Firmicutes
GCA_900539145.1	GCA_905201915.1	90.03	54.95	90-95	Firmicutes_A
GCF_001645105.1	GCF_016925675.1	86.01	28.62	85-90	Proteobacteria
GCA_902582345.1	GCA_902581775.1	82.49	16.12	80-85	Proteobacteria
GCF_014196335.1	GCA_001794825.1	83.09	15.48	80-85	Proteobacteria
GCA_900551445.1	GCF_003437535.1	83.07	15.40	80-85	Bacteroidota
GCA_902603045.1	GCA_902543295.1	93.01	41.22	90-95	Proteobacteria
GCF_000760095.1	GCA_902590355.1	91.76	44.81	90-95	Cyanobacteria
GCF_006715395.1	GCF_003143935.1	85.76	25.13	85-90	Actinobacteriota
GCF_001650915.1	GCF_900188315.1	88.25	50.36	85-90	Proteobacteria
GCA_003283875.1	GCA_000384615.1	92.84	37.58	90-95	Proteobacteria
GCF_014655595.1	GCF_014654785.1	85.33	21.70	85-90	Actinobacteriota
GCF_009829295.1	GCF_000308455.1	89.51	47.65	85-90	Actinobacteriota
GCA_002968845.1	GCF_000731315.1	91.54	65.94	90-95	Proteobacteria
GCA_900539295.1	GCF_000455225.1	90.53	58.78	90-95	Firmicutes_C
GCF_003182155.1	GCF_003014595.1	84.00	21.71	80-85	Bacteroidota
GCF_013359595.1	GCF_003352185.1	86.25	29.39	85-90	Proteobacteria
GCF_014696655.1	GCF_013343235.1	87.26	24.77	85-90	Cyanobacteria
GCF_002179965.1	GCF_902459645.1	87.78	47.10	85-90	Proteobacteria
GCF_001189955.1	GCF_004367745.1	83.77	15.70	80-85	Proteobacteria
GCF_004570425.1	GCF_002938425.1	84.01	16.32	80-85	Actinobacteriota
GCF_000979455.1	GCF_000970265.1	87.41	32.07	85-90	Halobacteriota
GCF_004217285.1	GCA_014204745.1	84.75	15.32	80-85	Actinobacteriota
GCF_000959445.1	GCF_902833055.1	90.02	52.18	90-95	Proteobacteria
GCA_902625215.1	GCA_902623995.1	86.78	36.92	85-90	Proteobacteria
GCA_900549745.1	GCF_003459245.1	93.26	62.31	90-95	Actinobacteriota
GCF_003634495.1	GCF_001279585.1	90.79	48.28	90-95	Actinobacteriota
GCF_001884185.1	GCF_001883995.1	93.26	67.98	90-95	Firmicutes
GCF_013523125.1	GCF_000026105.1	83.79	15.00	80-85	Proteobacteria
GCA_902604905.1	GCA_902602885.1	89.52	33.90	85-90	Proteobacteria
GCF_001983165.1	GCF_002934065.1	86.01	28.47	85-90	Proteobacteria
GCA_000634215.1	GCA_902573045.1	92.50	40.54	90-95	Cyanobacteria
GCF_002979455.1	GCF_001593385.1	87.75	44.83	85-90	Bacteroidota
GCA_004020645.1	GCF_003997935.1	84.79	16.88	80-85	Proteobacteria
GCA_002842145.1	GCA_018828385.1	90.54	62.92	90-95	Proteobacteria
GCF_000685095.1	GCF_000172415.1	87.01	38.59	85-90	Proteobacteria
GCA_016845345.1	GCA_014384685.1	89.89	40.37	85-90	Thermoplasmatota
GCF_002929355.1	GCF_015752045.1	84.52	22.57	80-85	Actinobacteriota
GCF_000963575.1	GCF_000758305.1	92.04	76.18	90-95	Proteobacteria
GCA_003282485.1	GCA_902518415.1	93.10	53.64	90-95	Proteobacteria
GCF_000691505.1	GCF_900116205.1	92.37	48.25	90-95	Halobacteriota
GCF_002101775.1	GCF_010729485.1	86.05	41.75	85-90	Actinobacteriota
GCA_902618015.1	GCA_902602845.1	88.01	21.15	85-90	Proteobacteria
GCF_900105315.1	GCF_011617705.1	88.82	50.37	85-90	Actinobacteriota
GCA_003208695.1	GCA_003210285.1	94.84	41.69	90-95	Cyanobacteria
GCA_004557905.1	GCA_017937505.1	93.08	63.08	90-95	Firmicutes_A
GCF_900114565.1	GCF_001647635.1	84.34	18.87	80-85	Actinobacteriota
GCF_003952365.1	GCA_014189435.1	84.51	18.51	80-85	Proteobacteria
GCF_000717875.1	GCF_008705135.1	90.79	49.15	90-95	Actinobacteriota
GCA_016720115.1	GCA_016707885.1	82.34	15.03	80-85	Proteobacteria
GCF_900143625.1	GCF_001570765.1	90.99	54.44	90-95	Actinobacteriota
GCF_008271805.1	GCF_013362995.1	87.54	27.65	85-90	Actinobacteriota
GCA_017469405.1	GCA_902762955.1	91.57	51.67	90-95	Firmicutes_A
GCA_004376325.1	GCA_016783995.1	90.83	31.46	90-95	Actinobacteriota
GCA_902633585.1	GCA_902593845.1	88.01	40.32	85-90	Proteobacteria
GCF_009695995.1	GCA_003584705.1	89.40	29.65	85-90	Firmicutes_A
GCF_009659625.1	GCF_900624995.1	88.00	44.23	85-90	Proteobacteria
GCF_008042125.1	GCF_001426405.1	85.78	20.88	85-90	Actinobacteriota
GCF_900637025.1	GCF_000220045.1	87.00	33.63	85-90	Firmicutes
GCF_005876835.1	GCF_001444405.1	91.38	63.86	90-95	Proteobacteria
GCF_002309535.1	GCA_000743525.1	82.66	16.53	80-85	Campylobacterota
GCF_003952505.1	GCF_016756535.1	91.77	59.44	90-95	Proteobacteria
GCF_017876655.1	GCF_900102175.1	84.93	30.97	80-85	Actinobacteriota
GCF_007667425.1	GCF_001889265.1	83.51	17.37	80-85	Actinobacteriota
GCF_000373145.1	GCF_000744175.1	84.36	21.89	80-85	Deinococcota
GCF_001280125.1	GCF_014656075.1	86.78	22.45	85-90	Actinobacteriota
GCA_900541035.1	GCA_900761945.1	94.00	52.89	90-95	Actinobacteriota
GCA_003719395.1	GCF_018614615.1	89.85	36.07	85-90	Actinobacteriota
GCF_001667185.1	GCF_000277125.1	83.28	16.65	80-85	Actinobacteriota
GCA_902536005.1	GCA_902522115.1	90.00	39.66	90-95	Proteobacteria
GCF_002304005.1	GCF_003312915.1	88.10	46.43	85-90	Bacteroidota
GCF_011378855.1	GCF_001468485.1	83.06	16.11	80-85	Proteobacteria
GCF_001440475.1	GCF_018130165.1	83.30	15.65	80-85	Proteobacteria
GCA_902802805.1	GCA_902761365.1	86.78	25.09	85-90	Firmicutes_A
GCF_004364215.1	GCF_000158955.1	85.26	19.44	85-90	Actinobacteriota
GCF_003449015.1	GCF_016406085.1	91.95	64.57	90-95	Bacteroidota
GCF_902460875.1	GCF_902460625.1	94.81	80.01	90-95	Campylobacterota
GCA_005877205.1	GCA_001920395.1	84.16	16.44	80-85	Thermoproteota
GCF_002096595.1	GCF_001347015.1	85.75	28.04	85-90	Firmicutes
GCA_900547855.1	GCA_900545665.1	95.02	74.04	95-100	Actinobacteriota
GCA_013333515.2	GCA_905373275.1	93.95	64.97	90-95	Patescibacteria
GCA_900319565.1	GCA_002309675.1	90.17	32.58	90-95	Firmicutes_A
GCA_902557215.1	GCA_902540235.1	92.69	69.94	90-95	Proteobacteria
GCA_004560915.1	GCA_905193755.1	92.41	45.41	90-95	Firmicutes
GCF_002001125.1	GCF_002001085.1	83.57	16.59	80-85	Proteobacteria
GCF_005508865.1	GCF_014851905.1	84.78	27.07	80-85	Proteobacteria
GCF_900112575.1	GCF_003122385.1	89.78	55.40	85-90	Bacteroidota
GCF_900168135.1	GCF_900102785.1	90.56	56.19	90-95	Actinobacteriota
GCF_008042035.1	GCF_016901035.1	85.51	15.90	85-90	Actinobacteriota
GCF_005048265.1	GCF_018860625.1	82.96	16.84	80-85	Proteobacteria
GCF_003626515.1	GCA_905221505.1	91.75	60.47	90-95	Firmicutes
GCA_902619105.1	GCA_902610585.1	93.79	66.20	90-95	Proteobacteria
GCF_002096845.1	GCF_001810785.1	92.53	64.80	90-95	Firmicutes
GCA_004377005.1	GCA_011049545.1	94.17	40.22	90-95	Acidobacteriota
GCF_001277345.1	GCF_015326965.1	84.42	19.74	80-85	Firmicutes
GCF_900143085.1	GCF_001458115.1	87.94	41.01	85-90	Firmicutes
GCA_017538775.1	GCA_017542425.1	91.11	42.00	90-95	Firmicutes_A
GCA_018828385.1	GCA_018262195.1	82.76	15.95	80-85	Proteobacteria
GCF_009709555.1	GCF_000972385.1	84.76	19.52	80-85	Actinobacteriota
GCA_900555885.1	GCA_900555425.1	94.79	69.95	90-95	Patescibacteria
GCF_002742645.2	GCF_002310375.3	89.03	46.58	85-90	Proteobacteria
GCF_001667735.1	GCA_002102225.1	83.75	19.21	80-85	Actinobacteriota
GCF_003046795.1	GCF_000717475.1	90.95	53.53	90-95	Desulfobacterota_I
GCF_002086635.1	GCF_001667075.1	83.25	16.27	80-85	Actinobacteriota
GCF_000020645.1	GCA_903820085.1	82.37	15.16	80-85	Bacteroidota
GCF_004368965.1	GCF_016918735.1	84.33	29.33	80-85	Spirochaetota
GCF_001310975.1	GCF_000019085.1	91.73	57.05	90-95	Firmicutes_A
GCF_001512285.1	GCF_014648735.1	83.43	20.97	80-85	Actinobacteriota
GCF_001544495.1	GCF_017220215.1	83.59	15.02	80-85	Proteobacteria
GCF_013409995.1	GCF_000759675.1	84.73	23.35	80-85	Firmicutes
GCA_002877985.1	GCA_011361985.1	82.90	18.02	80-85	Desulfobacterota
GCF_900116535.1	GCF_001975225.1	82.74	15.48	80-85	Proteobacteria
GCF_013170825.1	GCF_013170705.1	94.84	74.00	90-95	Proteobacteria
GCF_000718135.1	GCF_014650075.1	93.36	65.72	90-95	Actinobacteriota
GCF_900090305.1	GCF_902825405.1	87.52	21.92	85-90	Actinobacteriota
GCF_013359735.1	GCF_009928425.1	84.53	19.05	80-85	Actinobacteriota
GCF_008119715.1	GCF_014199795.1	93.84	71.88	90-95	Proteobacteria
GCF_002927045.1	GCF_900155955.1	94.50	73.42	90-95	Proteobacteria
GCF_014077095.1	GCF_014077005.1	94.04	76.28	90-95	Proteobacteria
GCF_001722335.1	GCF_010731795.1	82.97	17.31	80-85	Actinobacteriota
GCF_000721105.1	GCF_014656055.1	84.25	15.55	80-85	Actinobacteriota
GCF_012396485.1	GCF_007954625.1	83.40	21.05	80-85	Firmicutes
GCA_017534385.1	GCA_017406175.1	89.47	32.50	85-90	Firmicutes_C
GCA_900548855.1	GCA_900544905.1	88.87	41.91	85-90	Firmicutes_A
GCA_017630035.1	GCA_017556595.1	90.58	46.59	90-95	Bacteroidota
GCF_013336725.1	GCF_900111765.1	86.85	38.68	85-90	Myxococcota
GCA_905235685.1	GCA_905234705.1	90.71	60.78	90-95	Firmicutes_C
GCF_000717025.1	GCA_014651175.1	87.52	36.38	85-90	Actinobacteriota
GCA_904501875.1	GCA_900754145.1	86.39	15.63	85-90	Firmicutes_A
GCF_014843825.1	GCF_900103325.1	84.25	18.41	80-85	Proteobacteria
GCA_002321335.1	GCA_002297815.1	86.84	22.64	85-90	Bacteroidota
GCF_008042275.1	GCF_002711365.1	84.76	18.02	80-85	Actinobacteriota
GCF_000633395.1	GCF_000397205.1	90.56	64.31	90-95	Proteobacteria
GCA_004020645.1	GCF_002295115.1	83.75	16.34	80-85	Proteobacteria
GCA_003214115.1	GCA_003214815.1	92.25	48.70	90-95	Cyanobacteria
GCF_001617365.1	GCF_000264295.1	86.01	29.31	85-90	Proteobacteria
GCF_006352025.1	GCF_014640315.1	83.36	19.82	80-85	Bacteroidota
GCA_001437625.1	GCA_905612295.1	92.95	52.93	90-95	Thermoproteota
GCA_017551675.1	GCA_017430235.1	90.78	52.10	90-95	Bacteroidota
GCF_013409365.1	GCF_001552135.1	84.83	17.61	80-85	Actinobacteriota
GCF_003289625.1	GCF_002245215.1	91.90	72.17	90-95	Actinobacteriota
GCF_011742875.1	GCF_900119235.1	82.63	16.12	80-85	Proteobacteria
GCA_002700285.1	GCA_002336655.1	89.60	51.96	85-90	Bacteroidota
GCA_002348925.1	GCA_902798205.1	83.33	16.86	80-85	Proteobacteria
GCF_002005565.1	GCF_000829695.1	84.54	16.24	80-85	Actinobacteriota
GCF_002804025.1	GCF_000008305.1	87.78	50.13	85-90	Firmicutes
GCF_900105155.1	GCF_018325905.1	84.25	17.17	80-85	Proteobacteria
GCF_005938625.1	GCF_900582195.1	92.01	69.34	90-95	Proteobacteria
GCF_003625485.1	GCA_017940685.1	85.27	21.51	85-90	Firmicutes_A
GCF_018448905.1	GCF_001010285.1	86.00	34.18	85-90	Proteobacteria
GCF_001665875.1	GCF_010731775.1	89.89	54.88	85-90	Actinobacteriota
GCF_003432035.1	GCF_900205965.1	86.52	35.91	85-90	Firmicutes_A
GCA_003281685.1	GCA_902573335.1	93.00	46.81	90-95	Cyanobacteria
GCF_019049255.1	GCF_001611795.1	85.76	21.53	85-90	Actinobacteriota
GCA_900554455.1	GCA_905215835.1	95.00	56.38	95-100	Actinobacteriota
GCF_007828215.1	GCF_900105485.1	83.50	15.48	80-85	Proteobacteria
GCF_018614415.1	GCF_014648815.1	86.50	25.40	85-90	Actinobacteriota
GCF_001426345.1	GCA_018828145.1	83.19	16.20	80-85	Proteobacteria
GCA_004195615.1	GCA_014239955.1	91.44	66.24	90-95	Thermoplasmatota
GCF_018131185.1	GCF_015291745.1	90.27	50.92	90-95	Proteobacteria
GCF_012641435.1	GCF_003627795.1	85.50	25.05	85-90	Proteobacteria
GCA_004017275.1	GCF_006442965.1	83.25	16.85	80-85	Proteobacteria
GCA_003213715.1	GCA_902533965.1	94.00	43.15	90-95	Proteobacteria
GCA_016873455.1	GCA_016873515.1	88.46	44.34	85-90	Nitrospirota
GCF_003143855.1	GCA_014650475.1	85.52	18.70	85-90	Actinobacteriota
GCF_001937665.1	GCF_000195595.1	89.09	52.51	85-90	Actinobacteriota
GCF_001673635.1	GCF_000613245.1	91.97	82.36	90-95	Actinobacteriota
GCA_013811805.1	GCA_013812385.1	88.97	23.95	85-90	Actinobacteriota
GCF_001667015.1	GCF_010731655.1	84.50	20.63	80-85	Actinobacteriota
GCF_006715665.1	GCF_003058055.1	85.77	27.79	85-90	Proteobacteria
GCF_001665685.1	GCF_000373905.1	84.27	19.28	80-85	Actinobacteriota
GCA_902582845.1	GCA_902571015.1	92.01	53.57	90-95	Proteobacteria
GCA_902594395.1	GCA_902563075.1	89.31	29.15	85-90	Proteobacteria
GCF_000514815.1	GCF_000514775.1	92.00	60.59	90-95	Actinobacteriota
GCF_000721605.1	GCA_014650015.1	90.08	47.76	90-95	Actinobacteriota
GCF_004348725.1	GCF_004216905.1	84.55	17.08	80-85	Actinobacteriota
GCF_000718785.1	GCF_011193355.1	84.77	16.25	80-85	Actinobacteriota
GCF_000742135.1	GCF_003261575.2	83.79	17.53	80-85	Proteobacteria
GCA_902618535.1	GCA_902536485.1	93.03	55.53	90-95	Proteobacteria
GCF_018613695.1	GCF_900106835.1	85.55	24.91	85-90	Actinobacteriota
GCF_902459775.1	GCF_902459705.1	84.03	16.33	80-85	Proteobacteria
GCF_900102525.1	GCF_011764485.1	90.02	47.94	90-95	Proteobacteria
GCA_009783295.1	GCF_004135385.1	84.62	18.04	80-85	Actinobacteriota
GCF_009601705.1	GCF_000022485.1	88.50	47.28	85-90	Thermoproteota
GCF_001693485.1	GCF_000472965.1	94.02	70.37	90-95	Proteobacteria
GCF_002913945.1	GCF_902460845.1	94.39	76.85	90-95	Campylobacterota
GCA_017529425.1	GCA_017445425.1	89.79	43.59	85-90	Bacteroidota
GCF_004349195.1	GCF_003968755.1	83.15	17.61	80-85	Bacteroidota
GCF_003051085.1	GCF_900107505.1	89.86	54.66	85-90	Firmicutes
GCF_002113125.1	GCF_014207255.1	83.75	15.02	80-85	Proteobacteria
GCF_002096685.1	GCF_003627155.1	87.50	40.29	85-90	Firmicutes
GCF_008245025.1	GCF_000816305.1	90.79	59.81	90-95	Campylobacterota
GCF_014297265.1	GCF_010119545.1	82.20	15.50	80-85	Bacteroidota
GCF_002699855.1	GCF_000507185.2	89.78	56.30	85-90	Proteobacteria
GCF_014962245.1	GCF_000092185.1	84.66	30.50	80-85	Thermoproteota
GCF_900105395.1	GCF_014656195.1	86.63	17.91	85-90	Actinobacteriota
GCF_002211285.1	GCF_014193025.1	88.00	34.88	85-90	Proteobacteria
GCF_013344685.1	GCA_001897375.1	93.51	61.97	90-95	Proteobacteria
GCF_003129925.1	GCF_002802875.1	85.81	24.68	85-90	Actinobacteriota
GCA_003702465.1	GCA_018657375.1	85.27	15.21	85-90	Thermoproteota
GCF_900215245.1	GCF_001647715.1	94.54	81.01	90-95	Proteobacteria
GCF_000520535.1	GCF_015751955.1	89.52	46.96	85-90	Actinobacteriota
GCF_013149805.1	GCF_001636295.1	82.83	15.33	80-85	Actinobacteriota
GCA_004020365.1	GCA_004020645.1	93.02	60.72	90-95	Proteobacteria
GCF_001074565.1	GCA_905373305.1	91.25	45.31	90-95	Firmicutes
GCF_002140155.1	GCF_900089595.1	87.01	25.98	85-90	Actinobacteriota
GCF_003201105.1	GCF_000725385.1	87.02	36.26	85-90	Proteobacteria
GCF_005844325.1	GCF_003471585.1	93.51	68.71	90-95	Actinobacteriota
GCF_001550375.1	GCF_009857135.1	87.41	23.99	85-90	Actinobacteriota
GCA_900472625.1	GCA_900467745.1	86.51	28.36	85-90	Proteobacteria
GCF_009496285.1	GCF_000960085.1	88.30	44.10	85-90	Firmicutes
GCF_003952485.1	GCF_000425965.1	83.25	15.08	80-85	Proteobacteria
GCF_000745775.1	GCF_900101855.1	83.75	17.45	80-85	Bacteroidota
GCF_000373645.1	GCF_000717025.1	84.00	15.78	80-85	Actinobacteriota
GCF_900176385.1	GCF_001570945.1	86.80	34.50	85-90	Actinobacteriota
GCF_003369565.1	GCF_003352005.1	86.78	32.84	85-90	Firmicutes
GCF_000725385.1	GCA_000632805.1	83.76	16.43	80-85	Proteobacteria
GCF_000956465.1	GCF_014779795.1	83.32	16.70	80-85	Actinobacteriota
GCF_012184385.1	GCF_900111005.1	87.78	35.48	85-90	Actinobacteriota
GCA_015521565.1	GCA_013152685.1	82.99	16.81	80-85	Hydrothermarchaeota
GCF_007097385.1	GCF_003097655.1	88.30	30.91	85-90	Bacteroidota
GCF_001428825.1	GCA_019192965.1	84.60	18.88	80-85	Actinobacteriota
GCF_001277295.1	GCF_002368115.1	93.47	49.95	90-95	Cyanobacteria
GCF_000381045.1	GCF_000373145.1	83.81	19.93	80-85	Deinococcota
GCF_000738175.1	GCF_000163435.1	92.72	73.20	90-95	Actinobacteriota
GCF_004349085.1	GCF_003312425.1	87.60	38.08	85-90	Bacteroidota
GCF_017874195.1	GCA_002508705.1	83.09	18.44	80-85	Halobacteriota
GCF_002929825.1	GCF_002929505.1	93.99	65.31	90-95	Actinobacteriota
GCF_018881975.1	GCF_018687815.1	86.02	30.65	85-90	Proteobacteria
GCA_001560915.1	GCA_902787415.1	91.14	41.21	90-95	Thermoplasmatota
GCF_001854885.1	GCF_008932245.1	93.83	68.15	90-95	Proteobacteria
GCA_902588925.1	GCA_902588855.1	92.86	39.53	90-95	Proteobacteria
GCF_016586355.1	GCA_019119895.1	86.54	32.52	85-90	Firmicutes_A
GCF_003666015.1	GCF_000337075.1	88.56	32.51	85-90	Halobacteriota
GCF_004152865.1	GCF_019097845.1	83.30	15.72	80-85	Proteobacteria
GCA_001510295.1	GCA_902512865.1	86.40	26.18	85-90	Thermoproteota
GCA_902603305.1	GCA_902584995.1	86.26	22.61	85-90	Proteobacteria
GCF_003319095.1	GCF_002938425.1	88.87	48.54	85-90	Actinobacteriota
GCF_008705135.1	GCA_014204745.1	90.52	52.97	90-95	Actinobacteriota
GCF_018614875.1	GCF_001591365.1	91.76	54.44	90-95	Proteobacteria
GCA_902566945.1	GCA_902535255.1	84.30	19.34	80-85	Proteobacteria
GCF_015553625.1	GCF_000186465.1	93.61	74.24	90-95	Firmicutes
GCF_005222835.1	GCF_011046895.1	90.78	62.77	90-95	Proteobacteria
GCF_004364165.1	GCA_011050675.1	82.66	18.93	80-85	Bacteroidota
GCF_002277895.1	GCF_000330885.1	90.52	56.83	90-95	Proteobacteria
GCA_902580945.1	GCA_902543405.1	85.01	28.60	85-90	Proteobacteria
GCA_003610235.1	GCF_009720385.1	91.45	53.83	90-95	Actinobacteriota
GCF_004302915.1	GCF_000285295.1	86.27	28.71	85-90	Proteobacteria
GCF_001412535.1	GCF_000293865.2	84.28	25.59	80-85	Proteobacteria
GCF_004010325.2	GCF_014843825.1	84.50	18.45	80-85	Proteobacteria
GCA_902610315.1	GCA_902606115.1	84.54	28.72	80-85	Proteobacteria
GCF_002217655.1	GCF_014679505.1	84.25	26.46	80-85	Firmicutes
GCF_003202755.1	GCF_000967265.1	91.80	67.79	90-95	Actinobacteriota
GCF_900105045.1	GCF_016107655.1	86.86	37.21	85-90	Actinobacteriota
GCA_902560225.1	GCA_902522915.1	93.69	55.82	90-95	Proteobacteria
GCF_002284575.1	GCF_000502835.1	86.00	27.15	85-90	Proteobacteria
GCA_017543005.1	GCA_017433125.1	88.81	40.15	85-90	Firmicutes
GCF_900109465.1	GCF_000787815.1	87.41	24.60	85-90	Actinobacteriota
GCA_902533775.1	GCA_902524595.1	91.50	45.42	90-95	Proteobacteria
GCA_002749975.1	GCF_015207655.1	94.10	72.00	90-95	Cyanobacteria
GCF_000223985.1	GCA_011390875.1	88.51	31.89	85-90	Proteobacteria
GCF_013359905.1	GCF_014844075.1	89.29	49.97	85-90	Firmicutes
GCA_004354085.1	GCF_003457605.1	83.50	18.22	80-85	Proteobacteria
GCF_018130785.1	GCF_014529705.1	87.25	34.57	85-90	Proteobacteria
GCF_018398875.1	GCF_001693515.2	87.52	36.84	85-90	Proteobacteria
GCF_002843385.1	GCA_016936255.1	91.50	60.19	90-95	Bacteroidota
GCA_001897755.1	GCA_017305455.1	91.33	70.16	90-95	Proteobacteria
GCF_003668875.1	GCF_003612165.1	92.07	65.16	90-95	Myxococcota
GCA_009911365.1	GCA_910583765.1	85.27	26.96	85-90	Firmicutes_A
GCF_002959895.1	GCF_001078375.1	84.94	16.56	80-85	Firmicutes_C
GCF_007786235.1	GCF_016907545.1	83.22	15.51	80-85	Actinobacteriota
GCF_006440735.1	GCF_014207355.1	83.25	15.02	80-85	Proteobacteria
GCA_017517715.1	GCA_002371315.1	87.87	20.80	85-90	Bacteroidota
GCF_003044455.1	GCF_000176735.1	94.61	70.51	90-95	Proteobacteria
GCF_000701325.1	GCF_016916835.1	91.03	50.54	90-95	Actinobacteriota
GCA_003213155.1	GCA_003278065.1	81.67	16.40	80-85	Proteobacteria
GCF_003688615.2	GCF_001295365.1	85.82	30.33	85-90	Firmicutes
GCA_902608795.1	GCA_902604715.1	88.58	40.79	85-90	Bacteroidota
GCA_900552735.1	GCA_900541245.1	93.50	64.30	90-95	Actinobacteriota
GCF_003611735.1	GCF_017302985.1	89.01	44.14	85-90	Myxococcota
GCA_905233595.1	GCA_905233785.1	88.18	16.68	85-90	Firmicutes_A
GCF_006715285.1	GCF_000813845.1	86.37	39.95	85-90	Actinobacteriota
GCF_013343235.1	GCA_003326195.1	87.04	25.25	85-90	Cyanobacteria
GCF_005796105.1	GCF_000259195.1	83.00	15.74	80-85	Proteobacteria
GCA_900313205.1	GCA_016286385.1	94.63	56.45	90-95	Bacteroidota
GCF_002204795.1	GCF_900187505.1	83.75	15.01	80-85	Proteobacteria
GCF_000725555.1	GCF_014650555.1	87.51	27.79	85-90	Actinobacteriota
GCA_003213275.1	GCA_902521995.1	90.01	48.18	90-95	Cyanobacteria
GCF_013620825.1	GCF_014842995.1	85.01	21.62	85-90	Proteobacteria
GCA_017635395.1	GCA_002393955.1	87.25	18.29	85-90	Firmicutes_A
GCF_000383575.1	GCF_000379065.1	92.72	61.84	90-95	Actinobacteriota
GCA_002713705.1	GCA_018669795.1	90.86	54.81	90-95	Bacteroidota
GCF_003591005.1	GCF_900110435.1	84.53	21.60	80-85	Proteobacteria
GCA_012800515.1	GCA_012800655.1	89.54	40.15	85-90	Firmicutes_A
GCF_003335105.1	GCF_002001105.1	83.08	15.01	80-85	Proteobacteria
