pairid	query	reference	ani	ani_uniform	af_query	af_reference	std_err	ani_cal	synteny_blocks	synteny_score	breakpoint_count	het_shape	retention	ani_from_loss	ani_from_hist	enzyme_spread	enzyme_chi2	per_enzyme	n_anchors	n_chains	n_tags	max_block_anchors	mean_block_anchors	flag	ani_gated	gate	ani_upper95
GCF_019042655.1__GCF_018283455.1	NZ_JAHPZO010000001.1	NZ_JAAMTH010000001.1	91.9361	93.2726	0.8789	0.8025	0.07911	91.5953	34	0.9968	8	2.623	0.5071	92.6332	95.1011	0.7042	2.13	AlfI:93.42,AloI:93.59,BcgI:93.30,FalI:92.89	2712	34	5587	381	75.20588235294117	ok	91.9361	gamma	92.7854
GCF_003664315.1__GCF_001514115.1	NZ_RCCZ01000001.1	NZ_KQ948451.1	87.2918	90.1217	0.5605	0.4789	0.08549	86.2155	60	0.9752	55	2.948	0.2905	89.5853	93.7314	3.0757	33.03	AlfI:89.64,AloI:89.47,BcgI:90.06,FalI:92.54	2711	60	8499	298	37.016666666666666	ok	87.2918	gamma	89.7385
GCF_005233875.1__GCF_004331345.1	NZ_SZPZ01000001.1	NZ_SJJZ01000009.1	86.3659	89.6603	0.8195	0.8220	0.06890	86.3856	36	0.9922	26	2.863	0.2641	89.1322	93.6571	2.3770	22.96	AlfI:88.88,AloI:90.41,BcgI:89.56,FalI:91.26	3696	36	14217	561	93.19444444444444	ok	86.3659	gamma	89.2548
GCF_000518925.1__GCF_900100045.1	NZ_JAEN01000011.1	NZ_FNEA01000094.1	93.4776	94.1318	0.6465	0.5476	0.06956	91.5372	130	0.9698	93	3.817	0.5659	93.6344	95.3272	0.8873	3.39	AlfI:93.91,AloI:94.29,BcgI:94.14,FalI:94.79	3405	130	5819	162	23.96153846153846	ok	93.4776	gamma	93.7714
GCA_017408915.1__GCA_017416445.1	JAFQTS010000010.1	JAFQCJ010000013.1	89.9386	92.6792	0.1967	0.3231	0.24370	88.2671	27	0.9861	3	1.680	0.4657	91.8387	95.4176	0.4309	0.14	AlfI:92.94,AloI:92.51,BcgI:92.59,FalI:92.62	398	27	678	21	8.88888888888889	ok	89.9386	gamma	92.3052
GCF_001293465.1__GCF_013385635.1	NZ_JSYZ01000001.1	NZ_JACAPR010000001.1	89.5047	90.6478	0.6623	0.6832	0.07304	87.4754	80	0.9830	52	5.554	0.3188	90.3045	92.8707	0.7112	2.65	AlfI:90.64,AloI:90.92,BcgI:90.53,FalI:91.24	3401	80	10344	212	38.5375	ok	89.5047	gamma	90.4351
GCA_002402045.2__GCA_016744015.1	NVUX02000042.1	JADGFD010000010.1	86.5855	88.0446	0.3406	0.4167	0.20850	NaN	36	0.9870	4	7.405	0.1939	87.7954	90.7820	1.6000	4.20	AlfI:88.91,AloI:87.64,BcgI:87.31,FalI:87.69	532	36	2033	18	9.444444444444445	BELOW_DETECTION	86.5855	gamma	88.1605
GCF_000970025.1__GCA_013331275.1	NZ_CP009528.1	DUGT01000020.1	92.1278	92.1278	0.2019	0.2169	0.18735	88.1837	55	0.8962	54	inf	0.4422	92.0314	92.5448	1.1210	1.20	AlfI:92.44,AloI:91.32,BcgI:91.76,FalI:92.35	1127	55	1228	22	9.472727272727273	INCONSISTENT	92.1278	uniform	92.3806
GCF_004364445.1__GCF_007991175.1	NZ_SOCZ01000001.1	NZ_BJXV01000001.1	84.7342	87.6957	0.3579	0.4769	0.18941	NaN	34	0.9660	14	4.472	0.1781	87.3431	91.5613	3.8619	6.33	AlfI:87.85,AloI:89.48,BcgI:87.95,FalI:85.62	598	34	2649	47	12.705882352941176	BELOW_DETECTION	84.7342	gamma	87.6756
GCA_018056665.1__GCA_900766815.1	JAGPFD010000002.1	CAAFWV010000001.1	92.1663	93.7098	0.6043	0.6331	0.15807	91.5056	57	0.9592	25	2.026	0.5516	92.9190	95.5888	0.7702	1.29	AlfI:94.03,AloI:93.73,BcgI:93.26,FalI:93.91	748	57	1340	35	11.298245614035087	ok	92.1663	gamma	93.2327
GCA_012026795.1__GCF_002487355.1	VEPM01000001.1	NZ_NTMG01000006.1	93.6926	93.6926	0.3056	0.3090	0.15084	90.3345	87	0.9232	54	inf	0.5513	93.7847	93.4707	1.2347	2.93	AlfI:94.38,AloI:94.00,BcgI:93.14,FalI:93.63	1307	87	1365	25	8.459770114942529	ok	93.6926	uniform	94.0803
GCF_019168305.1__GCF_015354575.1	NZ_JAHTBI010000001.1	NZ_JACAFQ010000001.1	86.9804	88.9182	0.4051	0.3922	0.11765	85.1602	85	0.9765	25	5.089	0.2268	88.5977	92.1090	1.3433	4.18	AlfI:88.84,AloI:89.39,BcgI:88.69,FalI:90.03	1498	85	5476	76	13.24705882352941	ok	86.9804	gamma	88.8041
GCF_017163755.1__GCF_014199795.1	NZ_JAFIWC010000010.1	NZ_JACHOH010000001.1	87.8442	90.9114	0.6499	0.6936	0.08334	87.7092	83	0.9868	29	2.374	0.3333	90.2613	94.4973	1.2281	7.52	AlfI:91.19,AloI:91.36,BcgI:90.55,FalI:91.78	2532	83	7745	133	27.10843373493976	ok	87.8442	gamma	90.4124
GCA_003282945.1__GCA_902566315.1	QBYG01000001.1	CACFIL010000001.1	92.8316	92.8316	0.3803	0.4484	0.37285	89.7213	14	0.9908	1	inf	0.5033	92.3300	94.2999	3.3264	1.66	AlfI:93.94,AloI:93.59,BcgI:90.61,FalI:92.94	167	14	290	18	8.714285714285714	ok	92.8316	uniform	93.0553
GCA_900549845.1__GCA_900765235.1	URPT01000001.1	CAAFRK010000001.1	97.1790	97.3510	0.2719	0.2809	0.13524	94.1846	46	0.9720	7	3.074	0.8291	97.2117	97.4501	0.3059	0.14	AlfI:97.41,AloI:97.53,BcgI:97.23,FalI:97.37	712	46	597	15	6.282608695652174	ok	97.1790	gamma	97.5697
GCF_001514205.1__GCF_000718165.1	NZ_KQ948763.1	NZ_JOEY01000001.1	88.2114	90.3824	0.4129	0.3945	0.09054	86.2496	95	0.9640	71	3.454	0.3061	89.9015	93.4998	3.0852	28.16	AlfI:89.51,AloI:90.03,BcgI:90.39,FalI:92.59	2817	95	7208	86	21.021052631578947	ok	88.2114	gamma	90.0639
GCF_000317475.1__GCA_013299165.1	NC_019729.1	JAAFKD010000001.1	88.1475	89.7870	0.2681	0.3195	0.14861	85.7938	69	0.9065	68	4.943	0.2763	89.3875	92.4584	2.1582	7.81	AlfI:90.38,AloI:88.61,BcgI:90.06,FalI:88.22	1614	69	2941	30	10.55072463768116	INCONSISTENT	88.1475	gamma	89.6531
GCF_009604405.1__GCF_000308615.1	NZ_WEGK01000001.1	NZ_BAGB01000174.1	90.1220	91.3293	0.6894	0.5742	0.06272	87.6817	102	0.9822	73	4.604	0.3598	90.9257	93.4831	2.2973	17.57	AlfI:91.48,AloI:91.32,BcgI:91.18,FalI:93.48	4649	102	12447	256	40.568627450980394	ok	90.1220	gamma	91.0392
GCA_017521805.1__GCA_017397925.1	JAFXDK010000027.1	JAFQHO010000001.1	88.3649	92.4991	0.1628	0.1602	0.28714	87.4314	27	0.9932	1	1.260	0.4613	91.4176	95.9350	1.0258	0.62	AlfI:93.08,AloI:92.27,BcgI:92.05,FalI:92.66	502	27	525	9	6.37037037037037	INCONSISTENT	88.3649	gamma	91.9712
GCF_009724685.1__GCF_001281525.1	NZ_WMEF01000010.1	NZ_LGCI01000005.1	84.3074	88.8380	0.2429	0.2359	0.26507	85.2010	17	0.9665	8	2.444	0.2477	88.1941	93.4676	1.7232	0.88	AlfI:88.94,AloI:87.60,BcgI:89.32,FalI:88.55	435	17	1133	53	14.588235294117647	INCONSISTENT	88.8380	uniform_fallback	88.6730
GCF_003838195.1__GCA_010672455.1	NZ_RCBY01000001.1	JAAHGO010000001.1	91.9769	94.5237	0.4833	0.4645	0.09988	91.7153	93	0.9852	10	1.107	0.6160	93.2988	96.7374	0.6771	2.04	AlfI:94.56,AloI:94.94,BcgI:94.74,FalI:94.26	3651	93	2954	17	8.161290322580646	INCONSISTENT	91.9769	gamma	93.5057
GCF_001618005.1__GCF_016907085.1	NZ_LQXA01000001.1	NZ_JAFBBJ010000001.1	91.9342	93.4108	0.8661	0.8605	0.07711	91.7464	62	0.9940	15	2.374	0.5077	92.7225	95.4237	2.0564	12.94	AlfI:93.23,AloI:93.40,BcgI:93.33,FalI:95.29	2666	62	5612	236	41.354838709677416	ok	91.9342	gamma	92.8705
GCA_900539885.1__GCA_900758465.1	UQDT01000001.1	CAAERP010000001.1	88.5190	90.8509	0.1911	0.2063	0.22604	86.1469	38	0.9504	14	2.948	0.3357	90.2957	94.0068	2.1167	2.26	AlfI:90.76,AloI:89.99,BcgI:90.60,FalI:92.11	626	38	1066	35	8.052631578947368	INCONSISTENT	88.5190	gamma	90.7073
GCF_001068775.1__GCF_000148545.1	NZ_JWAJ01000067.1	NZ_AEDV01000108.1	90.2212	92.9999	0.1486	0.1554	0.31307	88.2197	19	0.9843	2	1.476	0.5080	92.0638	95.4857	1.4396	1.05	AlfI:93.85,AloI:92.41,BcgI:93.60,FalI:92.61	527	19	406	17	7.578947368421052	INCONSISTENT	90.2212	gamma	92.6782
GCF_900199205.1__GCF_000719705.1	NZ_OBMJ01000003.1	NZ_JOHO01000001.1	93.1173	94.4049	0.6333	0.6031	0.05524	91.5414	121	0.9752	118	2.026	0.5892	93.6180	96.0631	1.7369	22.26	AlfI:94.72,AloI:93.92,BcgI:94.21,FalI:95.66	5219	121	9044	283	39.289256198347104	ok	93.1173	gamma	93.7289
GCA_900552015.1__GCA_002405995.1	URXY01000001.1	DHMW01000059.1	89.6596	90.9455	0.2504	0.2772	0.21813	86.7204	41	0.9692	9	4.741	0.3413	90.5478	93.0553	2.1516	3.52	AlfI:90.61,AloI:89.38,BcgI:91.53,FalI:89.75	602	41	1103	17	7.902439024390244	ok	89.6596	gamma	90.9440
GCF_001984155.1__GCF_013280595.1	NZ_MTQO01000007.1	NZ_JAAATY010000001.1	86.6761	88.9910	0.4473	0.4912	0.08204	84.7830	73	0.9800	47	4.344	0.2320	88.5970	92.5295	0.8122	3.67	AlfI:89.26,AloI:89.24,BcgI:88.77,FalI:89.59	2937	73	11229	187	32.57534246575342	ok	86.6761	gamma	88.7415
GCA_017435745.1__GCA_017399765.1	JAFSEN010000018.1	JAFQBH010000005.1	90.1764	91.1809	0.4758	0.4729	0.17043	88.3164	60	0.9848	8	5.089	0.3805	90.8185	92.9802	0.7397	1.04	AlfI:91.31,AloI:91.45,BcgI:90.71,FalI:91.38	853	60	1805	21	9.666666666666666	ok	90.1764	gamma	91.1311
GCF_903772925.1__GCF_016405965.1	NZ_LR812090.1	NZ_JAEFCD010000010.1	80.9082	87.0601	0.4976	0.4943	0.18066	NaN	32	0.9380	31	2.591	0.1700	86.5454	92.7058	1.2933	2.44	AlfI:87.76,AloI:86.47,BcgI:86.49,FalI:87.14	677	32	3317	79	15.65625	BELOW_DETECTION	87.0601	uniform_fallback	86.8649
GCA_003719395.1__GCF_018614035.1	RHMC01000100.1	NZ_JAGGPA010000009.1	92.2781	93.3667	0.5099	0.5407	0.06725	90.1668	201	0.9879	37	3.074	0.5072	92.7801	95.0970	1.6013	13.96	AlfI:93.10,AloI:93.12,BcgI:93.32,FalI:94.70	3855	201	7453	120	16.029850746268657	ok	92.2781	gamma	92.9090
GCF_013464915.1__GCA_014171555.1	NZ_RAVT01000001.1	CP050452.1	92.0087	93.3023	0.8336	0.8748	0.05765	91.1658	103	0.9947	24	2.701	0.4997	92.6970	95.1701	1.7085	20.41	AlfI:93.42,AloI:93.83,BcgI:92.99,FalI:94.70	4779	103	10198	170	45.09708737864078	ok	92.0087	gamma	92.8069
GCF_000173795.1__GCA_900764725.1	NZ_ACCK01000475.1	CAAFPB010000001.1	95.0881	95.3172	0.2871	0.2463	0.16829	92.0004	61	0.9580	17	5.962	0.6865	95.0102	95.7676	1.5567	2.84	AlfI:94.50,AloI:94.92,BcgI:94.05,FalI:95.61	918	61	815	16	7.360655737704918	ok	95.0881	gamma	95.3799
GCF_002162315.1__GCF_000568815.1	NZ_CP021416.1	NZ_CP007201.1	73.5603	86.9969	0.7324	0.6874	0.20936	NaN	13	0.9679	12	1.392	0.1759	86.1921	94.4779	2.1349	1.91	AlfI:87.29,AloI:88.96,BcgI:86.82,FalI:86.82	508	13	2543	101	28.846153846153847	BELOW_DETECTION	86.9969	uniform_fallback	86.5686
GCF_008369065.1__GCF_001418335.1	NZ_VDFC01000001.1	NZ_LIPP01000001.1	92.9754	93.4925	0.4157	0.4030	0.06849	90.0879	276	0.9296	228	5.395	0.5176	93.1323	94.5519	1.7503	16.55	AlfI:92.78,AloI:93.19,BcgI:93.66,FalI:94.53	4600	276	6872	64	11.91304347826087	ok	92.9754	gamma	93.2637
GCA_013333675.2__GCA_905371715.1	JABCOJ020000001.1	CAJPLV010000001.1	94.2837	95.8413	0.8008	0.8036	0.12493	94.7070	50	0.9820	13	1.107	0.7082	94.7423	97.2381	1.3879	3.58	AlfI:95.99,AloI:95.51,BcgI:96.03,FalI:94.64	805	50	1263	57	15.18	ok	94.2837	gamma	95.0194
GCF_001427665.1__GCA_011058465.1	NZ_LMHC01000001.1	DSIT01000125.1	90.5557	92.1855	0.4019	0.4079	0.11280	88.5988	108	0.9282	90	2.948	0.4263	91.5703	94.5335	1.8755	6.67	AlfI:92.78,AloI:90.90,BcgI:92.11,FalI:92.47	1877	108	3385	43	11.777777777777779	ok	90.5557	gamma	91.7809
GCF_008180865.1__GCF_001305855.1	NZ_VTEX01000001.1	NZ_LIXZ01000001.1	83.7313	87.9221	0.3158	0.3374	0.23413	85.0880	24	0.9586	13	2.948	0.2150	87.4050	92.4725	1.0270	0.57	AlfI:87.19,AloI:87.44,BcgI:88.22,FalI:87.97	758	24	1702	61	13.541666666666666	INCONSISTENT	87.9221	uniform_fallback	87.8222
GCF_001667925.1__GCF_010731655.1	NZ_LZJR01000001.1	NZ_AP022619.1	86.6171	88.2175	0.4463	0.4258	0.13313	NaN	64	0.9873	10	6.784	0.1941	87.9739	91.0754	2.0788	3.31	AlfI:88.27,AloI:87.67,BcgI:88.13,FalI:89.75	1246	64	4843	44	13.171875	BELOW_DETECTION	86.6171	gamma	88.2055
GCA_017510725.1__GCA_017431685.1	JAFWMD010000029.1	JAFRKO010000006.1	87.6262	91.7481	0.3302	0.3063	0.18881	87.3787	46	0.9698	13	1.520	0.3984	90.8654	95.3593	0.8245	0.49	AlfI:91.89,AloI:91.23,BcgI:91.63,FalI:92.06	650	46	1342	27	10.08695652173913	ok	87.6262	gamma	91.2187
GCF_003259845.1__GCF_004001265.1	NZ_QLMJ01000001.1	NZ_AP019371.1	87.5991	90.0137	0.6310	0.6578	0.07470	86.4139	50	0.9926	21	3.454	0.2829	89.5321	93.3523	2.1261	15.22	AlfI:90.42,AloI:89.45,BcgI:89.83,FalI:91.57	3405	50	11266	339	57.34	ok	87.5991	gamma	89.6653
GCF_003149025.1__GCF_013249015.1	NZ_QGDV01000001.1	NZ_JABRPL010000001.1	91.3249	92.0201	0.8301	0.9295	0.08523	90.3773	39	0.9941	13	6.138	0.4050	91.6878	93.5419	1.5598	4.61	AlfI:91.94,AloI:91.71,BcgI:91.98,FalI:93.27	2342	39	5844	304	56.69230769230769	ok	91.3249	gamma	91.8438
GCA_001916715.1__GCA_002472405.1	MNSZ01000064.1	DKRV01000003.1	95.3550	96.1225	0.6188	0.7733	0.07011	94.5898	92	0.9714	67	1.729	0.7301	95.3978	96.9616	0.8087	2.79	AlfI:96.40,AloI:95.59,BcgI:96.00,FalI:96.15	2490	92	3535	94	25.73913043478261	ok	95.3550	gamma	95.5567
GCF_003854275.1__GCF_902498995.1	NZ_QTQP01000009.1	NZ_CABVLY010000001.1	90.8401	92.1139	0.5314	0.6021	0.05601	88.1352	154	0.9840	80	3.707	0.4099	91.6348	94.1999	1.5957	10.42	AlfI:91.78,AloI:92.08,BcgI:92.15,FalI:93.38	5707	154	13395	280	32.857142857142854	ok	90.8401	gamma	91.7377
GCF_003434305.1__GCF_900091565.1	NZ_QKKX01000001.1	NZ_FMCV01000074.1	87.7844	90.0001	0.4636	0.5307	0.11359	86.5656	67	0.9778	26	3.707	0.2831	89.5383	93.2713	1.4588	6.07	AlfI:90.57,AloI:89.84,BcgI:89.68,FalI:91.14	1794	67	4889	80	18.104477611940297	ok	87.7844	gamma	89.7411
GCA_017627955.1__GCA_902785825.1	JAGAFU010000017.1	CACZZZ010000001.1	85.7977	90.0021	0.5185	0.5072	0.19609	86.8143	38	0.9823	7	2.086	0.3059	89.2694	94.1839	1.6451	2.13	AlfI:88.79,AloI:90.24,BcgI:90.43,FalI:89.68	583	38	1721	26	11.236842105263158	ok	85.7977	gamma	89.6274
GCF_000372805.1__GCF_001043175.1	NZ_KB889827.1	NZ_CP011494.1	93.3721	93.8402	0.6220	0.6221	0.09524	91.5398	64	0.9907	15	5.395	0.5456	93.4672	94.7717	1.1496	3.62	AlfI:93.94,AloI:94.04,BcgI:93.96,FalI:92.89	1819	64	3290	166	25.859375	ok	93.3721	gamma	93.6529
GCF_001639065.2__GCF_900088415.1	NZ_LQXO02000001.1	NZ_FLLQ01000001.1	95.5565	96.0735	0.8948	0.8998	0.05338	95.3309	66	0.9944	24	2.374	0.7317	95.5452	96.6874	0.6253	6.15	AlfI:95.82,AloI:95.76,BcgI:96.00,FalI:96.38	4406	66	6274	455	65.56060606060606	ok	95.5565	gamma	95.6669
GCF_014698335.1__GCA_001264245.1	NZ_JACJSV010000001.1	CP011339.1	96.5253	97.1419	0.3992	0.3546	0.07886	94.6070	158	0.9432	75	1.297	0.8122	96.4240	97.6592	0.6941	4.86	AlfI:96.80,AloI:97.02,BcgI:97.39,FalI:96.70	3361	158	1990	32	8.886075949367088	INCONSISTENT	96.5253	gamma	96.6290
GCA_019116345.1__GCA_019119025.1	DXBV01000026.1	DWXV01000037.1	92.3978	93.7835	0.5493	0.6381	0.11425	91.3404	90	0.9821	19	2.239	0.5448	93.0844	95.4773	1.7274	10.15	AlfI:94.53,AloI:93.42,BcgI:93.46,FalI:92.80	1333	90	2431	41	12.566666666666666	ok	92.3978	gamma	93.3091
GCA_002439085.1__GCA_902777205.1	DJSW01000005.1	CACYSU010000001.1	95.2748	95.8702	0.8209	0.8197	0.08963	94.9244	45	0.9855	22	2.374	0.7097	95.2801	96.6111	1.8749	6.87	AlfI:95.99,AloI:96.25,BcgI:95.90,FalI:94.37	1607	45	2354	138	34.28888888888889	ok	95.2748	gamma	95.4799
GCF_003217155.1__GCF_015864825.1	NZ_QJSU01000001.1	NZ_JADYWL010000001.1	92.2955	93.8090	0.8745	0.8963	0.09455	92.5930	25	0.9959	7	2.086	0.5477	93.0149	95.7358	0.8456	1.96	AlfI:94.09,AloI:93.24,BcgI:93.78,FalI:93.48	1890	25	3523	200	68.28	ok	92.2955	gamma	93.2008
GCA_002869855.2__GCA_013140455.1	NEWQ02000001.1	JABFSU010000130.1	92.7978	93.7837	0.6480	0.5821	0.08785	91.3910	142	0.9506	95	2.948	0.5418	93.2405	95.1568	1.0530	4.19	AlfI:93.60,AloI:93.81,BcgI:93.98,FalI:92.93	2238	142	4000	57	13.880281690140846	ok	92.7978	gamma	93.4120
GCA_014361015.1__GCA_004102645.1	JACIWJ010000001.1	CP034928.1	88.1878	91.5017	0.3693	0.3596	0.25674	87.4521	27	0.9948	1	1.911	0.3853	90.6756	95.0039	1.6710	1.50	AlfI:92.85,AloI:91.47,BcgI:91.18,FalI:91.52	352	27	777	15	8.074074074074074	ok	88.1878	gamma	91.1557
GCF_001275135.1__GCA_000436695.1	NZ_LFQU01000001.1	HF992501.1	88.2058	92.0450	0.2801	0.3241	0.14989	87.6785	67	0.9475	35	1.520	0.4191	91.1217	95.4572	1.5310	4.57	AlfI:92.32,AloI:92.45,BcgI:92.35,FalI:90.92	1055	67	2012	37	10.432835820895523	ok	88.2058	gamma	91.4040
GCA_902622655.1__GCA_902591535.1	CACNQY010000001.1	CACJBA010000001.1	91.0340	91.0340	0.2425	0.2851	0.62059	86.8042	5	1.0000	0	inf	0.3834	90.8358	92.0089	1.7846	0.43	AlfI:91.19,AloI:92.31,BcgI:91.78,FalI:90.52	77	5	140	6	5.4	ok	91.0340	uniform	91.9873
GCF_019061365.1__GCF_001436255.1	NZ_JAHPPD010000001.1	NZ_AZEI01000007.1	94.8605	95.5344	0.6565	0.6735	0.09629	94.0313	97	0.9919	10	2.374	0.6896	94.8595	96.4805	1.4515	10.24	AlfI:95.12,AloI:94.80,BcgI:95.30,FalI:96.25	2752	97	2299	89	13.68041237113402	INCONSISTENT	94.8605	gamma	95.0698
GCA_009668015.1__GCF_001652505.2	WJYB01000001.1	NZ_CP015774.2	80.4848	87.1834	0.6196	0.6232	0.16261	NaN	26	0.9835	9	2.516	0.1580	86.6713	93.1997	1.3745	2.43	AlfI:87.52,AloI:88.18,BcgI:86.80,FalI:87.09	672	26	4029	61	21.653846153846153	BELOW_DETECTION	87.1834	uniform_fallback	86.9578
GCA_902619665.1__GCA_902583455.1	CACNFB010000001.1	CACHVY010000001.1	92.4665	94.7372	0.4940	0.5266	0.29847	91.9204	15	0.9755	4	1.075	0.6396	93.5816	96.7019	2.7643	2.70	AlfI:94.71,AloI:94.62,BcgI:92.50,FalI:95.26	194	15	323	44	11.6	ok	92.4665	gamma	94.2151
GCF_001420285.1__GCF_902728305.1	NZ_LLYZ01000001.1	NZ_CACVBV010000001.1	82.8713	87.8766	0.2457	0.2632	0.32261	84.6562	15	0.9494	9	2.548	0.2148	87.3226	92.7483	2.1415	1.81	AlfI:88.91,AloI:86.80,BcgI:86.77,FalI:88.22	407	15	907	50	12.266666666666667	INCONSISTENT	87.8766	uniform_fallback	87.9000
GCF_008312835.1__GCF_011193355.1	NZ_VSKS01000001.1	NZ_CP049780.1	88.0941	90.2453	0.4732	0.5358	0.09630	86.6360	65	0.9803	34	3.601	0.2978	89.7720	93.3452	3.0950	19.26	AlfI:89.95,AloI:89.12,BcgI:90.30,FalI:92.21	2231	65	6516	112	27.015384615384615	ok	88.0941	gamma	89.9445
GCF_001885075.1__GCF_003443615.1	NZ_MODU01000001.1	NZ_CP031967.1	78.6089	86.9519	0.6120	0.6168	0.17226	NaN	21	0.9620	20	2.086	0.1642	86.3550	93.5742	1.2921	3.53	AlfI:87.44,AloI:87.45,BcgI:86.16,FalI:87.30	668	21	3755	74	25.095238095238095	BELOW_DETECTION	86.9519	uniform_fallback	86.6604
GCF_900143055.1__GCA_902762305.1	NZ_FRCW01000020.1	CACWNW010000001.1	86.8000	90.2888	0.3177	0.3171	0.14407	86.0546	84	0.9149	67	2.374	0.3065	89.6373	94.2377	1.4807	2.88	AlfI:89.88,AloI:91.36,BcgI:90.17,FalI:90.40	1324	84	2947	35	9.571428571428571	ok	86.8000	gamma	89.8984
GCF_900446215.1__GCF_902499175.1	NZ_UAQZ01000014.1	NZ_CABVQC010000001.1	93.7364	94.4090	0.7187	0.7020	0.03888	91.2686	195	0.9812	179	3.454	0.5866	93.8885	95.5525	1.2522	12.61	AlfI:94.23,AloI:94.32,BcgI:94.42,FalI:95.48	10039	195	17444	358	48.95384615384615	ok	93.7364	gamma	93.9658
GCF_018224615.1__GCF_007954505.1	NZ_JAGTUK010000001.1	NZ_CP042412.1	85.4430	87.2133	0.8395	0.7880	0.12676	NaN	24	0.9811	18	7.405	0.1558	87.0060	90.4768	4.8365	27.59	AlfI:86.71,AloI:86.28,BcgI:87.14,FalI:91.11	1044	24	6474	158	39.875	BELOW_DETECTION	85.4430	gamma	87.2246
GCA_902609705.1__GCA_902538525.1	CACLSX010000001.1	CACBFA010000001.1	96.3523	96.3523	0.3795	0.4132	0.23902	93.5738	20	0.9820	3	inf	0.7595	96.0962	96.6321	2.3598	2.26	AlfI:96.13,AloI:97.38,BcgI:95.02,FalI:96.56	243	20	293	26	9.2	ok	96.3523	uniform	96.6669
GCF_002797445.1__GCF_001424425.1	NZ_PGEP01000001.1	NZ_LMPT01000001.1	85.5009	88.4059	0.6792	0.6079	0.10677	85.5193	73	0.9467	72	4.046	0.2018	88.0349	92.3697	2.1221	11.33	AlfI:88.81,AloI:89.90,BcgI:87.77,FalI:88.97	1641	73	7324	164	18.52054794520548	ok	85.5009	gamma	88.2218
GCF_013179515.1__GCF_014268885.2	NZ_JABMCN010000001.1	NZ_CP077095.1	89.3709	90.6769	0.3939	0.4382	0.10002	86.9927	149	0.9969	4	4.943	0.3205	90.3053	93.1307	1.7308	10.93	AlfI:90.26,AloI:91.99,BcgI:90.57,FalI:91.80	2784	149	5499	41	9.630872483221477	ok	89.3709	gamma	90.4844
GCF_900110605.1__GCF_000428485.1	NZ_FOFI01000014.1	NZ_AUAA01000001.1	87.8669	91.2051	0.1948	0.2125	0.24806	86.6147	27	0.9201	23	1.911	0.3822	90.4443	94.5815	2.4686	3.85	AlfI:92.29,AloI:91.28,BcgI:89.82,FalI:91.62	586	27	879	26	10.814814814814815	INCONSISTENT	87.8669	gamma	90.9062
GCA_902613545.1__GCA_902590505.1	CACMHW010000001.1	CACIWZ010000001.1	95.5445	96.1717	0.7218	0.6895	0.19070	94.8481	19	0.9812	6	1.856	0.7477	95.5715	96.8201	3.3860	5.17	AlfI:94.24,AloI:97.63,BcgI:95.69,FalI:96.27	368	19	509	61	17.473684210526315	ok	95.5445	gamma	96.0217
GCF_003205295.1__GCF_016861355.1	NZ_QJRP01000010.1	NZ_AP023348.1	96.0365	96.6148	0.8539	0.8651	0.03631	95.5348	181	0.9857	113	1.781	0.7686	95.9678	97.2403	0.6487	13.85	AlfI:96.75,AloI:97.05,BcgI:96.40,FalI:96.98	9511	181	11141	268	44.1767955801105	ok	96.0365	gamma	96.0543
GCA_003213235.1__GCA_902521995.1	QCNJ01000001.1	CABYTO010000001.1	95.1135	95.5566	0.6038	0.6244	0.16428	93.8313	30	0.9798	10	3.165	0.7029	95.1544	96.0491	1.4100	0.96	AlfI:95.90,AloI:94.49,BcgI:95.78,FalI:95.54	606	30	801	47	17.133333333333333	ok	95.1135	gamma	95.5221
GCF_002846335.1__GCF_002002885.1	NZ_PJMQ01000001.1	NZ_CP019510.1	92.8869	93.6710	0.8889	0.9195	0.04905	91.5766	40	0.9938	39	3.707	0.5296	93.1854	94.9962	0.8859	4.35	AlfI:93.55,AloI:94.25,BcgI:93.75,FalI:93.37	6502	40	12897	960	157.85	ok	92.8869	gamma	93.2800
GCA_005787685.1__GCA_903898755.1	SYAC01000014.1	CAIUGT010000001.1	89.3052	89.3052	0.2714	0.2595	0.27142	85.5086	29	0.9830	3	inf	0.2543	89.1472	90.9748	2.3861	4.11	AlfI:89.81,AloI:89.95,BcgI:87.88,FalI:90.27	435	29	953	16	6.9655172413793105	ok	89.3052	uniform	89.6262
GCF_000745325.1__GCF_014200725.1	NZ_JQNP01000001.1	NZ_JACHCL010000001.1	85.5979	88.2585	0.7838	0.8268	0.08445	NaN	34	0.9848	33	4.472	0.1965	87.9027	91.9548	1.5621	4.90	AlfI:88.41,AloI:88.71,BcgI:88.27,FalI:87.15	2425	34	12002	493	63.76470588235294	BELOW_DETECTION	85.5979	gamma	88.0503
GCF_018917435.1__GCF_015667935.1	NZ_JAHLOQ010000001.1	NZ_JADPET010000100.1	94.2297	94.6230	0.2066	0.2101	0.23770	90.8278	34	0.9324	15	4.604	0.6353	94.2599	95.2786	3.6239	4.00	AlfI:91.41,AloI:93.69,BcgI:94.63,FalI:95.03	585	34	488	14	7.088235294117647	INCONSISTENT	94.2297	gamma	94.7597
