pairid	q_acc	r_acc	status	syn2b_breakpoints	syn2b_scj_distance	syn2b_breakpoint_density	syn2b_inverted_fraction	syn2b_orientation_mismatches	syn2b_orientation_uninformative	syn2b_observable_fraction	syn2b_observable_adjacencies	syn2b_structural	syn2b_shared_tags	syn2b_repeats_dropped	syn2b_landmarks_collapsed	syn2b_circular
GCA_002469795.1__GCA_002690685.1	GCA_002469795.1	GCA_002690685.1	ok	6	210	0.00164	0.47965	1756	0	0.9939	3406	0.9418	3661	109	574	false
GCA_002469955.1__GCA_003506855.1	GCA_002469955.1	GCA_003506855.1	ok	0	83	0.00000	0.44567	443	0	0.9724	846	0.9110	994	0	148	false
GCA_002470035.1__GCA_900299445.1	GCA_002470035.1	GCA_900299445.1	ok	0	274	0.00000	0.48092	832	0	0.8242	1402	0.8400	1730	3	78	false
GCA_002471725.1__GCA_002686325.1	GCA_002471725.1	GCA_002686325.1	ok	0	138	0.00000	0.37646	547	0	1.0000	1311	0.9048	1453	4	176	false
GCA_002472155.1__GCA_902790945.1	GCA_002472155.1	GCA_902790945.1	ok	22	191	0.00536	0.47151	1936	0	0.9899	3916	0.9533	4106	28	1460	false
GCA_002472355.1__GCA_002481925.1	GCA_002472355.1	GCA_002481925.1	ok	2	65	0.00124	0.39317	633	0	0.9870	1517	0.9589	1610	2	157	false
GCA_002473005.1__GCA_016277725.1	GCA_002473005.1	GCA_016277725.1	ok	0	150	0.00000	0.47169	2108	0	0.9939	4236	0.9658	4469	7	768	false
GCA_002473225.1__GCF_013267085.1	GCA_002473225.1	GCF_013267085.1	ok	6	234	0.00102	0.35018	2065	0	0.9979	5670	0.9603	5897	22	1784	false
GCA_002480055.1__GCA_905478815.1	GCA_002480055.1	GCA_905478815.1	ok	0	138	0.00000	0.46675	1172	0	0.9502	2288	0.9433	2511	12	345	false
GCA_002490555.1__GCA_002491645.1	GCA_002490555.1	GCA_002491645.1	ok	0	36	0.00000	0.47470	2120	0	0.9955	4386	0.9919	4466	22	602	false
GCA_002491085.1__GCA_002493585.1	GCA_002491085.1	GCA_002493585.1	ok	0	29	0.00000	0.45013	862	0	0.9968	1860	0.9846	1915	4	286	false
GCA_002491315.1__GCA_002492815.1	GCA_002491315.1	GCA_002492815.1	ok	1	16	0.00031	0.46719	1488	0	0.9981	3115	0.9949	3185	2	451	false
GCA_002491555.1__GCA_002493265.1	GCA_002491555.1	GCA_002493265.1	ok	0	72	0.00000	0.46450	870	0	0.9665	1733	0.9601	1873	8	301	false
GCA_002491735.1__GCA_002493555.1	GCA_002491735.1	GCA_002493555.1	ok	1	84	0.00041	0.43039	1048	0	0.9867	2222	0.9637	2435	10	255	false
GCA_002491865.1__GCA_910584515.1	GCA_002491865.1	GCA_910584515.1	ok	4	37	0.00186	0.49001	1055	0	0.9953	2098	0.9826	2153	6	341	false
GCA_002493245.1__GCA_905204545.1	GCA_002493245.1	GCA_905204545.1	ok	1	105	0.00045	0.44535	986	0	0.9741	2068	0.9517	2214	3	452	false
GCA_002496995.1__GCA_009387855.1	GCA_002496995.1	GCA_009387855.1	ok	8	112	0.00848	0.46872	442	0	0.8808	820	0.8809	943	9	72	false
GCA_002497045.1__GCA_003584605.1	GCA_002497045.1	GCA_003584605.1	ok	4	284	0.00147	0.47572	1293	0	1.0000	2441	0.8956	2718	36	322	false
GCA_002497705.1__GCA_002503835.1	GCA_002497705.1	GCA_002503835.1	ok	0	179	0.00000	0.48830	647	0	0.8985	1009	0.8527	1325	21	143	false
GCA_002500215.1__GCA_003537275.1	GCA_002500215.1	GCA_003537275.1	ok	26	563	0.00705	0.48739	1797	0	0.8427	3081	0.8469	3687	18	773	false
GCA_002502935.1__GCA_900079125.1	GCA_002502935.1	GCA_900079125.1	ok	14	163	0.00584	0.48145	1155	0	0.9416	2258	0.9324	2399	48	418	false
GCA_002505035.1__GCA_002763205.1	GCA_002505035.1	GCA_002763205.1	ok	0	24	0.00000	0.39216	540	0	0.9910	1315	0.9821	1377	4	318	false
GCA_002505035.1__GCA_002763255.1	GCA_002505035.1	GCA_002763255.1	ok	0	41	0.00000	0.37847	545	0	0.9834	1361	0.9708	1440	3	329	false
GCA_002505645.1__GCA_019056895.1	GCA_002505645.1	GCA_019056895.1	ok	0	73	0.00000	0.48354	1028	0	0.9742	1852	0.9626	2126	13	173	false
GCA_002509505.1__GCA_017994735.1	GCA_002509505.1	GCA_017994735.1	ok	1	121	0.00050	0.47038	937	0	0.9583	1814	0.9376	1992	12	408	false
GCA_002509605.1__GCA_902786095.1	GCA_002509605.1	GCA_902786095.1	ok	2	89	0.00402	0.36546	182	0	0.8741	361	0.8061	498	3	42	false
GCA_002689885.1__GCA_902593395.1	GCA_002689885.1	GCA_902593395.1	ok	0	46	0.00000	0.49061	209	0	0.8977	351	0.8856	426	28	77	false
GCA_002692635.1__GCA_002729675.1	GCA_002692635.1	GCA_002729675.1	ok	0	176	0.00000	0.47178	861	0	0.9102	1601	0.9012	1825	12	408	false
GCA_002693025.1__GCA_002725105.1	GCA_002693025.1	GCA_002725105.1	ok	0	138	0.00000	0.48590	1482	0	0.9772	2827	0.9535	3050	4	761	false
GCA_002695845.1__GCA_002702225.1	GCA_002695845.1	GCA_002702225.1	ok	0	29	0.00000	0.46123	232	0	0.9587	441	0.9386	503	129	84	false
GCA_002698025.1__GCA_002712225.1	GCA_002698025.1	GCA_002712225.1	ok	3	74	0.00373	0.47950	386	0	0.9221	710	0.9059	805	84	135	false
GCA_002700265.1__GCA_017643205.1	GCA_002700265.1	GCA_017643205.1	ok	7	39	0.00119	0.21658	1272	0	0.9971	5843	0.9934	5873	308	1406	false
GCA_002702005.1__GCA_003209665.1	GCA_002702005.1	GCA_003209665.1	ok	2	102	0.00219	0.49399	452	0	0.9460	753	0.8821	915	97	145	false
GCA_002705225.1__GCA_003331375.1	GCA_002705225.1	GCA_003331375.1	ok	0	32	0.00000	0.46575	136	0	0.9707	232	0.8797	292	12	22	false
GCA_002712965.1__GCA_009391645.1	GCA_002712965.1	GCA_009391645.1	ok	5	52	0.00658	0.47368	360	0	0.9649	688	0.9294	760	66	109	false
GCA_002716425.1__GCA_003448475.1	GCA_002716425.1	GCA_003448475.1	ok	0	72	0.00000	0.47106	293	0	0.8567	502	0.8778	622	1	108	false
GCA_002716425.1__GCA_009391675.1	GCA_002716425.1	GCA_009391675.1	ok	0	63	0.00000	0.43928	293	0	0.8843	558	0.9008	667	19	137	false
GCA_002725245.1__GCA_013330135.1	GCA_002725245.1	GCA_013330135.1	ok	0	121	0.00000	0.47222	425	0	0.8447	740	0.8623	900	16	113	false
GCA_002754795.1__GCF_002271775.1	GCA_002754795.1	GCF_002271775.1	ok	0	81	0.00000	0.48489	1604	0	0.9813	3207	0.9754	3308	174	534	false
GCA_002763255.1__GCA_002785255.1	GCA_002763255.1	GCA_002785255.1	ok	0	117	0.00000	0.44220	612	0	0.9862	1218	0.9124	1384	3	327	false
GCA_002772225.1__GCA_002793275.1	GCA_002772225.1	GCA_002793275.1	ok	0	34	0.00000	0.38095	128	0	0.8715	217	0.8722	336	0	12	false
GCA_002772855.1__GCA_009992265.1	GCA_002772855.1	GCA_009992265.1	ok	0	9	0.00000	0.31441	216	0	0.9985	672	0.9868	687	0	30	false
GCA_002779155.1__GCA_002789755.1	GCA_002779155.1	GCA_002789755.1	ok	0	59	0.00000	0.45185	366	0	0.9232	637	0.9173	810	5	61	false
GCA_002781685.1__GCA_002784285.1	GCA_002781685.1	GCA_002784285.1	ok	0	162	0.00000	0.29086	315	0	0.8392	788	0.8349	1083	8	95	false
GCA_002781865.1__GCA_009993355.1	GCA_002781865.1	GCA_009993355.1	ok	0	39	0.00000	0.43498	281	0	0.9755	557	0.9351	646	1	72	false
GCA_002782325.1__GCA_002787335.1	GCA_002782325.1	GCA_002787335.1	ok	0	19	0.00000	0.46125	125	0	0.8970	209	0.9205	271	1	12	false
GCA_002785285.1__GCA_002790275.1	GCA_002785285.1	GCA_002790275.1	ok	0	53	0.00000	0.35650	236	0	0.9144	545	0.9125	662	8	44	false
GCA_002786095.1__GCF_900640075.1	GCA_002786095.1	GCF_900640075.1	ok	0	102	0.00000	0.48510	1563	0	0.9964	3087	0.9680	3222	19	316	false
GCA_002788255.1__GCA_002793395.1	GCA_002788255.1	GCA_002793395.1	ok	0	143	0.00000	0.37533	1007	0	0.9477	2462	0.9452	2683	6	387	false
GCA_002788415.1__GCA_002792975.1	GCA_002788415.1	GCA_002792975.1	ok	0	43	0.00000	0.40896	429	0	0.9686	955	0.9570	1049	7	121	false
GCA_002789155.1__GCA_009993785.1	GCA_002789155.1	GCA_009993785.1	ok	0	316	0.00000	0.44722	1771	1	0.9742	3356	0.9146	3961	33	740	false
GCA_002790895.1__GCA_002792655.1	GCA_002790895.1	GCA_002792655.1	ok	0	44	0.00000	0.46205	140	0	0.8804	243	0.8483	303	2	41	false
GCA_002792455.1__GCA_002793975.1	GCA_002792455.1	GCA_002793975.1	ok	0	26	0.00000	0.42049	119	0	0.9241	207	0.8930	283	4	25	false
GCA_002816355.1__GCA_009392645.1	GCA_002816355.1	GCA_009392645.1	ok	0	146	0.00000	0.44774	514	0	0.9938	966	0.8687	1148	5	232	false
GCA_002839685.1__GCF_012933645.1	GCA_002839685.1	GCF_012933645.1	ok	0	347	0.00000	0.49854	511	0	0.5561	550	0.6530	1025	1	72	false
GCA_002905835.1__GCF_000452525.3	GCA_002905835.1	GCF_000452525.3	ok	18	85	0.00205	0.44350	3901	0	0.9947	8747	0.9904	8796	97	2268	false
GCA_003058485.1__GCA_019100325.1	GCA_003058485.1	GCA_019100325.1	ok	0	380	0.00000	0.45923	2782	0	0.9956	5662	0.9371	6058	24	976	false
GCA_003131505.1__GCA_003134935.1	GCA_003131505.1	GCA_003134935.1	ok	48	511	0.00804	0.47076	2809	0	0.9401	5444	0.9136	5967	43	1299	false
GCA_003131995.1__GCA_003167035.1	GCA_003131995.1	GCA_003167035.1	ok	9	472	0.00171	0.48851	2572	0	0.9733	4557	0.9062	5265	16	850	false
GCA_003132345.1__GCA_003134935.1	GCA_003132345.1	GCA_003134935.1	ok	17	401	0.00277	0.48736	2987	0	0.9543	5683	0.9340	6129	45	1402	false
GCA_003132375.1__GCA_003132845.1	GCA_003132375.1	GCA_003132845.1	ok	23	298	0.00307	0.47184	3536	0	0.9835	7091	0.9596	7494	16	1365	false
GCA_003132485.1__GCA_003132545.1	GCA_003132485.1	GCA_003132545.1	ok	8	384	0.00169	0.48469	2296	0	0.9643	4209	0.9164	4737	9	902	false
GCA_003132485.1__GCA_003132965.1	GCA_003132485.1	GCA_003132965.1	ok	4	357	0.00071	0.47505	2675	0	0.9566	5177	0.9355	5631	10	980	false
GCA_003132545.1__GCA_003132965.1	GCA_003132545.1	GCA_003132965.1	ok	14	366	0.00277	0.47803	2415	0	0.9795	4576	0.9259	5052	7	862	false
GCA_003132845.1__GCA_003140755.1	GCA_003132845.1	GCA_003140755.1	ok	16	207	0.00197	0.48329	3920	0	0.9788	7831	0.9742	8111	27	1419	false
GCA_003135235.1__GCA_003161155.1	GCA_003135235.1	GCA_003161155.1	ok	5	255	0.00201	0.47061	1169	0	0.9294	2080	0.8918	2484	17	343	false
GCA_003135655.1__GCA_003169785.1	GCA_003135655.1	GCA_003169785.1	ok	0	376	0.00000	0.47967	2017	0	0.9995	3806	0.9101	4205	38	807	false
GCA_003138155.1__GCA_003158015.1	GCA_003138155.1	GCA_003158015.1	ok	11	525	0.00199	0.47739	2639	0	0.9533	4782	0.9013	5528	22	709	false
GCA_003138175.1__GCA_003161105.1	GCA_003138175.1	GCA_003161105.1	ok	0	276	0.00000	0.47018	2018	0	0.9605	3815	0.9327	4292	18	834	false
GCA_003138335.1__GCA_003156515.1	GCA_003138335.1	GCA_003156515.1	ok	3	75	0.00076	0.44981	1779	0	0.9941	3843	0.9808	3955	12	589	false
GCA_003138715.1__GCA_003159855.1	GCA_003138715.1	GCA_003159855.1	ok	0	80	0.00000	0.49599	2476	0	0.9893	4810	0.9836	4992	25	1019	false
GCA_003139495.1__GCA_003166935.1	GCA_003139495.1	GCA_003166935.1	ok	21	653	0.00284	0.49465	3655	0	0.9275	6562	0.9095	7389	36	1370	false
GCA_003140725.1__GCA_003153175.1	GCA_003140725.1	GCA_003153175.1	ok	32	673	0.00295	0.48715	5289	0	0.9722	10011	0.9369	10857	37	1782	false
GCA_003150015.1__GCA_018367385.1	GCA_003150015.1	GCA_018367385.1	ok	0	40	0.00000	0.46385	494	0	0.9621	1016	0.9622	1065	76	209	false
GCA_003150885.1__GCA_018381625.1	GCA_003150885.1	GCA_018381625.1	ok	3	148	0.00109	0.47802	1316	0	0.9498	2591	0.9460	2753	44	222	false
GCA_003150885.1__GCF_017566165.1	GCA_003150885.1	GCF_017566165.1	ok	2	36	0.00072	0.16392	458	0	0.9939	2754	0.9871	2794	45	233	false
GCA_003153795.1__GCA_003157475.1	GCA_003153795.1	GCA_003157475.1	ok	4	348	0.00123	0.49278	1603	0	0.8909	2842	0.8916	3253	19	513	false
GCA_003154505.1__GCA_003155355.1	GCA_003154505.1	GCA_003155355.1	ok	7	354	0.00140	0.44874	2250	0	0.9901	4521	0.9273	5014	9	838	false
GCA_003154505.1__GCA_003158325.1	GCA_003154505.1	GCA_003158325.1	ok	0	124	0.00000	0.43802	2668	0	0.9935	5849	0.9793	6091	14	929	false
GCA_003154875.1__GCA_003157795.1	GCA_003154875.1	GCA_003157795.1	ok	19	427	0.00438	0.44450	1930	0	0.9566	3685	0.8961	4342	9	772	false
GCA_003155455.1__GCA_003158815.1	GCA_003155455.1	GCA_003158815.1	ok	2	216	0.00077	0.49082	1283	0	0.9696	2294	0.9141	2614	14	293	false
GCA_003155455.1__GCA_003161995.1	GCA_003155455.1	GCA_003161995.1	ok	0	156	0.00000	0.48016	1307	0	0.9649	2475	0.9409	2722	12	293	false
GCA_003156515.1__GCA_003169085.1	GCA_003156515.1	GCA_003169085.1	ok	1	82	0.00025	0.37223	1477	0	0.9930	3850	0.9791	3968	15	567	false
GCA_003156875.1__GCA_003157305.1	GCA_003156875.1	GCA_003157305.1	ok	1	214	0.00045	0.47411	1062	0	0.9307	1813	0.8956	2240	7	398	false
GCA_003159365.1__GCA_003159975.1	GCA_003159365.1	GCA_003159975.1	ok	3	373	0.00035	0.46389	4008	0	0.9753	7862	0.9548	8640	47	1437	false
GCA_003161595.1__GCA_003167225.1	GCA_003161595.1	GCA_003167225.1	ok	4	441	0.00071	0.49212	2780	0	0.9703	5027	0.9195	5649	89	1083	false
GCA_003209665.1__GCA_902594495.1	GCA_003209665.1	GCA_902594495.1	ok	0	0	0.00000	0.00000	0	0	0.9960	1988	1.0000	2102	4	152	false
GCA_003218855.1__GCA_003219835.1	GCA_003218855.1	GCA_003219835.1	ok	0	176	0.00000	0.49565	1196	0	0.9632	2145	0.9246	2413	18	562	false
GCA_003225115.1__GCA_003225155.1	GCA_003225115.1	GCA_003225155.1	ok	2	547	0.00037	0.49844	2722	2	0.9498	4656	0.8953	5463	10	1178	false
GCA_003241585.1__GCA_003241635.1	GCA_003241585.1	GCA_003241635.1	ok	0	0	0.00000	0.00000	0	0	0.9993	18507	1.0000	18702	108	3358	false
GCA_003248635.1__GCF_000224715.1	GCA_003248635.1	GCF_000224715.1	ok	3	405	0.00089	0.49657	1665	0	0.9851	2914	0.8779	3353	14	769	false
GCA_003343525.1__GCA_905206385.1	GCA_003343525.1	GCA_905206385.1	ok	5	100	0.00290	0.45101	778	0	0.9489	1597	0.9410	1725	92	505	false
GCA_003343635.1__GCF_015550205.1	GCA_003343635.1	GCF_015550205.1	ok	2	165	0.00089	0.49667	1119	0	0.9712	2021	0.9246	2253	90	441	false
GCA_003343635.1__GCF_902386815.1	GCA_003343635.1	GCF_902386815.1	ok	3	172	0.00106	0.46844	1321	1	0.9996	2649	0.9390	2821	110	428	false
GCA_003385575.1__GCA_003389245.1	GCA_003385575.1	GCA_003389245.1	ok	0	3	0.00000	0.00000	0	0	0.9998	6415	0.9995	6421	24	884	false
GCA_003388515.1__GCA_003389355.1	GCA_003388515.1	GCA_003389355.1	ok	12	161	0.00134	0.41487	3704	0	0.9920	8734	0.9819	8928	168	1690	false
GCA_003445655.1__GCA_012521605.1	GCA_003445655.1	GCA_012521605.1	ok	0	139	0.00000	0.45988	447	0	0.8536	682	0.8374	972	15	136	false
GCA_003446395.1__GCA_902789255.1	GCA_003446395.1	GCA_902789255.1	ok	0	151	0.00000	0.42092	346	0	0.7723	458	0.7729	822	7	214	false
GCA_003447905.1__GCA_017413135.1	GCA_003447905.1	GCA_017413135.1	ok	9	231	0.00601	0.48331	724	0	0.8590	1212	0.8410	1498	25	453	false
GCA_003448475.1__GCA_009391675.1	GCA_003448475.1	GCA_009391675.1	ok	0	150	0.00000	0.47802	696	0	0.9341	1134	0.8853	1456	18	179	false
GCA_003451515.1__GCA_905214595.1	GCA_003451515.1	GCA_905214595.1	ok	2	49	0.00153	0.49501	645	0	0.9803	1243	0.9621	1303	4	208	false
GCA_003452555.1__GCA_018383075.1	GCA_003452555.1	GCA_018383075.1	ok	2	58	0.00086	0.48929	1142	0	0.9852	2261	0.9750	2334	23	581	false
GCA_003453075.1__GCA_003535715.1	GCA_003453075.1	GCA_003535715.1	ok	0	126	0.00000	0.46737	752	0	0.9484	1323	0.9138	1609	3	231	false
GCA_003459985.1__GCA_014864285.1	GCA_003459985.1	GCA_014864285.1	ok	3	101	0.00132	0.45064	1027	0	0.9959	2162	0.9554	2279	10	273	false
GCA_003459985.1__GCA_905196935.1	GCA_003459985.1	GCA_905196935.1	ok	3	83	0.00146	0.46582	954	0	0.9934	1954	0.9593	2048	10	268	false
GCA_003478565.1__GCA_905196385.1	GCA_003478565.1	GCA_905196385.1	ok	19	105	0.00959	0.42655	845	0	0.9797	1879	0.9467	1981	42	281	false
GCA_003480625.1__GCF_018917925.1	GCA_003480625.1	GCF_018917925.1	ok	33	142	0.01567	0.37720	794	1	0.9756	2000	0.9327	2106	72	393	false
GCA_003484445.1__GCA_003534055.1	GCA_003484445.1	GCA_003534055.1	ok	2	158	0.00172	0.48495	564	0	0.9064	881	0.8501	1163	6	147	false
GCA_003486265.1__GCA_009929385.1	GCA_003486265.1	GCA_009929385.1	ok	0	163	0.00000	0.45872	650	0	0.9154	1082	0.8720	1417	29	375	false
GCA_003486585.1__GCA_003507035.1	GCA_003486585.1	GCA_003507035.1	ok	1	242	0.00052	0.48474	937	0	0.9371	1535	0.8648	1933	10	397	false
GCA_003487495.1__GCA_003537815.1	GCA_003487495.1	GCA_003537815.1	ok	1	28	0.00107	0.43850	410	0	0.9956	900	0.9698	935	3	86	false
GCA_003491695.1__GCA_018609025.1	GCA_003491695.1	GCA_018609025.1	ok	0	344	0.00000	0.48941	1387	0	0.8714	2439	0.8775	2834	9	325	false
GCA_003497385.1__GCA_902796015.1	GCA_003497385.1	GCA_902796015.1	ok	0	260	0.00000	0.49012	893	0	0.8760	1413	0.8475	1822	9	412	false
GCA_003497385.1__GCA_902802235.1	GCA_003497385.1	GCA_902802235.1	ok	0	201	0.00000	0.48131	953	0	0.9336	1658	0.8927	1980	5	396	false
GCA_003499865.1__GCA_003512145.1	GCA_003499865.1	GCA_003512145.1	ok	1	152	0.00093	0.49814	535	0	0.9207	801	0.8441	1074	7	122	false
GCA_003500785.1__GCA_003505675.1	GCA_003500785.1	GCA_003505675.1	ok	0	262	0.00000	0.48474	1255	0	0.9375	2131	0.8914	2589	5	556	false
GCA_003503375.1__GCA_003525025.1	GCA_003503375.1	GCA_003525025.1	ok	0	300	0.00000	0.47863	1310	0	0.9366	2156	0.8790	2737	5	389	false
GCA_003509125.1__GCA_003533685.1	GCA_003509125.1	GCA_003533685.1	ok	0	221	0.00000	0.49543	1248	0	0.9358	2115	0.9064	2519	3	388	false
GCA_003510855.1__GCA_014764115.1	GCA_003510855.1	GCA_014764115.1	ok	31	530	0.00522	0.46714	2772	0	0.9234	5375	0.9100	5934	21	1435	false
GCA_003511045.1__GCA_003524005.1	GCA_003511045.1	GCA_003524005.1	ok	0	1	0.00000	0.36338	645	0	1.0000	1763	0.9994	1775	1	122	false
GCA_003516345.1__GCA_902526635.1	GCA_003516345.1	GCA_902526635.1	ok	1	147	0.00054	0.46121	856	0	0.9285	1648	0.9186	1856	3	535	false
GCA_003521015.1__GCA_003529415.1	GCA_003521015.1	GCA_003529415.1	ok	2	103	0.00043	0.48507	2274	0	0.9908	4532	0.9778	4688	7	687	false
GCA_003526955.1__GCF_015553695.1	GCA_003526955.1	GCF_015553695.1	ok	7	80	0.00434	0.47055	759	0	0.9702	1530	0.9501	1613	16	262	false
GCA_003529475.1__GCA_018379325.1	GCA_003529475.1	GCA_018379325.1	ok	2	50	0.00078	0.43286	1109	0	0.9884	2476	0.9802	2562	17	286	false
GCA_003530025.1__GCA_905213035.1	GCA_003530025.1	GCA_905213035.1	ok	0	20	0.00000	0.28889	91	0	0.9342	284	0.9349	315	3	29	false
GCA_003534915.1__GCA_003545475.1	GCA_003534915.1	GCA_003545475.1	ok	0	10	0.00000	0.14372	142	0	0.9929	975	0.9898	988	4	67	false
GCA_003534955.1__GCA_905479175.1	GCA_003534955.1	GCA_905479175.1	ok	0	271	0.00000	0.45419	689	0	0.9870	1213	0.8176	1517	7	209	false
GCA_003535215.1__GCA_902755205.1	GCA_003535215.1	GCA_902755205.1	ok	1	213	0.00075	0.45139	599	0	0.8154	1051	0.8359	1327	3	249	false
GCA_003537025.1__GCF_900156585.1	GCA_003537025.1	GCF_900156585.1	ok	10	29	0.00416	0.49480	1190	1	0.9987	2382	0.9879	2406	301	300	false
GCA_003537815.1__GCA_905201315.1	GCA_003537815.1	GCA_905201315.1	ok	2	34	0.00216	0.46270	428	0	0.9800	880	0.9628	925	3	94	false
GCA_003539535.1__GCA_018370305.1	GCA_003539535.1	GCA_018370305.1	ok	0	31	0.00000	0.41257	512	0	0.9891	1185	0.9745	1241	5	230	false
GCA_003542775.1__GCF_016760265.1	GCA_003542775.1	GCF_016760265.1	ok	1	78	0.00133	0.39148	294	0	0.9662	657	0.8939	751	8	102	false
GCA_003542775.1__GCF_016760285.1	GCA_003542775.1	GCF_016760285.1	ok	2	77	0.00266	0.44740	336	0	0.9201	656	0.8952	751	7	100	false
GCA_003551885.1__GCA_007121875.1	GCA_003551885.1	GCA_007121875.1	ok	1	203	0.00034	0.48127	1400	0	0.9704	2490	0.9250	2909	40	644	false
GCA_003553145.1__GCA_003557985.1	GCA_003553145.1	GCA_003557985.1	ok	3	252	0.00075	0.45914	1843	0	0.9486	3488	0.9330	4014	42	757	false
GCA_003555365.1__GCA_017536985.1	GCA_003555365.1	GCA_017536985.1	ok	3	388	0.00099	0.44967	1367	0	0.8764	2587	0.8704	3040	22	951	false
GCA_003556235.1__GCA_007123475.1	GCA_003556235.1	GCA_007123475.1	ok	0	165	0.00000	0.48117	1073	0	0.9676	1882	0.9199	2230	25	415	false
GCA_003556465.1__GCA_003564375.1	GCA_003556465.1	GCA_003564375.1	ok	2	190	0.00081	0.45695	1125	0	0.9522	2151	0.9192	2462	30	378	false
GCA_003556885.1__GCA_007120735.1	GCA_003556885.1	GCA_007120735.1	ok	0	298	0.00000	0.46789	1508	0	0.9421	2766	0.9033	3223	33	373	false
GCA_003557615.1__GCA_007124755.1	GCA_003557615.1	GCA_007124755.1	ok	0	400	0.00000	0.45384	1868	0	0.9238	3550	0.8994	4116	19	567	false
GCA_003557985.1__GCA_003568175.1	GCA_003557985.1	GCA_003568175.1	ok	2	291	0.00049	0.49477	2033	0	0.9717	3576	0.9250	4109	78	772	false
GCA_003560055.1__GCA_003563265.1	GCA_003560055.1	GCA_003563265.1	ok	1	302	0.00042	0.47453	1118	0	0.9384	1903	0.8643	2356	22	297	false
GCA_003560415.1__GCA_003564115.1	GCA_003560415.1	GCA_003564115.1	ok	1	367	0.00018	0.45440	2486	0	0.9446	4855	0.9299	5471	44	1146	false
GCA_003560415.1__GCA_007126425.1	GCA_003560415.1	GCA_007126425.1	ok	0	269	0.00000	0.47922	1603	0	0.9570	2807	0.9131	3345	26	859	false
GCA_003560635.1__GCA_003564175.1	GCA_003560635.1	GCA_003564175.1	ok	0	241	0.00000	0.48914	1194	0	0.9532	2015	0.8941	2441	44	483	false
GCA_003561075.1__GCA_003561905.1	GCA_003561075.1	GCA_003561905.1	ok	0	297	0.00000	0.48963	1228	0	0.8996	1971	0.8715	2508	20	413	false
GCA_003561415.1__GCA_003564555.1	GCA_003561415.1	GCA_003564555.1	ok	0	150	0.00000	0.46477	851	0	0.9189	1530	0.9120	1831	26	255	false
GCA_003561545.1__GCA_003564695.1	GCA_003561545.1	GCA_003564695.1	ok	2	379	0.00044	0.46142	2075	0	0.9390	3958	0.9128	4497	53	1129	false
GCA_003562035.1__GCA_003568175.1	GCA_003562035.1	GCA_003568175.1	ok	2	258	0.00051	0.44473	1758	0	0.9724	3484	0.9312	3953	63	732	false
GCA_003562135.1__GCA_007121255.1	GCA_003562135.1	GCA_007121255.1	ok	0	123	0.00000	0.38247	1095	0	0.9551	2468	0.9531	2863	64	479	false
GCA_003562135.1__GCA_007136505.1	GCA_003562135.1	GCA_007136505.1	ok	0	131	0.00000	0.36464	1052	0	0.9503	2466	0.9503	2885	63	494	false
GCA_003562515.1__GCA_007124975.1	GCA_003562515.1	GCA_007124975.1	ok	5	208	0.00166	0.49867	1503	0	0.9779	2705	0.9286	3014	45	758	false
GCA_003564115.1__GCA_007126425.1	GCA_003564115.1	GCA_007126425.1	ok	0	233	0.00000	0.46836	1732	0	0.9316	3229	0.9331	3698	22	931	false
GCA_003564595.1__GCA_007116325.1	GCA_003564595.1	GCA_007116325.1	ok	0	128	0.00000	0.46042	762	0	0.9271	1360	0.9155	1655	13	250	false
GCA_003564595.1__GCA_007124025.1	GCA_003564595.1	GCA_007124025.1	ok	0	69	0.00000	0.46505	865	0	0.9625	1590	0.9589	1860	12	265	false
GCA_003564625.1__GCA_007130795.1	GCA_003564625.1	GCA_007130795.1	ok	0	218	0.00000	0.47650	2545	0	0.9699	5060	0.9587	5341	35	998	false
GCA_003566115.1__GCA_007129125.1	GCA_003566115.1	GCA_007129125.1	ok	0	365	0.00000	0.49109	1846	0	0.9401	3152	0.8967	3759	28	707	false
GCA_003567995.1__GCA_007123295.1	GCA_003567995.1	GCA_007123295.1	ok	1	120	0.00060	0.46917	776	0	0.9328	1457	0.9245	1654	11	233	false
GCA_003568135.1__GCA_007130225.1	GCA_003568135.1	GCA_007130225.1	ok	0	34	0.00000	0.44860	144	0	0.9635	264	0.8867	321	9	46	false
GCA_003577345.1__GCA_013360835.1	GCA_003577345.1	GCA_013360835.1	ok	3	336	0.00072	0.43402	1809	0	0.9715	3746	0.9178	4168	12	571	false
GCA_003585625.1__GCF_000263655.1	GCA_003585625.1	GCF_000263655.1	ok	5	19	0.00318	0.39072	615	0	0.9974	1557	0.9879	1574	3	349	false
GCA_003644685.1__GCA_003644735.1	GCA_003644685.1	GCA_003644735.1	ok	19	208	0.01391	0.49048	670	0	0.9097	1008	0.8298	1366	25	240	false
GCA_003672125.1__GCA_018671035.1	GCA_003672125.1	GCA_018671035.1	ok	0	77	0.00000	0.48326	433	0	0.9088	777	0.9111	896	7	81	false
GCA_003696925.1__GCA_015296045.1	GCA_003696925.1	GCA_015296045.1	ok	0	167	0.00000	0.47124	1278	0	0.9434	2500	0.9375	2712	6	334	false
GCA_003709175.1__GCA_004124485.1	GCA_003709175.1	GCA_004124485.1	ok	0	53	0.00000	0.39550	123	0	0.7540	190	0.7985	311	6	55	false
GCA_003712035.1__GCA_017641265.1	GCA_003712035.1	GCA_017641265.1	ok	2	13	0.00033	0.25135	1531	0	0.9988	6077	0.9979	6091	17	1356	false
