pairid	band	phylum	dnadiff_blocks	dnadiff_inverted_blocks	dnadiff_aligned_bp	dnadiff_inverted_bp	dnadiff_inverted_fraction
GCF_017329635.1__GCF_000024285.1	85-90	Firmicutes	582	267	1999659	983484	0.4918258563085006
GCF_003946805.1__GCF_001421355.1	85-90	Proteobacteria	978	498	2533344	1246303	0.491959639117309
GCF_003943415.1__GCF_901543175.1	90-95	Firmicutes	264	138	1582612	872798	0.55149209029124
GCA_902604245.1__GCA_902551985.1	80-85	Proteobacteria	115	73	713164	502130	0.7040876993230168
GCF_000468015.1__GCA_000980705.1	85-90	Firmicutes_A	789	448	1392665	811778	0.5828953840298995
GCF_002101785.1__GCF_010730575.1	80-85	Actinobacteriota	1205	640	2571582	1318106	0.5125661946614963
GCF_900451145.1__GCF_002813325.1	90-95	Proteobacteria	838	44	5097176	130379	0.02557867336737048
GCF_000717025.1__GCF_002711365.1	90-95	Actinobacteriota	1360	998	5431385	3967197	0.7304208779160379
GCF_003261175.1__GCF_018613795.1	90-95	Actinobacteriota	633	325	3678615	2002695	0.5444154933310499
GCF_014205075.1__GCF_015277895.1	80-85	Actinobacteriota	601	229	1514473	523994	0.34599098168141657
GCF_001676875.1__GCA_002213445.1	80-85	Proteobacteria	1126	607	1896598	1054048	0.5557572031606065
GCF_003002915.1__GCF_900102745.1	90-95	Actinobacteriota	698	321	3846506	1603235	0.4168029375230404
GCA_003219355.1__GCA_003217835.1	90-95	Verrucomicrobiota	509	267	1188971	649853	0.5465675781831516
GCF_013155365.1__GCF_011420305.2	90-95	Actinobacteriota	820	599	3334016	2453864	0.7360084654662725
GCA_003281415.1__GCF_000760035.1	90-95	Cyanobacteria	99	48	1108406	581251	0.5244026105957564
GCA_902594335.1__GCA_902579465.1	90-95	Proteobacteria	85	26	809920	315163	0.3891285559067562
GCF_900104815.1__GCF_002019855.1	80-85	Actinobacteriota	1847	271	3045771	364647	0.1197223954131811
GCF_002257565.1__GCF_001267925.1	80-85	Proteobacteria	1173	495	2603368	1071936	0.41174970269281946
GCF_001487145.1__GCF_000163295.1	85-90	Firmicutes_A	313	178	1281471	838165	0.6540647427838788
GCA_902580505.1__GCA_902535625.1	90-95	Proteobacteria	55	30	653208	445518	0.6820461476283205
GCF_000373185.1__GCA_018054505.1	85-90	Bacteroidota	339	152	1564564	681637	0.4356721744843931
GCF_001667015.1__GCF_900078675.2	90-95	Actinobacteriota	1415	639	4619626	2032359	0.43994015965794636
GCA_017828955.1__GCA_017536405.1	90-95	Firmicutes_A	487	232	1579268	749539	0.47461165552648443
GCF_001487145.1__GCF_001182725.1	90-95	Firmicutes_A	296	57	1454519	199880	0.13741999932623775
GCF_004348325.1__GCF_900091605.1	80-85	Actinobacteriota	1457	736	2497973	1223854	0.48993884241342883
GCF_017347605.1__GCA_018054505.1	85-90	Bacteroidota	351	175	1540806	790256	0.5128848148306795
GCA_900540665.1__GCF_000173795.1	90-95	Firmicutes	397	147	1838912	611755	0.332672254028469
GCF_013141775.1__GCF_000758605.1	90-95	Firmicutes	1118	465	6005205	2604693	0.4337392312169193
GCA_018830685.1__GCA_018830905.1	85-90	Nanoarchaeota	293	158	314310	166755	0.5305430943972511
GCA_017541025.1__GCA_017445925.1	90-95	Bacteroidota	696	345	2134865	1113573	0.5216128420298239
GCF_017498485.1__GCF_014784055.1	80-85	Bacteroidota	848	427	2259064	1091472	0.4831523144098618
GCA_017963785.1__GCA_017458585.1	85-90	Bacteroidota	572	274	1358616	601158	0.4424782278436291
GCA_017881405.1__GCA_011391555.1	90-95	Desulfobacterota_E	466	219	1331565	650212	0.4883066166503325
GCA_002405995.1__GCA_900763705.1	80-85	Firmicutes_A	479	270	755441	431716	0.5714754692954181
GCF_002844275.1__GCF_003326675.1	80-85	Proteobacteria	912	531	1852443	1033396	0.5578557612838829
GCF_001651855.1__GCF_000378985.1	85-90	Proteobacteria	1164	594	4732367	2457922	0.5193853308502911
GCA_005777825.1__GCA_903951385.1	90-95	Proteobacteria	301	152	1092382	520785	0.47674256807600274
GCF_007713465.1__GCF_016650695.1	85-90	Proteobacteria	1205	538	3088229	1360382	0.4405055454113021
GCA_009693615.1__GCA_009928005.1	85-90	Bacteroidota	339	163	1319958	618313	0.468433844107161
GCF_008931805.1__GCF_015082335.1	90-95	Proteobacteria	761	162	3780610	789986	0.20895728467099225
GCF_001618065.1__GCF_005221305.1	90-95	Proteobacteria	340	156	1870285	798121	0.42673763624260475
GCF_003664255.1__GCF_003626595.1	85-90	Actinobacteriota	1689	1065	3530270	2230752	0.6318927447475688
GCA_009712635.1__GCF_002934545.1	90-95	Firmicutes_A	407	160	4832139	1620368	0.33533141327267285
GCF_003003925.1__GCF_002252675.1	90-95	Cyanobacteria	363	126	2741312	963741	0.35156195281675345
GCF_014698795.1__GCF_014698065.1	85-90	Cyanobacteria	3373	1657	5578123	2804046	0.502686297881922
GCF_018263925.1__GCA_002084115.1	85-90	Proteobacteria	593	306	2672330	1273101	0.4764011181253812
GCF_012910785.1__GCF_012910705.1	90-95	Proteobacteria	776	376	3164328	1557445	0.49218823080287505
GCF_003943935.1__GCF_905187535.1	90-95	Firmicutes	377	161	1516686	631777	0.41655095385597285
GCF_007673305.1__GCF_000742895.1	85-90	Firmicutes	1079	550	4048355	1993286	0.4923693697810592
GCF_008710035.1__GCF_003086775.1	90-95	Proteobacteria	816	559	3594282	2567880	0.7144347605446651
GCF_017874195.1__GCF_001602375.1	90-95	Halobacteriota	539	244	1814715	942749	0.5195025114136379
GCF_007671685.1__GCF_000022205.1	85-90	Halobacteriota	869	430	2118519	1128467	0.5326678684496103
GCF_002803515.1__GCF_013364355.1	90-95	Proteobacteria	525	397	3903912	3150837	0.8070973423581269
GCA_902603555.1__GCA_902554765.1	80-85	Proteobacteria	116	58	441264	219533	0.4975094274629247
GCF_017347605.1__GCA_018053665.1	85-90	Bacteroidota	298	162	1976969	1124891	0.5689977940979347
GCF_014541205.1__GCF_000521605.1	90-95	Proteobacteria	283	140	1787103	839440	0.4697211072892833
GCF_000260435.1__GCF_000829055.1	90-95	Firmicutes	504	288	2427140	1482045	0.6106137264434685
GCA_009885705.1__GCA_005116815.1	90-95	Nitrospirota	663	329	1652982	784126	0.4743705618089005
GCF_002902385.1__GCF_900636325.1	85-90	Firmicutes	603	303	2037248	1061586	0.5210882523875345
GCF_001182745.1__GCF_001613125.1	80-85	Actinobacteriota	1473	688	2779828	1355226	0.48752153010905713
GCF_004912155.1__GCF_003265355.1	85-90	Actinobacteriota	1520	710	2763521	1295677	0.46885006482671926
GCA_003212115.1__GCA_003279015.1	90-95	Cyanobacteria	97	43	722597	288059	0.3986440574760205
GCF_003732275.1__GCF_017968885.1	80-85	Proteobacteria	1313	823	3178180	2071026	0.651638988351824
GCA_902799665.1__GCA_902792795.1	85-90	Spirochaetota	889	473	1277213	689822	0.5400994195956352
GCA_902596205.1__GCA_902524945.1	80-85	Proteobacteria	101	31	375398	123315	0.32849136116867966
GCF_000829445.1__GCF_016908195.1	90-95	Firmicutes	559	266	2966924	1288496	0.43428682365979043
GCF_003054045.1__GCF_012030425.1	80-85	Bacteroidota	783	267	2624430	893258	0.3403626692272227
GCA_002691685.1__GCA_002691645.1	85-90	Bacteroidota	237	130	1907263	1049758	0.5504002332137728
GCF_003096495.1__GCF_000515355.1	85-90	Actinobacteriota	1876	946	3056955	1540795	0.5040293363821188
GCA_902632445.1__GCA_902552345.1	80-85	Proteobacteria	89	51	361600	219871	0.6080503318584071
GCF_001269345.1__GCA_017848645.1	85-90	Proteobacteria	700	375	1898523	942425	0.4963990428348774
GCF_000735715.2__GCF_010645065.1	80-85	Bacteroidota	1013	436	2602870	1027676	0.39482417485314286
GCF_004403185.1__GCF_002929825.1	85-90	Actinobacteriota	552	269	2365440	1133983	0.47939622226731604
GCA_002690995.1__GCA_902578675.1	90-95	Proteobacteria	169	79	1458865	719743	0.4933581928416954
GCF_004614165.1__GCF_003416895.1	80-85	Proteobacteria	1553	770	3232986	1562536	0.4833104752077491
GCF_002217655.1__GCF_000445995.2	85-90	Firmicutes	870	829	2192335	2166972	0.9884310563850871
GCF_007713465.1__GCF_002113025.1	85-90	Proteobacteria	1103	448	2962096	1092064	0.3686794756145648
GCA_017558775.1__GCA_017464245.1	80-85	Bacteroidota	561	285	1034690	567756	0.5487208729184587
GCF_004368965.1__GCF_016919165.1	80-85	Spirochaetota	634	339	2437962	1348986	0.5533252774243405
GCF_014596445.1__GCF_900112845.1	85-90	Actinobacteriota	2341	1227	5015645	2482725	0.4949961570246698
GCF_016908115.1__GCF_000183565.1	80-85	Firmicutes_A	351	111	853574	280212	0.3282808520409478
GCF_000377965.1__GCF_014649875.1	90-95	Actinobacteriota	1708	887	5555602	2812742	0.5062893274212228
GCF_000971255.1__GCF_000971235.1	85-90	Actinobacteriota	760	569	1686533	1231198	0.7300171416746664
GCF_003096075.1__GCF_000186325.1	90-95	Actinobacteriota	702	385	2941816	1654968	0.5625667954759918
GCF_003943655.1__GCF_000767835.1	85-90	Firmicutes	430	229	824771	437925	0.5309655649871298
GCA_019116485.1__GCA_904374465.1	80-85	Firmicutes_A	544	278	1103050	516685	0.46841484973482617
GCF_004341885.1__GCF_001262505.1	90-95	Proteobacteria	844	353	4794801	2286197	0.4768074837725278
GCF_001673535.1__GCF_001672915.1	90-95	Actinobacteriota	996	584	4929733	2817990	0.5716313642138429
GCA_902598315.1__GCA_902566675.1	80-85	Proteobacteria	89	44	326555	135256	0.41419056514216596
GCA_003216915.1__GCF_001180285.1	90-95	Cyanobacteria	196	125	1037451	552669	0.5327181717497983
GCF_003814695.1__GCF_014892515.1	85-90	Actinobacteriota	1412	558	3182997	1297700	0.40769752531969083
GCF_000799845.1__GCF_000577275.2	90-95	Proteobacteria	687	396	5206630	2817196	0.5410785863408769
GCA_017511605.1__GCA_902788735.1	85-90	Firmicutes	190	80	590031	257966	0.43720753655316413
GCA_900319305.1__GCA_900315695.1	85-90	Bacteroidota	680	360	1721723	871298	0.506061660325151
GCA_900316515.1__GCA_017524785.1	85-90	Bacteroidota	576	290	1113390	556476	0.499803303424676
GCA_900470155.1__GCF_000247475.1	90-95	Proteobacteria	859	402	3793234	1714996	0.4521197479512205
GCF_900105805.1__GCF_902498135.1	85-90	Proteobacteria	1199	703	3199517	1875139	0.5860693973496625
GCA_902576865.1__GCA_902538565.1	85-90	Marinisomatota	79	35	704123	304633	0.4326417401505135
GCA_900473795.1__GCF_001426665.1	80-85	Proteobacteria	1140	462	2539562	1055042	0.41544250543991446
GCF_001953985.1__GCF_001667015.1	80-85	Actinobacteriota	1332	555	2840147	1240432	0.4367492245999943
GCA_013390375.1__GCA_902606965.1	80-85	Thermoproteota	142	79	528242	307572	0.582255860003559
GCF_004134865.1__GCF_900142065.1	90-95	Actinobacteriota	681	318	3120583	1630816	0.5225997834379025
GCF_002813455.1__GCF_000282315.2	85-90	Proteobacteria	1295	404	3618807	1079412	0.2982784105369532
GCF_001269775.1__GCF_000585995.1	85-90	Proteobacteria	1264	643	4414543	2131577	0.48285337802803147
GCA_009692395.1__GCA_002134785.1	90-95	Proteobacteria	618	282	1556321	714188	0.45889504800102293
GCF_000518765.1__GCF_900108555.1	85-90	Firmicutes_A	758	442	2537304	1560400	0.6149834627620498
GCA_905612525.1__GCA_905612335.1	85-90	Proteobacteria	73	27	257254	106383	0.41353292854532875
GCA_902612005.1__GCA_902536725.1	90-95	Cyanobacteria	109	59	1173861	704851	0.6004552498123713
GCF_002386345.1__GCA_905373305.1	90-95	Firmicutes	357	219	1147293	714140	0.6224565128524274
GCF_014107455.1__GCF_000376585.1	85-90	Proteobacteria	371	155	760435	314452	0.41351594810864833
GCF_002307355.1__GCF_001742185.1	85-90	Proteobacteria	788	154	3691414	707734	0.191724363617844
GCA_001072465.1__GCA_902373545.1	85-90	Actinobacteriota	641	273	1314274	568017	0.4321906999605866
GCF_007655005.1__GCF_014202475.1	90-95	Actinobacteriota	1469	926	6553748	4599153	0.7017592070979842
GCF_003293675.1__GCF_000263635.1	85-90	Actinobacteriota	429	81	867405	131022	0.15105054732218515
GCA_016718805.1__GCA_002389785.1	85-90	Bacteroidota	448	184	2270721	912666	0.40192784582518065
GCF_009830105.1__GCF_001017175.1	80-85	Proteobacteria	945	441	2357306	1177034	0.49931319905010213
GCA_009712615.1__GCF_000191585.1	90-95	Methanobacteriota	475	230	1590425	762669	0.4795378593772105
GCF_002776575.1__GCA_002733865.1	80-85	Proteobacteria	723	397	1686279	921526	0.546484893662318
GCF_002113595.1__GCF_014863585.1	85-90	Proteobacteria	1263	611	4703272	2278386	0.4844257359557346
GCF_003347605.1__GCF_000799335.1	85-90	Bacteroidota	929	534	3715786	2063345	0.5552916664199714
GCF_004361945.1__GCF_008692605.1	80-85	Proteobacteria	694	290	1847305	761376	0.4121550041817675
GCA_015063035.1__GCA_017432245.1	85-90	Methanobacteriota	597	301	1335005	693757	0.5196662184785825
GCF_000291355.1__GCF_000742895.1	85-90	Firmicutes	999	167	3819691	581645	0.15227540657084565
GCA_017617655.1__GCA_017551785.1	90-95	Bacteroidota	426	206	1543300	746292	0.4835689755718266
GCF_004217535.1__GCF_900091445.1	85-90	Actinobacteriota	1565	1384	3247228	2951173	0.9088283914772847
GCF_003319115.1__GCF_002802985.1	85-90	Actinobacteriota	1409	741	2321381	1189391	0.5123635456652742
GCA_017427485.1__GCA_017430155.1	90-95	Verrucomicrobiota	1510	747	2710563	1350234	0.4981378407364079
GCF_000479045.1__GCF_000799075.1	80-85	Fusobacteriota	405	203	1406424	682155	0.4850279858705483
GCF_902499075.1__GCF_902499115.1	85-90	Proteobacteria	1377	674	4799208	2712905	0.565281813165839
GCF_014174275.1__GCF_000021325.1	80-85	Proteobacteria	915	504	1603773	932789	0.5816215885914029
GCF_009208555.1__GCF_002869965.1	90-95	Proteobacteria	954	514	4957612	2592925	0.5230189454116215
GCF_001427125.1__GCF_000512695.2	85-90	Proteobacteria	1228	544	3434775	1552309	0.4519390644219782
GCA_018828385.1__GCA_017983615.1	80-85	Proteobacteria	682	276	1557700	649343	0.41686011427104064
GCA_902594145.1__GCA_902521795.1	90-95	Proteobacteria	84	42	823721	467828	0.5679447288584363
GCA_900556665.1__GCF_001311925.1	85-90	Firmicutes_A	678	339	1446621	782248	0.5407414934526735
GCA_017550335.1__GCA_017527905.1	90-95	Bacteroidota	738	322	2107803	848318	0.40246550555246385
GCF_003814875.1__GCF_001866665.1	80-85	Actinobacteriota	2490	1330	4506873	2373242	0.5265828435813479
GCA_007128135.1__GCA_007116575.1	80-85	Proteobacteria	716	369	1593475	814269	0.5110020552565933
GCF_004795035.1__GCF_002941025.1	80-85	Actinobacteriota	1684	773	3197213	1444672	0.4518535361891748
GCF_000820225.1__GCF_000819765.1	80-85	Proteobacteria	1170	593	2003070	1019512	0.5089747237989686
GCF_900187445.1__GCF_000282375.1	90-95	Proteobacteria	1232	631	4842887	2448102	0.5055046710773966
GCA_002493165.1__GCA_900760795.1	85-90	Bacteroidota	502	263	1744269	1113126	0.6381618890205581
GCA_002361235.1__GCA_902796035.1	90-95	Bacteroidota	464	250	1762828	966636	0.5483439110338615
GCF_010669145.1__GCF_000092025.1	85-90	Proteobacteria	849	575	3801862	2570941	0.6762320673396351
GCF_004151105.1__GCF_003344965.1	80-85	Actinobacteriota	2136	1265	3332940	2042818	0.6129177242914664
GCF_900114215.1__GCF_900110735.1	90-95	Actinobacteriota	949	603	4831630	3175909	0.6573162680089328
GCF_001428845.1__GCF_000236785.1	85-90	Proteobacteria	868	450	4345760	2294596	0.5280079893965612
GCF_008042145.1__GCF_001905825.1	90-95	Actinobacteriota	2314	1167	6170691	3059093	0.49574561422699664
GCF_003259365.1__GCF_017377775.1	85-90	Actinobacteriota	2067	1211	5700796	3383617	0.5935341310231063
GCA_902609235.1__GCA_902590535.1	90-95	Proteobacteria	96	58	489731	328961	0.6717177389219796
GCF_000685965.1__GCF_000196235.1	85-90	Actinobacteriota	822	461	3542998	1972541	0.5567434697959186
GCF_003355475.1__GCF_002216795.1	80-85	Actinobacteriota	949	10	1733931	14116	0.00814103906095456
GCF_008312835.1__GCF_000725125.1	90-95	Actinobacteriota	1011	483	5912971	2791234	0.47205271258729326
GCF_900167565.1__GCA_019218945.1	80-85	Proteobacteria	1123	513	1748239	813668	0.465421489853504
GCF_014648855.1__GCA_014655195.1	85-90	Actinobacteriota	1970	813	3542010	1422885	0.4017168218045686
GCF_001314995.1__GCA_902362375.1	90-95	Bacteroidota	716	331	4090157	1941454	0.4746649089509278
GCA_900552015.1__GCA_003522105.1	85-90	Firmicutes_A	552	281	1054737	541644	0.513534653662477
GCF_900090105.1__GCF_902825405.1	90-95	Actinobacteriota	1690	851	4500113	2273388	0.5051846475855162
GCF_900099905.1__GCF_016756535.1	80-85	Proteobacteria	1648	798	3161264	1453770	0.45986984952854304
GCF_013362995.1__GCF_014649335.1	85-90	Actinobacteriota	1847	910	3518268	1770193	0.5031433080140569
GCF_902506205.1__GCA_002434505.1	85-90	Proteobacteria	776	443	2298188	1295209	0.5635783495519079
GCF_004136015.1__GCA_019200975.1	85-90	Proteobacteria	1363	729	4287215	2152795	0.5021429995929758
GCF_000009045.1__GCA_000332645.1	90-95	Firmicutes	310	147	3718815	1982862	0.5331972684847189
GCF_014191255.1__GCF_900114035.1	85-90	Actinobacteriota	1407	592	4399777	1902880	0.43249464688778544
GCA_017646685.1__GCA_900769785.1	85-90	Bacteroidota	657	331	1206648	593982	0.4922578912822961
GCF_002286815.1__GCF_000512695.2	90-95	Proteobacteria	1292	665	4555981	2328731	0.5111371184383781
GCF_003254545.1__GCF_016405855.1	85-90	Bacteroidota	1076	559	3701449	1928592	0.5210370317137965
GCA_017429165.1__GCA_902772845.1	80-85	Firmicutes_A	416	224	808352	420965	0.5207694172835596
GCF_001418645.1__GCF_000091305.1	85-90	Actinobacteriota	2844	1515	5261211	2702919	0.5137446492832164
GCA_009701185.1__GCA_007279945.1	80-85	Actinobacteriota	214	102	753095	349037	0.46347008013597224
GCF_004135975.1__GCA_002482565.1	90-95	Desulfobacterota_I	848	430	3522846	1823502	0.5176218318938721
GCF_017316025.1__GCF_011397115.1	85-90	Firmicutes	576	272	1753876	870346	0.4962414674697641
GCA_902628965.1__GCA_902618695.1	85-90	Proteobacteria	141	83	856220	484986	0.5664268529116349
GCF_008801605.1__GCF_000690905.1	80-85	Proteobacteria	1105	545	2461843	1183079	0.48056638867710083
GCF_008868155.1__GCF_002926165.1	80-85	Actinobacteriota	1595	806	2753129	1330539	0.48328247604816194
GCF_006440775.1__GCF_000472705.1	80-85	Proteobacteria	1729	897	3101780	1622434	0.5230654656358606
GCF_003999415.1__GCF_014268445.2	85-90	Proteobacteria	1303	657	4801992	2346821	0.48871822360387107
GCF_003942795.1__GCF_000187745.1	85-90	Firmicutes	477	276	1238001	701622	0.5667378297755817
GCF_018831735.1__GCF_006494775.1	80-85	Actinobacteriota	1333	473	2722402	933978	0.34307130247479983
GCF_004368705.1__GCF_002278035.1	85-90	Proteobacteria	716	428	3738009	2175270	0.5819327882838163
GCA_902628305.1__GCA_902557995.1	85-90	Proteobacteria	93	56	534127	253736	0.4750480690921822
GCF_014205255.1__GCA_016432725.1	80-85	Actinobacteriota	1840	181	3375808	242440	0.07181688058088612
GCF_006439355.1__GCF_004791585.1	85-90	Proteobacteria	1508	743	3877127	1957823	0.5049674668897872
GCF_001056295.1__GCF_017876455.1	85-90	Actinobacteriota	913	351	1866814	760069	0.40714768584336736
GCF_900114115.1__GCF_000023225.1	85-90	Desulfobacterota_I	658	258	2645833	992809	0.3752349449114891
GCF_008122505.1__GCF_016907355.1	80-85	Actinobacteriota	1061	1030	1615987	1584662	0.9806155618826141
GCA_900552715.1__GCA_900545205.1	90-95	Firmicutes_C	385	160	1572142	684776	0.4355687972206073
GCF_007677725.1__GCF_014268815.2	80-85	Proteobacteria	1082	429	2694675	1021769	0.3791807917466856
GCF_003601985.1__GCF_000513935.1	85-90	Proteobacteria	1318	457	4238414	1485465	0.350476616960967
GCA_900550895.1__GCF_000257845.1	90-95	Firmicutes	320	180	1391714	763900	0.5488915107558019
GCF_008386505.1__GCF_900182655.1	90-95	Bacteroidota	786	172	4026178	763745	0.18969479243093573
GCF_014189455.1__GCF_003952425.1	80-85	Proteobacteria	1883	1441	3415587	2654059	0.7770433017809237
GCF_000336635.1__GCF_000336615.1	90-95	Halobacteriota	710	110	3081959	319302	0.10360358460316961
GCA_900544685.1__GCA_014385005.1	90-95	Firmicutes_A	393	175	2331994	1137897	0.4879502262870316
GCF_003751305.1__GCF_006974125.1	80-85	Proteobacteria	1176	678	1893721	1067332	0.5636162877213697
GCF_002154505.1__GCF_014656135.1	85-90	Actinobacteriota	2122	984	3520993	1669112	0.4740458160524602
GCF_000170955.2__GCF_000008685.2	90-95	Spirochaetota	117	31	1090457	48209	0.044209904654653964
GCA_900554655.1__GCA_900545665.1	90-95	Actinobacteriota	409	218	1359225	745677	0.5486045356729018
GCF_001954135.1__GCF_000426065.1	80-85	Actinobacteriota	1146	623	3758615	2075480	0.5521927624936313
GCF_003610785.1__GCF_000718515.1	80-85	Actinobacteriota	1581	912	3041610	1750556	0.5755359825881687
GCF_000719555.1__GCA_007858575.1	85-90	Actinobacteriota	1944	1034	3690220	1852038	0.5018773948436679
GCF_000400485.1__GCA_900114805.1	80-85	Actinobacteriota	813	406	1506648	709570	0.4709593747179169
GCA_902574695.1__GCA_902515185.1	80-85	Proteobacteria	127	56	459368	232993	0.5072033750718379
GCA_017551785.1__GCA_017561885.1	80-85	Bacteroidota	384	203	911721	488749	0.5360729872406141
GCA_900543105.1__GCA_900541495.1	90-95	Firmicutes_A	675	318	1912114	869565	0.45476629531502827
GCF_000971215.1__GCF_000971155.1	85-90	Actinobacteriota	693	450	1946015	1220887	0.627378000683448
GCF_004342105.1__GCF_001184025.1	80-85	Actinobacteriota	2167	1239	3677833	2182217	0.5933431452705982
GCF_008932295.1__GCA_012103035.1	90-95	Proteobacteria	739	470	3647676	2564406	0.7030246107384538
GCF_001429765.1__GCF_001428525.1	85-90	Bacteroidota	1088	625	3563419	2100566	0.5894804961190362
GCF_000158035.1__GCF_000513195.1	90-95	Bacteroidota	1141	381	4168234	1320119	0.3167094265820969
GCF_004758605.1__GCF_002897375.1	80-85	Deinococcota	1231	613	2141380	857179	0.40029280183806704
GCF_008868175.1__GCF_900091475.1	90-95	Actinobacteriota	1187	629	5143005	2766656	0.5379454229579789
GCF_013387485.1__GCA_003484865.1	90-95	Proteobacteria	929	445	2923896	1353676	0.46296995515572376
GCA_018378775.1__GCA_900757235.1	90-95	Actinobacteriota	508	239	1519020	756658	0.4981224737001488
GCF_002026145.1__GCA_902572675.1	85-90	Cyanobacteria	222	117	582676	265711	0.45601843906390516
GCA_002154585.1__GCA_000715605.1	85-90	Actinobacteriota	3021	1552	4069996	2077390	0.5104157350523194
GCA_016872015.1__GCF_002787055.1	85-90	Thermoproteota	182	101	1168420	631405	0.5403921535064447
GCF_000020125.1__GCF_000013645.1	85-90	Proteobacteria	1330	405	5092325	1240340	0.2435704712483983
GCF_001866135.1__GCF_018224615.1	85-90	Actinobacteriota	629	530	2210965	1909791	0.8637816519031283
GCF_012932795.1__GCA_905612375.1	80-85	Proteobacteria	120	74	491313	303648	0.6180337178132881
GCF_002871935.1__GCF_001543205.1	85-90	Firmicutes	391	250	1211757	755848	0.6237620248944301
GCF_004339525.1__GCF_001404985.1	85-90	Bacteroidota	1220	345	2904420	732329	0.2521429407592566
GCF_006442815.1__GCF_013170845.1	80-85	Proteobacteria	1807	922	3064089	1530602	0.499529223857401
GCF_002113025.1__GCF_014863605.1	85-90	Proteobacteria	1174	663	3672664	2041617	0.5558953936434152
GCF_002022265.1__GCF_001439685.1	85-90	Proteobacteria	1008	320	4186446	1239085	0.2959753929705531
GCF_017874765.1__GCF_013204885.1	85-90	Firmicutes	1539	675	5299708	2225705	0.4199674774534748
GCF_902706295.1__GCF_000014925.1	85-90	Actinobacteriota	750	546	3064850	2350418	0.7668949540760559
GCF_002813405.1__GCA_002027195.1	85-90	Actinobacteriota	1882	1041	3478251	1927365	0.5541190098126904
GCF_007993735.1__GCF_000743535.1	80-85	Proteobacteria	843	466	1366896	748137	0.5473254731888892
GCA_900320965.1__GCA_902785825.1	85-90	Bacteroidota	529	254	1016580	488589	0.4806203151744083
GCF_003670295.1__GCF_003245365.1	85-90	Campylobacterota	389	175	1394310	615111	0.4411579921251372
GCA_902550635.1__GCA_902533945.1	90-95	Proteobacteria	111	48	579446	244877	0.42260538514374074
GCF_017329635.1__GCF_001552675.1	80-85	Firmicutes	596	271	1639547	785439	0.4790585448297609
GCF_001534745.1__GCF_000425745.1	80-85	Proteobacteria	993	442	1831624	744097	0.40624986350910447
GCA_002384685.1__GCA_000168995.1	80-85	Proteobacteria	202	102	737476	351502	0.4766283919747897
GCF_002356295.1__GCA_016936255.1	80-85	Bacteroidota	892	382	2847747	1216904	0.4273216686735163
GCA_902635645.1__GCA_902556355.1	90-95	Proteobacteria	76	50	624351	371304	0.5947039405718898
GCF_000425965.1__GCA_001510895.1	80-85	Proteobacteria	1618	937	3019374	1777379	0.5886581125756531
GCF_013170805.1__GCA_017306585.1	85-90	Proteobacteria	1623	756	4148421	1978270	0.4768730078263513
GCF_003076635.1__GCF_001586775.1	80-85	Bacteroidota	478	298	1631756	1110742	0.680703487531224
GCF_000741175.1__GCF_018555385.1	85-90	Actinobacteriota	996	484	1590055	771356	0.48511277911770345
GCF_013402875.1__GCF_013401515.1	80-85	Halobacteriota	1299	829	1776669	1176400	0.6621379671734015
GCA_009177195.1__GCA_014801525.1	80-85	Bacteroidota	249	101	993003	364502	0.36707039152953214
GCA_902597175.1__GCA_902557605.1	85-90	Proteobacteria	93	54	372713	189126	0.507430650393198
GCF_003755185.1__GCF_001421165.1	90-95	Actinobacteriota	522	361	2710406	1655250	0.6107018653294009
GCF_000497445.1__GCF_014650595.1	90-95	Actinobacteriota	2142	1231	6061300	3374504	0.5567294144820418
GCF_003234365.1__GCF_016267665.1	85-90	Actinobacteriota	863	345	2525528	1037513	0.4108103335223367
GCF_002096615.1__GCA_905221065.1	85-90	Firmicutes	419	188	1154466	505816	0.43813849866518373
GCA_902612575.1__GCA_902528135.1	80-85	Proteobacteria	112	51	593628	301315	0.5075821895193623
GCA_005063415.1__GCF_000503055.1	90-95	Proteobacteria	1171	602	4859910	2599329	0.5348512626777039
GCA_900539945.1__GCF_003293635.1	80-85	Firmicutes_A	733	395	1063873	594949	0.5592293441040425
GCA_009693745.1__GCA_000371845.1	85-90	Proteobacteria	102	53	564152	300590	0.5328173967299593
GCF_008042275.1__GCF_000177195.2	80-85	Actinobacteriota	1868	877	3298789	1531263	0.4641894343651564
GCF_001588645.1__GCF_001983955.1	90-95	Firmicutes	245	113	1632202	767914	0.4704773061177477
GCA_003561325.1__GCA_003556225.1	90-95	Firmicutes_D	235	117	864335	413627	0.47854940503392784
GCA_012727545.1__GCA_002428495.1	85-90	Synergistota	419	195	1255460	547755	0.43629824924728783
GCA_000433355.1__GCA_002439875.1	80-85	Bacteroidota	554	228	1331121	496215	0.37277978485802565
GCF_900187995.1__GCF_018128065.1	80-85	Bacteroidota	662	285	1615300	664384	0.41130687797932275
GCF_002931055.1__GCF_014191305.1	85-90	Actinobacteriota	798	516	2336238	1586869	0.6792411560808445
GCF_003943935.1__GCF_000722695.1	90-95	Firmicutes	452	161	1544845	536829	0.3474969980807136
GCA_002071385.1__GCA_002070565.1	80-85	Bacteroidota	441	237	1386224	746132	0.5382477867934764
GCF_003985145.1__GCF_017948245.1	85-90	Proteobacteria	1259	399	4568084	1373309	0.3006312931198288
