pairid	anim_ani	anim_af_ref	anim_af_qry	aligned_bases_qry	af_tier
GCA_018374455.1__GCF_001053035.1	95.7300	91.34	87.94	1806259	strict
GCF_001053035.1__GCF_008868695.1	95.8300	81.80	92.39	1825647	strict
GCF_001053035.1__GCF_004104465.2	95.8300	90.45	92.40	1825775	strict
GCA_019239615.1__GCA_019244155.1	99.7600	98.17	96.03	3534444	strict
GCA_005877575.1__GCA_005877605.1	99.1500	78.22	82.73	2242156	strict
GCA_001918505.1__GCA_005877605.1	98.7300	36.52	95.82	1042140	strict
GCA_001914545.1__GCA_001918075.1	97.9800	53.85	65.39	936816	strict
GCF_001683975.1__GCF_003263315.1	99.3000	87.24	87.53	3349626	strict
GCA_001796175.1__GCA_003530195.1	99.2300	91.46	69.83	975745	strict
GCA_001796065.1__GCA_003530315.1	99.5300	83.72	86.78	1021736	strict
GCA_001796095.1__GCA_001796185.1	99.6000	78.78	92.79	1087790	strict
GCA_003132985.1__GCA_003161595.1	99.3700	93.87	79.55	3604166	strict
GCA_003133445.1__GCA_003161595.1	99.4000	91.66	79.46	3518246	strict
GCA_003161595.1__GCA_003167225.1	99.3900	80.14	88.71	3456928	strict
GCA_016292605.1__GCA_018384635.1	98.5200	85.79	82.75	1228054	strict
GCA_002782325.1__GCA_002787335.1	99.7200	79.66	90.87	391425	strict
GCA_002782325.1__GCA_002792875.1	99.8000	82.75	79.37	341882	strict
GCA_002787335.1__GCA_002792875.1	99.8400	90.93	76.44	376380	strict
GCA_002254585.1__GCA_003695875.1	99.6900	88.82	92.61	2270250	strict
GCF_007845585.1__GCF_007845595.1	97.7100	90.68	89.98	2186519	strict
GCF_000093065.1__GCF_002074015.1	97.8200	99.95	99.99	582092	strict
GCF_000093065.1__GCF_014879315.1	99.9600	100.00	98.67	574390	strict
GCF_002074015.1__GCF_014879315.1	97.8500	99.99	98.62	574094	strict
GCA_903826605.1__GCA_903851315.1	99.7000	97.50	93.87	1439629	strict
GCA_903841485.1__GCA_903845655.1	99.6400	97.02	96.33	1487480	strict
GCA_903869585.1__GCA_903877865.1	99.6800	96.45	96.76	1501772	strict
GCA_015262605.1__GCA_015262695.1	98.7800	96.89	83.58	2186722	strict
GCA_015262605.1__GCA_905371525.1	98.5500	95.53	83.81	2192714	strict
GCA_015262695.1__GCA_905371525.1	98.7900	86.92	88.42	1987776	strict
GCF_001808785.1__GCF_018603625.1	99.4500	98.35	91.27	1911249	strict
GCA_902770705.1__GCA_902778615.1	98.6800	75.95	89.59	2524668	strict
GCA_902770705.1__GCA_902800995.1	97.4900	74.00	86.83	2446897	strict
GCA_902778615.1__GCA_902800995.1	97.4900	82.76	82.37	2753962	strict
GCA_018377045.1__GCA_905372285.1	99.5800	94.47	82.82	1026094	strict
GCA_905212895.1__GCF_003570845.1	99.6400	87.60	96.46	1085760	strict
GCA_000438335.1__GCA_018377045.1	99.3000	94.34	94.11	1172277	strict
GCF_004365235.1__GCF_004368825.1	100.0000	99.97	99.97	3392615	strict
GCA_902539485.1__GCA_902613705.1	95.9300	70.37	81.20	707982	strict
GCF_017917325.1__GCF_017917955.1	96.3300	81.53	87.84	4428778	strict
GCF_017916635.1__GCF_018440465.1	98.3300	93.09	95.35	4909338	strict
GCF_004342375.1__GCF_017918065.1	97.4400	82.71	92.68	4783166	strict
GCA_005776525.1__GCA_005790695.1	99.8900	93.76	86.74	1051892	strict
GCA_005776525.1__GCA_005798995.1	99.9200	89.72	43.24	524384	low-AF
GCA_005790695.1__GCA_005798995.1	99.9200	84.63	44.14	494468	low-AF
GCF_016889285.1__GCF_900452405.1	97.0100	78.43	89.47	2190913	strict
GCA_001942245.1__GCF_016127495.1	96.7200	77.90	66.60	2147727	strict
GCA_001942245.1__GCF_016889285.1	97.0200	86.67	65.77	2121028	strict
GCA_002697445.1__GCA_002711615.1	99.6200	99.58	98.61	4899258	strict
GCF_003999335.1__GCF_008868375.1	98.0000	84.92	90.10	3436755	strict
GCF_000583215.1__GCF_003999335.1	96.0200	80.71	78.89	3048146	strict
GCF_000583215.1__GCF_900169185.1	96.0000	79.76	80.91	3126044	strict
GCA_900764985.1__GCA_905211565.1	97.6800	82.62	83.09	2757950	strict
GCA_002362375.1__GCF_002700155.1	97.8300	83.94	85.09	3776348	strict
GCA_002295505.1__GCF_018860675.1	97.8800	85.84	85.55	3807869	strict
GCA_002325035.1__GCF_900105545.1	97.7500	75.58	83.81	3493588	strict
GCA_900472885.1__GCF_001424085.1	95.9100	87.11	85.71	5730732	strict
GCA_900473635.1__GCA_900490045.1	96.2200	90.65	86.69	5877252	strict
GCA_900472885.1__GCF_001424505.1	96.0000	88.45	86.79	5803245	strict
GCA_003644685.1__GCA_003644735.1	98.5100	71.95	69.44	1375040	strict
GCF_015554155.1__GCF_016503485.1	96.8400	86.96	90.21	4529220	strict
GCF_015549445.1__GCF_015669215.1	99.0100	92.15	96.38	4741162	strict
GCF_016503485.1__GCF_018919525.1	96.8000	89.73	87.28	4543262	strict
GCF_009665395.1__GCF_009763705.1	99.1800	91.13	91.98	3494988	strict
GCF_009763885.1__GCF_900460255.1	99.1700	93.21	93.22	3544803	strict
GCF_009763705.1__GCF_009763885.1	99.1800	92.21	91.64	3489472	strict
GCA_003241185.1__GCF_005885755.1	98.2100	90.32	86.86	4055810	strict
GCF_000725365.1__GCF_002884435.1	98.3100	92.01	93.34	3339010	strict
GCA_015256235.1__GCA_905373725.1	99.1000	91.36	92.48	1351647	strict
GCA_015256235.1__GCA_905365325.1	98.6100	93.87	75.81	1107926	strict
GCA_015256235.1__GCA_905373685.1	99.0100	83.40	51.42	751475	low-AF
GCF_001070785.1__GCF_003244735.1	95.0200	88.63	83.16	4028589	strict
GCF_003015035.1__GCF_010607825.1	96.1900	84.52	88.80	4051043	strict
GCF_002798925.1__GCF_013464125.1	99.9300	96.97	95.05	4637604	strict
GCA_011800315.1__GCF_000969395.1	98.5000	89.92	87.84	4117409	strict
GCF_006385265.1__GCF_011800325.1	98.6500	91.78	92.13	4213365	strict
GCA_002387765.1__GCF_000255315.1	97.7700	86.12	90.91	3800906	strict
GCA_903842415.1__GCA_903953795.1	99.7300	92.69	87.08	676502	strict
GCA_903842415.1__GCA_903959245.1	99.8800	93.20	83.76	650724	strict
GCA_903953795.1__GCA_903959245.1	99.7600	89.43	85.59	622294	strict
GCF_007713755.1__GCF_014654095.1	99.9900	99.77	99.96	7792536	strict
GCF_003950455.1__GCF_003951845.1	98.9400	89.14	86.65	4414391	strict
GCA_903837745.1__GCA_903863265.1	99.9900	98.45	99.56	877645	strict
GCA_903837745.1__GCA_903896815.1	99.9900	95.20	99.40	876260	strict
GCA_903863265.1__GCA_903896815.1	99.9900	95.50	98.69	880794	strict
GCA_903824535.1__GCA_903872325.1	97.9400	78.72	72.58	824715	strict
GCF_000767135.1__GCF_014190965.1	95.3400	68.41	87.80	3436364	strict
GCF_002915765.1__GCF_005154665.1	99.4200	94.16	94.13	2795637	strict
GCF_001866435.1__GCF_003587665.1	99.6100	97.56	95.10	2823349	strict
GCA_001466235.1__GCF_000728775.1	99.6100	76.42	97.87	2259201	strict
GCA_009835825.1__GCA_009838085.1	98.2000	86.68	95.32	2004848	strict
GCA_009838555.1__GCA_009840555.1	98.2800	75.23	96.56	1704251	strict
GCA_009838085.1__GCA_009840555.1	98.2200	91.66	89.98	2080191	strict
GCA_902613265.1__GCA_902617485.1	96.3900	77.62	72.43	899629	strict
GCA_902542385.1__GCA_902613265.1	96.3400	63.85	78.57	793097	strict
GCA_902564545.1__GCA_902613265.1	96.5100	77.95	78.43	969023	strict
GCA_017418325.1__GCA_017633335.1	97.1400	70.54	78.64	446893	strict
GCA_017418325.1__GCA_017633555.1	97.1400	65.01	90.87	516382	strict
GCA_017633335.1__GCA_017633555.1	98.4000	69.40	86.78	561616	strict
GCA_002396855.1__GCA_002400165.1	99.4600	89.92	71.19	1544317	strict
GCA_002396855.1__GCA_002408865.1	99.5800	93.01	73.04	1584373	strict
GCA_002316925.1__GCA_002396855.1	99.6700	70.95	95.86	1539599	strict
GCA_003150015.1__GCA_018367385.1	99.8100	52.07	80.17	1862904	strict
GCA_001899545.1__GCA_017305405.1	99.9800	98.38	81.67	6478189	strict
GCA_001899545.1__GCF_003610155.1	99.9300	93.60	94.72	7513285	strict
GCA_017305405.1__GCF_003610155.1	99.8900	79.09	96.42	6317934	strict
GCA_002470005.1__GCA_003534955.1	99.1700	89.56	64.82	1774624	strict
GCA_002470005.1__GCA_905479175.1	99.8900	97.11	91.27	2499029	strict
GCA_003534955.1__GCA_905479175.1	99.1800	67.98	88.32	1751197	strict
GCF_001423605.1__GCF_002931035.1	97.7600	88.78	92.19	3273394	strict
GCA_005881185.1__GCA_005883535.1	97.7800	90.37	74.33	2054823	strict
GCA_005881375.1__GCA_005889125.1	97.4100	73.41	84.21	1702048	strict
GCA_005883535.1__GCA_005889125.1	97.7400	80.73	83.10	1875875	strict
GCA_903892685.1__GCA_903898705.1	99.7700	96.38	97.77	2723590	strict
GCA_903890015.1__GCA_903892685.1	98.2600	91.65	93.57	2552674	strict
GCA_903890015.1__GCA_903918525.1	99.7300	97.15	98.35	2683142	strict
GCA_017632215.1__GCA_017647375.1	97.8800	89.49	86.74	1723553	strict
GCA_001626835.1__GCA_009711885.1	96.0200	59.11	87.09	2513021	strict
GCA_009711885.1__GCF_017798185.1	96.6900	85.96	85.76	3676302	strict
GCA_001626955.1__GCA_002380095.1	97.2100	83.04	71.41	3122300	strict
GCA_008080525.1__GCA_009773225.1	99.8200	89.23	99.93	2883584	strict
GCA_008080525.1__GCA_009773295.1	99.8000	92.19	99.96	2884222	strict
GCA_009773225.1__GCA_009773295.1	99.9600	98.97	95.79	3101080	strict
GCF_008586805.1__GCF_900408065.1	97.2900	88.97	83.85	1666639	strict
GCF_005888195.1__GCF_900407605.1	97.5500	90.52	83.73	1598551	strict
GCF_008586805.1__GCF_900407865.1	97.2300	87.11	83.78	1665227	strict
GCA_900538375.1__GCF_002959835.1	95.6500	82.90	88.98	1864147	strict
GCA_015264445.1__GCF_002959835.1	96.4100	66.01	92.09	1496969	strict
GCA_015264405.1__GCA_905371545.1	97.1900	77.75	60.25	968983	strict
GCF_014076795.1__GCF_014076955.1	95.7300	82.99	78.11	3536077	strict
GCF_014076795.1__GCF_014076835.1	99.8000	94.85	93.72	4242640	strict
GCF_014076915.1__GCF_014076955.1	95.7200	82.35	79.62	3520150	strict
GCF_001558125.2__GCF_900113515.1	99.9900	99.88	99.87	8272050	strict
GCA_910574955.1__GCF_009911235.1	98.9900	84.05	86.09	2823817	strict
GCF_006229085.1__GCF_900446405.1	98.7600	92.59	93.73	1706876	strict
GCF_006151585.1__GCF_006151625.1	99.0700	91.11	95.50	1704546	strict
GCF_016624705.1__GCF_016624985.1	99.2200	93.36	93.89	3310854	strict
GCA_900037355.1__GCF_900168365.1	99.9900	96.85	97.69	2755070	strict
GCF_004328885.1__GCF_900168365.1	99.9600	99.89	100.00	2883701	strict
GCF_002327205.1__GCF_004328885.1	99.9600	100.00	99.75	2882442	strict
GCA_014133975.1__GCF_013096875.1	97.1700	75.78	86.17	2526179	strict
GCF_001587495.1__GCF_002300135.1	97.5000	75.26	86.23	2394755	strict
GCF_003667625.1__GCF_003667675.1	99.9800	99.95	99.88	2883414	strict
GCA_014870385.1__GCA_900545395.1	98.2700	84.46	83.16	944629	strict
GCA_014870385.1__GCA_905211415.1	98.2700	84.39	83.53	948870	strict
GCA_900545395.1__GCA_905211415.1	100.0000	99.25	99.80	1102647	strict
GCA_003138155.1__GCA_003158015.1	99.4400	89.47	84.73	4259326	strict
GCA_003138155.1__GCA_003165215.1	99.6400	90.01	92.75	4662544	strict
GCA_003158015.1__GCA_003165215.1	99.6200	86.54	94.13	4469955	strict
GCA_002352305.1__GCA_902799595.1	97.5500	78.53	75.23	1644166	strict
GCA_002352305.1__GCA_002393005.1	96.1500	81.64	69.08	1509825	strict
GCA_002393005.1__GCA_902763625.1	96.5200	63.56	93.38	1726203	strict
GCA_018369195.1__GCA_900755655.1	99.1500	70.80	46.92	1512672	low-AF
GCA_013520955.1__GCA_016106175.1	99.7800	98.92	96.62	1320088	strict
GCA_016106225.1__GCA_016106265.1	99.8100	72.44	95.50	985222	strict
GCA_016106175.1__GCA_016106315.1	99.8500	97.74	98.17	1283932	strict
GCA_002335285.1__GCA_002786815.1	96.8900	85.84	60.18	2629511	strict
GCA_002340685.1__GCA_002786815.1	97.0000	75.92	61.74	2294916	strict
GCA_002340685.1__GCA_002341045.1	99.2000	84.58	81.40	3025775	strict
GCF_002979885.1__GCF_002980105.1	99.9900	99.99	100.00	6064519	strict
GCF_002980215.1__GCF_014472375.1	99.4000	93.35	94.97	5758954	strict
GCF_014268225.1__GCF_900591125.1	99.3400	95.23	95.61	5745619	strict
GCA_009839085.1__GCA_009846415.1	99.8600	90.30	96.01	5289125	strict
GCA_002322435.1__GCA_002788415.1	99.9500	91.15	90.65	908689	strict
GCA_002322435.1__GCA_002792975.1	99.9400	92.54	90.51	907344	strict
GCA_002788415.1__GCA_002792975.1	99.9400	92.10	90.68	907019	strict
GCA_017853745.1__GCA_903874285.1	97.4700	92.01	93.92	1015180	strict
GCA_903825635.1__GCA_903874285.1	99.7800	96.82	96.75	1082687	strict
GCA_017853745.1__GCA_903825635.1	97.5100	91.47	93.49	1010593	strict
GCA_900552535.1__GCA_905212765.1	98.8300	82.93	85.62	965357	strict
GCA_019234545.1__GCA_019235985.1	99.1500	85.31	84.62	2007338	strict
GCA_019235985.1__GCA_019236935.1	99.2700	83.52	88.07	2057498	strict
GCA_019234545.1__GCA_019236375.1	99.0800	81.33	83.97	1991931	strict
GCA_001896735.1__GCA_018434265.1	98.0300	87.96	76.15	2478042	strict
GCA_002428535.1__GCA_003454985.1	97.9500	77.28	58.31	1285283	low-AF
GCA_002428535.1__GCA_018433905.1	97.4500	62.66	86.23	1900834	strict
GCF_011753175.1__GCF_902832685.1	97.8800	82.60	87.07	6931835	strict
GCF_900608515.1__GCF_902832745.1	98.9100	91.72	92.46	7826945	strict
GCF_902831645.1__GCF_902831665.1	98.2500	86.33	83.48	6837829	strict
GCF_002250945.2__GCF_017909235.1	99.5800	92.12	94.31	3925513	strict
GCF_017909135.1__GCF_017909435.1	99.1500	89.83	88.75	3837142	strict
GCF_002250905.2__GCF_017909435.1	99.4800	93.73	92.59	4023725	strict
GCF_902196095.1__GCF_902196115.1	96.0300	86.77	91.06	1487206	strict
GCA_013330655.1__GCA_013331135.1	98.2400	77.31	77.85	1122981	strict
GCA_903910525.1__GCA_903921375.1	99.7600	90.35	95.71	2837713	strict
GCA_903897175.1__GCA_903910525.1	99.7600	91.53	90.35	2700081	strict
GCA_903837835.1__GCA_903921375.1	99.7700	95.12	94.24	3005680	strict
GCA_002500705.1__GCA_003500785.1	99.3500	77.18	70.13	1925070	strict
GCA_002500705.1__GCA_003505675.1	99.5500	80.88	78.50	2154766	strict
GCA_003500785.1__GCA_003505675.1	99.2900	70.13	74.91	1869894	strict
GCA_014868985.1__GCA_018367795.1	98.5000	88.49	76.47	2008202	strict
GCA_014868885.1__GCA_014869095.1	97.6800	73.80	82.01	1992916	strict
GCA_014868905.1__GCF_009679695.1	98.0800	68.99	84.86	2155934	strict
GCF_003352995.1__GCF_009831195.1	96.9900	80.47	74.08	1663851	strict
GCA_903828555.1__GCA_903857535.1	99.8000	80.94	84.45	2678669	strict
GCA_903828555.1__GCA_903870485.1	99.8200	85.30	83.03	2633684	strict
GCA_903857535.1__GCA_903917745.1	99.8600	96.53	84.61	2840965	strict
GCF_013113955.1__GCF_018779845.1	98.6100	90.44	90.49	4765947	strict
GCF_015163595.1__GCF_018457705.1	98.3700	91.84	86.66	4792174	strict
GCF_018458405.1__GCF_018779875.1	98.4500	89.35	87.91	4729976	strict
GCA_018663585.1__GCA_018666895.1	99.9400	80.55	81.77	1474214	strict
GCA_018663585.1__GCA_018667475.1	99.9400	76.79	93.78	1690780	strict
GCA_018666895.1__GCA_018667475.1	99.9500	77.00	92.59	1694571	strict
GCA_010026885.1__GCA_010027705.1	98.9800	84.49	85.84	1284120	strict
GCA_010026885.1__GCA_010030695.1	99.3500	89.53	61.75	923747	strict
GCA_010025735.1__GCA_010025795.1	98.9800	84.12	84.30	1291687	strict
GCA_902759975.1__GCA_902782525.1	99.0500	88.80	81.17	974492	strict
GCF_002288145.1__GCF_002288265.1	97.0700	93.32	93.20	1236411	strict
GCF_002288145.1__GCF_002288345.1	95.7600	89.48	85.47	1133856	strict
GCF_002288265.1__GCF_002288345.1	95.7500	90.02	86.09	1141028	strict
GCA_000992135.1__GCA_000992485.1	99.5400	86.16	88.95	560253	strict
GCA_000992135.1__GCA_000992505.1	99.4300	82.77	93.28	587505	strict
GCA_000992485.1__GCA_000992505.1	99.7900	88.93	97.03	632005	strict
GCA_002476645.1__GCA_003500085.1	99.3500	87.20	72.12	2056937	strict
GCF_003950435.1__GCF_004801655.1	98.0600	91.06	82.71	3192671	strict
GCA_001305095.1__GCA_900544805.1	99.3200	98.34	89.70	2032031	strict
GCA_001305095.1__GCA_905207965.1	99.1900	91.22	86.00	1948268	strict
GCA_001305095.1__GCF_015550675.1	99.7900	84.74	96.04	2175542	strict
GCA_015258305.1__GCA_015258355.1	97.7200	59.76	84.24	660453	strict
GCA_015258305.1__GCA_905371615.1	97.4000	62.81	91.96	720979	strict
GCA_015258355.1__GCA_905371615.1	97.4100	79.90	83.00	921471	strict
GCA_002772855.1__GCA_002788655.1	99.9200	95.22	90.40	860468	strict
GCA_002772855.1__GCA_009992265.1	99.9400	97.63	98.75	940018	strict
GCA_002788655.1__GCA_009992265.1	99.9600	89.42	95.28	861402	strict
GCA_002306875.1__GCA_002694315.1	98.3100	90.49	84.12	3016194	strict
GCA_014869165.1__GCA_018382175.1	98.6700	88.70	83.98	1726076	strict
GCA_014869165.1__GCA_905204885.1	98.1300	69.41	92.92	1909795	strict
GCA_018382175.1__GCA_905204885.1	98.1800	65.20	92.51	1803678	strict
GCA_017432125.1__GCA_017445735.1	98.9100	87.54	61.83	1335883	strict
GCA_017432125.1__GCA_902762425.1	96.4100	84.57	87.75	1895805	strict
GCA_017445735.1__GCA_902762425.1	96.3600	58.42	85.62	1293484	strict
GCF_000175875.1__GCF_003015205.1	90.0100	0.36	0.29	6492	verylow-AF
GCF_900446595.1__GCF_900460885.1	82.3400	4.50	4.68	82685	verylow-AF
GCA_003484445.1__GCA_003534055.1	99.1300	72.06	83.75	946282	strict
GCA_011523095.1__GCA_902623435.1	89.9000	75.81	55.38	1830169	low-AF
GCA_902602785.1__GCA_902623435.1	89.3600	41.50	60.99	997493	strict
GCA_002725415.1__GCA_902602785.1	82.8600	11.72	6.13	192408	verylow-AF
GCA_000179715.1__GCF_001562845.1	88.1700	5.57	5.79	83898	verylow-AF
GCA_000179715.1__GCF_016026575.1	86.4300	6.05	5.73	83014	verylow-AF
GCF_001562845.1__GCF_016026575.1	95.3600	91.72	88.06	1324589	strict
GCA_003553605.1__GCA_007126875.1	84.8300	2.01	1.58	34888	verylow-AF
GCA_003560055.1__GCA_003563265.1	99.5700	79.49	72.86	2307747	strict
GCA_003553735.1__GCA_007123095.1	83.8000	21.80	15.53	341590	verylow-AF
GCA_905196345.1__GCA_910576485.1	83.3000	0.73	1.61	46478	verylow-AF
GCA_009911275.1__GCA_910576485.1	89.6400	45.06	50.18	2829553	low-AF
GCA_000434075.1__GCA_910576485.1	84.0200	0.35	0.94	22332	verylow-AF
GCA_001778615.1__GCA_001778835.1	99.9500	83.05	98.71	570383	strict
GCA_000994865.1__GCA_000998195.1	99.6600	87.06	86.64	649716	strict
GCA_000994865.1__GCA_001778615.1	84.8700	38.40	29.62	222076	verylow-AF
GCA_001822025.1__GCA_903846065.1	85.3300	21.83	21.48	205910	verylow-AF
GCA_001822025.1__GCA_903913255.1	85.2800	23.05	21.75	208575	verylow-AF
GCA_903846065.1__GCA_903913255.1	99.9000	97.38	93.28	879594	strict
GCF_003387655.1__GCF_007997175.1	83.8300	33.22	28.12	1665931	verylow-AF
GCA_002694565.1__GCA_013823925.1	86.2900	3.79	3.79	184759	verylow-AF
GCA_018380055.1__GCA_904420035.1	84.5200	6.52	5.94	186289	verylow-AF
GCA_018716785.1__GCA_905209575.1	84.5900	13.25	13.37	304784	verylow-AF
GCA_017888325.1__GCA_905209575.1	84.7300	18.95	17.69	433511	verylow-AF
GCA_018061625.1__GCA_903888825.1	83.3000	3.15	3.69	125852	verylow-AF
GCA_018827825.1__GCA_903843495.1	84.1100	22.89	18.13	928275	verylow-AF
GCA_002375445.1__GCA_903944565.1	83.3500	9.78	8.21	273301	verylow-AF
GCF_000091985.1__GCF_900199535.1	85.3500	1.68	1.87	29510	verylow-AF
GCF_000091985.1__GCF_900451085.1	99.3100	98.13	99.72	1573603	strict
GCF_900199535.1__GCF_900451085.1	85.3700	1.74	1.68	23877	verylow-AF
GCA_017888875.1__GCA_900550885.1	82.8200	5.23	5.03	60961	verylow-AF
GCA_017888875.1__GCA_905200885.1	82.8800	4.67	5.10	61788	verylow-AF
GCA_900550885.1__GCA_905200885.1	99.0200	76.89	86.64	989498	strict
GCF_011378975.1__GCF_900197635.1	82.6300	5.38	4.01	204370	verylow-AF
GCF_000750195.1__GCF_017347115.1	82.7200	3.91	5.44	207969	verylow-AF
GCF_000468595.1__GCF_011378975.1	86.0900	59.89	67.67	3035931	strict
GCF_002836085.1__GCF_003410315.1	84.3900	44.12	44.18	1505635	low-AF
GCA_003562135.1__GCA_007121255.1	99.9100	97.22	76.96	2853866	strict
GCA_003562135.1__GCA_011390975.1	82.8300	4.15	4.44	164605	verylow-AF
GCA_007121255.1__GCA_011390975.1	82.6200	3.61	4.97	144504	verylow-AF
GCA_018661155.1__GCA_018670185.1	82.3500	4.80	4.16	30479	verylow-AF
GCA_018660325.1__GCA_018670185.1	99.8200	97.57	94.78	624570	strict
GCA_018660325.1__GCA_018661155.1	82.7100	4.00	4.46	29419	verylow-AF
GCA_003131995.1__GCA_003155095.1	83.5000	8.42	7.56	354602	verylow-AF
GCA_003131995.1__GCA_003167035.1	98.3700	86.18	77.87	3650292	strict
GCA_003155095.1__GCA_003167035.1	83.5400	7.00	7.05	299679	verylow-AF
GCF_000709935.2__GCF_001838545.1	83.7300	19.01	23.58	960410	verylow-AF
GCF_001838545.1__GCF_904423875.1	99.4900	90.68	87.71	4421015	strict
GCF_904423845.1__GCF_904423875.1	85.9100	41.48	42.17	2037144	low-AF
GCA_018362815.1__GCF_010892375.1	99.1100	90.34	86.81	1606853	strict
GCA_018362855.1__GCF_010892375.1	89.0500	11.15	11.96	177956	verylow-AF
GCA_018362815.1__GCA_018362855.1	86.8300	8.69	7.68	142201	verylow-AF
GCA_018902575.1__GCA_019084525.1	99.9800	98.33	99.97	5181699	strict
GCA_018902575.1__GCA_019192505.1	85.1400	37.02	26.84	1391262	verylow-AF
GCA_019084525.1__GCA_019192505.1	85.1400	37.00	26.33	1390593	verylow-AF
GCA_003562665.1__GCA_007132135.1	85.2900	9.98	6.83	254835	verylow-AF
GCA_003564745.1__GCA_007124025.1	83.3900	0.68	0.64	15537	verylow-AF
GCA_007124025.1__GCA_007128965.1	82.3000	5.29	6.17	139599	verylow-AF
GCA_017888235.1__GCF_016899615.1	87.9900	45.31	65.76	1183754	strict
GCA_017888235.1__GCF_002160435.1	87.9500	46.35	66.27	1193017	strict
GCA_017888235.1__GCA_905193575.1	84.2000	7.90	11.57	208298	verylow-AF
GCA_002483185.1__GCA_003452005.1	84.5600	6.20	5.49	402121	verylow-AF
GCA_002483185.1__GCA_003455255.1	84.5400	6.13	4.02	294384	verylow-AF
GCA_003452005.1__GCA_003455255.1	99.0300	91.43	67.92	4401514	strict
GCA_017935935.1__GCA_905198725.1	85.0300	0.01	0.01	185	verylow-AF
GCA_002430455.1__GCA_902609745.1	84.0700	17.91	17.67	226420	verylow-AF
GCA_002430455.1__GCA_018701135.1	82.0800	5.45	4.54	58128	verylow-AF
GCA_002728045.1__GCA_018701135.1	82.7700	9.42	7.39	108022	verylow-AF
GCA_003553125.1__GCA_003567155.1	89.3600	3.01	4.18	50755	verylow-AF
GCA_002408325.1__GCA_002492185.1	85.1600	2.56	2.94	55174	verylow-AF
GCA_001311235.1__GCF_002077975.1	85.7300	2.49	2.42	50584	verylow-AF
GCA_009784415.1__GCF_018403725.1	85.7900	0.98	2.55	22382	verylow-AF
GCF_003335595.1__GCF_013347125.1	85.8200	59.09	56.77	2887655	low-AF
GCA_018608135.1__GCF_003335595.1	81.6400	0.64	1.21	32432	verylow-AF
GCA_018608135.1__GCF_000712315.1	81.8600	0.72	1.33	35672	verylow-AF
GCF_003726115.1__GCF_012933555.1	86.7600	53.92	53.35	2814042	low-AF
GCA_017431595.1__GCF_000701605.1	86.5000	35.64	50.20	1812952	low-AF
GCA_002381665.1__GCF_903970845.1	97.0100	62.60	94.65	3832807	strict
GCF_016583605.1__GCF_016583685.1	83.9900	2.84	2.73	76199	verylow-AF
GCF_016583605.1__GCF_016653275.1	86.1600	3.21	3.11	86712	verylow-AF
GCF_016583685.1__GCF_016653275.1	87.7000	74.30	74.90	2008950	strict
GCA_903891445.1__GCA_903920605.1	88.5200	64.33	70.93	3816710	strict
GCA_903891445.1__GCA_903922565.1	99.5900	90.55	96.90	5214097	strict
GCA_903908645.1__GCA_903922565.1	88.4200	69.92	67.70	4030239	strict
GCA_903882615.1__GCA_903900455.1	84.0200	26.90	30.78	1799438	low-AF
GCA_903825385.1__GCA_903870665.1	99.5700	94.70	82.48	5167840	strict
GCA_903870665.1__GCA_903882615.1	84.1600	35.16	37.86	2061597	low-AF
GCF_008634075.2__GCF_014645255.1	84.2900	24.11	21.00	1131797	verylow-AF
GCF_014635605.1__GCF_014645255.1	84.1600	20.76	16.40	975648	verylow-AF
GCF_013185225.1__GCF_014645255.1	84.5600	25.66	23.37	1197924	verylow-AF
GCA_902801535.1__GCA_905236745.1	82.9000	2.50	2.28	53790	verylow-AF
GCA_000431895.1__GCA_902782775.1	82.5300	4.66	3.40	88242	verylow-AF
GCA_017412425.1__GCA_902759685.1	83.6000	2.74	2.96	72573	verylow-AF
GCA_902567595.1__GCA_902614945.1	86.0200	30.50	25.58	491469	verylow-AF
GCA_902567595.1__GCA_902616265.1	96.3200	62.75	51.89	996978	low-AF
GCA_015260165.1__GCF_009728485.1	97.5200	69.62	95.45	1954311	strict
GCA_015260225.1__GCA_015260255.1	97.4100	76.81	75.57	1718125	strict
GCA_015260075.1__GCA_015260255.1	97.5400	90.04	82.87	2028343	strict
GCA_902803615.1__GCF_900108495.1	99.5400	81.53	91.89	1660115	strict
GCA_902803615.1__GCF_900167315.1	99.5400	81.62	91.88	1659946	strict
GCF_900108495.1__GCF_900167315.1	99.9900	99.97	99.93	2029410	strict
GCA_902529525.1__GCA_902587425.1	98.4800	59.86	71.64	971761	strict
GCF_900103075.1__GCF_900107955.1	99.9900	99.97	99.98	3995132	strict
GCF_900103075.1__GCF_900108235.1	99.9900	100.00	100.00	3995595	strict
GCF_900108235.1__GCF_900114965.1	96.4300	92.37	88.71	3540351	strict
GCA_903825545.1__GCA_903864035.1	99.9900	97.60	99.84	5262203	strict
GCF_011751965.1__GCF_011751985.1	99.3900	99.30	99.43	2976210	strict
GCA_902520675.1__GCA_902542605.1	99.9900	92.96	84.30	943083	strict
GCA_902520675.1__GCA_902547435.1	99.2300	87.88	74.34	831615	strict
GCA_902542605.1__GCA_902547435.1	99.1300	80.53	75.13	762176	strict
GCA_018971295.1__GCA_018971885.1	99.7000	94.08	93.52	3589229	strict
GCA_900768895.1__GCA_905199185.1	98.6400	87.73	91.24	2169431	strict
