pairid	q_acc	r_acc	species
GCF_003991095.1__GCF_004009135.1	GCF_003991095.1	GCF_004009135.1	Bordetella pertussis
GCF_003991095.1__GCF_004009215.1	GCF_003991095.1	GCF_004009215.1	Bordetella pertussis
GCF_003991095.1__GCF_004009235.1	GCF_003991095.1	GCF_004009235.1	Bordetella pertussis
GCF_003991095.1__GCF_004009355.1	GCF_003991095.1	GCF_004009355.1	Bordetella pertussis
GCF_003991095.1__GCF_004009415.1	GCF_003991095.1	GCF_004009415.1	Bordetella pertussis
GCF_003991095.1__GCF_004009575.1	GCF_003991095.1	GCF_004009575.1	Bordetella pertussis
GCF_003991095.1__GCF_004009675.1	GCF_003991095.1	GCF_004009675.1	Bordetella pertussis
GCF_003991095.1__GCF_004009775.1	GCF_003991095.1	GCF_004009775.1	Bordetella pertussis
GCF_003991095.1__GCF_004634665.1	GCF_003991095.1	GCF_004634665.1	Bordetella pertussis
GCF_003991095.1__GCF_004634685.1	GCF_003991095.1	GCF_004634685.1	Bordetella pertussis
GCF_003991095.1__GCF_004634725.1	GCF_003991095.1	GCF_004634725.1	Bordetella pertussis
GCF_003991095.1__GCF_004634765.1	GCF_003991095.1	GCF_004634765.1	Bordetella pertussis
GCF_003991095.1__GCF_004634885.1	GCF_003991095.1	GCF_004634885.1	Bordetella pertussis
GCF_003991095.1__GCF_004634925.1	GCF_003991095.1	GCF_004634925.1	Bordetella pertussis
GCF_003991095.1__GCF_004635105.1	GCF_003991095.1	GCF_004635105.1	Bordetella pertussis
GCF_003991095.1__GCF_004635125.1	GCF_003991095.1	GCF_004635125.1	Bordetella pertussis
GCF_003991095.1__GCF_004635185.1	GCF_003991095.1	GCF_004635185.1	Bordetella pertussis
GCF_003991095.1__GCF_004635285.1	GCF_003991095.1	GCF_004635285.1	Bordetella pertussis
GCF_003991095.1__GCF_004635365.1	GCF_003991095.1	GCF_004635365.1	Bordetella pertussis
GCF_003991095.1__GCF_004635385.1	GCF_003991095.1	GCF_004635385.1	Bordetella pertussis
GCF_003991095.1__GCF_004635445.1	GCF_003991095.1	GCF_004635445.1	Bordetella pertussis
GCF_003991095.1__GCF_004635465.1	GCF_003991095.1	GCF_004635465.1	Bordetella pertussis
GCF_003991095.1__GCF_004635525.1	GCF_003991095.1	GCF_004635525.1	Bordetella pertussis
GCF_003991095.1__GCF_004635585.1	GCF_003991095.1	GCF_004635585.1	Bordetella pertussis
GCF_003991095.1__GCF_004635705.1	GCF_003991095.1	GCF_004635705.1	Bordetella pertussis
GCF_003991095.1__GCF_004635805.1	GCF_003991095.1	GCF_004635805.1	Bordetella pertussis
GCF_003991095.1__GCF_004635905.1	GCF_003991095.1	GCF_004635905.1	Bordetella pertussis
GCF_003991095.1__GCF_004635925.1	GCF_003991095.1	GCF_004635925.1	Bordetella pertussis
GCF_003991095.1__GCF_004635945.1	GCF_003991095.1	GCF_004635945.1	Bordetella pertussis
GCF_003991095.1__GCF_004636005.1	GCF_003991095.1	GCF_004636005.1	Bordetella pertussis
GCF_003991095.1__GCF_004636045.1	GCF_003991095.1	GCF_004636045.1	Bordetella pertussis
GCF_003991095.1__GCF_004636145.1	GCF_003991095.1	GCF_004636145.1	Bordetella pertussis
GCF_003991095.1__GCF_004636165.1	GCF_003991095.1	GCF_004636165.1	Bordetella pertussis
GCF_003991095.1__GCF_004636245.1	GCF_003991095.1	GCF_004636245.1	Bordetella pertussis
GCF_003991095.1__GCF_004636285.1	GCF_003991095.1	GCF_004636285.1	Bordetella pertussis
GCF_003991095.1__GCF_004636325.1	GCF_003991095.1	GCF_004636325.1	Bordetella pertussis
GCF_003991095.1__GCF_004636925.1	GCF_003991095.1	GCF_004636925.1	Bordetella pertussis
GCF_003991095.1__GCF_004637025.1	GCF_003991095.1	GCF_004637025.1	Bordetella pertussis
GCF_003991095.1__GCF_004637045.1	GCF_003991095.1	GCF_004637045.1	Bordetella pertussis
GCF_003991095.1__GCF_004637065.1	GCF_003991095.1	GCF_004637065.1	Bordetella pertussis
GCF_003991095.1__GCF_004637205.1	GCF_003991095.1	GCF_004637205.1	Bordetella pertussis
GCF_003991095.1__GCF_009625775.1	GCF_003991095.1	GCF_009625775.1	Bordetella pertussis
GCF_003991095.1__GCF_009625935.1	GCF_003991095.1	GCF_009625935.1	Bordetella pertussis
GCF_003991095.1__GCF_009626075.1	GCF_003991095.1	GCF_009626075.1	Bordetella pertussis
GCF_003991095.1__GCF_009626115.1	GCF_003991095.1	GCF_009626115.1	Bordetella pertussis
GCF_003991095.1__GCF_009626155.1	GCF_003991095.1	GCF_009626155.1	Bordetella pertussis
GCF_003991095.1__GCF_009626195.1	GCF_003991095.1	GCF_009626195.1	Bordetella pertussis
GCF_003991095.1__GCF_009626235.1	GCF_003991095.1	GCF_009626235.1	Bordetella pertussis
GCF_003991095.1__GCF_009626455.1	GCF_003991095.1	GCF_009626455.1	Bordetella pertussis
GCF_003991095.1__GCF_009626495.1	GCF_003991095.1	GCF_009626495.1	Bordetella pertussis
GCF_003991095.1__GCF_009626595.1	GCF_003991095.1	GCF_009626595.1	Bordetella pertussis
GCF_003991095.1__GCF_009626635.1	GCF_003991095.1	GCF_009626635.1	Bordetella pertussis
GCF_003991095.1__GCF_009626655.1	GCF_003991095.1	GCF_009626655.1	Bordetella pertussis
GCF_003991095.1__GCF_009626855.1	GCF_003991095.1	GCF_009626855.1	Bordetella pertussis
GCF_003991095.1__GCF_009627255.1	GCF_003991095.1	GCF_009627255.1	Bordetella pertussis
GCF_003991095.1__GCF_009627735.1	GCF_003991095.1	GCF_009627735.1	Bordetella pertussis
GCF_003991095.1__GCF_016903095.1	GCF_003991095.1	GCF_016903095.1	Bordetella pertussis
GCF_003991095.1__GCF_017357125.1	GCF_003991095.1	GCF_017357125.1	Bordetella pertussis
GCF_003991095.1__GCF_017357185.1	GCF_003991095.1	GCF_017357185.1	Bordetella pertussis
GCF_003991095.1__GCF_017357205.1	GCF_003991095.1	GCF_017357205.1	Bordetella pertussis
GCF_003991095.1__GCF_900327845.1	GCF_003991095.1	GCF_900327845.1	Bordetella pertussis
GCF_004006815.1__GCF_004008035.1	GCF_004006815.1	GCF_004008035.1	Bordetella pertussis
GCF_004006815.1__GCF_004008155.1	GCF_004006815.1	GCF_004008155.1	Bordetella pertussis
GCF_004006815.1__GCF_004008215.1	GCF_004006815.1	GCF_004008215.1	Bordetella pertussis
GCF_004006815.1__GCF_004008295.1	GCF_004006815.1	GCF_004008295.1	Bordetella pertussis
GCF_004006815.1__GCF_004008415.1	GCF_004006815.1	GCF_004008415.1	Bordetella pertussis
GCF_004006815.1__GCF_004008475.1	GCF_004006815.1	GCF_004008475.1	Bordetella pertussis
GCF_004006815.1__GCF_004008595.1	GCF_004006815.1	GCF_004008595.1	Bordetella pertussis
GCF_004006815.1__GCF_004008655.1	GCF_004006815.1	GCF_004008655.1	Bordetella pertussis
GCF_004006815.1__GCF_004008795.1	GCF_004006815.1	GCF_004008795.1	Bordetella pertussis
GCF_004006815.1__GCF_004009015.1	GCF_004006815.1	GCF_004009015.1	Bordetella pertussis
GCF_004006815.1__GCF_004009135.1	GCF_004006815.1	GCF_004009135.1	Bordetella pertussis
GCF_004006815.1__GCF_004009215.1	GCF_004006815.1	GCF_004009215.1	Bordetella pertussis
GCF_004006815.1__GCF_004009235.1	GCF_004006815.1	GCF_004009235.1	Bordetella pertussis
GCF_004006815.1__GCF_004009355.1	GCF_004006815.1	GCF_004009355.1	Bordetella pertussis
GCF_004006815.1__GCF_004009415.1	GCF_004006815.1	GCF_004009415.1	Bordetella pertussis
GCF_004006815.1__GCF_004009575.1	GCF_004006815.1	GCF_004009575.1	Bordetella pertussis
GCF_004006815.1__GCF_004009675.1	GCF_004006815.1	GCF_004009675.1	Bordetella pertussis
GCF_004006815.1__GCF_004009775.1	GCF_004006815.1	GCF_004009775.1	Bordetella pertussis
GCF_004006815.1__GCF_004634665.1	GCF_004006815.1	GCF_004634665.1	Bordetella pertussis
GCF_004006815.1__GCF_004634685.1	GCF_004006815.1	GCF_004634685.1	Bordetella pertussis
GCF_004006815.1__GCF_004634725.1	GCF_004006815.1	GCF_004634725.1	Bordetella pertussis
GCF_004006815.1__GCF_004634765.1	GCF_004006815.1	GCF_004634765.1	Bordetella pertussis
GCF_004006815.1__GCF_004634885.1	GCF_004006815.1	GCF_004634885.1	Bordetella pertussis
GCF_004006815.1__GCF_004634925.1	GCF_004006815.1	GCF_004634925.1	Bordetella pertussis
GCF_004006815.1__GCF_004635105.1	GCF_004006815.1	GCF_004635105.1	Bordetella pertussis
GCF_004006815.1__GCF_004635125.1	GCF_004006815.1	GCF_004635125.1	Bordetella pertussis
GCF_004006815.1__GCF_004635185.1	GCF_004006815.1	GCF_004635185.1	Bordetella pertussis
GCF_004006815.1__GCF_004635285.1	GCF_004006815.1	GCF_004635285.1	Bordetella pertussis
GCF_004006815.1__GCF_004635365.1	GCF_004006815.1	GCF_004635365.1	Bordetella pertussis
GCF_004006815.1__GCF_004635385.1	GCF_004006815.1	GCF_004635385.1	Bordetella pertussis
GCF_004006815.1__GCF_004635445.1	GCF_004006815.1	GCF_004635445.1	Bordetella pertussis
GCF_004006815.1__GCF_004635465.1	GCF_004006815.1	GCF_004635465.1	Bordetella pertussis
GCF_004006815.1__GCF_004635525.1	GCF_004006815.1	GCF_004635525.1	Bordetella pertussis
GCF_004006815.1__GCF_004635585.1	GCF_004006815.1	GCF_004635585.1	Bordetella pertussis
GCF_004006815.1__GCF_004635705.1	GCF_004006815.1	GCF_004635705.1	Bordetella pertussis
GCF_004006815.1__GCF_004635805.1	GCF_004006815.1	GCF_004635805.1	Bordetella pertussis
GCF_004006815.1__GCF_004635905.1	GCF_004006815.1	GCF_004635905.1	Bordetella pertussis
GCF_004006815.1__GCF_004635925.1	GCF_004006815.1	GCF_004635925.1	Bordetella pertussis
GCF_004006815.1__GCF_004635945.1	GCF_004006815.1	GCF_004635945.1	Bordetella pertussis
GCF_004006815.1__GCF_004636005.1	GCF_004006815.1	GCF_004636005.1	Bordetella pertussis
GCF_004006815.1__GCF_004636045.1	GCF_004006815.1	GCF_004636045.1	Bordetella pertussis
GCF_004006815.1__GCF_004636145.1	GCF_004006815.1	GCF_004636145.1	Bordetella pertussis
GCF_004006815.1__GCF_004636165.1	GCF_004006815.1	GCF_004636165.1	Bordetella pertussis
GCF_004006815.1__GCF_004636245.1	GCF_004006815.1	GCF_004636245.1	Bordetella pertussis
GCF_004006815.1__GCF_004636285.1	GCF_004006815.1	GCF_004636285.1	Bordetella pertussis
GCF_004006815.1__GCF_004636325.1	GCF_004006815.1	GCF_004636325.1	Bordetella pertussis
GCF_004006815.1__GCF_004636925.1	GCF_004006815.1	GCF_004636925.1	Bordetella pertussis
GCF_004006815.1__GCF_004637025.1	GCF_004006815.1	GCF_004637025.1	Bordetella pertussis
GCF_004006815.1__GCF_004637045.1	GCF_004006815.1	GCF_004637045.1	Bordetella pertussis
GCF_004006815.1__GCF_004637065.1	GCF_004006815.1	GCF_004637065.1	Bordetella pertussis
GCF_004006815.1__GCF_004637205.1	GCF_004006815.1	GCF_004637205.1	Bordetella pertussis
GCF_004006815.1__GCF_009625775.1	GCF_004006815.1	GCF_009625775.1	Bordetella pertussis
GCF_004006815.1__GCF_009625935.1	GCF_004006815.1	GCF_009625935.1	Bordetella pertussis
GCF_004006815.1__GCF_009626075.1	GCF_004006815.1	GCF_009626075.1	Bordetella pertussis
GCF_004006815.1__GCF_009626115.1	GCF_004006815.1	GCF_009626115.1	Bordetella pertussis
GCF_004006815.1__GCF_009626155.1	GCF_004006815.1	GCF_009626155.1	Bordetella pertussis
GCF_004006815.1__GCF_009626195.1	GCF_004006815.1	GCF_009626195.1	Bordetella pertussis
GCF_004006815.1__GCF_009626235.1	GCF_004006815.1	GCF_009626235.1	Bordetella pertussis
GCF_004006815.1__GCF_009626455.1	GCF_004006815.1	GCF_009626455.1	Bordetella pertussis
GCF_004006815.1__GCF_009626495.1	GCF_004006815.1	GCF_009626495.1	Bordetella pertussis
GCF_004006815.1__GCF_009626595.1	GCF_004006815.1	GCF_009626595.1	Bordetella pertussis
GCF_004006815.1__GCF_009626635.1	GCF_004006815.1	GCF_009626635.1	Bordetella pertussis
GCF_004006815.1__GCF_009626655.1	GCF_004006815.1	GCF_009626655.1	Bordetella pertussis
GCF_004006815.1__GCF_009626855.1	GCF_004006815.1	GCF_009626855.1	Bordetella pertussis
GCF_004006815.1__GCF_009627255.1	GCF_004006815.1	GCF_009627255.1	Bordetella pertussis
GCF_004006815.1__GCF_009627735.1	GCF_004006815.1	GCF_009627735.1	Bordetella pertussis
GCF_004006815.1__GCF_016903095.1	GCF_004006815.1	GCF_016903095.1	Bordetella pertussis
GCF_004006815.1__GCF_017357125.1	GCF_004006815.1	GCF_017357125.1	Bordetella pertussis
GCF_004006815.1__GCF_017357185.1	GCF_004006815.1	GCF_017357185.1	Bordetella pertussis
GCF_004006815.1__GCF_017357205.1	GCF_004006815.1	GCF_017357205.1	Bordetella pertussis
GCF_004006815.1__GCF_900327845.1	GCF_004006815.1	GCF_900327845.1	Bordetella pertussis
GCF_004008035.1__GCF_004008155.1	GCF_004008035.1	GCF_004008155.1	Bordetella pertussis
GCF_004008035.1__GCF_004008215.1	GCF_004008035.1	GCF_004008215.1	Bordetella pertussis
GCF_004008035.1__GCF_004008295.1	GCF_004008035.1	GCF_004008295.1	Bordetella pertussis
GCF_004008035.1__GCF_004008415.1	GCF_004008035.1	GCF_004008415.1	Bordetella pertussis
GCF_004008035.1__GCF_004008475.1	GCF_004008035.1	GCF_004008475.1	Bordetella pertussis
GCF_004008035.1__GCF_004008595.1	GCF_004008035.1	GCF_004008595.1	Bordetella pertussis
GCF_004008035.1__GCF_004008655.1	GCF_004008035.1	GCF_004008655.1	Bordetella pertussis
GCF_004008035.1__GCF_004008795.1	GCF_004008035.1	GCF_004008795.1	Bordetella pertussis
GCF_004008035.1__GCF_004009015.1	GCF_004008035.1	GCF_004009015.1	Bordetella pertussis
GCF_004008035.1__GCF_004009135.1	GCF_004008035.1	GCF_004009135.1	Bordetella pertussis
GCF_004008035.1__GCF_004009215.1	GCF_004008035.1	GCF_004009215.1	Bordetella pertussis
GCF_004008035.1__GCF_004009235.1	GCF_004008035.1	GCF_004009235.1	Bordetella pertussis
GCF_004008035.1__GCF_004009355.1	GCF_004008035.1	GCF_004009355.1	Bordetella pertussis
GCF_004008035.1__GCF_004009415.1	GCF_004008035.1	GCF_004009415.1	Bordetella pertussis
GCF_004008035.1__GCF_004009575.1	GCF_004008035.1	GCF_004009575.1	Bordetella pertussis
GCF_004008035.1__GCF_004009675.1	GCF_004008035.1	GCF_004009675.1	Bordetella pertussis
GCF_004008035.1__GCF_004009775.1	GCF_004008035.1	GCF_004009775.1	Bordetella pertussis
GCF_004008035.1__GCF_004634665.1	GCF_004008035.1	GCF_004634665.1	Bordetella pertussis
GCF_004008035.1__GCF_004634685.1	GCF_004008035.1	GCF_004634685.1	Bordetella pertussis
GCF_004008035.1__GCF_004634725.1	GCF_004008035.1	GCF_004634725.1	Bordetella pertussis
GCF_004008035.1__GCF_004634765.1	GCF_004008035.1	GCF_004634765.1	Bordetella pertussis
GCF_004008035.1__GCF_004634885.1	GCF_004008035.1	GCF_004634885.1	Bordetella pertussis
GCF_004008035.1__GCF_004634925.1	GCF_004008035.1	GCF_004634925.1	Bordetella pertussis
GCF_004008035.1__GCF_004635105.1	GCF_004008035.1	GCF_004635105.1	Bordetella pertussis
GCF_004008035.1__GCF_004635125.1	GCF_004008035.1	GCF_004635125.1	Bordetella pertussis
GCF_004008035.1__GCF_004635185.1	GCF_004008035.1	GCF_004635185.1	Bordetella pertussis
GCF_004008035.1__GCF_004635285.1	GCF_004008035.1	GCF_004635285.1	Bordetella pertussis
GCF_004008035.1__GCF_004635365.1	GCF_004008035.1	GCF_004635365.1	Bordetella pertussis
GCF_004008035.1__GCF_004635385.1	GCF_004008035.1	GCF_004635385.1	Bordetella pertussis
GCF_004008035.1__GCF_004635445.1	GCF_004008035.1	GCF_004635445.1	Bordetella pertussis
GCF_004008035.1__GCF_004635465.1	GCF_004008035.1	GCF_004635465.1	Bordetella pertussis
GCF_004008035.1__GCF_004635525.1	GCF_004008035.1	GCF_004635525.1	Bordetella pertussis
GCF_004008035.1__GCF_004635585.1	GCF_004008035.1	GCF_004635585.1	Bordetella pertussis
GCF_004008035.1__GCF_004635705.1	GCF_004008035.1	GCF_004635705.1	Bordetella pertussis
GCF_004008035.1__GCF_004635805.1	GCF_004008035.1	GCF_004635805.1	Bordetella pertussis
GCF_004008035.1__GCF_004635905.1	GCF_004008035.1	GCF_004635905.1	Bordetella pertussis
GCF_004008035.1__GCF_004635925.1	GCF_004008035.1	GCF_004635925.1	Bordetella pertussis
GCF_004008035.1__GCF_004635945.1	GCF_004008035.1	GCF_004635945.1	Bordetella pertussis
GCF_004008035.1__GCF_004636005.1	GCF_004008035.1	GCF_004636005.1	Bordetella pertussis
GCF_004008035.1__GCF_004636045.1	GCF_004008035.1	GCF_004636045.1	Bordetella pertussis
GCF_004008035.1__GCF_004636145.1	GCF_004008035.1	GCF_004636145.1	Bordetella pertussis
GCF_004008035.1__GCF_004636165.1	GCF_004008035.1	GCF_004636165.1	Bordetella pertussis
GCF_004008035.1__GCF_004636245.1	GCF_004008035.1	GCF_004636245.1	Bordetella pertussis
GCF_004008035.1__GCF_004636285.1	GCF_004008035.1	GCF_004636285.1	Bordetella pertussis
GCF_004008035.1__GCF_004636325.1	GCF_004008035.1	GCF_004636325.1	Bordetella pertussis
GCF_004008035.1__GCF_004636925.1	GCF_004008035.1	GCF_004636925.1	Bordetella pertussis
GCF_004008035.1__GCF_004637025.1	GCF_004008035.1	GCF_004637025.1	Bordetella pertussis
GCF_004008035.1__GCF_004637045.1	GCF_004008035.1	GCF_004637045.1	Bordetella pertussis
GCF_004008035.1__GCF_004637065.1	GCF_004008035.1	GCF_004637065.1	Bordetella pertussis
GCF_004008035.1__GCF_004637205.1	GCF_004008035.1	GCF_004637205.1	Bordetella pertussis
GCF_004008035.1__GCF_009625775.1	GCF_004008035.1	GCF_009625775.1	Bordetella pertussis
GCF_004008035.1__GCF_009625935.1	GCF_004008035.1	GCF_009625935.1	Bordetella pertussis
GCF_004008035.1__GCF_009626075.1	GCF_004008035.1	GCF_009626075.1	Bordetella pertussis
GCF_004008035.1__GCF_009626115.1	GCF_004008035.1	GCF_009626115.1	Bordetella pertussis
GCF_004008035.1__GCF_009626155.1	GCF_004008035.1	GCF_009626155.1	Bordetella pertussis
GCF_004008035.1__GCF_009626195.1	GCF_004008035.1	GCF_009626195.1	Bordetella pertussis
GCF_004008035.1__GCF_009626235.1	GCF_004008035.1	GCF_009626235.1	Bordetella pertussis
GCF_004008035.1__GCF_009626455.1	GCF_004008035.1	GCF_009626455.1	Bordetella pertussis
GCF_004008035.1__GCF_009626495.1	GCF_004008035.1	GCF_009626495.1	Bordetella pertussis
GCF_004008035.1__GCF_009626595.1	GCF_004008035.1	GCF_009626595.1	Bordetella pertussis
GCF_004008035.1__GCF_009626635.1	GCF_004008035.1	GCF_009626635.1	Bordetella pertussis
GCF_004008035.1__GCF_009626655.1	GCF_004008035.1	GCF_009626655.1	Bordetella pertussis
GCF_004008035.1__GCF_009626855.1	GCF_004008035.1	GCF_009626855.1	Bordetella pertussis
GCF_004008035.1__GCF_009627255.1	GCF_004008035.1	GCF_009627255.1	Bordetella pertussis
GCF_004008035.1__GCF_009627735.1	GCF_004008035.1	GCF_009627735.1	Bordetella pertussis
GCF_004008035.1__GCF_016903095.1	GCF_004008035.1	GCF_016903095.1	Bordetella pertussis
GCF_004008035.1__GCF_017357125.1	GCF_004008035.1	GCF_017357125.1	Bordetella pertussis
GCF_004008035.1__GCF_017357185.1	GCF_004008035.1	GCF_017357185.1	Bordetella pertussis
GCF_004008035.1__GCF_017357205.1	GCF_004008035.1	GCF_017357205.1	Bordetella pertussis
GCF_004008035.1__GCF_900327845.1	GCF_004008035.1	GCF_900327845.1	Bordetella pertussis
GCF_004008155.1__GCF_004008215.1	GCF_004008155.1	GCF_004008215.1	Bordetella pertussis
GCF_004008155.1__GCF_004008295.1	GCF_004008155.1	GCF_004008295.1	Bordetella pertussis
GCF_004008155.1__GCF_004008415.1	GCF_004008155.1	GCF_004008415.1	Bordetella pertussis
GCF_004008155.1__GCF_004008475.1	GCF_004008155.1	GCF_004008475.1	Bordetella pertussis
GCF_004008155.1__GCF_004008595.1	GCF_004008155.1	GCF_004008595.1	Bordetella pertussis
GCF_004008155.1__GCF_004008655.1	GCF_004008155.1	GCF_004008655.1	Bordetella pertussis
GCF_004008155.1__GCF_004008795.1	GCF_004008155.1	GCF_004008795.1	Bordetella pertussis
GCF_004008155.1__GCF_004009015.1	GCF_004008155.1	GCF_004009015.1	Bordetella pertussis
GCF_004008155.1__GCF_004009135.1	GCF_004008155.1	GCF_004009135.1	Bordetella pertussis
GCF_004008155.1__GCF_004009215.1	GCF_004008155.1	GCF_004009215.1	Bordetella pertussis
GCF_004008155.1__GCF_004009235.1	GCF_004008155.1	GCF_004009235.1	Bordetella pertussis
GCF_004008155.1__GCF_004009355.1	GCF_004008155.1	GCF_004009355.1	Bordetella pertussis
GCF_004008155.1__GCF_004009415.1	GCF_004008155.1	GCF_004009415.1	Bordetella pertussis
GCF_004008155.1__GCF_004009575.1	GCF_004008155.1	GCF_004009575.1	Bordetella pertussis
GCF_004008155.1__GCF_004009675.1	GCF_004008155.1	GCF_004009675.1	Bordetella pertussis
GCF_004008155.1__GCF_004009775.1	GCF_004008155.1	GCF_004009775.1	Bordetella pertussis
GCF_004008155.1__GCF_004634665.1	GCF_004008155.1	GCF_004634665.1	Bordetella pertussis
GCF_004008155.1__GCF_004634685.1	GCF_004008155.1	GCF_004634685.1	Bordetella pertussis
GCF_004008155.1__GCF_004634725.1	GCF_004008155.1	GCF_004634725.1	Bordetella pertussis
GCF_004008155.1__GCF_004634765.1	GCF_004008155.1	GCF_004634765.1	Bordetella pertussis
GCF_004008155.1__GCF_004634885.1	GCF_004008155.1	GCF_004634885.1	Bordetella pertussis
GCF_004008155.1__GCF_004634925.1	GCF_004008155.1	GCF_004634925.1	Bordetella pertussis
GCF_004008155.1__GCF_004635105.1	GCF_004008155.1	GCF_004635105.1	Bordetella pertussis
GCF_004008155.1__GCF_004635125.1	GCF_004008155.1	GCF_004635125.1	Bordetella pertussis
GCF_004008155.1__GCF_004635185.1	GCF_004008155.1	GCF_004635185.1	Bordetella pertussis
GCF_004008155.1__GCF_004635285.1	GCF_004008155.1	GCF_004635285.1	Bordetella pertussis
GCF_004008155.1__GCF_004635365.1	GCF_004008155.1	GCF_004635365.1	Bordetella pertussis
GCF_004008155.1__GCF_004635385.1	GCF_004008155.1	GCF_004635385.1	Bordetella pertussis
GCF_004008155.1__GCF_004635445.1	GCF_004008155.1	GCF_004635445.1	Bordetella pertussis
GCF_004008155.1__GCF_004635465.1	GCF_004008155.1	GCF_004635465.1	Bordetella pertussis
GCF_004008155.1__GCF_004635525.1	GCF_004008155.1	GCF_004635525.1	Bordetella pertussis
GCF_004008155.1__GCF_004635585.1	GCF_004008155.1	GCF_004635585.1	Bordetella pertussis
GCF_004008155.1__GCF_004635705.1	GCF_004008155.1	GCF_004635705.1	Bordetella pertussis
GCF_004008155.1__GCF_004635805.1	GCF_004008155.1	GCF_004635805.1	Bordetella pertussis
GCF_004008155.1__GCF_004635905.1	GCF_004008155.1	GCF_004635905.1	Bordetella pertussis
GCF_004008155.1__GCF_004635925.1	GCF_004008155.1	GCF_004635925.1	Bordetella pertussis
GCF_004008155.1__GCF_004635945.1	GCF_004008155.1	GCF_004635945.1	Bordetella pertussis
GCF_004008155.1__GCF_004636005.1	GCF_004008155.1	GCF_004636005.1	Bordetella pertussis
GCF_004008155.1__GCF_004636045.1	GCF_004008155.1	GCF_004636045.1	Bordetella pertussis
GCF_004008155.1__GCF_004636145.1	GCF_004008155.1	GCF_004636145.1	Bordetella pertussis
GCF_004008155.1__GCF_004636165.1	GCF_004008155.1	GCF_004636165.1	Bordetella pertussis
GCF_004008155.1__GCF_004636245.1	GCF_004008155.1	GCF_004636245.1	Bordetella pertussis
GCF_004008155.1__GCF_004636285.1	GCF_004008155.1	GCF_004636285.1	Bordetella pertussis
GCF_004008155.1__GCF_004636325.1	GCF_004008155.1	GCF_004636325.1	Bordetella pertussis
GCF_004008155.1__GCF_004636925.1	GCF_004008155.1	GCF_004636925.1	Bordetella pertussis
GCF_004008155.1__GCF_004637025.1	GCF_004008155.1	GCF_004637025.1	Bordetella pertussis
GCF_004008155.1__GCF_004637045.1	GCF_004008155.1	GCF_004637045.1	Bordetella pertussis
GCF_004008155.1__GCF_004637065.1	GCF_004008155.1	GCF_004637065.1	Bordetella pertussis
GCF_004008155.1__GCF_004637205.1	GCF_004008155.1	GCF_004637205.1	Bordetella pertussis
GCF_004008155.1__GCF_009625775.1	GCF_004008155.1	GCF_009625775.1	Bordetella pertussis
GCF_004008155.1__GCF_009625935.1	GCF_004008155.1	GCF_009625935.1	Bordetella pertussis
GCF_004008155.1__GCF_009626075.1	GCF_004008155.1	GCF_009626075.1	Bordetella pertussis
GCF_004008155.1__GCF_009626115.1	GCF_004008155.1	GCF_009626115.1	Bordetella pertussis
GCF_004008155.1__GCF_009626155.1	GCF_004008155.1	GCF_009626155.1	Bordetella pertussis
GCF_004008155.1__GCF_009626195.1	GCF_004008155.1	GCF_009626195.1	Bordetella pertussis
GCF_004008155.1__GCF_009626235.1	GCF_004008155.1	GCF_009626235.1	Bordetella pertussis
GCF_004008155.1__GCF_009626455.1	GCF_004008155.1	GCF_009626455.1	Bordetella pertussis
GCF_004008155.1__GCF_009626495.1	GCF_004008155.1	GCF_009626495.1	Bordetella pertussis
GCF_004008155.1__GCF_009626595.1	GCF_004008155.1	GCF_009626595.1	Bordetella pertussis
GCF_004008155.1__GCF_009626635.1	GCF_004008155.1	GCF_009626635.1	Bordetella pertussis
GCF_004008155.1__GCF_009626655.1	GCF_004008155.1	GCF_009626655.1	Bordetella pertussis
GCF_004008155.1__GCF_009626855.1	GCF_004008155.1	GCF_009626855.1	Bordetella pertussis
GCF_004008155.1__GCF_009627255.1	GCF_004008155.1	GCF_009627255.1	Bordetella pertussis
GCF_004008155.1__GCF_009627735.1	GCF_004008155.1	GCF_009627735.1	Bordetella pertussis
GCF_004008155.1__GCF_016903095.1	GCF_004008155.1	GCF_016903095.1	Bordetella pertussis
GCF_004008155.1__GCF_017357125.1	GCF_004008155.1	GCF_017357125.1	Bordetella pertussis
GCF_004008155.1__GCF_017357185.1	GCF_004008155.1	GCF_017357185.1	Bordetella pertussis
GCF_004008155.1__GCF_017357205.1	GCF_004008155.1	GCF_017357205.1	Bordetella pertussis
GCF_004008155.1__GCF_900327845.1	GCF_004008155.1	GCF_900327845.1	Bordetella pertussis
GCF_004008215.1__GCF_004008295.1	GCF_004008215.1	GCF_004008295.1	Bordetella pertussis
GCF_004008215.1__GCF_004008415.1	GCF_004008215.1	GCF_004008415.1	Bordetella pertussis
GCF_004008215.1__GCF_004008475.1	GCF_004008215.1	GCF_004008475.1	Bordetella pertussis
GCF_004008215.1__GCF_004008595.1	GCF_004008215.1	GCF_004008595.1	Bordetella pertussis
GCF_004008215.1__GCF_004008655.1	GCF_004008215.1	GCF_004008655.1	Bordetella pertussis
GCF_004008215.1__GCF_004008795.1	GCF_004008215.1	GCF_004008795.1	Bordetella pertussis
GCF_004008215.1__GCF_004009015.1	GCF_004008215.1	GCF_004009015.1	Bordetella pertussis
GCF_004008215.1__GCF_004009135.1	GCF_004008215.1	GCF_004009135.1	Bordetella pertussis
