pairid	frame	syn2b_n	dnadiff_n	dnadiff_n_seq	report_rearrangements	report_breakpoints	report_inversions	dnadiff_inv	dnadiff_jmp	dnadiff_seq	count_diff	syn2b_pos	dnadiff_pos	dnadiff_pos_seq
GCF_000271985.2__GCF_013305765.1	genome_wide	2	32	0	16	254	2	2	30	0	16	5733966,5736705	98486,261953,264169,499344,520953,842465,961025,986781,1040433,1138203,1182142,1506419,1641131,1671634,1999992,2341246,2754637,2849647,2956269,3365668,3392428,3476087,3567562,4445648,4453811,4717312,5188145,5371690,5735682,5736541,5785240,5961523	
GCF_000271985.2__GCF_015697465.1	genome_wide	3	29	0	17	246	2	2	27	0	12	4087128,4170272,4314542	33849,382337,686752,1144162,1240555,2072639,2413880,2439963,2764233,2905037,2908897,2961635,2971707,3011899,3119334,3550434,3663527,3698506,3701225,3792702,3857723,4170483,4664678,5034729,5168243,5360568,5686341,5779034,6100973	
GCF_000271985.2__GCF_015697665.1	genome_wide	3	34	0	19	320	4	4	30	0	15	4401426,4495263,4631366	73725,140599,299466,333456,1050981,1130265,1871526,2233778,2574991,3058848,3438393,3804524,3805338,3928817,3966206,4056749,4121729,4285257,4377797,4495474,4966213,4974115,5128426,5268467,5470870,5505213,5505559,5647981,5769636,5955710,6007651,6190311,6305310,6602235	
GCF_000271985.2__GCF_016745115.1	genome_wide	3	40	0	27	400	6	6	34	0	13	4495229,4580738,4790359	54293,111483,270690,961657,1040948,1278693,1372791,1798775,1832178,1842770,2170082,2509190,2579640,2769854,2916429,3101181,3155754,3165435,3167539,3244440,3311176,3380655,3881237,3882051,4580949,4691774,4910520,5146191,5154362,5308720,5317252,5319795,5444676,5582435,5774876,5810140,6041503,6251130,6673166,6700832	
GCF_000271985.2__GCF_018141565.1	genome_wide	2	36	0	15	336	2	2	34	0	21	6511900,6532876	400103,468922,503902,506621,925067,1539139,1942913,2011965,2204700,2220632,2279256,2466564,3053498,3089920,3144062,3269631,3506508,3848981,4076049,4097390,4097560,4145885,4404112,4525402,4604567,4700798,4789733,5114565,5225810,5235999,5586480,5927681,6060583,6455894,6524407,6638515	
GCF_000271985.2__GCF_018279265.1	genome_wide	3	34	0	22	408	0	0	34	0	12	423481,6687983,6695301	142260,179583,370453,425085,982741,1006396,1192484,1456140,1619962,1643900,2030417,2571826,2684951,2764158,2929467,3373649,3697539,4036690,4080183,4173451,4203208,4353323,4637620,4691952,4842236,5033643,5417190,5420112,5511647,5796433,6397130,6622154,6697015,6828877	
GCF_000271985.2__GCF_900095805.1	genome_wide	3	43	0	29	386	8	8	35	0	14	4347468,4354149,5516399	53856,290259,299728,806648,849854,972129,1051331,1148695,1192444,1196180,1220041,1549181,1919498,2053267,2395608,2677681,2851601,2936285,2938089,2978421,3078987,3180072,3488026,3594678,3597397,3690392,3755405,3977794,4356092,4583411,4591863,4796875,4863370,5025169,5254614,5463118,5464302,5637203,6000647,6002394,6051075,6228322,6464897	
GCF_000271985.2__GCF_900149285.1	genome_wide	3	30	0	9	240	0	0	30	0	21	3870497,3961879,4105176	182925,256792,512354,561983,940732,1020019,1122313,1490819,1602073,1632709,1956946,2298176,2324262,2414205,2785519,2836858,2944379,3280414,3448068,3483129,3485848,3576067,3641087,3962090,4721759,4853984,5046308,5186159,5376455,6203800	
GCF_000271985.2__GCF_904866275.1	genome_wide	5	29	0	16	282	2	2	27	0	13	2819790,2822070,3845983,3932733,4077002	262665,567192,945766,1025060,1121516,1489525,1632426,1952696,2293916,2320000,2717700,2721560,2774418,2913471,2923418,3353865,3422380,3459341,3551568,3616591,3932944,4216048,4839734,5032057,5172127,5357466,5450160,5772077,6185125	
GCF_000359505.1__GCF_002237425.1	genome_wide	8	42	0	41	374	8	8	34	0	1	1787574,1796383,3107680,3139285,3795695,3800076,3961193,3996977	335898,636350,1029009,1795281,1803575,1853034,2020927,2252614,2717203,2757154,2784594,2787779,2816092,2942386,3005115,3119678,3171951,3186439,3228237,3751662,3797721,3977169,3977325,3978717,4484736,4596193,5076660,5501635,5544648,5563747,5569673,5579660,5769294,5771326,5788408,5931100,6124049,6195529,6208299,6276116,6276413,6303672	
GCF_000359505.1__GCF_003319235.1	genome_wide	3	47	0	27	386	4	4	43	0	20	3773822,4537581,4631080	775390,805904,962234,1278271,1345683,1518511,1618960,1689023,1704380,2018344,2292661,2316851,2475580,2481950,2537411,2613936,2813331,2887438,2972558,2992935,3049902,3499894,3673414,3811660,4547750,4554733,4579534,4620083,4631542,4640616,4641850,5266352,5465949,5620975,5624369,5626171,5723870,5774474,6091327,6169689,6196509,6202422,6212293,6349985,6424804,6735011,6735944	
GCF_000359505.1__GCF_013376775.1	genome_wide	4	42	0	33	418	0	0	42	0	9	173850,842094,905649,2689372	211970,835665,836691,841794,892995,906111,1171575,1172213,1717907,1872933,1876327,1878129,1983267,2441005,2467815,2473597,2483338,2585048,2620586,2686373,2816750,3467023,4083650,4364673,4389750,4457359,4520301,4541103,4766782,5433087,5600236,5647616,5725474,5924896,5996928,6038774,6145572,6191593,6258440,6309334,6310879,6622552	
GCF_000496605.2__GCF_001077475.1	genome_wide	8	32	0	37	304	6	6	26	0	-5	1742448,1906046,1989905,3013425,3046036,3117318,3140634,5881435	486157,605485,676235,1906901,2413816,2452128,2583486,2809154,2848251,2929514,3119226,3120856,3126199,3127298,3127715,3468088,3540323,4237601,4268451,4382535,4382684,4382759,4477500,4813762,5417411,5639546,5639742,5673739,5716789,5833392,5876282,5930894	
GCF_000504045.1__GCF_013376775.1	genome_wide	9	41	0	24	398	4	4	37	0	17	173850,531319,568384,831749,907221,2689204,6144643,6308254,6310965	73779,212082,404433,532600,832164,871760,1140433,1143889,1171575,1172213,1331159,1334655,1717925,1913257,1983267,2097974,2441005,2483338,2620696,2686373,2816750,3088203,3089491,3467023,3904772,4083650,4364673,4389750,4457359,4541103,4766978,5383633,5647616,5725474,6038585,6126094,6191593,6228675,6258440,6309334,6310879	
GCF_000508765.1__GCF_006364735.1	genome_wide	5	34	0	39	280	10	10	24	0	-5	1622218,1715281,1872158,5666994,5669625	269402,363355,492401,651931,897562,1015791,1282345,1289271,1715409,2262072,2336628,2339676,2776795,2925460,2976167,2979074,2980284,2980747,3734762,3736488,4050025,4082249,4534943,4736724,4761885,5222676,5459360,5668560,5669860,5670054,5723893,5800402,6213258,6262656	
GCF_000510305.1__GCF_006364735.1	genome_wide	2	28	0	25	333	4	4	24	0	3	6260852,6262691	651972,1005260,1234529,1285696,1545959,1546597,2102378,2260547,2262072,2339677,2369110,2925491,2926284,3734775,3736485,4050061,4082134,4585116,4736597,4880927,5222676,5459054,5723411,5800402,6072930,6213241,6261933,6263480	
GCF_000524595.1__GCF_000981825.1	genome_wide	6	49	0	48	556	8	8	41	0	1	49537,60302,68825,5227725,6078935,6143319	60502,61421,63391,66693,383766,603203,652755,701948,909197,915170,952325,1035612,1123999,1397495,1435362,1972321,2569951,2715447,2914778,3166638,3292124,3361234,3364585,3419886,3425274,3566762,3707794,4073450,4074487,4226662,4228863,4384370,4547904,4644943,5052793,5055073,5228130,5390639,5400682,5744612,5882754,6004355,6006546,6084002,6281703,6531400,6635487,7072920,7392123	
GCF_000524595.1__GCF_001482325.1	genome_wide	6	28	0	29	310	0	0	28	0	-1	2756344,3906471,3938987,5550929,5686102,5776261	595941,609978,682886,1037715,1063560,1426007,2026425,2075943,2326672,2360074,2455728,2668406,3080050,3221174,3906612,3949724,4069157,4469547,4500162,4604846,4614865,5126958,5166727,5321458,5532682,5687282,5772151,6380742	
GCF_000524595.1__GCF_001516245.2	genome_wide	3	36	0	31	322	4	4	32	0	5	2775654,2777484,5221812	51702,54245,54913,101180,241302,284386,523803,572380,824209,830370,1151742,1655270,2336350,2459634,2459636,2605167,2846176,2858016,2864717,3005844,3121182,3546991,3916641,3919016,4339302,4516388,4517877,4991261,5184102,5221907,5440794,5612270,5623269,5704645,6078476,6439910	
GCF_000524595.1__GCF_001516265.1	genome_wide	13	45	0	57	472	8	8	37	0	-12	649434,651264,2396120,3167189,3189664,3268366,3291994,4107382,4114831,4718871,4729626,4735925,6489940	91891,336874,510823,612788,614022,668573,671924,727249,732637,1417161,1452261,1454462,1609967,2221188,2223468,2396524,2420713,2560377,2576751,2806555,2937127,3167284,3269477,3639767,3743852,3913241,4108365,4115606,4117016,4137088,4591948,4729826,4730744,4732714,5198287,5247838,5430673,5511629,5517791,5669463,5919203,6397148,6427811,6659698,6984143	
GCF_000524595.1__GCF_001516325.2	genome_wide	3	25	0	28	330	2	2	23	0	-3	4583054,5258390,5341537	59713,292554,510402,578914,635119,839872,989761,1184144,1544256,1658940,1689934,2900022,3667095,3796431,4742770,4745514,4747567,4904121,5258485,5260662,5273311,5276899,5333146,5671991,6483642	
GCF_000524595.1__GCF_001518975.1	genome_wide	6	31	0	42	310	10	10	21	0	-11	73612,76686,79546,3962058,4096931,4182984	76886,77804,84522,287499,842935,937419,1147306,1190975,1194823,1229949,1627920,1633006,1650054,2423637,2819408,2821961,2824849,2880567,2881573,2887077,3019465,3529033,3565505,3723980,4097434,4516219,5484637,5498711,5503240,5576079,5949685	
GCF_000524595.1__GCF_001548335.1	genome_wide	6	50	0	56	460	10	10	40	0	-6	4266989,4403946,4520119,4859245,5540327,5631520	79977,139102,318144,336115,342805,354991,654921,972629,1137060,1216162,1313657,1380830,1682526,1911906,1912380,1917931,2527224,2641660,2747774,2760767,2903179,3190626,3196334,3216564,3330951,3433054,4247226,4249607,4281003,4404669,4455213,4676624,4677858,5117852,5311307,5538099,5541246,5543441,5572197,5927328,6008740,6279667,6279816,6352760,6360001,6361411,6381482,6436799,6798203,6870679	
GCF_000524595.1__GCF_002411865.3	genome_wide	4	40	0	50	390	6	6	34	0	-10	3047460,4785192,5597623,5708178	6218,67876,69492,535132,584754,640959,841971,848133,891666,1120320,1141592,1206714,1627334,1783741,2502105,2869083,3063856,3070594,3073945,3130531,3136008,3267685,3382431,3616519,3788918,3981514,4785597,4790692,4847333,4878976,4917097,5013443,5021977,5367778,5597718,5599913,6016465,6097870,6442809,6847923	
GCF_000524595.1__GCF_002753655.1	genome_wide	7	38	0	46	583	6	6	32	0	-8	3891060,4034540,4193798,4522671,5255488,5308735,5341704	50813,57800,64743,247324,329399,833374,1141226,1200075,1422779,1516786,1707533,1949395,2770746,2843748,2843753,2867879,3227866,3283570,3505611,3872804,3984835,4035264,4110035,4823200,4898297,5256406,5258606,5278202,5286115,5287233,5388450,5454214,5640196,6088301,6142469,6413200,6505005,6561615	
GCF_000524595.1__GCF_002946935.1	genome_wide	8	39	0	39	398	8	8	31	0	0	49438,50822,61289,2883870,2885700,4620930,5281337,5370618	51607,59157,523572,573111,758935,842706,933071,1167774,1579858,1693854,2667152,2832783,2834017,2903010,2907477,2965016,2970404,3198503,3576431,3605099,3607300,3697662,3698726,3701997,3821175,4032392,4232589,4445996,4448276,4621335,4786096,4794629,5050277,5281435,5283632,5686237,5790324,6536377,6592549	
GCF_000524595.1__GCF_003052005.2	genome_wide	6	34	0	37	404	2	2	32	0	-3	4341735,4489328,4600791,4927232,5567083,5672575	262516,498470,566747,711275,1013766,1055009,1061155,1433055,1862039,2534035,2945117,3151300,3207307,3269955,3713347,3729515,3913843,4112259,4489988,4927637,5206652,5338663,5564283,5567178,5616959,5628875,5853242,5971117,5982118,5992260,6060029,6402446,6411097,6451398	
GCF_000524595.1__GCF_003073795.1	genome_wide	3	39	0	35	324	4	4	35	0	4	4255379,4891546,4985340	75588,757492,788234,857762,1209032,1529904,1846697,1922278,2140632,2146537,2198961,2205227,2453843,2689605,2820781,3064751,3065815,3162160,3277586,3615346,4122210,4172647,4526400,4661533,4891641,4893830,4979569,5088066,5270372,5351676,5695555,5719591,5837968,6303072,6801855,6919366,7015324,7099117,7190937	
GCF_000524595.1__GCF_003194245.1	genome_wide	3	31	0	27	304	4	4	27	0	4	748333,799841,6077514	302048,554539,748443,935354,941259,993683,999949,1248571,1484337,1814865,1815929,1934428,2145626,2764465,2850204,3123444,3262136,3318575,3633646,3827583,3841131,3947116,3963528,4295711,4842259,5351375,5540421,5624213,5826080,6461826,6561996	
GCF_000524595.1__GCF_003369755.1	genome_wide	10	44	0	52	448	8	8	36	0	-8	49242,60007,70747,3080188,3082018,4904695,5074823,5610664,5648698,5988450	60207,61125,65237,68615,148857,315879,581613,631165,887389,893551,1261220,1634800,1840703,2620179,2639679,2808105,3030492,3031727,3099339,3102690,3157997,3163385,3409768,3473664,3789297,3824397,3826598,3982105,4145649,4242694,4825814,4834826,5076063,5274259,5354217,5489107,5610758,5626464,5849793,5858327,6184364,6288451,6620437,7029176	
GCF_000524595.1__GCF_003429185.1	genome_wide	10	31	0	39	368	4	4	27	0	-8	793351,797124,2997710,3018686,4048625,4196153,4283774,4613425,5260812,5364422	60328,61246,522758,572305,835037,884832,1178891,1581707,1738152,1768994,1964203,2277192,2684887,2914035,2914043,2917976,2925954,2978118,2983710,3010217,3114001,3819164,4196656,4774731,5224789,5260907,5263087,5467202,5650565,6086503,6470205	
GCF_000524595.1__GCF_007559085.1	genome_wide	6	33	0	31	366	4	4	29	0	2	40863,42497,2886225,4031986,4169704,4281540	51905,260901,516906,818783,825084,909268,1145105,1218877,1702621,1753856,1840084,1973013,2005625,2546447,2576293,2945780,2956599,2964174,2990677,3079964,3214796,3217487,3407748,3802564,4170427,4638668,4977242,5114619,5305474,5433346,5706200,5717200,5798605	
