query	reference	ani	ani_uniform	af_query	af_reference	std_err	synteny_blocks	anchor_adjacency	breakpoint_count	het_shape	retention	ani_from_loss	ani_from_hist	enzyme_spread	enzyme_chi2	per_enzyme	n_anchors	n_chains	n_tags	max_block_anchors	mean_block_anchors	flag	query_asm	ref_asm	band	anim_ani	skani_ani
NZ_AXDW01000001.1	NZ_KB907925.1	87.8881	89.7284	0.5958	0.5963	0.09734	77	0.8219	347	4.604	0.2637	89.3534	92.6958	1.5387	2.7	AlfI:89.87,AloI:89.05,BcgI:89.63,FalI:90.59	1977	77	6870	98	21.79220779220779	INCONSISTENT	GCF_000474945.1	GCF_000382285.1	0.8-0.85	86.5986	84.78
NZ_WUBS01000001.1	JAATFX010000125.1	88.7453	88.7453	0.2603	0.2717	0.1926	50	0.518	362	inf	0.2198	88.5646	90.3013	1.4093	1.82	AlfI:88.88,AloI:87.69,BcgI:88.99,FalI:87.58	781	50	2083	32	8.78	INCONSISTENT	GCF_010131535.1	GCA_015654925.1	0.8-0.85	85.4406	83.28999999999999
NZ_SNXE01000001.1	NZ_CP049919.1	87.7297	89.4372	0.5715	0.459	0.116	64	0.7432	406	5.089	0.2532	89.0954	92.5129	2.2088	16.37	AlfI:89.65,AloI:90.84,BcgI:88.63,FalI:90.81	1599	64	5135	79	19.359375	INCONSISTENT	GCF_004362405.1	GCF_015624425.1	0.8-0.85	86.4164	84.78999999999999
NZ_CP049872.1	NZ_CP060719.1	83.3172	87.0205	0.6927	0.5977	0.1399	36	0.8062	176	4.219	0.1484	86.6862	91.7868	1.7792	4.94	AlfI:87.36,AloI:87.77,BcgI:86.61,FalI:88.38	909	36	5555	86	21.333333333333332	BELOW_DETECTION	GCF_011302915.1	GCF_014396975.1	0.8-0.85	85.279	83.17999999999999
NZ_KB899636.1	CACYPY010000001.1	88.8973	90.1336	0.1528	0.1964	0.29304	19	0.4169	263	5.554	0.3054	89.7961	92.231	0.6269	0.16	AlfI:90.45,AloI:89.82,BcgI:90.09,FalI:90.08	460	19	721	26	10.894736842105264	INCONSISTENT	GCF_000378405.1	GCA_902776415.1	0.8-0.85	86.6571	84.34
NZ_UGTV01000015.1	NZ_NXGB01000001.1	86.6197	88.9999	0.4122	0.4068	0.31479	18	0.5529	131	3.93	0.2531	88.6271	92.2672	1.2579	1.18	AlfI:88.49,AloI:89.64,BcgI:88.38,FalI:89.62	301	18	768	17	10.0	INCONSISTENT	GCF_900454865.1	GCF_002850605.1	0.8-0.85	85.9718	84.36
CACNXK010000001.1	CACLBJ010000001.1	86.3549	88.39	0.3211	0.3152	0.54311	7	0.7838	16	4.8	0.241	88.0388	91.4368	2.7865	0.63	AlfI:87.63,AloI:90.41,BcgI:89.27,FalI:88.15	89	7	288	20	9.285714285714286	INCONSISTENT	GCA_902624425.1	GCA_902605165.1	0.8-0.85	84.5042	83.31
WJYM01000001.1	NZ_OBEF01000039.1	83.44	87.59	0.5031	0.5014	0.16412	44	0.7133	211	3.454	0.1724	87.1909	92.1676	0.6002	0.96	AlfI:87.96,AloI:87.48,BcgI:87.36,FalI:87.44	755	44	3627	64	12.931818181818182	BELOW_DETECTION	GCA_009668205.1	GCF_900215375.1	0.8-0.85	85.2956	84.31
NZ_CP025785.1	NZ_CP014349.1	85.6306	85.6306	0.8502	0.659	0.40696	1	0.9655	4	inf	0.146	85.4683	88.5437	4.5475	1.87	AlfI:86.28,AloI:84.07,BcgI:81.73,FalI:86.01	118	1	814	113	113.0	BELOW_DETECTION	GCF_003076595.1	GCF_001660005.1	0.8-0.85	84.537	83.54
NC_022079.2	NZ_AYOU01000001.1	85.9411	85.9411	0.854	0.4491	0.43844	4	0.9604	4	inf	0.1577	85.7755	88.5122	2.9831	0.57	AlfI:84.02,AloI:87.01,BcgI:86.27,FalI:86.00	103	4	662	46	25.25	BELOW_DETECTION	GCF_000445425.4	GCF_000500065.1	0.8-0.85	84.4248	83.33
NC_022079.2	NZ_AYOT01000001.1	85.6481	85.6481	0.8885	0.468	0.43975	3	0.97	3	inf	0.1492	85.4962	88.1895	5.0954	1.71	AlfI:85.58,AloI:88.27,BcgI:83.18,FalI:85.48	101	3	691	47	33.333333333333336	BELOW_DETECTION	GCF_000445425.4	GCF_000500045.1	0.8-0.85	84.4408	83.39
NZ_AOGY02000089.1	NZ_RQFG01000005.1	83.2698	87.1529	0.551	0.577	0.21062	21	0.7052	163	3.497	0.1893	86.6915	92.0105	0.9696	1.12	AlfI:86.84,AloI:87.09,BcgI:86.51,FalI:87.48	605	21	2412	54	19.571428571428573	BELOW_DETECTION	GCF_000332455.1	GCF_004769235.1	0.8-0.85	84.8097	84.49
NZ_JAATLJ010000001.1	NZ_JAATLK010000001.1	68.9241	85.0357	0.6277	0.6569	0.35648	5	0.7516	38	1.631	0.112	84.3825	93.8058	1.074	0.32	AlfI:85.70,AloI:84.63,BcgI:84.85,FalI:84.92	158	5	1251	79	24.0	BELOW_DETECTION	GCF_011812965.1	GCF_011812995.1	0.8-0.85	84.1648	82.67
JAAAOH010000095.1	JAAAOR010000028.1	90.3554	90.3554	0.0509	0.0825	0.41085	17	0.3184	182	inf	0.3027	90.34	90.9662	3.5501	3.03	AlfI:90.72,AloI:91.25,BcgI:89.56,FalI:93.11	422	17	338	8	6.0	ok	GCA_009908925.1	GCA_009908735.1	0.8-0.85	85.9864	84.32
NZ_CP016757.1	NZ_KK073872.1	85.8662	88.3864	0.5708	0.5995	0.16445	38	0.6642	318	4.472	0.2117	88.0043	91.631	2.7838	11.22	AlfI:88.58,AloI:86.27,BcgI:89.06,FalI:86.73	948	38	3097	121	17.55263157894737	INCONSISTENT	GCF_001701045.1	GCF_000585335.1	0.8-0.85	86.2714	84.05
CP074691.1	JAESII010000001.1	80.6083	90.1128	0.2661	0.3483	0.235	24	0.5857	186	1.14	0.2996	89.0653	95.676	3.0022	3.35	AlfI:91.18,AloI:88.17,BcgI:90.45,FalI:89.43	450	24	1177	29	11.958333333333334	INCONSISTENT	GCA_018398915.1	GCA_016756725.1	0.8-0.85	86.4448	84.42
DATY01000014.1	CACJKA010000001.1	87.7928	87.7928	0.3139	0.3805	0.52469	8	0.6562	33	inf	0.2099	87.8583	87.4194	1.8272	0.39	AlfI:87.49,AloI:86.25,BcgI:88.08,FalI:88.07	119	8	334	22	8.875	ok	GCA_002504905.1	GCA_902593945.1	0.8-0.85	85.0669	84.46000000000001
CAJKRY010000001.1	NC_021353.1	86.2706	88.9821	0.4686	0.4241	0.29294	12	0.7106	79	3.601	0.2517	88.5175	92.6895	1.8835	1.87	AlfI:89.76,AloI:89.29,BcgI:87.88,FalI:89.16	296	12	899	40	17.166666666666668	INCONSISTENT	GCA_905202485.1	GCF_000404225.1	0.8-0.85	85.287	84.13000000000001
DAPJ01000017.1	DAYH01000030.1	86.1294	86.1294	0.1412	0.1382	0.82506	4	0.371	39	inf	0.1443	86.2604	84.854	5.1611	1.33	AlfI:88.37,AloI:87.31,BcgI:83.21,FalI:86.49	92	4	182	11	6.75	BELOW_DETECTION	GCA_002502095.1	GCA_002506825.1	0.8-0.85	83.3347	81.81
DAGQ01000099.1	NZKH01000001.1	93.1758	93.1758	0.02	0.0183	1.26232	2	0.2157	40	inf	0.5197	95.4184	85.983	1.4192	0.13	AloI:93.91,BcgI:92.49,FalI:92.69	117	2	19	8	6.5	INCONSISTENT	GCA_002498205.1	GCA_002692465.1	0.8-0.85	85.1482	84.45
LJKL01000016.1	JAAYKC010000058.1	86.9427	89.2251	0.1363	0.1315	0.49604	10	0.3261	124	4.046	0.2526	88.8701	92.268	3.2727	1.15	AlfI:89.40,AloI:90.55,BcgI:88.99,FalI:87.28	199	10	297	9	7.0	INCONSISTENT	GCA_001421175.1	GCA_012522645.1	0.8-0.85	84.2508	84.46000000000001
PNBI01000125.1	PMBU01000142.1	91.7112	91.7112	0.0985	0.1117	0.32949	21	0.3679	244	inf	0.3968	91.6289	92.3684	2.0937	1.92	AlfI:90.82,AloI:92.92,BcgI:91.28,FalI:92.57	499	21	419	21	7.761904761904762	ok	GCA_003135935.1	GCA_003153895.1	0.8-0.85	85.9377	83.95
WAPW01000001.1	NC_013926.1	90.8503	90.8503	0.0672	0.0723	0.69389	6	0.2991	75	inf	0.3552	90.893	89.6317	4.6322	2.63	AlfI:92.43,AloI:90.95,BcgI:92.33,FalI:87.80	169	6	109	9	6.333333333333333	ok	GCA_015520565.1	GCF_000025665.1	0.8-0.85	85.4165	83.58
JAAYDU010000012.1	DUJZ01000150.1	90.026	90.026	0.0836	0.0961	0.4889	13	0.253	189	inf	0.2983	89.9653	90.5278	2.0879	0.66	AlfI:90.24,AloI:89.43,BcgI:89.77,FalI:91.52	301	13	261	8	5.923076923076923	ok	GCA_012729095.1	GCA_013329565.1	0.8-0.85	84.3339	84.36
DATD01000017.1	LJKK01000055.1	88.4238	88.4238	0.3125	0.3108	0.26506	22	0.5533	180	inf	0.2155	88.2614	90.6596	2.0641	4.33	AlfI:87.96,AloI:89.67,BcgI:87.61,FalI:89.62	434	22	1189	24	11.136363636363637	INCONSISTENT	GCA_002504525.1	GCA_001421185.1	0.8-0.85	84.8525	83.0
CACEWA010000001.1	PAQE01000003.1	87.9687	87.9687	0.0842	0.0751	0.71804	5	0.2917	68	inf	0.2015	87.6699	89.7313	6.2418	2.49	AlfI:89.37,AloI:83.13,BcgI:89.36,FalI:85.41	125	5	174	9	6.6	ok	GCA_902563095.1	GCA_002709705.1	0.8-0.85	83.2679	81.99
NZRR01000013.1	PBHR01000001.1	86.8658	91.5947	0.0484	0.043	1.04307	3	0.2333	46	1.352	0.4166	90.4409	95.7654	4.2845	0.91	AlfI:92.60,AloI:88.60,BcgI:88.97,FalI:92.89	96	3	49	7	5.666666666666667	INCONSISTENT	GCA_002696315.1	GCA_002720275.1	0.8-0.85	83.8392	81.99
PBKJ01000001.1	QQSJ01000001.1	84.9641	90.3943	0.1525	0.1682	0.31213	21	0.4356	184	1.68	0.3097	89.5072	95.2188	1.7932	0.6	AlfI:90.20,AloI:88.99,BcgI:90.55,FalI:90.78	353	21	623	17	7.761904761904762	INCONSISTENT	GCA_002722135.1	GCA_003602635.1	0.8-0.85	84.8781	84.5
JACIWB010000001.1	JACIWA010000001.1	92.2864	92.2864	0.0062	0.0083	1.89287	1	0.082	56	inf	0.469	93.3899	88.7461	3.5632	0.72	AloI:96.30,FalI:92.73	99	1	11	6	6.0	ok	GCA_014361245.1	GCA_014361195.1	0.8-0.85	83.3188	81.63
DTDX01000054.1	JAGTQY010000001.1	88.6763	88.6763	0.3461	0.3249	0.41304	17	0.6442	58	inf	0.2643	88.5745	89.7899	10.0266	2.74	AlfI:89.04,AloI:90.98,BcgI:80.95,FalI:88.70	204	17	470	15	7.176470588235294	ok	GCA_011369655.1	GCA_018396815.1	0.8-0.85	85.6785	84.63000000000001
NC_014160.1	DSJT01000024.1	89.5697	89.5697	0.1756	0.1747	0.51899	6	0.4133	88	inf	0.281	89.3289	91.4912	1.5942	0.31	AlfI:89.46,AloI:90.67,BcgI:89.08,FalI:89.87	151	6	253	16	11.333333333333334	ok	GCF_000092185.1	GCA_011053855.1	0.8-0.85	85.4453	84.69
DAHJ01000032.1	JABUBF010000001.1	88.6538	88.6538	0.129	0.1332	1.02946	2	0.4324	21	inf	0.2544	88.1221	92.5574	2.214	0.21	AlfI:87.69,AloI:89.38,BcgI:89.90,FalI:88.13	56	2	78	12	9.0	ok	GCA_002495905.1	GCA_013306035.1	0.8-0.85	83.1308	82.95
NSIR01000001.1	SYJQ01000016.1	89.7071	89.7071	0.1586	0.1637	0.76699	2	0.3398	68	inf	0.3053	90.3889	84.5947	5.6332	0.96	AlfI:88.56,AloI:90.36,BcgI:84.84,FalI:90.47	113	2	108	32	18.5	INCONSISTENT	GCA_002737445.1	GCA_005798405.1	0.8-0.85	85.1532	83.77
DAXV01000020.1	NC_019791.1	88.715	88.715	0.1379	0.1321	0.80886	5	0.4154	38	inf	0.2624	88.8519	87.5653	8.9951	2.13	AlfI:90.69,AloI:93.10,BcgI:84.10,FalI:88.26	96	5	119	9	6.4	ok	GCA_002506595.1	GCF_000317795.1	0.8-0.85	85.7561	83.56
JAFGLT010000017.1	LFWV01000045.1	93.694	93.694	0.0063	0.0155	1.22982	2	0.1667	45	inf	0.5381	94.2131	92.3746	1.7982	0.2	AlfI:95.03,BcgI:93.23,FalI:94.44	90	2	19	6	5.5	ok	GCA_016927895.1	GCA_001273335.1	0.8-0.85	84.7557	82.56
JAFGNM010000094.1	LFWV01000045.1	91.9496	91.9496	0.0164	0.047	1.05459	3	0.2295	47	inf	0.4242	92.2893	90.4421	6.8697	2.43	AlfI:96.88,AloI:90.01,BcgI:91.07,FalI:91.31	109	3	38	6	5.666666666666667	ok	GCA_016927015.1	GCA_001273335.1	0.8-0.85	85.1495	83.04
JABDBR010000001.1	NZ_FUYK01000019.1	88.2683	88.2683	0.1629	0.1438	0.67127	5	0.4933	38	inf	0.233	88.0857	90.1936	5.8192	1.73	AlfI:90.21,AloI:89.57,BcgI:84.39,FalI:88.32	100	5	191	13	8.4	ok	GCA_013288545.1	GCF_900167955.1	0.8-0.85	84.9727	83.55
MAGU01000001.1	MAGT01000001.1	89.1267	89.1267	0.2877	0.2606	0.31312	17	0.5894	108	inf	0.2465	88.9812	91.0777	4.3396	5.01	AlfI:87.54,AloI:91.88,BcgI:88.84,FalI:89.71	328	17	743	23	10.117647058823527	INCONSISTENT	GCA_001717025.1	GCA_001717035.1	0.8-0.85	84.8388	82.37
SYJQ01000016.1	CM001158.1	88.4057	88.4057	0.247	0.1765	0.67552	4	0.5342	34	inf	0.2432	88.1015	91.1867	9.4142	2.92	AlfI:91.48,AloI:86.04,BcgI:82.07,FalI:89.04	106	4	187	17	10.75	ok	GCA_005798405.1	GCA_000204585.1	0.8-0.85	85.0816	84.17
DTGB01000128.1	JAGTRF010000001.1	90.0592	90.0592	0.0759	0.086	0.67902	8	0.3333	76	inf	0.332	90.2623	88.8199	3.1638	1.4	AlfI:91.89,AloI:92.92,FalI:89.76	195	8	134	8	5.75	ok	GCA_011338225.1	GCA_018396775.1	0.8-0.85	85.1653	83.81
JADHUF010000053.1	JABSRD010000001.1	91.2265	91.2265	0.0378	0.0249	1.44547	2	0.1569	43	inf	0.4077	90.8419	92.5323	6.7468	0.68	AlfI:93.75,AloI:87.00,FalI:91.82	89	2	26	5	5.0	ok	GCA_016784625.1	GCA_013215285.1	0.8-0.85	85.4912	84.88
SCVO01000001.1	JAENJF010000072.1	90.6265	90.6265	0.0311	0.0388	0.94563	4	0.2045	70	inf	0.3367	91.3226	84.7137	4.3657	0.76	AlfI:91.21,AloI:92.71,BcgI:91.29,FalI:88.35	151	4	58	6	5.5	INCONSISTENT	GCA_004322465.1	GCA_016844685.1	0.8-0.85	85.0812	84.39
DTEE01000081.1	JAFNIT010000016.1	90.6676	90.6676	0.1023	0.127	0.56077	8	0.5625	42	inf	0.3447	90.9648	88.6284	2.8087	0.86	AlfI:90.83,AloI:92.62,BcgI:90.81,FalI:89.81	137	8	171	14	7.75	ok	GCA_011362045.1	GCA_017601345.1	0.8-0.85	85.876	84.39
JAAOZN010000056.1	DTLX01000057.1	89.792	89.792	0.1454	0.1583	0.42519	16	0.4532	111	inf	0.2963	89.9863	88.8004	3.2663	3.12	AlfI:89.28,AloI:87.80,BcgI:88.03,FalI:91.06	274	16	352	11	6.75	ok	GCA_011605775.1	GCA_011355215.1	0.8-0.85	86.1317	84.00999999999999
JAGTQY010000001.1	JAGTRF010000001.1	88.6497	88.6497	0.3482	0.3939	0.40191	13	0.5399	98	inf	0.2625	88.5205	89.8261	1.2016	0.17	AlfI:88.39,AloI:88.36,BcgI:87.59,FalI:88.79	223	13	499	20	9.846153846153848	ok	GCA_018396815.1	GCA_018396775.1	0.8-0.85	85.4765	84.14
JAAOZK010000008.1	DRZN01000063.1	87.9945	87.9945	0.1938	0.0435	1.36367	1	0.3103	20	inf	0.2211	87.5779	91.5899	5.5377	4.01	AlfI:93.03,FalI:87.49	35	1	49	10	10.0	ok	GCA_011605825.1	GCA_011372955.1	0.8-0.85	85.6502	84.37
WUQR01000001.1	BEHE01000001.1	87.8037	87.8037	0.249	0.31	0.42762	8	0.5057	87	inf	0.1949	87.7728	89.1266	3.6623	4.2	AlfI:89.53,AloI:89.03,BcgI:85.87,FalI:88.89	178	8	506	24	12.125	BELOW_DETECTION	GCA_009889515.1	GCA_002898395.1	0.8-0.85	85.2305	82.8
BBCS01000001.1	BBDO01000001.1	87.0526	87.0526	0.1884	0.202	0.5653	8	0.4098	72	inf	0.1772	87.1106	87.3405	2.6681	0.98	AlfI:86.02,AloI:88.34,BcgI:85.67,FalI:87.64	138	8	329	10	7.25	BELOW_DETECTION	GCA_001316125.1	GCA_001316285.1	0.8-0.85	84.0199	83.15
JAFYXV010000002.1	JAGCDY010000003.1	87.665	89.6704	0.1612	0.1605	0.33717	22	0.3791	226	4.046	0.2914	89.2246	92.3054	2.9618	4.01	AlfI:91.08,AloI:90.16,BcgI:90.51,FalI:88.11	376	22	599	14	7.272727272727272	INCONSISTENT	GCA_017557885.1	GCA_017650925.1	0.8-0.85	85.0324	84.28999999999999
JAFGBE010000140.1	DJVC01000124.1	93.2949	93.2949	0.0056	0.0049	1.18031	2	0.1101	97	inf	0.532	94.702	88.9623	5.5467	0.95	AlfI:95.83,BcgI:90.29,FalI:93.37	213	2	22	8	7.0	ok	GCA_016933315.1	GCA_002440765.1	0.8-0.85	85.0326	84.28
JAGCNV010000093.1	DBYC01000036.1	92.5	92.5	0.0405	0.0566	0.43454	16	0.1961	332	inf	0.4598	92.2341	93.4835	1.9444	0.43	AlfI:91.10,AloI:93.04,BcgI:92.35,FalI:92.90	465	16	213	9	6.0625	ok	GCA_017645765.1	GCA_002310035.1	0.8-0.85	87.1384	84.02
CAJQOS010000001.1	NZ_CACVBO010000001.1	89.748	90.255	0.2685	0.1661	0.1839	59	0.5507	359	10.91	0.299	90.0671	91.6818	1.087	1.03	AlfI:90.03,AloI:91.12,BcgI:90.14,FalI:90.83	895	59	1733	23	8.457627118644067	INCONSISTENT	GCA_905479975.1	GCF_902728235.1	0.8-0.85	86.3562	83.53
SXMN01000035.1	SIBF01000062.1	91.8755	91.8755	0.1023	0.121	0.19396	67	0.4514	491	inf	0.4052	91.9999	91.273	0.7294	0.33	AlfI:91.85,AloI:91.53,BcgI:91.87,FalI:92.25	1137	67	1141	14	7.029850746268656	ok	GCA_005777315.1	GCA_009695275.1	0.8-0.85	87.3729	84.14
VHCJ01000001.1	CAIOYO010000001.1	90.6265	91.3575	0.1537	0.1671	0.19532	51	0.4561	465	6.784	0.3664	91.0547	92.8386	3.0188	4.06	AlfI:92.02,AloI:89.00,BcgI:91.41,FalI:91.56	904	51	1270	39	8.647058823529411	INCONSISTENT	GCA_016871755.1	GCA_903862595.1	0.8-0.85	86.1238	84.58
JAFAUY010000286.1	JAFBAP010000131.1	91.1894	91.1894	0.0931	0.0708	0.26375	38	0.3772	355	inf	0.3553	91.3516	90.1563	1.4958	1.39	AlfI:92.01,AloI:91.21,BcgI:90.87,FalI:90.52	856	38	692	11	6.657894736842105	ok	GCA_019243005.1	GCA_019247695.1	0.8-0.85	86.457	84.78999999999999
NZ_CP049143.1	NZ_QNRR01000001.1	85.4951	88.0778	0.6949	0.6848	0.08662	89	0.5244	1852	4.604	0.1963	87.7274	91.9375	1.3974	9.92	AlfI:88.01,AloI:87.65,BcgI:87.81,FalI:89.05	3895	89	11886	205	23.9438202247191	BELOW_DETECTION	GCF_011044495.1	GCF_003315205.1	0.8-0.85	86.3309	83.47
CAIKZE010000001.1	CAIPAT010000001.1	93.7047	94.5875	0.061	0.0536	0.20673	57	0.2972	693	2.444	0.609	94.0788	95.6237	0.8725	0.99	AlfI:94.37,AloI:94.93,BcgI:94.37,FalI:95.24	1316	57	612	12	6.140350877192983	INCONSISTENT	GCA_903831825.1	GCA_903863035.1	0.8-0.85	87.7278	84.68
PAPL01000001.1	CACJBM010000001.1	88.3992	91.2015	0.0957	0.145	0.41975	13	0.4439	109	2.305	0.3752	90.4286	94.5677	2.761	1.28	AlfI:91.11,AloI:88.94,BcgI:91.70,FalI:91.63	258	13	304	17	7.6923076923076925	INCONSISTENT	GCA_002708885.1	GCA_902591645.1	0.8-0.85	84.9859	84.43
DOEU01000037.1	DDID01000052.1	94.3477	94.3477	0.0426	0.0528	0.5144	8	0.52	48	inf	0.5906	95.1182	92.4619	5.796	1.46	AlfI:95.14,AloI:89.38,BcgI:94.29,FalI:95.18	165	8	92	12	7.5	INCONSISTENT	GCA_003532555.1	GCA_002338345.1	0.8-0.85	86.6212	84.31
JAFSTA010000109.1	JAFYDR010000073.1	92.0267	92.0267	0.0512	0.0665	0.27408	34	0.2497	601	inf	0.4166	91.9693	92.3134	0.7517	0.22	AlfI:92.22,AloI:92.04,BcgI:92.11,FalI:91.47	979	34	567	23	6.882352941176471	ok	GCA_017450695.1	GCA_017544725.1	0.8-0.85	86.6596	84.44
SHUI01000040.1	SYKU01000074.1	94.0039	94.0039	0.2819	0.2183	0.10519	197	0.6204	750	inf	0.5604	93.9682	94.1133	0.836	2.26	AlfI:93.60,AloI:94.43,BcgI:94.12,FalI:93.61	2268	197	2552	18	7.223350253807107	ok	GCA_009697455.1	GCA_005808865.1	0.85-0.9	91.3517	89.32
PNKE01000014.1	JACZJQ010000243.1	92.8435	93.1062	0.4682	0.4099	0.09699	176	0.7241	594	9.871	0.49	92.8425	93.9535	0.1982	0.14	AlfI:93.15,AloI:93.24,BcgI:93.07,FalI:93.04	2237	176	3693	29	9.857954545454543	INCONSISTENT	GCA_013822245.1	GCA_014860455.1	0.85-0.9	89.217	89.17
SHUF01000044.1	JADJUS010000001.1	91.604	92.0156	0.6478	0.412	0.11064	89	0.834	260	9.044	0.4065	91.7685	93.195	1.3707	7.99	AlfI:92.61,AloI:92.94,BcgI:91.56,FalI:92.23	1644	89	3460	71	15.674157303370787	INCONSISTENT	GCA_009694745.1	GCA_016716905.1	0.85-0.9	88.9643	88.58
DSKT01000005.1	DSHT01000134.1	91.3697	91.3697	0.1355	0.1304	0.24423	50	0.2889	598	inf	0.3692	91.3598	91.4344	1.2369	1.01	AlfI:91.21,AloI:91.41,BcgI:91.18,FalI:92.42	850	50	795	10	5.86	ok	GCA_011053445.1	GCA_011056055.1	0.85-0.9	86.3858	86.95
VXZQ01000010.1	JAAXHG010000111.1	90.3189	92.0713	0.628	0.5488	0.09072	109	0.8058	446	2.863	0.4138	91.4635	94.5521	1.7904	7.04	AlfI:92.18,AloI:91.46,BcgI:92.03,FalI:93.25	2314	109	5319	82	17.98165137614679	INCONSISTENT	GCA_009845425.1	GCA_012270995.1	0.85-0.9	89.2019	87.42
JAAYAJ010000028.1	JAFGSS010000003.1	91.3686	91.8556	0.3085	0.2794	0.19022	54	0.5455	355	8.183	0.4051	91.5941	92.9578	1.4464	2.01	AlfI:92.00,AloI:90.79,BcgI:92.06,FalI:92.24	870	54	1238	28	8.88888888888889	INCONSISTENT	GCA_012719455.1	GCA_016934555.1	0.85-0.9	87.5163	86.82
SOIV01000273.1	WVXO01000001.1	92.5415	92.5415	0.1366	0.106	0.32916	22	0.3905	245	inf	0.4774	92.7094	92.0444	2.1188	0.73	AlfI:91.32,AloI:93.44,BcgI:92.35,FalI:92.58	583	22	366	14	8.136363636363637	ok	GCA_004377005.1	GCA_011773465.1	0.85-0.9	89.4883	88.73
CABWKN010000001.1	NJBL01000021.1	91.6711	91.6711	0.2693	0.2671	0.25041	43	0.5453	216	inf	0.4091	91.6937	91.5195	0.8569	0.65	AlfI:91.22,AloI:91.92,BcgI:92.08,FalI:91.41	611	43	738	14	7.023255813953488	ok	GCA_902505605.1	GCA_005223145.1	0.85-0.9	88.2743	88.11
PKWU01000040.1	PLOT01000304.1	92.3572	93.4486	0.3638	0.3346	0.11625	121	0.6192	653	2.948	0.5146	92.9124	95.0061	0.7137	1.79	AlfI:93.72,AloI:93.35,BcgI:93.25,FalI:93.96	1793	121	2438	42	9.776859504132233	INCONSISTENT	GCA_003132145.1	GCA_003142215.1	0.85-0.9	89.2449	88.69
DSBM01000141.1	JAFGNX010000190.1	91.2066	91.2066	0.0918	0.1194	0.39136	20	0.3441	183	inf	0.3642	91.0548	91.8507	5.1227	4.03	AlfI:92.70,AloI:91.28,BcgI:90.89,FalI:87.58	377	20	327	8	5.8	ok	GCA_011049425.1	GCA_016926835.1	0.85-0.9	85.993	86.00999999999999
PMYB01000229.1	PLMF01000045.1	94.3873	94.623	0.2307	0.1809	0.10765	154	0.5164	1049	7.405	0.609	94.3687	95.1098	0.8846	2.63	AlfI:95.08,AloI:94.19,BcgI:94.50,FalI:94.45	2377	154	2156	22	8.272727272727273	ok	GCA_003170915.1	GCA_003142355.1	0.85-0.9	90.9886	88.53
VXME01000007.1	WTFV01000097.1	90.5779	91.817	0.4382	0.3928	0.09026	169	0.6176	1140	4.046	0.3941	91.3424	94.0161	2.1569	12.25	AlfI:92.09,AloI:91.40,BcgI:91.62,FalI:93.56	3121	169	5539	49	11.893491124260356	INCONSISTENT	GCA_009861545.1	GCA_011523845.1	0.85-0.9	88.7272	86.32
JAGOCP010000245.1	JAGPDF010000091.1	89.9246	90.9922	0.205	0.1658	0.16408	81	0.5733	399	5.395	0.3397	90.6821	92.8559	1.7539	2.2	AlfI:90.82,AloI:90.40,BcgI:90.91,FalI:92.16	1251	81	1914	24	7.617283950617284	INCONSISTENT	GCA_017998715.1	GCA_018057705.1	0.85-0.9	86.238	85.39999999999999
PLXE01000036.1	PMAT01000096.1	92.5151	93.0447	0.5603	0.5825	0.0819	146	0.7733	658	5.962	0.4848	92.6767	94.2305	0.8165	6.55	AlfI:93.58,AloI:93.08,BcgI:92.76,FalI:92.91	3005	146	5261	80	16.36986301369863	INCONSISTENT	GCA_003151335.1	GCA_003152695.1	0.85-0.9	90.9686	89.92
JAFAZX010000057.1	JAFAVK010000104.1	89.1873	92.7264	0.5123	0.593	0.07877	131	0.8273	500	1.392	0.4616	91.7626	95.843	1.9278	10.99	AlfI:92.35,AloI:91.04,BcgI:92.96,FalI:92.74	2991	131	6386	114	19.282442748091604	INCONSISTENT	GCA_019239425.1	GCA_019242475.1	0.85-0.9	88.6943	88.74
PCAP01000001.1	PBML01000001.1	91.2209	91.7261	0.6048	0.3065	0.18583	51	0.9287	34	8.183	0.3936	91.4695	92.9775	0.6794	0.47	AlfI:92.02,AloI:92.21,BcgI:91.61,FalI:91.53	539	51	1309	24	9.68627450980392	INCONSISTENT	GCA_002731215.1	GCA_002722645.1	0.85-0.9	89.0354	89.16
WTFV01000097.1	WTGR01000027.1	92.1626	93.026	0.0693	0.098	0.17024	87	0.2575	1341	4.046	0.4806	92.564	94.5739	1.8658	3.2	AlfI:93.53,AloI:92.65,BcgI:92.78,FalI:94.52	1994	87	1232	14	6.344827586206897	INCONSISTENT	GCA_011523845.1	GCA_011523485.1	0.85-0.9	88.0908	87.3
PLZX01000088.1	PMTR01000118.1	93.3649	93.4447	0.3246	0.2791	0.09425	210	0.6258	953	18.063	0.5144	93.3067	93.8464	0.5591	2.3	AlfI:93.83,AloI:93.27,BcgI:93.28,FalI:93.42	2869	210	3583	24	8.59047619047619	ok	GCA_003152325.1	GCA_003167255.1	0.85-0.9	90.2721	88.8
JADJVF010000001.1	JADKBZ010000001.1	88.9871	92.0594	0.6195	0.4362	0.10903	73	0.759	421	1.781	0.4204	91.2283	95.2863	3.6984	25.42	AlfI:89.98,AloI:91.36,BcgI:91.93,FalI:93.68	1785	73	3823	78	19.16438356164383	INCONSISTENT	GCA_016716705.1	GCA_016714815.1	0.85-0.9	88.7435	89.12
