query	reference	fastani_ani	label	q_species	r_species	q_genus	r_genus	bcgi_raw_ani	bcgi_mash_ani	bcgi_af_q	bcgi_af_r	bcgi_shared_tags	cjepi_raw_ani	cjepi_mash_ani	cjepi_af_q	cjepi_af_r	cjepi_shared_tags	multi_raw_ani	multi_mash_ani	multi_af_q	multi_af_r	multi_shared_tags
GCF_900113485.1	GCF_001423295.1	0.865857	mid_high	s__Methylobacterium gossipiicola	s__Methylobacterium sp001423295	g__Methylobacterium	g__Methylobacterium	0.961546	0.930152	0.111440	0.102691	603	0.956401	0.918543	0.113594	0.108222	666	1.000000	0.866505	0.027518	0.026406	10111
GCF_018390575.1	GCF_000348905.1	0.875881	mid_high	s__Bhargavaea sp018390575	s__Bhargavaea cecembensis	g__Bhargavaea	g__Bhargavaea	0.966894	0.947226	0.191071	0.178635	505	0.961029	0.938455	0.192472	0.187188	900	1.000000	0.895866	0.061617	0.058038	14864
GCF_001619585.1	GCF_900101985.1	0.846432	mid_high	s__Bhargavaea cecembensis_A	s__Bhargavaea beijingensis	g__Bhargavaea	g__Bhargavaea	0.957796	0.918662	0.072415	0.075752	194	0.950346	0.904890	0.073358	0.080176	364	1.000000	0.844389	0.014465	0.015334	3626
GCF_902153245.2	GCF_902502825.2	0.835337	mid_high	s__Pseudorhizobium endolithicum	s__Pseudorhizobium flavum	g__Pseudorhizobium	g__Pseudorhizobium	0.961968	0.899169	0.041927	0.037576	235	0.956219	0.883957	0.049265	0.038550	335	1.000000	0.831170	0.011038	0.009634	3851
GCA_002731655.1	GCA_003193815.1	0.944832	mid_high	s__UBA8886 sp002731655	s__UBA8886 sp003193815	g__UBA8886	g__UBA8886	0.977974	0.943985	0.145870	0.190149	166	0.977000	0.932972	0.131532	0.203721	219	1.000000	0.912469	0.078925	0.110411	5505
GCF_000012125.1	GCF_900169085.1	0.812668	mid_high	s__Chlamydia trachomatis	s__Chlamydia suis	g__Chlamydia	g__Chlamydia	0.962500	0.908886	0.056338	0.052083	20	0.955979	0.913037	0.098259	0.092937	175	1.000000	0.860108	0.022737	0.022837	1520
GCA_015486915.1	GCA_015493575.1	0.938501	mid_high	s__4572-130 sp015486915	s__4572-130 sp015493575	g__4572-130	g__4572-130	0.981351	0.956555	0.224367	0.276374	186	0.980076	0.952397	0.253375	0.301895	1370	1.000000	0.932600	0.148868	0.175188	29948
GCA_005877855.1	GCA_005877505.1	0.861010	mid_high	s__NS-12 sp005877855	s__NS-12 sp005877505	g__NS-12	g__NS-12	0.962807	0.923609	0.080693	0.093303	163	0.956164	0.910223	0.085620	0.091616	365	1.000000	0.863658	0.023935	0.026410	4793
GCA_017989485.1	GCA_017991555.1	0.829079	mid_high	s__JAGNPU01 sp017989485	s__JAGNPU01 sp017991555	g__JAGNPU01	g__JAGNPU01	0.958333	0.884090	0.029148	0.020591	39	0.951583	0.883740	0.055401	0.033882	179	1.000000	0.821951	0.009606	0.006709	1107
GCA_900550065.1	GCA_018713805.1	0.804817	mid_high	s__Aphodoplasma sp900550065	s__Aphodoplasma excrementigallinarum	g__Aphodoplasma	g__Aphodoplasma	0.958912	0.895530	0.035088	0.035573	54	0.949703	0.879454	0.036569	0.040724	81	1.000000	0.816365	0.006705	0.007164	859
GCF_003202035.1	GCF_005155025.1	0.910861	mid_high	s__Aquitalea magnusonii	s__Aquitalea aquatilis	g__Aquitalea	g__Aquitalea	0.968219	0.932544	0.115861	0.115116	412	0.967630	0.926866	0.142135	0.135575	984	1.000000	0.891775	0.053367	0.052799	14328
GCA_002898875.1	GCA_011054265.1	0.876525	mid_high	s__HRBIN26 sp002898875	s__HRBIN26 sp011054265	g__HRBIN26	g__HRBIN26	0.964569	0.923678	0.095430	0.079241	284	0.960370	0.909788	0.100550	0.076205	457	1.000000	0.870474	0.033101	0.027318	7415
GCF_016865425.1	GCF_017312725.1	0.902084	mid_high	s__Actinocatenispora thailandica	s__Actinocatenispora sp017312725	g__Actinocatenispora	g__Actinocatenispora	0.970076	0.943866	0.170521	0.161428	1438	0.965768	0.936500	0.188903	0.171616	1624	1.000000	0.899052	0.067463	0.062518	40280
GCF_018333215.1	GCF_007991515.1	0.813708	mid_high	s__Oceanobacillus sp018333215	s__Oceanobacillus sojae	g__Oceanobacillus	g__Oceanobacillus	0.960938	0.860515	0.011881	0.011173	12	0.949106	0.857076	0.022908	0.019416	147	1.000000	0.792455	0.003958	0.003446	909
GCA_011372845.1	GCA_003453535.1	0.939860	mid_high	s__UBA7930 sp011372845	s__UBA7930 sp003453535	g__UBA7930	g__UBA7930	0.977809	0.945437	0.237524	0.128153	376	0.976303	0.935030	0.247653	0.120917	422	1.000000	0.916353	0.143803	0.075109	14678
GCF_014207375.1	GCF_002009585.1	0.873235	mid_high	s__Arthrobacter_K sp014207375	s__Arthrobacter_K sp002009585	g__Arthrobacter_K	g__Arthrobacter_K	0.963641	0.928671	0.098742	0.105416	471	0.956720	0.921559	0.111334	0.129953	1056	1.000000	0.873169	0.031170	0.033675	11732
GCA_012963885.1	GCA_002697225.1	0.848643	mid_high	s__UBA9662 sp012963885	s__UBA9662 sp002697225	g__UBA9662	g__UBA9662	0.959034	0.914082	0.044221	0.092535	119	0.952013	0.912957	0.066949	0.135808	1123	1.000000	0.848649	0.011666	0.023731	5698
GCF_000938265.1	GCF_900177685.1	0.872420	mid_high	s__Agreia bicolorata	s__Agreia pratensis	g__Agreia	g__Agreia	0.960663	0.927520	0.094863	0.101938	626	0.961493	0.915190	0.096451	0.106348	655	1.000000	0.868809	0.027583	0.029611	9680
GCF_017874235.1	GCF_001307315.1	0.853886	mid_high	s__Halolamina salifodinae	s__Halolamina pelagica_B	g__Halolamina	g__Halolamina	0.961648	0.915502	0.068059	0.065844	176	0.958724	0.907431	0.082178	0.082097	332	1.000000	0.853989	0.020301	0.018421	5193
GCA_902554885.1	GCA_902631295.1	0.928363	mid_high	s__MED-G52 sp902554885	s__MED-G52 sp902631295	g__MED-G52	g__MED-G52	0.974609	0.940955	0.183066	0.124805	80	0.970180	0.935420	0.201481	0.151786	544	1.000000	0.900305	0.077815	0.058087	6743
GCA_018902755.1	GCA_018896025.1	0.935638	mid_high	s__SURF-10 sp018902755	s__SURF-10 sp018896025	g__SURF-10	g__SURF-10	0.975594	0.951246	0.202924	0.217555	347	0.970430	0.937852	0.177305	0.196696	1250	1.000000	0.912268	0.089307	0.097369	24303
GCF_009911695.1	GCA_910589695.1	0.880308	mid_high	s__QWKK01 sp009911695	s__QWKK01 sp910589695	g__QWKK01	g__QWKK01	0.967913	0.924982	0.077724	0.105760	224	0.959571	0.910451	0.076449	0.103881	273	1.000000	0.871643	0.027926	0.034109	5509
GCA_004554085.1	GCA_004557125.1	0.904908	mid_high	s__SFTH01 sp004554085	s__SFTH01 sp004557125	g__SFTH01	g__SFTH01	0.973871	0.941559	0.159357	0.149029	476	0.972323	0.930743	0.159891	0.148583	645	1.000000	0.904643	0.078474	0.072731	17072
GCF_003206045.1	GCA_002695065.1	0.907008	mid_high	s__Salinicola lusitanus	s__Salinicola sp002695065	g__Salinicola	g__Salinicola	0.967075	0.945650	0.177884	0.173462	970	0.962144	0.932188	0.164643	0.156006	1356	1.000000	0.894648	0.059192	0.056075	22264
GCF_900107455.1	GCF_900188485.1	0.914730	mid_high	s__Asanoa ishikariensis	s__Asanoa hainanensis	g__Asanoa	g__Asanoa	0.970829	0.949560	0.193534	0.204774	2119	0.966595	0.939252	0.184988	0.203334	2366	1.000000	0.905744	0.075536	0.080313	56645
GCF_016862515.1	GCF_900107455.1	0.864999	mid_high	s__Asanoa iriomotensis	s__Asanoa ishikariensis	g__Asanoa	g__Asanoa	0.963158	0.936356	0.134472	0.126587	1386	0.958579	0.924851	0.141422	0.122205	1563	1.000000	0.878045	0.038079	0.035587	26687
GCA_017547245.1	GCA_017847995.1	0.836510	mid_high	s__Heteroruminococcus sp017547245	s__Heteroruminococcus sp017847995	g__Heteroruminococcus	g__Heteroruminococcus	0.960029	0.901232	0.046995	0.038256	43	0.952452	0.900428	0.075549	0.061182	148	1.000000	0.838817	0.014447	0.011077	1005
GCA_003158475.1	GCA_003154425.1	0.853059	mid_high	s__Fen-1273 sp003158475	s__Fen-1273 sp003154425	g__Fen-1273	g__Fen-1273	0.959316	0.915512	0.067409	0.066520	212	0.953661	0.906087	0.077784	0.080663	438	1.000000	0.845201	0.015672	0.015050	5067
GCA_003132805.1	GCA_003131685.1	0.836176	mid_high	s__Palsa-851 sp003132805	s__Palsa-851 sp003131685	g__Palsa-851	g__Palsa-851	0.957386	0.905193	0.055118	0.042031	231	0.951078	0.887408	0.058477	0.039130	268	1.000000	0.829816	0.011978	0.008340	2821
GCF_014174395.1	GCF_014174215.1	0.962181	mid_high	s__Gluconacetobacter aggeris	s__Gluconacetobacter tumulicola	g__Gluconacetobacter	g__Gluconacetobacter	0.984350	0.956246	0.245305	0.247826	1254	0.980686	0.945853	0.230031	0.233542	1607	1.000000	0.930104	0.150255	0.150799	52762
GCF_003350405.1	GCF_014174165.1	0.949542	mid_high	s__Gluconacetobacter liquefaciens	s__Gluconacetobacter dulcium	g__Gluconacetobacter	g__Gluconacetobacter	0.977514	0.955273	0.242818	0.235258	1141	0.976501	0.943757	0.222545	0.215562	1532	1.000000	0.923531	0.129013	0.123225	44915
GCA_016178055.1	GCA_016196885.1	0.798604	mid	s__JACOUC01 sp016178055	s__JACPWU01 sp016196885	g__JACOUC01	g__JACPWU01	0.000000	0.848678	0.008489	0.007331	0	0.963300	0.854693	0.019231	0.020336	110	1.000000	0.819296	0.007307	0.007853	1212
GCA_002696735.1	GCF_000260985.4	0.900413	mid_high	s__Methylophaga sp002696735	s__Methylophaga nitratireducenticrescens	g__Methylophaga	g__Methylophaga	0.969727	0.948898	0.186372	0.203822	320	0.965164	0.947072	0.235366	0.243780	1548	1.000000	0.906770	0.078151	0.081653	16465
GCF_009908165.1	GCA_002423245.1	0.868565	mid_high	s__Frigidibacter albus	s__Frigidibacter sp002423245	g__Frigidibacter	g__Frigidibacter	0.962182	0.917717	0.063294	0.081580	314	0.953132	0.903255	0.059679	0.090226	324	1.000000	0.855309	0.017121	0.023044	5329
GCF_016887965.1	GCF_002846495.1	0.842358	mid_high	s__Phycicoccus sp016887965	s__Phycicoccus duodecadis	g__Phycicoccus	g__Phycicoccus	0.960325	0.925025	0.075780	0.108771	408	0.953551	0.918370	0.102218	0.119153	484	1.000000	0.860930	0.020495	0.026327	7326
GCA_017610275.1	GCA_018819345.1	0.850349	mid_high	s__CG1-02-33-12 sp017610275	s__CG1-02-33-12 sp018819345	g__CG1-02-33-12	g__CG1-02-33-12	0.000000	0.902201	0.048780	0.039216	0	0.958535	0.906255	0.076667	0.082585	92	1.000000	0.841120	0.013547	0.013492	584
GCF_004015185.1	GCF_009928445.1	0.914857	mid_high	s__Clostridium_AR sp004015185	s__Clostridium_AR sp009928445	g__Clostridium_AR	g__Clostridium_AR	0.978284	0.938537	0.124736	0.156915	59	0.969884	0.951672	0.263047	0.279630	1996	1.000000	0.917610	0.109792	0.105523	33753
GCA_007693855.1	GCA_003567475.1	0.847292	mid_high	s__PWYM01 sp007693855	s__PWYM01 sp003567475	g__PWYM01	g__PWYM01	0.955990	0.916903	0.067147	0.072998	289	0.948866	0.908932	0.083115	0.088025	444	1.000000	0.841196	0.013239	0.013928	3403
GCA_902606175.1	GCA_902542325.1	0.924430	mid_high	s__GCA-2707915 sp902606175	s__GCA-2707915 sp902542325	g__GCA-2707915	g__GCA-2707915	0.965179	0.943495	0.166667	0.161290	35	0.969639	0.946481	0.237174	0.234326	527	1.000000	0.912061	0.091981	0.093532	7588
GCA_002313895.1	GCA_002710885.1	0.947855	mid_high	s__UBA1123 sp002313895	s__UBA1123 sp002710885	g__UBA1123	g__UBA1123	0.978547	0.957728	0.201198	0.332235	504	0.977877	0.950585	0.207859	0.333707	1788	1.000000	0.928668	0.114837	0.183727	32776
GCA_903934795.1	GCA_018970865.1	0.932732	mid_high	s__CAIZPE01 sp903934795	s__CAIZPE01 sp018970865	g__CAIZPE01	g__CAIZPE01	0.974688	0.953068	0.203109	0.244225	1163	0.973493	0.945759	0.218846	0.244230	1217	1.000000	0.920411	0.110680	0.120212	31856
GCF_014334095.1	GCF_000420305.1	0.819370	mid_high	s__Novosphingopyxis sp002683755	s__Novosphingopyxis baekryungensis	g__Novosphingopyxis	g__Novosphingopyxis	0.958627	0.905467	0.046134	0.051104	213	0.946241	0.892752	0.057611	0.053005	299	1.000000	0.831517	0.010238	0.010643	2629
GCF_000341735.1	GCF_000968535.2	0.951415	mid_high	s__Methylotuvimicrobium buryatense	s__Methylotuvimicrobium alcaliphilum	g__Methylotuvimicrobium	g__Methylotuvimicrobium	0.986386	0.960252	0.271337	0.289526	1313	0.982113	0.955103	0.287230	0.308213	2139	1.000000	0.938294	0.182104	0.193394	64099
GCF_009380215.1	GCF_009674495.1	0.860635	mid_high	s__Duganella sp009380215	s__Duganella alba	g__Duganella	g__Duganella	0.963081	0.924543	0.081650	0.097887	667	0.956626	0.905058	0.073234	0.081042	678	1.000000	0.864330	0.023854	0.026654	11696
GCA_013349735.1	GCA_015654615.1	0.765795	mid_high	s__Telmatospirillum sp013349735	s__Telmatospirillum sp015654615	g__Telmatospirillum	g__Telmatospirillum	0.000000	0.808296	0.004023	0.001167	0	0.936679	0.803824	0.007402	0.003388	31	1.000000	0.716969	0.000823	0.000264	127
GCA_016873905.1	GCA_005790965.1	0.864512	mid_high	s__QYQG01 sp016873905	s__QYQG01 sp005790965	g__QYQG01	g__QYQG01	0.960805	0.925469	0.082001	0.103418	118	0.955048	0.919207	0.106255	0.119923	248	1.000000	0.857485	0.019022	0.023212	1902
GCA_011390615.1	GCA_011390635.1	0.853382	mid_high	s__Desulfotignum sp011390615	s__Desulfotignum sp011390635	g__Desulfotignum	g__Desulfotignum	0.956782	0.905421	0.059269	0.039662	47	0.958004	0.913777	0.116148	0.081828	702	1.000000	0.857521	0.025084	0.017960	5043
GCA_002238605.1	GCA_009843625.1	0.880379	mid_high	s__BD2-11 sp002238605	s__BD2-11 sp009843625	g__BD2-11	g__BD2-11	0.964624	0.930202	0.102235	0.112299	462	0.955833	0.923139	0.118406	0.133070	909	1.000000	0.869501	0.027768	0.030976	10418
GCA_016188675.1	GCA_016235875.1	0.841095	mid_high	s__XYD2-FULL-41-16 sp016188675	s__XYD2-FULL-41-16 sp016235875	g__XYD2-FULL-41-16	g__XYD2-FULL-41-16	0.960795	0.906315	0.042902	0.058017	55	0.951962	0.905988	0.068942	0.090522	404	1.000000	0.843494	0.012529	0.016805	2754
GCA_015222355.1	GCA_013138655.1	0.944003	mid_high	s__Malonomonas sp015222355	s__Malonomonas sp013138655	g__Malonomonas	g__Malonomonas	0.983106	0.958489	0.297521	0.235887	468	0.980054	0.947872	0.268044	0.223507	947	1.000000	0.930206	0.168320	0.135429	24487
GCF_013410775.1	GCA_013299175.1	0.884162	mid_high	s__Sphaerotilus montanus	s__Sphaerotilus sp013299175	g__Sphaerotilus	g__Sphaerotilus	0.967345	0.934240	0.106192	0.139996	734	0.958652	0.914954	0.087430	0.115837	610	1.000000	0.881488	0.035263	0.045695	13145
GCA_009922685.1	GCA_903835265.1	0.904475	mid_high	s__UBA6136 sp009922685	s__UBA6136 sp903835265	g__UBA6136	g__UBA6136	0.966567	0.939631	0.135664	0.154730	229	0.961230	0.933579	0.152888	0.181105	1154	1.000000	0.889451	0.046688	0.054267	11084
GCF_003428165.1	GCF_014857925.1	0.906545	mid_high	s__Cysteiniphilum litorale	s__Cysteiniphilum marinum	g__Cysteiniphilum	g__Cysteiniphilum	0.967593	0.940363	0.141361	0.155620	162	0.963479	0.936709	0.180078	0.182070	790	1.000000	0.893509	0.056128	0.055525	10469
GCF_003096555.1	GCA_017988165.1	0.788022	mid_high	s__Giesbergeria sp003096555	s__Giesbergeria sp017988165	g__Giesbergeria	g__Giesbergeria	0.958036	0.861269	0.008104	0.017191	35	0.946014	0.845123	0.010568	0.022073	59	1.000000	0.774281	0.001494	0.003159	350
GCA_900553255.1	GCA_905198295.1	0.874691	mid_high	s__UMGS1591 sp900553255	s__UMGS1591 sp905198295	g__UMGS1591	g__UMGS1591	0.962109	0.916879	0.076960	0.063593	160	0.958710	0.901398	0.076697	0.063507	209	1.000000	0.851769	0.019440	0.016879	3416
GCF_014694315.1	GCF_001428005.1	0.839836	mid_high	s__Arthrobacter ipsi	s__Arthrobacter sp001428005	g__Arthrobacter	g__Arthrobacter	0.962233	0.901465	0.049146	0.037133	187	0.952437	0.894868	0.068454	0.050011	475	1.000000	0.833733	0.012927	0.009616	4192
GCF_018613795.1	GCF_002929275.1	0.838496	mid_high	s__Arthrobacter sp018613795	s__Arthrobacter sp002929275	g__Arthrobacter	g__Arthrobacter	0.962977	0.910782	0.055333	0.059870	249	0.951314	0.905347	0.072993	0.082590	620	1.000000	0.846804	0.014999	0.016801	5765
GCF_900103845.1	GCF_000349845.1	0.865205	mid_high	s__Pseudomonas jinjuensis	s__Pseudomonas sp000349845	g__Pseudomonas	g__Pseudomonas	0.966645	0.918563	0.070162	0.077691	475	0.960848	0.902181	0.071926	0.070643	578	1.000000	0.865117	0.025427	0.026263	10403
GCF_014201115.1	GCF_000340985.1	0.948133	mid_high	s__Nocardiopsis metallicus	s__Nocardiopsis valliformis	g__Nocardiopsis	g__Nocardiopsis	0.981562	0.961734	0.284610	0.303489	1583	0.977937	0.953702	0.273623	0.299964	3359	1.000000	0.936476	0.171966	0.187739	103558
GCA_905479295.1	GCA_002386945.1	0.902048	mid_high	s__UBA4575 sp905479295	s__UBA4575 sp002386945	g__UBA4575	g__UBA4575	0.969980	0.943329	0.185131	0.143665	127	0.963132	0.939656	0.216617	0.177472	438	1.000000	0.901926	0.076455	0.063917	5623
GCA_903905335.1	GCA_903910205.1	0.854547	mid_high	s__KS41 sp903905335	s__KS41 sp903910205	g__KS41	g__KS41	0.964939	0.915265	0.072502	0.060876	82	0.956460	0.915404	0.105015	0.098815	467	1.000000	0.860709	0.024475	0.021664	4196
GCF_001006285.1	GCF_006802875.1	0.954733	mid_high	s__Paraclostridium benzoelyticum	s__Paraclostridium bifermentans	g__Paraclostridium	g__Paraclostridium	0.979167	0.958444	0.272727	0.256579	39	0.979153	0.960653	0.339201	0.352197	1002	1.000000	0.941255	0.201557	0.206753	33918
GCF_006802875.1	GCF_000452245.2	0.962012	mid_high	s__Paraclostridium bifermentans	s__Paraclostridium bifermentans_A	g__Paraclostridium	g__Paraclostridium	0.973214	0.923726	0.092105	0.082353	14	0.984088	0.912236	0.094903	0.092150	270	1.000000	0.894440	0.057811	0.057308	9484
GCA_005787345.1	GCA_903827085.1	0.898674	mid_high	s__F1-20-MAGs160 sp005787345	s__F1-20-MAGs160 sp903827085	g__F1-20-MAGs160	g__F1-20-MAGs160	0.964304	0.939788	0.139769	0.151705	485	0.961996	0.937322	0.174217	0.194531	996	1.000000	0.890250	0.048581	0.053810	9351
GCA_005877345.1	GCA_014523525.1	0.946582	mid_high	s__TA-21 sp005877345	s__TA-21 sp014523525	g__TA-21	g__TA-21	0.980519	0.952482	0.197943	0.241379	77	0.980661	0.952387	0.263158	0.290515	925	1.000000	0.930732	0.144046	0.163460	19181
GCF_014283215.1	GCF_008360935.1	0.833535	mid_high	s__Siccirubricoccus deserti	s__Siccirubricoccus phaeus	g__Siccirubricoccus	g__Siccirubricoccus	0.962075	0.900887	0.039748	0.044244	309	0.950514	0.883132	0.039106	0.046448	357	1.000000	0.828358	0.009422	0.009662	4107
GCA_002877875.1	GCA_002441555.1	0.780439	mid_high	s__Caldimicrobium thiodismutans_A	s__Caldimicrobium sp002441555	g__Caldimicrobium	g__Caldimicrobium	0.000000	0.854057	0.012821	0.006849	0	0.941077	0.866313	0.030275	0.024194	66	1.000000	0.768237	0.002077	0.001773	142
GCF_006538985.1	GCF_007670255.1	0.831231	mid_high	s__Paenarthrobacter aurescens	s__Paenarthrobacter nicotinovorans_B	g__Paenarthrobacter	g__Paenarthrobacter	0.965972	0.908386	0.059016	0.048154	180	0.953407	0.895151	0.057537	0.060416	500	1.000000	0.841109	0.013897	0.013146	4237
GCF_017357425.1	GCF_013179505.1	0.875174	mid_high	s__Paenarthrobacter sp017357425	s__Paenarthrobacter sp013179505	g__Paenarthrobacter	g__Paenarthrobacter	0.968750	0.929886	0.105148	0.107001	431	0.959646	0.923424	0.124310	0.128722	1284	1.000000	0.878202	0.036213	0.037915	13802
GCA_017397315.1	GCA_017408205.1	0.846135	mid_high	s__RGIG1864 sp017397315	s__RGIG1864 sp017408205	g__RGIG1864	g__RGIG1864	0.966146	0.891455	0.035821	0.026846	12	0.956916	0.891167	0.061327	0.045709	49	1.000000	0.829482	0.011842	0.008175	480
GCA_009392675.1	GCA_002435305.1	0.898029	mid_high	s__UBA11996 sp009392675	s__UBA11996 sp002435305	g__UBA11996	g__UBA11996	0.965580	0.937433	0.150655	0.121053	69	0.958862	0.942738	0.229560	0.197787	876	1.000000	0.895745	0.063233	0.056146	7210
GCA_012797825.1	GCA_002423395.1	0.862780	mid_high	s__UBA1433 sp012797825	s__UBA1433 sp002423395	g__UBA1433	g__UBA1433	0.957292	0.908366	0.057143	0.049669	30	0.959064	0.920000	0.115414	0.115239	152	1.000000	0.858810	0.023506	0.020589	2065
GCF_000733845.1	GCF_000445995.2	0.843539	mid_high	s__Geobacillus vulcani	s__Geobacillus sp000445995	g__Geobacillus	g__Geobacillus	0.988636	0.823661	0.003582	0.003504	11	0.991332	0.822856	0.008067	0.008688	47	1.000000	0.804722	0.005073	0.005109	1201
GCA_001610955.1	GCF_001544135.1	0.958514	mid_high	s__Geobacillus thermoleovorans	s__Geobacillus zalihae	g__Geobacillus	g__Geobacillus	0.988943	0.965619	0.333965	0.331660	1057	0.988133	0.953330	0.283433	0.283823	1651	1.000000	0.945223	0.222603	0.230712	53799
GCF_001884135.1	GCF_006494425.1	0.901837	mid_high	s__Bacillus_A nitratireducens	s__Bacillus_A sp006494425	g__Bacillus_A	g__Bacillus_A	0.969292	0.937971	0.134317	0.140536	173	0.963155	0.936561	0.180520	0.180184	1353	1.000000	0.895723	0.062267	0.056759	17170
GCF_000017425.1	GCF_000742895.1	0.828259	mid_high	s__Bacillus_A cytotoxicus	s__Bacillus_A anthracis	g__Bacillus_A	g__Bacillus_A	0.970052	0.915729	0.074074	0.061381	72	0.956679	0.918527	0.125389	0.097960	725	1.000000	0.872770	0.036509	0.028050	7734
GCA_012839475.1	GCA_012838585.1	0.878438	mid_high	s__Fermentimonas sp012839475	s__Fermentimonas sp012838585	g__Fermentimonas	g__Fermentimonas	0.964756	0.920865	0.076790	0.082251	133	0.959417	0.899886	0.065018	0.069041	376	1.000000	0.863827	0.024401	0.025782	5593
GCF_002735905.1	GCF_001598915.1	0.955136	mid_high	s__Williamsia muralis_A	s__Williamsia muralis	g__Williamsia	g__Williamsia	0.978241	0.968163	0.371729	0.350636	2756	0.975312	0.962020	0.368957	0.348588	3839	1.000000	0.938830	0.195164	0.186407	95967
GCA_012840385.1	GCA_902812385.1	0.948873	mid_high	s__DULK01 sp012840385	s__DULK01 sp902812385	g__DULK01	g__DULK01	0.981374	0.957974	0.260103	0.261062	354	0.979308	0.951000	0.266244	0.266425	1176	1.000000	0.929415	0.147228	0.149146	25266
GCA_003599735.1	GCA_016875635.1	0.865407	mid_high	s__SURF-43 sp003599735	s__SURF-43 sp016875635	g__SURF-43	g__SURF-43	0.965681	0.925303	0.095482	0.087878	224	0.958591	0.909850	0.084417	0.091072	305	1.000000	0.863140	0.025191	0.024069	4381
GCA_000509125.1	GCF_004295125.1	0.946423	mid_high	s__Clostridium_AP sp000509125	s__Clostridium_AP scindens	g__Clostridium_AP	g__Clostridium_AP	0.000000	0.806779	0.001816	0.002346	0	0.972840	0.793500	0.003529	0.004069	30	1.000000	0.767767	0.001754	0.001990	523
GCF_000425945.1	GCF_003633755.1	0.805766	mid_high	s__Solirubrobacter sp000425945	s__Solirubrobacter pauli	g__Solirubrobacter	g__Solirubrobacter	0.958534	0.889267	0.030082	0.027790	260	0.949812	0.876997	0.037700	0.034595	276	1.000000	0.815840	0.007059	0.006667	3980
GCF_003344625.1	GCF_003633755.1	0.854167	mid_high	s__Solirubrobacter sp003344625	s__Solirubrobacter pauli	g__Solirubrobacter	g__Solirubrobacter	0.962479	0.927484	0.100628	0.095874	897	0.956320	0.918087	0.104014	0.115317	920	1.000000	0.864892	0.025364	0.026321	15714
GCF_016722965.1	GCF_000714935.1	0.837618	mid_high	s__Tumebacillus sp016722965	s__Tumebacillus flagellatus	g__Tumebacillus	g__Tumebacillus	0.956809	0.906738	0.052041	0.049141	246	0.953773	0.893237	0.052521	0.059686	399	1.000000	0.838285	0.012404	0.012699	4900
GCA_012728875.1	GCA_012522635.1	0.838210	mid_high	s__Syntrophosphaera sp012728875	s__Syntrophosphaera sp012522635	g__Syntrophosphaera	g__Syntrophosphaera	0.967014	0.912059	0.052326	0.068702	54	0.956699	0.904942	0.072458	0.081401	337	1.000000	0.851254	0.015775	0.020371	2209
GCF_014205275.1	GCF_014200435.1	0.945960	mid_high	s__Sphaerisporangium siamense	s__Sphaerisporangium krabiense	g__Sphaerisporangium	g__Sphaerisporangium	0.980863	0.975840	0.461688	0.461449	3555	0.976883	0.967970	0.416494	0.425815	4414	1.000000	0.946567	0.235541	0.236065	160024
GCA_015693905.1	GCA_015689775.1	0.924825	mid_high	s__M30B80 sp015693905	s__M30B80 sp015689775	g__M30B80	g__M30B80	0.967548	0.897438	0.035294	0.039959	78	0.967963	0.888755	0.050929	0.048321	200	1.000000	0.850680	0.017029	0.018038	3124
GCA_012511555.1	GCF_000373745.1	0.821647	mid_high	s__Oligella sp012511555	s__Oligella ureolytica	g__Oligella	g__Oligella	0.961607	0.891111	0.035934	0.026178	35	0.951634	0.887241	0.052051	0.043567	170	1.000000	0.829032	0.010904	0.008744	1395
GCA_002711715.1	GCA_902607475.1	0.869228	mid_high	s__GCA-002720895 sp002711715	s__GCA-002720895 sp902607475	g__GCA-002720895	g__GCA-002720895	0.000000	0.915788	0.103448	0.044118	0	0.958201	0.920504	0.153846	0.088832	70	1.000000	0.863588	0.033977	0.018391	665
GCF_000474275.2	GCF_000005825.2	0.959507	mid_high	s__Bacillus_S marmarensis	s__Bacillus_S pseudofirmus	g__Bacillus_S	g__Bacillus_S	0.983260	0.985408	0.645890	0.608511	715	0.981777	0.984273	0.676054	0.632681	4201	1.000000	0.966022	0.411246	0.386452	97763
GCA_902536695.1	GCA_002694645.1	0.968982	mid_high	s__GCA-002727735 sp902536695	s__GCA-002727735 sp002694645	g__GCA-002727735	g__GCA-002727735	0.990625	0.922230	0.053763	0.128205	10	0.991162	0.929676	0.098032	0.228769	264	1.000000	0.920686	0.079162	0.172637	7002
GCA_002729695.1	GCF_000176355.1	0.854906	mid_high	s__Alteriqipengyuania sp002729695	s__Alteriqipengyuania bathyomarina	g__Alteriqipengyuania	g__Alteriqipengyuania	0.964497	0.916285	0.071203	0.066171	338	0.957826	0.899645	0.067878	0.065277	310	1.000000	0.857400	0.021823	0.020123	5375
GCF_000176355.1	GCF_015999305.1	0.937681	mid_high	s__Alteriqipengyuania bathyomarina	s__Alteriqipengyuania sp015999305	g__Alteriqipengyuania	g__Alteriqipengyuania	0.974205	0.967953	0.351018	0.366367	1793	0.971582	0.958358	0.334807	0.315226	1590	1.000000	0.934190	0.168074	0.167770	44893
GCF_900177245.1	GCF_013205025.1	0.862570	mid_high	s__Rathayibacter oskolensis	s__Rathayibacter sp013205025	g__Rathayibacter	g__Rathayibacter	0.962924	0.854161	0.010192	0.008673	59	0.956685	0.835551	0.012312	0.011298	59	1.000000	0.777501	0.002571	0.002281	946
