GCA_000007325.1	AE009951.2
GCA_003476705.1	DMVM01000049.1
GCA_003481775.1	QULU01000001.1
GCA_003485325.1	DMZI01000041.1
GCA_003485765.1	DNHS01000036.1
GCA_003486165.1	DNGT01000453.1
GCA_003489165.1	DNJG01000098.1
GCA_003491305.1	CP022706.1
GCA_003499955.1	DNRP01000064.1
GCA_003500765.1	DNQL01000139.1
GCA_003507445.1	DNVR01000017.1
GCA_003509065.1	DODG01000003.1
GCA_003509545.1	DOLC01000046.1
GCA_003510795.1	DOKP01000072.1
GCA_003513005.1	DOTD01000007.1
GCA_003514455.1	DOQH01000019.1
GCA_003517285.1	DPAW01000168.1
GCA_003523085.1	DPHD01000010.1
GCA_003523945.1	DOFS01000132.1
GCA_003524085.1	DOEC01000016.1
GCA_003525525.1	DQED01000355.1
GCA_003530255.1	DPTM01000197.1
GCA_003530835.1	DPET01000082.1
GCA_003532555.1	DOEU01000037.1
GCA_003535475.1	DOHC01000156.1
GCA_003535775.1	DPYO01000234.1
GCA_003541445.1	DPMO01000090.1
GCA_003541985.1	DPLM01000019.1
GCA_003542295.1	DPKX01000263.1
GCA_003551325.1	PUMK01000196.1
GCA_003552425.1	PUMC01000014.1
GCA_003552665.1	PUNW01000079.1
GCA_003552765.1	PUOI01000574.1
GCA_003552885.1	PUPA01000125.1
GCA_003552925.1	PUOX01000071.1
GCA_003552985.1	PUPD01000274.1
GCA_003553185.1	PUPC01000263.1
GCA_003553795.1	PWFH01000051.1
GCA_003554025.1	PWFC01000084.1
GCA_003554685.1	PWHA01000212.1
GCA_003559215.1	PWMF01000042.1
GCA_003559755.1	PWKM01000221.1
GCA_003561875.1	PWVL01000125.1
GCA_003561895.1	PWXP01000105.1
GCA_003563585.1	PWUQ01000081.1
GCA_003566675.1	PXCI01000219.1
GCA_003566875.1	PXBQ01000547.1
GCA_003566995.1	PXBG01000057.1
GCA_003567095.1	PXAQ01000259.1
GCA_003567805.1	PWYP01000020.1
GCA_003569365.1	BGOS01000001.1
GCA_003569705.1	BGOU01000001.1
GCA_003574885.1	PJFC01000001.1
GCA_003576915.1	QEVF01000010.1
GCA_003577245.1	QEVS01000007.1
GCA_003599365.1	QZJR01000098.1
GCA_003599735.1	QZJI01000071.1
GCA_003599795.1	QZJQ01000037.1
GCA_003602635.1	QQSJ01000001.1
GCA_003609755.1	AP017991.1
GCA_003641645.1	QNAZ01000001.1
GCA_003644215.1	QNBU01000001.1
GCA_003644575.1	QNCR01000001.1
GCA_003645885.1	QNCW01000001.1
GCA_003648625.1	QMPO01000001.1
GCA_003650285.1	QMOQ01000001.1
GCA_003660865.1	QMVA01000001.1
GCA_003661015.1	QMVI01000001.1
GCA_003662305.1	QMXU01000001.1
GCA_003663525.1	QMUF01000001.1
GCA_003669125.1	QWQF01000005.1
GCA_003670425.1	QWRL01000001.1
GCA_003670675.1	QWQY01000001.1
GCA_003671255.1	QWPF01000001.1
GCA_003695605.1	RFIK01000177.1
GCA_003695905.1	RFGS01000111.1
GCA_003712145.1	RHLS01000058.1
GCA_003712165.1	RHLH01000001.1
GCA_003724275.1	RHFA01000052.1
GCA_003818285.1	RPRB01000478.1
GCA_003978105.1	QOAO01000009.1
GCA_003978805.1	QNYI01000142.1
GCA_003990705.1	AP018318.1
GCA_004028495.1	MTKS01000001.1
GCA_004028505.1	MTKO01000034.1
GCA_004116405.1	SDIC01000010.1
GCA_004116455.1	PDJU01000010.1
GCA_004116465.1	PDJV01000099.1
GCA_004116725.1	PDKG01000010.1
GCA_004124405.1	SCKP01000009.1
GCA_004124465.1	SCKS01000034.1
GCA_004168015.1	SEYW01000010.1
GCA_004193545.1	RPGO01000021.1
GCA_004193595.1	RPGQ01000001.1
GCA_004195635.1	PSPT01000020.1
GCA_004212085.1	RXIL01000054.1
GCA_004212095.1	RXIJ01000018.1
GCA_004212155.1	RXIG01000024.1
GCA_004213555.1	SHAP01000001.1
GCA_004213605.1	SGZC01000001.1
GCA_004213995.1	SGZJ01000001.1
GCA_004292745.1	RDXH01000003.1
GCA_004293145.1	RDYJ01000011.1
GCA_004294385.1	REAP01000005.1
GCA_004296865.1	SCVQ01000125.1
GCA_004296885.1	SCVN01000007.1
GCA_004297665.1	SCUP01000064.1
GCA_004299065.1	SIHH01000128.1
GCA_004322365.1	SCTS01000001.1
GCA_004322465.1	SCVO01000001.1
GCA_004347695.1	SLTK01000002.1
GCA_004347955.1	QNVH01000001.1
GCA_004375695.1	SOKQ01000013.1
GCA_004377005.1	SOIV01000273.1
GCA_004402895.1	SORT01000001.1
GCA_004402915.1	SORU01000001.1
GCA_004524385.1	SDNM01000240.1
GCA_004524535.1	SDNY01000184.1
GCA_004554425.1	SFMI01000155.1
GCA_005110385.1	DUDT01000001.1
GCA_005116795.1	SWDL01000383.1
GCA_005222975.1	NJBI01000042.1
GCA_005223095.1	NJBQ01000100.1
GCA_005223145.1	NJBL01000021.1
GCA_005503065.1	SCOE01000010.1
GCA_005518205.2	RFFC02000001.1
GCA_005524015.1	SULG01000001.1
GCA_005774545.1	VAUL01000066.1
GCA_005777315.1	SXMN01000035.1
GCA_005778045.1	SXKQ01000033.1
GCA_005786915.1	SYCM01000015.1
GCA_005787345.1	SYBH01000029.1
GCA_005787685.1	SYAC01000014.1
GCA_005791235.1	SXXS01000019.1
GCA_005791875.1	SXTU01000070.1
GCA_005798405.1	SYJQ01000016.1
GCA_005798445.1	SYJG01000008.1
GCA_005798965.1	SYIB01000010.1
GCA_005799025.1	SYHX01000015.1
GCA_005799065.1	SYHW01000003.1
GCA_005799365.1	SYGV01000031.1
GCA_005799495.1	SYGP01000008.1
GCA_005801385.1	SYEM01000053.1
GCA_005808665.1	SYLG01000035.1
GCA_005808865.1	SYKU01000074.1
GCA_005877185.1	VBPQ01000146.1
GCA_005877225.1	VBPK01000093.1
GCA_005877305.1	VBPW01000112.1
GCA_005877345.1	VBPR01000161.1
GCA_005877365.1	VBPP01000101.1
GCA_005877505.1	VBOO01000206.1
GCA_005877565.1	VBOK01000154.1
GCA_005877615.1	VBOD01000023.1
GCA_005877855.1	VBOF01000095.1
GCA_005879205.1	VBLD01000291.1
GCA_005879505.1	VBKQ01000268.1
GCA_005879585.1	VBKG01000040.1
GCA_005879815.1	VBKA01000176.1
GCA_005879985.1	VBIA01000014.1
GCA_005880075.1	VBJT01000016.1
GCA_005880165.1	VBJP01000198.1
GCA_005880315.1	VBHB01000158.1
GCA_005880525.1	VBFW01000210.1
GCA_005880575.1	VBIZ01000136.1
GCA_005880855.1	VBGM01000166.1
GCA_005881295.1	VBHS01000212.1
GCA_005881615.1	VBBR01000177.1
GCA_005882255.1	VBEZ01000163.1
GCA_005882275.1	VBAK01000068.1
GCA_005882335.1	VBAP01000001.1
GCA_005882445.1	VBAN01000449.1
GCA_005882985.1	VBEJ01000165.1
GCA_005883175.1	VAYV01000316.1
GCA_005883775.1	VBEU01000093.1
GCA_005884195.1	VBBP01000072.1
GCA_005884515.1	VAWS01000131.1
GCA_005888095.1	VBKF01000015.1
GCA_005888315.1	VAWH01000036.1
GCA_005888595.1	VBAL01000264.1
GCA_005888675.1	VBBA01000017.1
GCA_005888695.1	VBBH01000329.1
GCA_005889405.1	VBFY01000007.1
GCA_005893265.1	VBOX01000001.1
GCA_005893275.1	VBOW01000087.1
GCA_006226775.1	SBGD01000060.1
GCA_006226895.1	SBFN01000013.1
GCA_007050885.1	SMYQ01000017.1
GCA_007095785.1	SFBL01000001.1
GCA_007095845.1	SFBI01000001.1
GCA_007118235.1	SKRY01000006.1
GCA_007121565.1	SKKI01000237.1
GCA_007122045.1	SKJM01000096.1
GCA_007123395.1	SKLD01000254.1
GCA_007123465.1	SKLB01000313.1
GCA_007124345.1	SLFH01000090.1
GCA_007125915.1	SLCH01000146.1
GCA_007126575.1	SLBA01000009.1
GCA_007126865.1	SLAN01000174.1
GCA_007127615.1	SKZB01000164.1
GCA_007128315.1	SKXQ01000137.1
GCA_007128515.1	SKXI01000206.1
GCA_007128555.1	SKXF01000027.1
GCA_007129135.1	SKWB01000011.1
GCA_007129405.1	SKVN01000077.1
GCA_007129985.1	SKUL01000360.1
GCA_007130025.1	SLTF01000271.1
GCA_007130415.1	SLSN01000042.1
GCA_007130465.1	SLSL01000102.1
GCA_007133145.1	SLNF01000069.1
GCA_007133845.1	SLLY01000045.1
GCA_007134025.1	SLLR01000108.1
GCA_007134215.1	SLLG01000200.1
GCA_007134885.1	SLJX01000131.1
GCA_007135605.1	SLIN01000291.1
GCA_007136035.1	SLHS01000005.1
GCA_007280195.1	QYPW01000132.1
GCA_007280335.1	QYQE01000069.1
GCA_007280345.1	QYQD01000044.1
GCA_007378985.1	VMHB01000008.1
GCA_007570915.1	RKSK01000001.1
GCA_007571305.1	RKRR01000119.1
GCA_007692605.1	REBS01000173.1
GCA_007693325.1	REDW01000083.1
GCA_007693485.1	REDM01000152.1
GCA_007693845.1	RECV01000111.1
GCA_007694005.1	RECN01000035.1
GCA_007694925.1	REET01000221.1
GCA_007695285.1	REEC01000164.1
GCA_007695365.1	REDV01000118.1
GCA_007741475.1	CP036261.1
GCA_007753915.1	CP036352.1
GCA_007997005.1	VOSL01000094.1
GCA_007997015.1	VOSM01000001.1
GCA_008373165.1	RQOU01000001.1
GCA_008933615.1	WBUR01000085.1
GCA_009379865.1	WHSX01000100.1
GCA_009391195.1	VEXB01000001.1
GCA_009391605.1	VFGQ01000080.1
GCA_009392215.1	VFGZ01000001.1
GCA_009392295.1	VFGW01000001.1
GCA_009392515.1	VFGE01000001.1
GCA_009392675.1	VFFY01000001.1
GCA_009618475.1	WJOV01000159.1
GCA_009618505.1	WJOQ01000255.1
GCA_009619075.1	WJOY01000039.1
GCA_009619095.1	WJOT01000031.1
GCA_009649835.1	PYCK01000246.1
GCA_009665115.1	WJXE01000001.1
GCA_009668205.1	WJYM01000001.1
GCA_009684525.1	WKKR01000001.1
GCA_009691525.1	SICG01000059.1
GCA_009691785.1	SIAM01000004.1
GCA_009691815.1	SIAL01000012.1
GCA_009691925.1	SIAG01000010.1
GCA_009692155.1	SHZW01000001.1
GCA_009692725.1	SHYP01000018.1
GCA_009694285.1	SHVK01000005.1
GCA_009694465.1	SHUW01000015.1
GCA_009694585.1	SHUQ01000018.1
GCA_009694745.1	SHUF01000044.1
GCA_009695275.1	SIBF01000062.1
GCA_009695395.1	SIBB01000019.1
GCA_009697455.1	SHUI01000040.1
GCA_009702245.1	WLIL01000001.1
GCA_009702325.1	WLID01000001.1
GCA_009711705.1	VENG01000001.1
GCA_009773075.1	WOUX01000308.1
GCA_009773155.1	WOVA01000054.1
GCA_009773185.1	WPIF01000012.1
GCA_009773665.1	WSYE01000024.1
GCA_009776435.1	WRNU01000001.1
GCA_009781495.1	WQYA01000001.1
GCA_009782495.1	WRIX01000001.1
GCA_009782565.1	WRIU01000001.1
GCA_009782775.1	WRIL01000001.1
GCA_009782955.1	WRIB01000001.1
GCA_009783115.1	WRHT01000001.1
GCA_009786315.1	WQTM01000001.1
GCA_009827205.1	WUAK01000001.1
GCA_009835325.1	VXWP01000116.1
GCA_009835985.1	VXWI01000044.1
GCA_009836025.1	VXWH01000181.1
GCA_009836625.1	VXVC01000013.1
GCA_009837085.1	VXUF01000036.1
GCA_009837205.1	VXTZ01000021.1
GCA_009837395.1	VXTP01000012.1
GCA_009837815.1	VXSV01000105.1
GCA_009838385.1	VXRS01000299.1
GCA_009838465.1	VXRN01000035.1
GCA_009838515.1	VXRL01000095.1
GCA_009838595.1	VXRI01000294.1
GCA_009838625.1	VXRG01000151.1
GCA_009838645.1	VXRC01000009.1
GCA_009838765.1	VXQX01000092.1
GCA_009838965.1	VXQP01000084.1
GCA_009838975.1	VXQO01000094.1
GCA_009839425.1	VXPS01000290.1
GCA_009839615.1	VXPH01000102.1
GCA_009839775.1	VXOZ01000288.1
GCA_009840005.1	VXOR01000039.1
GCA_009840115.1	VXOJ01000061.1
GCA_009840225.1	VXOE01000120.1
GCA_009840285.1	VXOF01000073.1
GCA_009840355.1	VXNZ01000057.1
GCA_009840385.1	VXNX01000004.1
GCA_009840445.1	VXNS01000006.1
GCA_009840525.1	VXNP01000116.1
GCA_009841005.1	VXMR01000086.1
GCA_009841145.1	VXMJ01000087.1
GCA_009841165.1	VXMI01000075.1
GCA_009841225.1	VXMF01000010.1
GCA_009841265.1	VXMB01000013.1
GCA_009841435.1	VXLW01000059.1
GCA_009841615.1	VXLL01000029.1
GCA_009842645.1	VYFB01000139.1
GCA_009843505.1	VYDI01000001.1
GCA_009843625.1	VYDD01000451.1
GCA_009843735.1	VYCW01000030.1
GCA_009844405.1	VYBO01000043.1
GCA_009845425.1	VXZQ01000010.1
GCA_009845645.1	VXZF01000456.1
GCA_009861545.1	VXME01000007.1
GCA_009886465.1	QXZH01000001.1
GCA_009889515.1	WUQR01000001.1
GCA_009903405.1	PRCZ01000100.1
GCA_009908735.1	JAAAOR010000028.1
GCA_009908925.1	JAAAOH010000095.1
GCA_009910795.1	VMEE01000041.1
GCA_009917405.1	QZED01000100.1
GCA_009926405.1	RFOZ01000001.1
GCA_009926625.1	RFON01000001.1
GCA_009929485.1	SAAJ01000005.1
GCA_009930355.1	RZYK01000171.1
GCA_009936695.1	JAACEA010000168.1
GCA_009937085.1	JAACDD010000064.1
GCA_009937185.1	JAACCY010000141.1
GCA_009937455.1	JAACFN010000091.1
GCA_009995495.1	JAACPL010000044.1
GCA_009995705.1	JAADBR010000001.1
GCA_010021145.1	RGRP01000001.1
GCA_010027235.1	RGVP01000001.1
GCA_010202845.1	CP047921.1
GCA_010672455.1	JAAHGO010000001.1
GCA_010672525.1	JAAHGH010000001.1
GCA_010692325.1	JAAHHW010000001.1
GCA_010692395.1	JAAHHS010000001.1
GCA_011040095.1	DRDE01000001.1
GCA_011042305.1	DQXI01000012.1
GCA_011042635.1	DQWH01000161.1
GCA_011046015.1	DSBO01000006.1
GCA_011046395.1	DSAQ01000150.1
GCA_011046855.1	DSOV01000007.1
GCA_011047455.1	DSMY01000017.1
GCA_011047885.1	DSMB01000052.1
GCA_011048115.1	DSLO01000049.1
GCA_011048275.1	DSGD01000004.1
GCA_011048835.1	DSDF01000022.1
GCA_011049175.1	DSCJ01000118.1
GCA_011049425.1	DSBM01000141.1
GCA_011049545.1	DRHQ01000001.1
GCA_011049715.1	DRHF01000001.1
GCA_011051565.1	DRKX01000001.1
GCA_011051875.1	DRKI01000001.1
GCA_011053445.1	DSKT01000005.1
GCA_011053475.1	DSKS01000001.1
GCA_011053655.1	DSKE01000206.1
GCA_011053855.1	DSJT01000024.1
GCA_011054265.1	DSIY01000206.1
GCA_011054805.1	DSME01000021.1
GCA_011055275.1	DSEZ01000001.1
GCA_011055645.1	DSPT01000076.1
GCA_011056055.1	DSHT01000134.1
GCA_011056555.1	DSEQ01000033.1
GCA_011056825.1	DSBH01000137.1
GCA_011057845.1	DSDB01000614.1
GCA_011064875.1	JAAKFV010000001.1
GCA_011064905.1	JAAKFW010000001.1
GCA_011065045.1	JAAKFN010000001.1
GCA_011065175.1	JAAKFE010000001.1
GCA_011191975.1	DUFA01000001.1
GCA_011192125.1	DUEL01000001.1
GCA_011322625.1	DRMH01000001.1
GCA_011322715.1	DRLX01000001.1
GCA_011328725.1	DSVL01000086.1
GCA_011328975.1	DSUO01000087.1
GCA_011330655.1	DRPZ01000001.1
GCA_011331985.1	DSPX01000017.1
GCA_011333005.1	DTMK01000026.1
GCA_011333285.1	DTLP01000055.1
GCA_011333425.1	DTLA01000139.1
GCA_011333465.1	DTKM01000033.1
GCA_011333575.1	DTKL01000015.1
GCA_011333985.1	DTIN01000034.1
GCA_011334575.1	DTIC01000084.1
GCA_011334735.1	DTHM01000102.1
GCA_011334825.1	DTGX01000150.1
GCA_011337865.1	DTOR01000483.1
GCA_011337925.1	DTOM01000241.1
GCA_011338105.1	DTIO01000270.1
GCA_011338225.1	DTGB01000128.1
GCA_011355205.1	DTMT01000062.1
GCA_011355215.1	DTLX01000057.1
GCA_011361925.1	DTEM01000061.1
GCA_011361985.1	DTEI01000059.1
GCA_011362045.1	DTEE01000081.1
GCA_011362805.1	DTJX01000234.1
GCA_011362935.1	DTGU01000339.1
GCA_011362965.1	DTGJ01000141.1
GCA_011363075.1	DTFV01000057.1
GCA_011364105.1	DTCJ01000065.1
GCA_011366485.1	DTCY01000160.1
GCA_011367485.1	DSYJ01000048.1
GCA_011368045.1	DSXA01000055.1
GCA_011369655.1	DTDX01000054.1
GCA_011369665.1	DTDY01000058.1
GCA_011370395.1	DTKR01000011.1
GCA_011370455.1	DTJU01000049.1
GCA_011371515.1	DRQE01000001.1
GCA_011372835.1	DSAJ01000112.1
GCA_011372935.1	DRZQ01000007.1
GCA_011372955.1	DRZN01000063.1
GCA_011373125.1	DRYX01000206.1
GCA_011373445.1	DRXC01000033.1
GCA_011373895.1	DRVV01000016.1
GCA_011375275.1	DRLW01000001.1
GCA_011375435.1	DSAC01000043.1
GCA_011375535.1	DRZP01000102.1
GCA_011375845.1	DRYO01000141.1
GCA_011380505.1	DRXX01000229.1
GCA_011388675.1	DROW01000001.1
GCA_011389395.1	DTFS01000068.1
GCA_011389855.1	JAABTM010000548.1
GCA_011389865.1	JAABTL010000010.1
GCA_011390065.1	JAABTD010000056.1
GCA_011390235.1	JAABSS010000125.1
GCA_011390335.1	JAABSO010000010.1
GCA_011390455.1	JAABSI010000096.1
GCA_011390515.1	JAABSJ010000001.1
GCA_011390615.1	JAABSB010000001.1
GCA_011390635.1	JAABSA010000093.1
GCA_011390675.1	JAABRX010000001.1
GCA_011390695.1	JAABRW010000114.1
GCA_011390735.1	JAABRV010000100.1
GCA_011390955.1	JAABRM010000026.1
GCA_011391345.1	JAABQR010000114.1
GCA_011391695.1	JAABQB010000100.1
GCA_011522845.1	WTIF01000243.1
GCA_011523245.1	WTHG01000245.1
GCA_011523265.1	WTHD01000313.1
GCA_011523315.1	WTHE01000182.1
GCA_011523365.1	WTGY01000075.1
GCA_011523385.1	WTGX01000034.1
GCA_011523485.1	WTGR01000027.1
GCA_011523725.1	WTGD01000248.1
GCA_011523785.1	WTFW01000170.1
GCA_011523845.1	WTFV01000097.1
GCA_011524395.1	WTKN01000339.1
GCA_011524565.1	WTKC01000009.1
GCA_011525295.1	WTGV01000016.1
GCA_011525625.1	WYAX01000013.1
GCA_011525805.1	WYBR01000028.1
GCA_011526015.1	WYBG01000129.1
GCA_011605775.1	JAAOZN010000056.1
GCA_011605825.1	JAAOZK010000008.1
GCA_011620145.1	WOZT01000265.1
GCA_011620275.1	WOZK01000018.1
GCA_011620345.1	WOZJ01000045.1
GCA_011620825.1	WOYN01000083.1
GCA_011682565.1	JAACEJ010000280.1
GCA_011772475.1	WVZK01000188.1
GCA_011773355.1	WVXT01000060.1
GCA_011773465.1	WVXO01000001.1
GCA_011777135.1	JAABVY010000059.1
GCA_012026975.1	VEPG01000085.1
GCA_012030815.1	JAAUVF010000017.1
GCA_012031415.1	JAAUTN010000524.1
GCA_012031475.1	JAAUTJ010000020.1
GCA_012033355.1	JAAUQZ010000115.1
GCA_012267435.1	JAAXGM010000125.1
GCA_012269595.1	JAAXJX010000032.1
GCA_012270465.1	JAAXIH010000097.1
GCA_012270555.1	JAAXIC010000019.1
GCA_012270665.1	JAAXHY010000074.1
GCA_012270885.1	JAAXHN010000137.1
GCA_012270965.1	JAAXHJ010000089.1
GCA_012270975.1	JAAXHH010000077.1
GCA_012270995.1	JAAXHG010000111.1
GCA_012271015.1	JAAXHD010000335.1
GCA_012271025.1	JAAXHF010000179.1
GCA_012271135.1	JAAXGZ010000095.1
GCA_012510295.1	JAAZID010000135.1
GCA_012510625.1	JAAZHP010000228.1
GCA_012510855.1	JAAZHE010000147.1
GCA_012511245.1	JAAZGM010000018.1
GCA_012511525.1	JAAZFW010000231.1
GCA_012512055.1	JAAZEW010000130.1
GCA_012512265.1	JAAZEM010000069.1
GCA_012513195.1	JAAZCR010000146.1
GCA_012513605.1	JAAZBV010000016.1
GCA_012515455.1	JAAYYJ010000070.1
GCA_012515775.1	JAAYXS010000025.1
GCA_012516125.1	JAAYXB010000003.1
GCA_012516175.1	JAAYWZ010000039.1
GCA_012516535.1	JAAYWP010000158.1
GCA_012516785.1	JAAYWH010000058.1
GCA_012517485.1	JAAYUT010000426.1
GCA_012517635.1	JAAYUP010000232.1
GCA_012517765.1	JAAYUI010000166.1
GCA_012517875.1	JAAYUB010000094.1
GCA_012518535.1	JAAYRX010000117.1
GCA_012518595.1	JAAYRV010000152.1
GCA_012518875.1	JAAYRI010000104.1
GCA_012519465.1	JAAYQD010000006.1
GCA_012519955.1	JAAYPH010000124.1
GCA_012521035.1	JAAYND010000322.1
GCA_012521175.1	JAAYMW010000174.1
GCA_012521345.1	JAAYMN010000103.1
GCA_012521405.1	JAAYMK010000019.1
GCA_012521555.1	JAAYMC010000127.1
GCA_012521755.1	JAAYLV010000128.1
GCA_012522015.1	JAAYLD010000078.1
GCA_012522075.1	JAAYLG010000128.1
GCA_012522085.1	JAAYLE010000178.1
GCA_012522635.1	JAAYKA010000059.1
GCA_012522645.1	JAAYKC010000058.1
GCA_012522935.1	JAAYJN010000045.1
GCA_012523135.1	JAAYJD010000119.1
GCA_012523915.1	JAAYSU010000078.1
GCA_012523945.1	JAAYSO010000083.1
GCA_012719085.1	JAAYBA010000016.1
GCA_012719115.1	JAAYAZ010000042.1
GCA_012719455.1	JAAYAJ010000028.1
GCA_012727675.1	JAAYGR010000120.1
GCA_012727895.1	JAAYGG010000090.1
GCA_012728125.1	JAAYFT010000091.1
GCA_012728365.1	JAAYFE010000002.1
GCA_012728875.1	JAAYEF010000006.1
GCA_012728915.1	JAAYEC010000011.1
GCA_012729095.1	JAAYDU010000012.1
GCA_012729145.1	JAAYDT010000033.1
GCA_012729555.1	JAAYCX010000001.1
GCA_012729715.1	JAAYCQ010000003.1
GCA_012730095.1	JAAYBO010000070.1
GCA_012735195.1	JAAYIC010000032.1
GCA_012735245.1	JAAYHU010000082.1
GCA_012735285.1	JAAYHT010000009.1
GCA_012735405.1	JAAYHM010000109.1
GCA_012735435.1	JAAYHH010000072.1
GCA_012797735.1	JAAZOP010000309.1
GCA_012797815.1	JAAZOK010000103.1
GCA_012798135.1	JAAZNU010000206.1
GCA_012798435.1	JAAZNF010000076.1
GCA_012798455.1	JAAZNC010000085.1
GCA_012798745.1	JAAZMQ010000003.1
GCA_012799075.1	JAAZLZ010000128.1
GCA_012799905.1	JAAZKI010000400.1
GCA_012800565.1	JAAZIZ010000185.1
GCA_012800855.1	JAAZIN010000145.1
GCA_012837705.1	DUQQ01000101.1
GCA_012838125.1	DUPW01000043.1
GCA_012838205.1	DUPR01000003.1
GCA_012838635.1	DUOW01000022.1
GCA_012839115.1	DUNX01000044.1
GCA_012839485.1	DUNF01000014.1
GCA_012840175.1	DULW01000009.1
GCA_012840385.1	DULK01000018.1
GCA_012840405.1	DULM01000238.1
GCA_012840465.1	DULJ01000009.1
GCA_012841305.1	DUVA01000087.1
GCA_012841485.1	DUUU01000188.1
GCA_012841735.1	DUUE01000282.1
GCA_012842045.1	DUTP01000002.1
GCA_012842275.1	DUSK01000023.1
GCA_012842325.1	DUTA01000020.1
GCA_012842495.1	DUSS01000018.1
GCA_012910725.1	WNEG01000083.1
GCA_012927555.1	JABBOX010000252.1
GCA_012959275.1	DUDM01000001.1
GCA_012959525.1	DUDB01000001.1
GCA_012960245.1	DUBO01000001.1
GCA_012960475.1	DUBE01000001.1
GCA_012961755.1	DTYS01000001.1
GCA_012963885.1	DTUY01000001.1
GCA_012964235.1	DTUJ01000001.1
GCA_012964825.1	DTTI01000001.1
GCA_012964845.1	DTTG01000001.1
GCA_012974435.1	JAAXQF010000412.1
GCA_013036095.1	JAAXCW010000001.1
GCA_013042925.1	JABDPH010000120.1
GCA_013043945.1	JABEUW010000128.1
GCA_013044185.1	JABEUX010000053.1
GCA_013100805.1	CP040000.1
GCA_013112725.1	JABFFZ010000001.1
GCA_013138615.1	WTCK01000188.1
GCA_013138655.1	WTCI01000256.1
GCA_013138705.1	WTCF01000082.1
GCA_013139985.1	WSZT01000205.1
GCA_013140455.1	JABFSU010000130.1
GCA_013151365.1	JAADIK010000143.1
GCA_013151565.1	JAADIB010000210.1
GCA_013151915.1	JAADHJ010000033.1
GCA_013151965.1	JAADHF010000131.1
GCA_013152195.1	JAADGU010000093.1
GCA_013152215.1	JAADGT010000136.1
GCA_013152225.1	JAADGR010000471.1
GCA_013152485.1	JAADGG010000031.1
GCA_013152685.1	JAADFX010000001.1
GCA_013152795.1	JAADFS010000001.1
GCA_013152995.1	JAADFH010000001.1
GCA_013153375.1	JAADEN010000097.1
GCA_013153895.1	JAADDN010000077.1
GCA_013154355.1	JAADCU010000096.1
GCA_013166835.1	JABLTI010000225.1
GCA_013177795.1	JABLXY010000001.1
GCA_013177825.1	JABLXX010000001.1
GCA_013177895.1	JABLXV010000001.1
GCA_013180565.1	QBUN01000426.1
GCA_013180605.1	QBUL01000189.1
GCA_013201395.1	JABMJD010000074.1
GCA_013202635.1	JABMRO010000095.1
GCA_013202725.1	JABMRH010000052.1
GCA_013202875.1	JABMRD010000025.1
GCA_013203065.1	JABMQV010000154.1
GCA_013203195.1	JABMQM010000107.1
GCA_013203315.1	JABMQJ010000001.1
GCA_013205435.1	JABMMX010000062.1
GCA_013213915.1	JABSRK010000001.1
GCA_013213965.1	JABSSR010000001.1
GCA_013215285.1	JABSRD010000001.1
GCA_013215945.1	JABSOM010000001.1
GCA_013287545.1	JABDDQ010000001.1
GCA_013287585.1	JABDDN010000001.1
GCA_013288015.1	JABDCR010000001.1
GCA_013288545.1	JABDBR010000001.1
GCA_013289785.1	JABCZE010000001.1
GCA_013298805.1	JAAFIU010000351.1
GCA_013306035.1	JABUBF010000001.1
GCA_013314775.1	JABUFB010000001.1
GCA_013329135.1	DUKU01000184.1
GCA_013329415.1	DUKH01000068.1
GCA_013329455.1	DUKF01000204.1
GCA_013329565.1	DUJZ01000150.1
GCA_013330355.1	DUIM01000178.1
GCA_013330765.1	DUHU01000161.1
GCA_013330915.1	DUHK01000014.1
GCA_013330925.1	DUHJ01000134.1
GCA_013333405.2	JABCOZ020000001.1
GCA_013333515.2	JABCOQ020000001.1
GCA_013334245.1	JAAXXZ010000017.1
GCA_013334545.1	JAAXXJ010000216.1
GCA_013334855.1	JAAXWU010000024.1
GCA_013359255.1	JABWCF010000007.1
GCA_013360445.1	JABWBP010000032.1
GCA_013360585.1	JABWBH010000045.1
GCA_013360695.1	JABWBC010000021.1
GCA_013361705.1	JABFXN010000262.1
GCA_013361745.1	JABFXM010000205.1
GCA_013361935.1	JABFXC010000077.1
GCA_013374835.1	CP055307.1
GCA_013375355.1	JABXJV010000174.1
GCA_013390615.1	JACAUA010000001.1
GCA_013390745.1	JACASX010000001.1
GCA_013416395.1	JACCEP010000010.1
GCA_013425455.1	JACCLI010000077.1
GCA_013538675.1	JACAFJ010000010.1
GCA_013538805.1	JABXGR010000010.1
GCA_013619105.1	JABXKU010000001.1
GCA_013694585.1	JACDCB010000089.1
GCA_013697785.1	JACCWE010000070.1
GCA_013698135.1	JACCVM010000082.1
GCA_013791745.1	VMTH01000161.1
GCA_013792075.1	VMSR01000168.1
GCA_013812395.1	JACCTL010000092.1
GCA_013816105.1	JACDEY010000029.1
GCA_013817135.1	JACDDF010000391.1
GCA_013817655.1	JACDCJ010000183.1
GCA_013822245.1	PNKE01000014.1
GCA_013824685.1	PNOG01000020.1
GCA_013824755.1	PNOJ01000001.1
GCA_013911165.1	JACETR010000001.1
GCA_014049385.1	JACAOA010000001.1
GCA_014116815.1	JACGYV010000033.1
GCA_014189675.1	DVAE01000017.1
GCA_014189895.1	BJFQ01000001.1
