query	reference	label	q_domain	r_domain	q_phylum	r_phylum	q_genus	r_genus	q_species	r_species	skani_ani	skani_align_frac_ref	skani_align_frac_query	s2b_ani	s2b_ani_uniform	s2b_af_q	s2b_af_r	s2b_std_err	s2b_het_shape	s2b_retention	s2b_ani_from_loss	s2b_ani_from_hist	s2b_n_anchors	s2b_n_chains	s2b_n_tags	s2b_flag	fastani_ani
GCA_016932965.1	GCA_011048995.1	low	d__Bacteria	d__Bacteria	p__JAFGBW01	p__Mcinerneyibacteriota	g__JAFGBW01	g__DSCS01	s__JAFGBW01 sp016932965	s__DSCS01 sp011048995						0.000000	0.000000						0	0	0	BELOW_DETECTION	
GCA_016202645.1	GCA_016183835.1	low	d__Bacteria	d__Bacteria	p__Lindowbacteria	p__Armatimonadota	g__JACQOF01	g__JACPDV01	s__JACQOF01 sp016202645	s__JACPDV01 sp016183835						0.000000	0.000000						0	0	0	BELOW_DETECTION	
GCA_016721565.1	GCA_903904735.1	low	d__Bacteria	d__Bacteria	p__AABM5-125-24	p__Bdellovibrionota_C	g__JABWCQ01	g__OMII01	s__JABWCQ01 sp016721565	s__OMII01 sp903904735						0.000000	0.000000						3	0	0	BELOW_DETECTION	
GCA_002085035.1	GCA_011047235.1	low	d__Bacteria	d__Bacteria	p__JdFR-76	p__SpSt-318	g__4484-219	g__SpSt-318	s__4484-219 sp002085035	s__SpSt-318 sp011047235						0.000000	0.000000						0	0	0	BELOW_DETECTION	
GCA_003554395.1	GCA_001304035.1	low	d__Bacteria	d__Bacteria	p__Firmicutes_D	p__SM23-31	g__B1SED10-74M	g__SM23-31	s__B1SED10-74M sp003554395	s__SM23-31 sp001304035						0.000000	0.000000						0	0	0	BELOW_DETECTION	
GCA_017963125.1	GCA_003252515.1	low	d__Bacteria	d__Bacteria	p__UBP6	p__Delongbacteria	g__UBA1177	g__UBA4055	s__UBA1177 sp017963125	s__UBA4055 sp003252515						0.000000	0.000000						1	0	0	BELOW_DETECTION	
GCA_013151555.1	GCA_012271015.1	low	d__Bacteria	d__Bacteria	p__NPL-UPA2	p__Poribacteria	g__JAADIA01	g__WGA-3G	s__JAADIA01 sp013151555	s__WGA-3G sp012271015						0.000000	0.000000						0	0	0	BELOW_DETECTION	
GCA_902805585.1	GCA_003644395.1	low	d__Bacteria	d__Bacteria	p__Armatimonadota	p__Ratteibacteria	g__CADCTO01	g__B48-G9	s__CADCTO01 sp902805585	s__B48-G9 sp003644395						0.000000	0.000000						3	0	0	BELOW_DETECTION	
GCA_017992555.1	GCA_002869225.1	low	d__Bacteria	d__Bacteria	p__Caldisericota	p__Muirbacteria	g__JAAYUI01	g__Muirbacterium	s__JAAYUI01 sp017992555	s__Muirbacterium halophilum						0.000000	0.000000						0	0	0	BELOW_DETECTION	
GCA_001898035.1	GCA_009839975.1	low	d__Bacteria	d__Bacteria	p__Armatimonadota	p__Poribacteria	g__55-13	g__MSPOR6	s__55-13 sp001898035	s__MSPOR6 sp009839975						0.000000	0.000000						0	0	0	BELOW_DETECTION	
GCA_001303705.1	GCA_016290135.1	low	d__Bacteria	d__Bacteria	p__TA06	p__UBP6	g__SM1-40	g__UBA1177	s__SM1-40 sp001303705	s__UBA1177 sp016290135						0.000000	0.000000						1	0	0	BELOW_DETECTION	
GCA_015486015.1	GCA_016213885.1	low	d__Bacteria	d__Bacteria	p__Thermosulfidibacterota	p__UBP17	g__WFSI01	g__JACQZM01	s__WFSI01 sp015486015	s__JACQZM01 sp016213885						0.000000	0.000000						0	0	0	BELOW_DETECTION	
GCA_016184235.1	GCA_016218565.1	low	d__Bacteria	d__Bacteria	p__Desulfobacterota_B	p__UBA6262	g__UBA9968	g__UBA6262	s__UBA9968 sp016184235	s__UBA6262 sp016218565						0.000000	0.000000						0	0	0	BELOW_DETECTION	
GCA_001304015.1	GCA_016783825.1	low	d__Bacteria	d__Bacteria	p__TA06_A	p__KSB1	g__SM23-81	g__BS750m-G10	s__SM23-81 sp001304015	s__BS750m-G10 sp016783825						0.000000	0.000000						0	0	0	BELOW_DETECTION	
GCA_001304015.1	GCA_003648675.1	low	d__Bacteria	d__Bacteria	p__TA06_A	p__Thermosulfidibacterota	g__SM23-81	g__B14-G1	s__SM23-81 sp001304015	s__B14-G1 sp003648675						0.000000	0.000000						1	0	0	BELOW_DETECTION	
GCA_001512835.1	GCA_016188575.1	low	d__Bacteria	d__Bacteria	p__Firmicutes_D	p__CSSED10-310	g__DTU022	g__JACPHN01	s__DTU022 sp001512835	s__JACPHN01 sp016188575						0.000000	0.000000						1	0	0	BELOW_DETECTION	
GCF_003217235.1	GCA_018268255.1	low	d__Bacteria	d__Bacteria	p__Proteobacteria	p__Armatimonadota	g__Paramesorhizobium	g__UBA2391	s__Paramesorhizobium leguminum	s__UBA2391 sp018268255						0.000000	0.000000						1	0	0	BELOW_DETECTION	
GCA_003160265.1	GCA_018725175.1	low	d__Bacteria	d__Bacteria	p__Firmicutes_B	p__HKB111	g__Palsa-1188	g__HKB111	s__Palsa-1188 sp003160265	s__HKB111 sp018725175						0.000000	0.000000						0	0	0	BELOW_DETECTION	
GCA_002256535.1	GCA_004376575.1	low	d__Bacteria	d__Bacteria	p__WOR-3	p__TA06	g__NMUJ01	g__E44-bin18	s__NMUJ01 sp002256535	s__E44-bin18 sp004376575						0.000000	0.000000						1	0	0	BELOW_DETECTION	
GCA_016192135.1	GCA_012515635.1	low	d__Bacteria	d__Bacteria	p__UBA8248	p__Ratteibacteria	g__2-12-FULL-69-37	g__JAFGKM01	s__2-12-FULL-69-37 sp016192135	s__JAFGKM01 sp012515635						0.000000	0.000000						0	0	0	BELOW_DETECTION	
GCA_014384545.1	GCF_900167275.1	low	d__Bacteria	d__Bacteria	p__UBP7	p__Fusobacteriota	g__NIOZ-UU106	g__Cetobacterium	s__NIOZ-UU106 sp014384545	s__Cetobacterium ceti						0.000000	0.000000						0	0	0	BELOW_DETECTION	
GCA_003220595.1	GCA_014361245.1	low	d__Bacteria	d__Archaea	p__Methylomirabilota	p__Thermoplasmatota	g__AR19	g__JACIWB01	s__AR19 sp003220595	s__JACIWB01 sp014361245						0.000000	0.000000						0	0	0	BELOW_DETECTION	
GCA_003235365.1	GCA_002779825.1	low	d__Bacteria	d__Bacteria	p__Myxococcota	p__Armatimonadota	g__SZUA-265	g__CG2-30-66-41	s__SZUA-265 sp003235365	s__CG2-30-66-41 sp002779825						0.000000	0.000000						1	0	0	BELOW_DETECTION	
GCA_004195025.1	GCA_016179965.1	low	d__Bacteria	d__Bacteria	p__SZUA-79	p__Methylomirabilota	g__Acididesulfobacter	g__CSP1-6	s__Acididesulfobacter diazotrophicus	s__CSP1-6 sp016179965						0.000000	0.000000						0	0	0	BELOW_DETECTION	
GCA_014360495.1	GCA_015661465.1	low	d__Bacteria	d__Bacteria	p__JACIXR01	p__Aquificota	g__JACIXR01	g__Aquifex	s__JACIXR01 sp014360495	s__Aquifex aeolicus_B						0.000000	0.000000						0	0	0	BELOW_DETECTION	
GCA_004298675.1	GCF_005774685.2	low	d__Bacteria	d__Bacteria	p__Eremiobacterota	p__Firmicutes	g__SCRA01	g__Phytoplasma	s__SCRA01 sp004298675	s__Phytoplasma sp005774685						0.000000	0.000000						0	0	0	BELOW_DETECTION	
GCA_016839945.1	GCA_016784425.1	low	d__Archaea	d__Bacteria	p__Asgardarchaeota	p__Delongbacteria	g__UBA460	g__BS150m-G50	s__UBA460 sp016839945	s__BS150m-G50 sp016784425						0.000000	0.000000						0	0	0	BELOW_DETECTION	
GCA_014360495.1	GCA_017464525.1	low	d__Bacteria	d__Bacteria	p__JACIXR01	p__Firmicutes_A	g__JACIXR01	g__QAKW01	s__JACIXR01 sp014360495	s__QAKW01 sp017464525						0.000000	0.000000						0	0	0	BELOW_DETECTION	
GCA_016199305.1	GCA_016784425.1	low	d__Bacteria	d__Bacteria	p__CSP1-3	p__Delongbacteria	g__JACQGZ01	g__BS150m-G50	s__JACQGZ01 sp016199305	s__BS150m-G50 sp016784425						0.000000	0.000000						0	0	0	BELOW_DETECTION	
GCA_001798105.1	GCA_001777915.1	low	d__Bacteria	d__Bacteria	p__Bdellovibrionota_E	p__Edwardsbacteria	g__2-02-FULL-40-11	g__UBA2226	s__2-02-FULL-40-11 sp001798105	s__UBA2226 sp001777915						0.000000	0.000000						0	0	0	BELOW_DETECTION	
GCA_007122455.1	GCA_016202395.1	low	d__Archaea	d__Bacteria	p__Halobacteriota	p__JACQOV01	g__Natronomonas	g__JACQOV01	s__Natronomonas sp007122455	s__JACQOV01 sp016202395						0.000000	0.000000						0	0	0	BELOW_DETECTION	
GCA_002068205.1	GCA_002478245.1	low	d__Bacteria	d__Bacteria	p__Sumerlaeota	p__UBP18	g__MVZB01	g__UBA7526	s__MVZB01 sp002068205	s__UBA7526 sp002478245						0.000000	0.000000						1	0	0	BELOW_DETECTION	
GCA_900321865.1	GCA_003221805.1	low	d__Bacteria	d__Bacteria	p__RUG730	p__Gemmatimonadota	g__RUG730	g__UBA4720	s__RUG730 sp900321865	s__UBA4720 sp003221805						0.000000	0.000000						0	0	0	BELOW_DETECTION	
GCA_011338205.1	GCA_001791795.1	low	d__Bacteria	d__Bacteria	p__SZUA-182	p__Wallbacteria	g__DTGQ01	g__UBA9980	s__DTGQ01 sp011338205	s__UBA9980 sp001791795						0.000000	0.000000						0	0	0	BELOW_DETECTION	
GCA_017853605.1	GCA_003498085.1	low	d__Bacteria	d__Bacteria	p__Bdellovibrionota_C	p__UBA9089	g__OMII01	g__UBA9088	s__OMII01 sp017853605	s__UBA9088 sp003498085						0.000000	0.000000						0	0	0	BELOW_DETECTION	
GCA_002898015.1	GCF_000215955.2	low	d__Bacteria	d__Bacteria	p__JdFR-76	p__Proteobacteria	g__BMS3Abin05	g__Salinisphaera	s__BMS3Abin05 sp002898015	s__Salinisphaera shabanensis						0.000000	0.000000						1	0	0	BELOW_DETECTION	
GCA_001873295.1	GCA_016200385.1	low	d__Bacteria	d__Bacteria	p__CG2-30-70-394	p__Methylomirabilota	g__CG2-30-70-394	g__Methylomirabilis	s__CG2-30-70-394 sp001873295	s__Methylomirabilis sp016200385						0.000000	0.000000						1	0	0	BELOW_DETECTION	
GCA_001790645.1	GCA_003229755.1	low	d__Bacteria	d__Bacteria	p__Schekmanbacteria	p__BMS3Abin14	g__GWA2-38-11	g__SZUA-178	s__GWA2-38-11 sp001790645	s__SZUA-178 sp003229755						0.000000	0.000000						0	0	0	BELOW_DETECTION	
GCA_016928555.1	GCA_009724975.1	low	d__Bacteria	d__Bacteria	p__Ratteibacteria	p__Desulfobacterota_C	g__JAFGKM01	g__SCTA01	s__JAFGKM01 sp016928555	s__SCTA01 sp009724975						0.000000	0.000000						0	0	0	BELOW_DETECTION	
GCA_018644935.1	GCA_003644925.1	low	d__Bacteria	d__Bacteria	p__AABM5-125-24	p__Fermentibacterota	g__JABGPL01	g__Aegiribacteria	s__JABGPL01 sp018644935	s__Aegiribacteria sp003644925						0.000000	0.000000						0	0	0	BELOW_DETECTION	
GCA_016235665.1	GCA_016180645.1	low	d__Bacteria	d__Bacteria	p__Edwardsbacteria	p__JACPQY01	g__UBA5202	g__JACPAV01	s__UBA5202 sp016235665	s__JACPAV01 sp016180645						0.000000	0.000000						1	0	0	BELOW_DETECTION	
GCF_000020145.1	GCA_001513125.1	low	d__Bacteria	d__Bacteria	p__Elusimicrobiota	p__DTU030	g__Elusimicrobium	g__DTU030	s__Elusimicrobium minutum	s__DTU030 sp001513125						0.000000	0.000000						1	0	0	BELOW_DETECTION	
GCA_903930515.1	GCA_001803565.1	low	d__Bacteria	d__Bacteria	p__RBG-13-61-14	p__Nitrospinota_B	g__CAIYYW01	g__2-12-FULL-45-22	s__CAIYYW01 sp903930515	s__2-12-FULL-45-22 sp001803565						0.000000	0.000000						0	0	0	BELOW_DETECTION	
GCA_008534395.1	GCA_009841115.1	low	d__Bacteria	d__Bacteria	p__SZUA-79	p__Latescibacterota	g__Acidulodesulfobacterium	g__GCA-2724215	s__Acidulodesulfobacterium acidiphilum	s__GCA-2724215 sp009841115						0.000000	0.000000						1	0	0	BELOW_DETECTION	
GCA_011051175.1	GCA_002423385.1	low	d__Bacteria	d__Bacteria	p__WOR-3	p__Wallbacteria	g__DTMZ01	g__UBA9980	s__DTMZ01 sp011051175	s__UBA9980 sp002423385						0.000000	0.000000						0	0	0	BELOW_DETECTION	
GCA_015520045.1	GCF_900110695.1	low	d__Archaea	d__Bacteria	p__Thermoplasmatota	p__Firmicutes	g__WAQW01	g__Lentibacillus	s__WAQW01 sp015520045	s__Lentibacillus subterraneus						0.000000	0.000000						0	0	0	BELOW_DETECTION	
GCA_900321865.1	GCF_004339245.1	low	d__Bacteria	d__Bacteria	p__RUG730	p__Deferribacterota	g__RUG730	g__Seleniivibrio	s__RUG730 sp900321865	s__Seleniivibrio woodruffii						0.000000	0.000000						0	0	0	BELOW_DETECTION	
GCA_011358715.1	GCA_002686955.1	low	d__Bacteria	d__Bacteria	p__SZUA-79	p__Gemmatimonadota_A	g__Acidulodesulfobacterium	g__GCA-2686955	s__Acidulodesulfobacterium sp011358715	s__GCA-2686955 sp002686955						0.000000	0.000000						0	0	0	BELOW_DETECTION	
GCA_013139905.1	GCA_016784425.1	low	d__Archaea	d__Bacteria	p__EX4484-52	p__Delongbacteria	g__GLR112	g__BS150m-G50	s__GLR112 sp013139905	s__BS150m-G50 sp016784425						0.000000	0.000000						0	0	0	BELOW_DETECTION	
GCA_011047985.1	GCF_017939745.1	low	d__Archaea	d__Bacteria	p__Aenigmatarchaeota	p__Planctomycetota	g__SpSt-28	g__Gemmata	s__SpSt-28 sp011047985	s__Gemmata sp017939745						0.000000	0.000000						0	0	0	BELOW_DETECTION	
GCA_016932965.1	GCA_003644925.1	low	d__Bacteria	d__Bacteria	p__JAFGBW01	p__Fermentibacterota	g__JAFGBW01	g__Aegiribacteria	s__JAFGBW01 sp016932965	s__Aegiribacteria sp003644925						0.000000	0.000000						0	0	0	BELOW_DETECTION	
GCF_000972705.2	GCA_902727895.1	low	d__Bacteria	d__Bacteria	p__Cyanobacteria	p__Campylobacterota	g__Lyngbya	g__UBA1140	s__Lyngbya robusta	s__UBA1140 sp902727895						0.000000	0.000000						0	0	0	BELOW_DETECTION	
GCA_018220935.1	GCA_017999075.1	low	d__Archaea	d__Bacteria	p__SpSt-1190	p__JAGOBX01	g__JAAOXX01	g__JAGOBX01	s__JAAOXX01 sp018220935	s__JAGOBX01 sp017999075						0.000000	0.000000						0	0	0	BELOW_DETECTION	
GCF_000190635.1	GCA_900321865.1	low	d__Bacteria	d__Bacteria	p__Firmicutes_B	p__RUG730	g__Syntrophobotulus	g__RUG730	s__Syntrophobotulus glycolicus	s__RUG730 sp900321865						0.000000	0.000000						0	0	0	BELOW_DETECTION	
GCA_013151235.1	GCA_002687935.1	low	d__Bacteria	d__Archaea	p__CG2-30-53-67	p__Undinarchaeota	g__JAADIO01	g__Undinarchaeum	s__JAADIO01 sp013151235	s__Undinarchaeum sp002687935						0.000000	0.000000						0	0	0	BELOW_DETECTION	
GCA_002085035.1	GCF_003057965.1	low	d__Bacteria	d__Bacteria	p__JdFR-76	p__Thermodesulfobiota	g__4484-219	g__Thermodesulfobium	s__4484-219 sp002085035	s__Thermodesulfobium acidiphilum						0.000000	0.000000						3	0	0	BELOW_DETECTION	
GCA_002428325.1	GCA_011388515.1	low	d__Bacteria	d__Bacteria	p__UBP4	p__RBG-13-61-14	g__UBA4092	g__DRUE01	s__UBA4092 sp002428325	s__DRUE01 sp011388515						0.000000	0.000000						0	0	0	BELOW_DETECTION	
GCA_005777235.1	GCA_002422125.1	low	d__Bacteria	d__Bacteria	p__Tectomicrobia	p__UBP17	g__SXND01	g__UBA6191	s__SXND01 sp005777235	s__UBA6191 sp002422125						0.000000	0.000000						0	0	0	BELOW_DETECTION	
GCA_001603805.1	GCA_011388515.1	low	d__Bacteria	d__Bacteria	p__Deferribacterota	p__RBG-13-61-14	g__Geovibrio	g__DRUE01	s__Geovibrio sp001603805	s__DRUE01 sp011388515						0.000000	0.000000						0	0	0	BELOW_DETECTION	
GCA_012513815.1	GCA_018220935.1	low	d__Bacteria	d__Archaea	p__Sumerlaeota	p__SpSt-1190	g__JAAZBM01	g__JAAOXX01	s__JAAZBM01 sp012513815	s__JAAOXX01 sp018220935						0.000000	0.000000						0	0	0	BELOW_DETECTION	
GCA_002344135.1	GCA_002441095.1	low	d__Bacteria	d__Bacteria	p__Armatimonadota	p__UBA6262	g__UBA6659	g__UBA6262	s__UBA6659 sp002344135	s__UBA6262 sp002441095						0.000000	0.000000						0	0	0	BELOW_DETECTION	
GCA_002501535.1	GCA_003695505.1	low	d__Bacteria	d__Bacteria	p__UBP7	p__J088	g__UBA6624	g__J088	s__UBA6624 sp002501535	s__J088 sp003695505						0.000000	0.000000						0	0	0	BELOW_DETECTION	
GCA_003165075.1	GCA_016186995.1	low	d__Bacteria	d__Bacteria	p__Acidobacteriota	p__Bdellovibrionota_E	g__Terracidiphilus	g__JACPKQ01	s__Terracidiphilus sp003165075	s__JACPKQ01 sp016186995						0.000000	0.000000						1	0	0	BELOW_DETECTION	
GCA_002084765.1	GCF_000007185.1	low	d__Bacteria	d__Archaea	p__4572-55	p__Methanobacteriota_A	g__4572-55	g__Methanopyrus	s__4572-55 sp002084765	s__Methanopyrus kandleri						0.000000	0.000000						0	0	0	BELOW_DETECTION	
GCA_902774115.1	GCA_016196785.1	low	d__Bacteria	d__Bacteria	p__UBP6	p__Elusimicrobiota	g__UBA1177	g__JACPXA01	s__UBA1177 sp902774115	s__JACPXA01 sp016196785						0.000000	0.000000						0	0	0	BELOW_DETECTION	
GCA_016209885.1	GCA_001873285.1	low	d__Bacteria	d__Bacteria	p__Gemmatimonadota	p__CG2-30-53-67	g__JACQVF01	g__CG2-30-53-67	s__JACQVF01 sp016209885	s__CG2-30-53-67 sp001873285						0.000000	0.000000						3	0	0	BELOW_DETECTION	
GCA_016192455.1	GCF_902806995.1	low	d__Bacteria	d__Bacteria	p__JACPUC01	p__Chlamydiota	g__JACPUC01	g__Chlamydiifrater	s__JACPUC01 sp016192455	s__Chlamydiifrater volucris						0.000000	0.000000						0	0	0	BELOW_DETECTION	
GCA_003574845.1	GCA_016713535.1	low	d__Bacteria	d__Bacteria	p__NPL-UPA2	p__JADJOY01	g__NPL-UPA2	g__JADJOY01	s__NPL-UPA2 sp003574845	s__JADJOY01 sp016713535						0.000000	0.000000						1	0	0	BELOW_DETECTION	
GCA_009724975.1	GCA_011333985.1	low	d__Bacteria	d__Bacteria	p__Desulfobacterota_C	p__Dictyoglomota	g__SCTA01	g__OB1-4	s__SCTA01 sp009724975	s__OB1-4 sp011333985						0.000000	0.000000						1	0	0	BELOW_DETECTION	
GCA_012841005.1	GCA_011049955.1	low	d__Bacteria	d__Bacteria	p__DTU030	p__UBP18	g__DTU030	g__DRGV01	s__DTU030 sp012841005	s__DRGV01 sp011049955						0.000000	0.000000						0	0	0	BELOW_DETECTION	
GCA_003023745.1	GCA_002441095.1	low	d__Bacteria	d__Bacteria	p__Firmicutes_E	p__UBA6262	g__Sulfobacillus_B	g__UBA6262	s__Sulfobacillus_B acidophilus_A	s__UBA6262 sp002441095						0.000000	0.000000						0	0	0	BELOW_DETECTION	
GCA_016929055.1	GCA_016713535.1	low	d__Bacteria	d__Bacteria	p__KSB1	p__JADJOY01	g__JAFGJN01	g__JADJOY01	s__JAFGJN01 sp016929055	s__JADJOY01 sp016713535						0.000000	0.000000						1	0	0	BELOW_DETECTION	
GCA_014896295.1	GCA_003228585.1	low	d__Bacteria	d__Bacteria	p__Firmicutes_G	p__BMS3Abin14	g__Bu05	g__SZUA-204	s__Bu05 sp014896295	s__SZUA-204 sp003228585						0.000000	0.000000						0	0	0	BELOW_DETECTION	
GCA_003696125.1	GCA_016190245.1	low	d__Bacteria	d__Bacteria	p__Tectomicrobia	p__JACPQY01	g__J063	g__JACPQY01	s__J063 sp003696125	s__JACPQY01 sp016190245						0.000000	0.000000						1	0	0	BELOW_DETECTION	
GCA_002494495.1	GCA_001303705.1	low	d__Archaea	d__Bacteria	p__Methanobacteriota	p__TA06	g__Methanobacterium_A	g__SM1-40	s__Methanobacterium_A sp002494495	s__SM1-40 sp001303705						0.000000	0.000000						0	0	0	BELOW_DETECTION	
GCA_016212735.1	GCA_001783715.1	low	d__Bacteria	d__Bacteria	p__JACRDZ01	p__SAR324	g__JACRDZ01	g__XYC1-FULL-56-13	s__JACRDZ01 sp016212735	s__XYC1-FULL-56-13 sp001783715						0.000000	0.000000						0	0	0	BELOW_DETECTION	
GCA_018812925.1	GCA_018903055.1	low	d__Bacteria	d__Bacteria	p__CAIJMQ01	p__UBP18	g__CAIJMQ01	g__DRGV01	s__CAIJMQ01 sp018812925	s__DRGV01 sp018903055						0.000000	0.000000						0	0	0	BELOW_DETECTION	
GCA_001871015.1	GCA_013153415.1	low	d__Bacteria	d__Bacteria	p__Desantisbacteria	p__Desulfobacterota_C	g__UBA1559	g__JAADEO01	s__UBA1559 sp001871015	s__JAADEO01 sp013153415						0.000000	0.000000						0	0	0	BELOW_DETECTION	
GCA_016721565.1	GCA_007132905.1	low	d__Bacteria	d__Bacteria	p__AABM5-125-24	p__SLNR01	g__JABWCQ01	g__SLNR01	s__JABWCQ01 sp016721565	s__SLNR01 sp007132905						0.000000	0.000000						0	0	0	BELOW_DETECTION	
GCA_002363575.1	GCA_003542295.1	low	d__Bacteria	d__Bacteria	p__Verrucomicrobiota	p__Atribacterota	g__UBA1067	g__Atribacter	s__UBA1067 sp002363575	s__Atribacter sp003542295						0.000000	0.000000						0	0	0	BELOW_DETECTION	
GCA_015663075.1	GCA_002376005.1	low	d__Archaea	d__Bacteria	p__Methanobacteriota_A	p__Firmicutes_E	g__Methanofervidicoccus	g__UBA3561	s__Methanofervidicoccus okinawensis_C	s__UBA3561 sp002376005						0.000000	0.000000						0	0	0	BELOW_DETECTION	
GCA_012270675.1	GCA_903861835.1	low	d__Bacteria	d__Bacteria	p__Latescibacterota	p__Firestonebacteria	g__JAAXHW01	g__CAIOVX01	s__JAAXHW01 sp012270675	s__CAIOVX01 sp903861835						0.000000	0.000000						0	0	0	BELOW_DETECTION	
GCF_000020945.1	GCA_902513935.1	low	d__Bacteria	d__Bacteria	p__Coprothermobacterota	p__SAR324	g__Coprothermobacter	g__Arctic96AD-7	s__Coprothermobacter proteolyticus	s__Arctic96AD-7 sp902513935						0.000000	0.000000						0	0	0	BELOW_DETECTION	
GCA_011367535.1	GCA_016787925.1	low	d__Bacteria	d__Bacteria	p__Goldbacteria	p__CLD3	g__DSYL01	g__SB21	s__DSYL01 sp011367535	s__SB21 sp016787925						0.000000	0.000000						0	0	0	BELOW_DETECTION	
GCA_002436025.1	GCA_016190245.1	low	d__Bacteria	d__Bacteria	p__Fermentibacterota	p__JACPQY01	g__UBA6080	g__JACPQY01	s__UBA6080 sp002436025	s__JACPQY01 sp016190245						0.000000	0.000000						0	0	0	BELOW_DETECTION	
GCA_016937995.1	GCA_011049195.1	low	d__Bacteria	d__Archaea	p__Delongbacteria	p__SpSt-1190	g__WTAK01	g__SpSt-1190	s__WTAK01 sp016937995	s__SpSt-1190 sp011049195						0.000000	0.000000						0	0	0	BELOW_DETECTION	
GCA_018725485.1	GCA_900764925.1	low	d__Bacteria	d__Bacteria	p__HKB111	p__Fusobacteriota	g__HKB111	g__Fusobacterium_A	s__HKB111 sp018725485	s__Fusobacterium_A sp900764925						0.000000	0.000000						0	0	0	BELOW_DETECTION	
GCA_016926495.1	GCA_016202335.1	low	d__Bacteria	d__Bacteria	p__JAFGOL01	p__UBA10199	g__JAFGOL01	g__JACQOX01	s__JAFGOL01 sp016926495	s__JACQOX01 sp016202335						0.000000	0.000000						0	0	0	BELOW_DETECTION	
GCA_001790855.1	GCA_018400715.1	low	d__Bacteria	d__Bacteria	p__Schekmanbacteria	p__Bipolaricaulota	g__2-02-FULL-38-14-A	g__M55B111	s__2-02-FULL-38-14-A sp001790855	s__M55B111 sp018400715						0.000000	0.000000						1	0	0	BELOW_DETECTION	
GCA_903875225.1	GCA_002440765.1	low	d__Bacteria	d__Bacteria	p__Myxococcota_A	p__UBA6266	g__CAIUMM01	g__UBA6266	s__CAIUMM01 sp903875225	s__UBA6266 sp002440765						0.000000	0.000000						0	0	0	BELOW_DETECTION	
GCA_018725485.1	GCA_900321865.1	low	d__Bacteria	d__Bacteria	p__HKB111	p__RUG730	g__HKB111	g__RUG730	s__HKB111 sp018725485	s__RUG730 sp900321865						0.000000	0.000000						0	0	0	BELOW_DETECTION	
GCA_003696125.1	GCA_007136565.1	low	d__Bacteria	d__Bacteria	p__Tectomicrobia	p__Firmicutes_E	g__J063	g__CSSED11-154	s__J063 sp003696125	s__CSSED11-154 sp007136565						0.000000	0.000000						0	0	0	BELOW_DETECTION	
GCA_016932385.1	GCA_002162075.1	low	d__Bacteria	d__Bacteria	p__4484-113	p__Armatimonadota	g__JAFGCY01	g__UphvI-Ar2	s__JAFGCY01 sp016932385	s__UphvI-Ar2 sp002162075						0.000000	0.000000						0	0	0	BELOW_DETECTION	
GCA_012729785.1	GCA_016840125.1	low	d__Bacteria	d__Archaea	p__UBA1439	p__Asgardarchaeota	g__UBA1439	g__JABXJT01	s__UBA1439 sp002329605	s__JABXJT01 sp016840125						0.000000	0.000000						0	0	0	BELOW_DETECTION	
GCA_011047215.1	GCA_002308555.1	low	d__Bacteria	d__Bacteria	p__DRYD01	p__UBA3054	g__DSNQ01	g__UBA3054	s__DSNQ01 sp011047215	s__UBA3054 sp002308555						0.000000	0.000000						0	0	0	BELOW_DETECTION	
GCA_003170555.1	GCF_014648115.1	low	d__Bacteria	d__Bacteria	p__FEN-1099	p__Deinococcota	g__FEN-1099	g__Deinococcus	s__FEN-1099 sp003170555	s__Deinococcus seoulensis						0.000000	0.000000						6	0	0	BELOW_DETECTION	
GCA_017526725.1	GCA_015487405.1	low	d__Bacteria	d__Bacteria	p__Riflebacteria	p__Aquificota	g__RUG334	g__Aquifex	s__RUG334 sp017526725	s__Aquifex sp015487405						0.000000	0.000000						0	0	0	BELOW_DETECTION	
GCA_001791795.1	GCA_015493745.1	low	d__Bacteria	d__Bacteria	p__Wallbacteria	p__Calditrichota	g__UBA9980	g__J004	s__UBA9980 sp001791795	s__J004 sp011051485						0.000000	0.000000						0	0	0	BELOW_DETECTION	
GCA_005879255.1	GCA_014360465.1	low	d__Bacteria	d__Bacteria	p__Desulfobacterota_B	p__JACIXR01	g__DP-20	g__JACIXR01	s__DP-20 sp005879255	s__JACIXR01 sp014360465						0.000000	0.000000						0	0	0	BELOW_DETECTION	
GCA_002348725.1	GCA_003575245.1	low	d__Bacteria	d__Bacteria	p__Marinisomatota	p__Atribacterota	g__Marinisoma	g__34-128	s__Marinisoma sp002348725	s__34-128 sp003575245						0.000000	0.000000						0	0	0	BELOW_DETECTION	
GCA_017538365.1	GCA_016203765.1	low	d__Bacteria	d__Bacteria	p__UBP6	p__UBA10199	g__UBA1177	g__JACQMB01	s__UBA1177 sp017538365	s__JACQMB01 sp016203765						0.000000	0.000000						0	0	0	BELOW_DETECTION	
GCA_002686955.1	GCA_001730085.1	low	d__Bacteria	d__Bacteria	p__Gemmatimonadota_A	p__GCA-001730085	g__GCA-2686955	g__GCA-001730085	s__GCA-2686955 sp002686955	s__GCA-001730085 sp001730085						0.000000	0.000000						0	0	0	BELOW_DETECTION	
GCA_003644825.1	GCA_013619155.1	low	d__Bacteria	d__Bacteria	p__SM23-31	p__Desulfobacterota	g__B21-G16	g__Desulfoluna	s__B21-G16 sp003644825	s__Desulfoluna sp013619155						0.000000	0.000000						0	0	0	BELOW_DETECTION	
