genome	n_markers	n_present	fraction_present	status	missing_markers	status_extended	n_cag_sv	cag_sv_types	cag_sv_list
GCA_009740855.1	28	25	0.8928571428571429	complete	HP0521,HP0527|cagY,HP0546|cagB	complete_rearranged	3	INV;TRA	TRA:1459-1666206;INV:555866-579658;INV:546143-556632
GCA_009740865.1	28	26	0.9285714285714286	complete	HP0521,HP0527|cagY	complete_rearranged	2	INV	INV:557664-613541;INV:516580-557053
GCA_009740975.1	28	25	0.8928571428571429	complete	HP0521,HP0527|cagY,HP0546|cagB	complete_rearranged	2	INV;TRA	TRA:1459-1666206;INV:541423-556508
GCA_009740985.1	28	25	0.8928571428571429	complete	HP0521,HP0527|cagY,HP0546|cagB	complete_rearranged	2	INV;TRA	TRA:1459-1666206;INV:557542-613663
GCA_009741025.1	28	24	0.8571428571428571	complete	HP0521,HP0527|cagY,HP0535|cagQ,HP0546|cagB	complete_rearranged	2	INV;TRA	TRA:1459-1666206;INV:560020-606500
GCA_009741065.1	28	25	0.8928571428571429	complete	HP0521,HP0527|cagY,HP0546|cagB	complete_rearranged	4	INV;TRA	TRA:1459-1666206;TRA:72417-1481477;INV:557664-579658;INV:545405-556531
GCA_009741085.1	28	25	0.8928571428571429	complete	HP0521,HP0527|cagY,HP0546|cagB	complete_rearranged	1	TRA	TRA:1459-1655350
GCA_009741095.1	28	25	0.8928571428571429	complete	HP0521,HP0527|cagY,HP0546|cagB	complete_rearranged	3	INV;TRA	TRA:1459-1666206;INV:580046-613447;INV:557664-579658
GCA_009741145.1	28	25	0.8928571428571429	complete	HP0521,HP0527|cagY,HP0535|cagQ	complete_rearranged	2	INV;TRA	TRA:1459-1666206;INV:558062-559039
GCA_009741165.1	28	25	0.8928571428571429	complete	HP0521,HP0527|cagY,HP0546|cagB	complete_rearranged	1	TRA	TRA:1459-1658994
GCA_011140365.1	28	0	0.0	empty	HP0520|cag1,HP0521,HP0522|cag3,HP0523|cag4,HP0524|cag5,HP0525|virB11,HP0526|cagZ,HP0527|cagY,HP0528|cagX,HP0529|cagW,HP0530|cagV,HP0531|cagU,HP0532|cagT,HP0534|cagS,HP0535|cagQ,HP0536|cagP,HP0537|cagM,HP0538|cagN,HP0539|cagL,HP0540|cagI,HP0541,HP0542|cagG,HP0543|cagF,HP0544|cagE,HP0545|cagD,HP0546|cagC,HP0546|cagB,HP0547|cagA	empty	1	TRA	TRA:1459-1664863
GCA_011140425.1	28	25	0.8928571428571429	complete	HP0521,HP0527|cagY,HP0546|cagB	complete_rearranged	1	TRA	TRA:2361-1666206
GCA_011140435.1	28	26	0.9285714285714286	complete	HP0521,HP0527|cagY	complete_rearranged	2	INV;TRA	INV:559882-696567;TRA:1459-1666206
GCA_011140475.1	28	0	0.0	empty	HP0520|cag1,HP0521,HP0522|cag3,HP0523|cag4,HP0524|cag5,HP0525|virB11,HP0526|cagZ,HP0527|cagY,HP0528|cagX,HP0529|cagW,HP0530|cagV,HP0531|cagU,HP0532|cagT,HP0534|cagS,HP0535|cagQ,HP0536|cagP,HP0537|cagM,HP0538|cagN,HP0539|cagL,HP0540|cagI,HP0541,HP0542|cagG,HP0543|cagF,HP0544|cagE,HP0545|cagD,HP0546|cagC,HP0546|cagB,HP0547|cagA	empty	2	DEL;INV	DEL:546687-587157;INV:535899-547039
GCA_011140535.1	28	26	0.9285714285714286	complete	HP0521,HP0527|cagY	complete_rearranged	2	INV;TRA	TRA:1459-1666206;INV:516627-556682
GCA_011140555.1	28	25	0.8928571428571429	complete	HP0521,HP0527|cagY,HP0546|cagB	complete_rearranged	2	INV;TRA	TRA:2145-1666206;INV:583437-695729
GCA_011140595.1	28	25	0.8928571428571429	complete	HP0521,HP0527|cagY,HP0547|cagA	complete_rearranged	4	DEL;INV;TRA	TRA:456998-1067641;INV:545600-579949;DEL:556375-558173;TRA:1459-1666206
GCA_011140625.1	28	27	0.9642857142857143	complete	HP0527|cagY	complete_rearranged	3	INV;TRA	INV:583422-663418;INV:546188-557011;TRA:1459-1666206
GCA_011140745.1	28	26	0.9285714285714286	complete	HP0521,HP0527|cagY	complete_rearranged	2	INV;TRA	INV:583422-663418;TRA:1459-1660648
GCA_011140755.1	28	26	0.9285714285714286	complete	HP0521,HP0527|cagY	complete_rearranged	3	INV;TRA	INV:583454-696535;TRA:1459-1666206;INV:557609-579713
GCA_011140795.1	28	0	0.0	empty	HP0520|cag1,HP0521,HP0522|cag3,HP0523|cag4,HP0524|cag5,HP0525|virB11,HP0526|cagZ,HP0527|cagY,HP0528|cagX,HP0529|cagW,HP0530|cagV,HP0531|cagU,HP0532|cagT,HP0534|cagS,HP0535|cagQ,HP0536|cagP,HP0537|cagM,HP0538|cagN,HP0539|cagL,HP0540|cagI,HP0541,HP0542|cagG,HP0543|cagF,HP0544|cagE,HP0545|cagD,HP0546|cagC,HP0546|cagB,HP0547|cagA	empty	4	DEL;INV;TRA	DEL:546687-587157;INV:531795-547365;TRA:532473-1059225;TRA:1459-1666206
GCA_011140935.1	28	26	0.9285714285714286	complete	HP0521,HP0546|cagB	complete_rearranged	1	TRA	TRA:2145-1666206
GCA_011140995.1	28	25	0.8928571428571429	complete	HP0521,HP0527|cagY,HP0546|cagB	complete_rearranged	3	INV;TRA	INV:583016-584534;INV:556112-579449;TRA:2145-1660648
GCA_011141035.1	28	27	0.9642857142857143	complete	HP0521	complete_rearranged	3	INV;TRA	TRA:456998-1067641;INV:516627-696551;TRA:1459-1666206
GCA_011141045.1	28	0	0.0	empty	HP0520|cag1,HP0521,HP0522|cag3,HP0523|cag4,HP0524|cag5,HP0525|virB11,HP0526|cagZ,HP0527|cagY,HP0528|cagX,HP0529|cagW,HP0530|cagV,HP0531|cagU,HP0532|cagT,HP0534|cagS,HP0535|cagQ,HP0536|cagP,HP0537|cagM,HP0538|cagN,HP0539|cagL,HP0540|cagI,HP0541,HP0542|cagG,HP0543|cagF,HP0544|cagE,HP0545|cagD,HP0546|cagC,HP0546|cagB,HP0547|cagA	empty	2	DEL;TRA	TRA:1459-1666206;DEL:546687-587157
GCA_011141095.1	28	26	0.9285714285714286	complete	HP0521,HP0527|cagY	complete_rearranged	2	INV;TRA	TRA:1459-1666206;INV:516790-557267
GCA_011141115.1	28	25	0.8928571428571429	complete	HP0521,HP0527|cagY,HP0546|cagB	complete_rearranged	2	INV;TRA	TRA:1459-1666206;INV:516562-557071
GCA_011141135.1	28	25	0.8928571428571429	complete	HP0521,HP0527|cagY,HP0546|cagB	complete_rearranged	3	INV;TRA	INV:557542-659522;TRA:2361-1666206;INV:516562-557071
GCA_011174985.1	28	0	0.0	empty	HP0520|cag1,HP0521,HP0522|cag3,HP0523|cag4,HP0524|cag5,HP0525|virB11,HP0526|cagZ,HP0527|cagY,HP0528|cagX,HP0529|cagW,HP0530|cagV,HP0531|cagU,HP0532|cagT,HP0534|cagS,HP0535|cagQ,HP0536|cagP,HP0537|cagM,HP0538|cagN,HP0539|cagL,HP0540|cagI,HP0541,HP0542|cagG,HP0543|cagF,HP0544|cagE,HP0545|cagD,HP0546|cagC,HP0546|cagB,HP0547|cagA	empty	4	DEL;TRA	TRA:23363-1502060;TRA:499613-987673;TRA:1459-1664863;DEL:546687-587157
GCA_011175015.1	28	26	0.9285714285714286	complete	HP0521,HP0527|cagY	complete_rearranged	2	INV;TRA	TRA:1459-1656308;INV:555381-654653
GCA_011175035.1	28	26	0.9285714285714286	complete	HP0521,HP0527|cagY	complete_rearranged	1	INV	INV:516562-556232
GCA_011175045.1	28	0	0.0	empty	HP0520|cag1,HP0521,HP0522|cag3,HP0523|cag4,HP0524|cag5,HP0525|virB11,HP0526|cagZ,HP0527|cagY,HP0528|cagX,HP0529|cagW,HP0530|cagV,HP0531|cagU,HP0532|cagT,HP0534|cagS,HP0535|cagQ,HP0536|cagP,HP0537|cagM,HP0538|cagN,HP0539|cagL,HP0540|cagI,HP0541,HP0542|cagG,HP0543|cagF,HP0544|cagE,HP0545|cagD,HP0546|cagC,HP0546|cagB,HP0547|cagA	empty	2	DEL;TRA	DEL:546687-587157;TRA:1459-1666206
GCA_011175075.1	28	25	0.8928571428571429	complete	HP0521,HP0527|cagY,HP0546|cagB	complete_rearranged	1	TRA	TRA:1459-1664863
GCA_011175085.1	28	0	0.0	empty	HP0520|cag1,HP0521,HP0522|cag3,HP0523|cag4,HP0524|cag5,HP0525|virB11,HP0526|cagZ,HP0527|cagY,HP0528|cagX,HP0529|cagW,HP0530|cagV,HP0531|cagU,HP0532|cagT,HP0534|cagS,HP0535|cagQ,HP0536|cagP,HP0537|cagM,HP0538|cagN,HP0539|cagL,HP0540|cagI,HP0541,HP0542|cagG,HP0543|cagF,HP0544|cagE,HP0545|cagD,HP0546|cagC,HP0546|cagB,HP0547|cagA	empty	3	DEL;INV;TRA	INV:516667-696511;DEL:546687-587157;TRA:476313-1469829
GCA_011175115.1	28	26	0.9285714285714286	complete	HP0521,HP0527|cagY	complete_rearranged	3	INV;TRA	TRA:1459-1666206;INV:545405-556531;TRA:474832-579149
GCA_011175145.1	28	26	0.9285714285714286	complete	HP0521,HP0527|cagY	complete_rearranged	3	INV;TRA	TRA:499613-987673;INV:557541-696552;TRA:1459-1656308
GCA_011175195.1	28	26	0.9285714285714286	complete	HP0521,HP0527|cagY	complete_rearranged	3	INV;TRA	INV:582429-716495;TRA:474832-1154575;TRA:1459-1666206
GCA_011175215.1	28	26	0.9285714285714286	complete	HP0521,HP0527|cagY	complete_rearranged	3	INV;TRA	INV:516580-557053;INV:558187-579713;TRA:1459-1666206
GCA_011175275.1	28	27	0.9642857142857143	complete	HP0521	complete_rearranged	2	INV;TRA	TRA:1459-1658994;INV:516582-696596
GCA_011175295.1	28	26	0.9285714285714286	complete	HP0521,HP0527|cagY	complete_rearranged	3	INV;TRA	TRA:1459-1666206;INV:516627-556733;INV:557980-573660
GCA_011175315.1	28	27	0.9642857142857143	complete	HP0521	complete_rearranged	1	TRA	TRA:2145-1664863
GCA_011175325.1	28	26	0.9285714285714286	complete	HP0521,HP0527|cagY	complete_rearranged	2	INV;TRA	TRA:1459-1664863;INV:516424-556370
GCA_011175335.1	28	26	0.9285714285714286	complete	HP0521,HP0527|cagY	complete_rearranged	4	INV;TRA	TRA:1459-1666206;INV:545405-557370;TRA:474832-1154575;TRA:499613-987673
GCA_011175375.1	28	27	0.9642857142857143	complete	HP0521	complete_rearranged	3	INV;TRA	TRA:1459-1656308;TRA:474832-579149;INV:545769-579780
GCA_011175395.1	28	27	0.9642857142857143	complete	HP0521	complete_rearranged	2	INV;TRA	INV:481877-696637;TRA:331915-949331
GCA_014496385.1	28	0	0.0	empty	HP0520|cag1,HP0521,HP0522|cag3,HP0523|cag4,HP0524|cag5,HP0525|virB11,HP0526|cagZ,HP0527|cagY,HP0528|cagX,HP0529|cagW,HP0530|cagV,HP0531|cagU,HP0532|cagT,HP0534|cagS,HP0535|cagQ,HP0536|cagP,HP0537|cagM,HP0538|cagN,HP0539|cagL,HP0540|cagI,HP0541,HP0542|cagG,HP0543|cagF,HP0544|cagE,HP0545|cagD,HP0546|cagC,HP0546|cagB,HP0547|cagA	empty	3	DEL;INV;TRA	TRA:1459-1666206;DEL:546687-587157;INV:516601-547344
GCA_014496475.1	28	25	0.8928571428571429	complete	HP0521,HP0546|cagB,HP0547|cagA	complete_rearranged	3	INV;TRA	TRA:1459-1656308;TRA:474832-1154575;INV:583567-696743
GCA_014496775.1	28	26	0.9285714285714286	complete	HP0521,HP0547|cagA	complete_rearranged	2	INV	INV:567975-579713;INV:545891-567151
GCA_014496885.1	28	0	0.0	empty	HP0520|cag1,HP0521,HP0522|cag3,HP0523|cag4,HP0524|cag5,HP0525|virB11,HP0526|cagZ,HP0527|cagY,HP0528|cagX,HP0529|cagW,HP0530|cagV,HP0531|cagU,HP0532|cagT,HP0534|cagS,HP0535|cagQ,HP0536|cagP,HP0537|cagM,HP0538|cagN,HP0539|cagL,HP0540|cagI,HP0541,HP0542|cagG,HP0543|cagF,HP0544|cagE,HP0545|cagD,HP0546|cagC,HP0546|cagB,HP0547|cagA	empty	3	DEL;TRA	DEL:544339-587157;TRA:247340-651937;TRA:1459-1406286
GCA_014497035.1	28	26	0.9285714285714286	complete	HP0521,HP0546|cagB	complete_rearranged	1	TRA	TRA:1459-1664863
GCA_014497085.1	28	27	0.9642857142857143	complete	HP0521	complete_rearranged	3	DEL;INV;TRA	TRA:1459-1666206;INV:546123-579713;DEL:555536-558173
GCA_014497195.1	28	0	0.0	empty	HP0520|cag1,HP0521,HP0522|cag3,HP0523|cag4,HP0524|cag5,HP0525|virB11,HP0526|cagZ,HP0527|cagY,HP0528|cagX,HP0529|cagW,HP0530|cagV,HP0531|cagU,HP0532|cagT,HP0534|cagS,HP0535|cagQ,HP0536|cagP,HP0537|cagM,HP0538|cagN,HP0539|cagL,HP0540|cagI,HP0541,HP0542|cagG,HP0543|cagF,HP0544|cagE,HP0545|cagD,HP0546|cagC,HP0546|cagB,HP0547|cagA	empty	3	DEL;INV;TRA	TRA:1459-1666206;DEL:546687-587157;INV:516580-547365
GCA_014497275.1	28	0	0.0	empty	HP0520|cag1,HP0521,HP0522|cag3,HP0523|cag4,HP0524|cag5,HP0525|virB11,HP0526|cagZ,HP0527|cagY,HP0528|cagX,HP0529|cagW,HP0530|cagV,HP0531|cagU,HP0532|cagT,HP0534|cagS,HP0535|cagQ,HP0536|cagP,HP0537|cagM,HP0538|cagN,HP0539|cagL,HP0540|cagI,HP0541,HP0542|cagG,HP0543|cagF,HP0544|cagE,HP0545|cagD,HP0546|cagC,HP0546|cagB,HP0547|cagA	empty	3	DEL;TRA	TRA:1459-1666206;DEL:536781-587157;TRA:474832-695920
GCA_014497305.1	28	0	0.0	empty	HP0520|cag1,HP0521,HP0522|cag3,HP0523|cag4,HP0524|cag5,HP0525|virB11,HP0526|cagZ,HP0527|cagY,HP0528|cagX,HP0529|cagW,HP0530|cagV,HP0531|cagU,HP0532|cagT,HP0534|cagS,HP0535|cagQ,HP0536|cagP,HP0537|cagM,HP0538|cagN,HP0539|cagL,HP0540|cagI,HP0541,HP0542|cagG,HP0543|cagF,HP0544|cagE,HP0545|cagD,HP0546|cagC,HP0546|cagB,HP0547|cagA	empty	2	DEL;TRA	TRA:1459-1666206;DEL:546687-587157
GCA_014497385.1	28	26	0.9285714285714286	complete	HP0521,HP0546|cagB	complete_rearranged	2	INV;TRA	TRA:1459-1666206;INV:516580-663449
GCA_014497415.1	28	27	0.9642857142857143	complete	HP0521	complete_rearranged	2	DEL;TRA	TRA:1459-1664863;DEL:555536-558173
GCA_014497445.1	28	27	0.9642857142857143	complete	HP0521	complete_rearranged	2	INV;TRA	TRA:2361-1666206;INV:546123-579713
GCA_014497455.1	28	27	0.9642857142857143	complete	HP0521	complete_rearranged	2	INV;TRA	TRA:2145-1664863;INV:516527-696651
GCA_014497485.1	28	27	0.9642857142857143	complete	HP0521	complete_rearranged	3	INV;TRA	TRA:1459-1666206;TRA:474832-1543079;INV:579724-663508
GCA_014497505.1	28	27	0.9642857142857143	complete	HP0521	complete_rearranged	3	INV;TRA	TRA:1459-1666206;TRA:474832-1543079;INV:579724-663508
GCA_014497525.1	28	0	0.0	empty	HP0520|cag1,HP0521,HP0522|cag3,HP0523|cag4,HP0524|cag5,HP0525|virB11,HP0526|cagZ,HP0527|cagY,HP0528|cagX,HP0529|cagW,HP0530|cagV,HP0531|cagU,HP0532|cagT,HP0534|cagS,HP0535|cagQ,HP0536|cagP,HP0537|cagM,HP0538|cagN,HP0539|cagL,HP0540|cagI,HP0541,HP0542|cagG,HP0543|cagF,HP0544|cagE,HP0545|cagD,HP0546|cagC,HP0546|cagB,HP0547|cagA	empty	2	DEL;TRA	DEL:546687-587157;TRA:1459-1666206
GCA_014497595.1	28	0	0.0	empty	HP0520|cag1,HP0521,HP0522|cag3,HP0523|cag4,HP0524|cag5,HP0525|virB11,HP0526|cagZ,HP0527|cagY,HP0528|cagX,HP0529|cagW,HP0530|cagV,HP0531|cagU,HP0532|cagT,HP0534|cagS,HP0535|cagQ,HP0536|cagP,HP0537|cagM,HP0538|cagN,HP0539|cagL,HP0540|cagI,HP0541,HP0542|cagG,HP0543|cagF,HP0544|cagE,HP0545|cagD,HP0546|cagC,HP0546|cagB,HP0547|cagA	empty	2	DEL;TRA	DEL:546687-587157;TRA:1459-1666206
GCA_014497605.1	28	27	0.9642857142857143	complete	HP0521	complete_rearranged	1	TRA	TRA:1459-1664863
GCA_014497635.1	28	27	0.9642857142857143	complete	HP0521	complete_rearranged	1	TRA	TRA:1459-1666206
GCA_014497655.1	28	27	0.9642857142857143	complete	HP0521	complete_rearranged	1	TRA	TRA:2145-1664863
GCA_014497685.1	28	0	0.0	empty	HP0520|cag1,HP0521,HP0522|cag3,HP0523|cag4,HP0524|cag5,HP0525|virB11,HP0526|cagZ,HP0527|cagY,HP0528|cagX,HP0529|cagW,HP0530|cagV,HP0531|cagU,HP0532|cagT,HP0534|cagS,HP0535|cagQ,HP0536|cagP,HP0537|cagM,HP0538|cagN,HP0539|cagL,HP0540|cagI,HP0541,HP0542|cagG,HP0543|cagF,HP0544|cagE,HP0545|cagD,HP0546|cagC,HP0546|cagB,HP0547|cagA	empty	3	DEL;INV;TRA	TRA:1459-1666206;DEL:546687-587157;INV:516627-547318
GCA_014497735.1	28	27	0.9642857142857143	complete	HP0521	complete_rearranged	2	INV;TRA	INV:516662-696516;TRA:1459-1660648
GCA_014497745.1	28	0	0.0	empty	HP0520|cag1,HP0521,HP0522|cag3,HP0523|cag4,HP0524|cag5,HP0525|virB11,HP0526|cagZ,HP0527|cagY,HP0528|cagX,HP0529|cagW,HP0530|cagV,HP0531|cagU,HP0532|cagT,HP0534|cagS,HP0535|cagQ,HP0536|cagP,HP0537|cagM,HP0538|cagN,HP0539|cagL,HP0540|cagI,HP0541,HP0542|cagG,HP0543|cagF,HP0544|cagE,HP0545|cagD,HP0546|cagC,HP0546|cagB,HP0547|cagA	empty	2	DEL;TRA	TRA:2145-1664863;DEL:546687-587772
GCA_014497785.1	28	26	0.9285714285714286	complete	HP0521,HP0546|cagB	complete_rearranged	2	INV;TRA	INV:516580-695775;TRA:2145-1664863
GCA_014497825.1	28	27	0.9642857142857143	complete	HP0521	complete_rearranged	1	INV	INV:579785-695773
GCA_014497985.1	28	26	0.9285714285714286	complete	HP0521,HP0546|cagB	complete_rearranged	3	INV;TRA	TRA:1459-1666206;INV:579836-696545;TRA:474832-1445558
GCA_014498555.1	28	0	0.0	empty	HP0520|cag1,HP0521,HP0522|cag3,HP0523|cag4,HP0524|cag5,HP0525|virB11,HP0526|cagZ,HP0527|cagY,HP0528|cagX,HP0529|cagW,HP0530|cagV,HP0531|cagU,HP0532|cagT,HP0534|cagS,HP0535|cagQ,HP0536|cagP,HP0537|cagM,HP0538|cagN,HP0539|cagL,HP0540|cagI,HP0541,HP0542|cagG,HP0543|cagF,HP0544|cagE,HP0545|cagD,HP0546|cagC,HP0546|cagB,HP0547|cagA	empty	1	TRA	TRA:247340-651937
GCA_014498655.1	28	0	0.0	empty	HP0520|cag1,HP0521,HP0522|cag3,HP0523|cag4,HP0524|cag5,HP0525|virB11,HP0526|cagZ,HP0527|cagY,HP0528|cagX,HP0529|cagW,HP0530|cagV,HP0531|cagU,HP0532|cagT,HP0534|cagS,HP0535|cagQ,HP0536|cagP,HP0537|cagM,HP0538|cagN,HP0539|cagL,HP0540|cagI,HP0541,HP0542|cagG,HP0543|cagF,HP0544|cagE,HP0545|cagD,HP0546|cagC,HP0546|cagB,HP0547|cagA	empty	3	DEL;TRA	TRA:247340-651937;DEL:544339-587157;TRA:1459-1406286
GCA_014498675.1	28	23	0.8214285714285714	partial	HP0521,HP0526|cagZ,HP0527|cagY,HP0528|cagX,HP0546|cagB	partial	2	INV;TRA	INV:516562-549730;TRA:2145-1664863
GCA_014498785.1	28	25	0.8928571428571429	complete	HP0521,HP0527|cagY,HP0546|cagB	complete_rearranged	2	TRA	TRA:193674-1059225;TRA:1459-1664863
GCA_015904205.1	28	0	0.0	empty	HP0520|cag1,HP0521,HP0522|cag3,HP0523|cag4,HP0524|cag5,HP0525|virB11,HP0526|cagZ,HP0527|cagY,HP0528|cagX,HP0529|cagW,HP0530|cagV,HP0531|cagU,HP0532|cagT,HP0534|cagS,HP0535|cagQ,HP0536|cagP,HP0537|cagM,HP0538|cagN,HP0539|cagL,HP0540|cagI,HP0541,HP0542|cagG,HP0543|cagF,HP0544|cagE,HP0545|cagD,HP0546|cagC,HP0546|cagB,HP0547|cagA	empty	2	DEL;TRA	TRA:1459-1666206;DEL:537874-587157
GCA_015904225.1	28	27	0.9642857142857143	complete	HP0521	complete_rearranged	1	INV	INV:545836-579713
GCA_015904305.1	28	0	0.0	empty	HP0520|cag1,HP0521,HP0522|cag3,HP0523|cag4,HP0524|cag5,HP0525|virB11,HP0526|cagZ,HP0527|cagY,HP0528|cagX,HP0529|cagW,HP0530|cagV,HP0531|cagU,HP0532|cagT,HP0534|cagS,HP0535|cagQ,HP0536|cagP,HP0537|cagM,HP0538|cagN,HP0539|cagL,HP0540|cagI,HP0541,HP0542|cagG,HP0543|cagF,HP0544|cagE,HP0545|cagD,HP0546|cagC,HP0546|cagB,HP0547|cagA	empty	3	DEL;INV;TRA	TRA:1459-1666206;DEL:546687-587157;INV:531795-547365
GCA_015904325.1	28	27	0.9642857142857143	complete	HP0521	complete_rearranged	1	TRA	TRA:1459-1666206
GCA_015904335.1	28	27	0.9642857142857143	complete	HP0521	complete_rearranged	1	TRA	TRA:1459-1666206
GCA_015904375.1	28	26	0.9285714285714286	complete	HP0521,HP0527|cagY	complete_rearranged	1	TRA	TRA:1459-1664863
GCA_015904385.1	28	0	0.0	empty	HP0520|cag1,HP0521,HP0522|cag3,HP0523|cag4,HP0524|cag5,HP0525|virB11,HP0526|cagZ,HP0527|cagY,HP0528|cagX,HP0529|cagW,HP0530|cagV,HP0531|cagU,HP0532|cagT,HP0534|cagS,HP0535|cagQ,HP0536|cagP,HP0537|cagM,HP0538|cagN,HP0539|cagL,HP0540|cagI,HP0541,HP0542|cagG,HP0543|cagF,HP0544|cagE,HP0545|cagD,HP0546|cagC,HP0546|cagB,HP0547|cagA	empty	2	DEL;TRA	TRA:1459-1666206;DEL:546687-587157
GCA_015904435.1	28	0	0.0	empty	HP0520|cag1,HP0521,HP0522|cag3,HP0523|cag4,HP0524|cag5,HP0525|virB11,HP0526|cagZ,HP0527|cagY,HP0528|cagX,HP0529|cagW,HP0530|cagV,HP0531|cagU,HP0532|cagT,HP0534|cagS,HP0535|cagQ,HP0536|cagP,HP0537|cagM,HP0538|cagN,HP0539|cagL,HP0540|cagI,HP0541,HP0542|cagG,HP0543|cagF,HP0544|cagE,HP0545|cagD,HP0546|cagC,HP0546|cagB,HP0547|cagA	empty	2	DEL;TRA	TRA:1459-1666206;DEL:546400-587157
GCA_015904485.1	28	26	0.9285714285714286	complete	HP0521,HP0546|cagB	complete_rearranged	1	TRA	TRA:1459-1666206
GCA_015904535.1	28	26	0.9285714285714286	complete	HP0521,HP0527|cagY	complete_rearranged	3	INV;TRA	TRA:1459-1666206;INV:545405-557370;INV:555607-579917
GCA_015904565.1	28	25	0.8928571428571429	complete	HP0521,HP0535|cagQ,HP0547|cagA	complete_rearranged	2	DEL;TRA	TRA:2145-1666206;DEL:578762-587157
GCA_015904575.1	28	26	0.9285714285714286	complete	HP0521,HP0527|cagY	complete_rearranged	2	INV;TRA	TRA:1459-1666206;INV:582545-657267
GCA_015904605.1	28	0	0.0	empty	HP0520|cag1,HP0521,HP0522|cag3,HP0523|cag4,HP0524|cag5,HP0525|virB11,HP0526|cagZ,HP0527|cagY,HP0528|cagX,HP0529|cagW,HP0530|cagV,HP0531|cagU,HP0532|cagT,HP0534|cagS,HP0535|cagQ,HP0536|cagP,HP0537|cagM,HP0538|cagN,HP0539|cagL,HP0540|cagI,HP0541,HP0542|cagG,HP0543|cagF,HP0544|cagE,HP0545|cagD,HP0546|cagC,HP0546|cagB,HP0547|cagA	empty	2	DEL;TRA	TRA:1459-1666206;DEL:546687-587157
GCA_015904625.1	28	27	0.9642857142857143	complete	HP0521	complete_collinear	0	none	none
GCA_015904665.1	28	26	0.9285714285714286	complete	HP0521,HP0527|cagY	complete_collinear	0	none	none
GCA_015904765.1	28	25	0.8928571428571429	complete	HP0521,HP0527|cagY,HP0546|cagB	complete_rearranged	3	INV;TRA	TRA:1459-1666206;TRA:456998-1067641;INV:583742-656005
GCA_015904775.1	28	25	0.8928571428571429	complete	HP0521,HP0527|cagY,HP0546|cagB	complete_rearranged	3	INV;TRA	TRA:1459-1666206;TRA:456998-1067641;INV:583742-656005
GCA_015904825.1	28	26	0.9285714285714286	complete	HP0521,HP0547|cagA	complete_rearranged	2	INV;TRA	TRA:1459-1666206;INV:546123-579713
GCA_015904875.1	28	26	0.9285714285714286	complete	HP0521,HP0527|cagY	complete_rearranged	1	TRA	TRA:1459-1664863
GCA_015905005.1	28	1	0.03571428571428571	empty	HP0521,HP0522|cag3,HP0523|cag4,HP0524|cag5,HP0525|virB11,HP0526|cagZ,HP0527|cagY,HP0528|cagX,HP0529|cagW,HP0530|cagV,HP0531|cagU,HP0532|cagT,HP0534|cagS,HP0535|cagQ,HP0536|cagP,HP0537|cagM,HP0538|cagN,HP0539|cagL,HP0540|cagI,HP0541,HP0542|cagG,HP0543|cagF,HP0544|cagE,HP0545|cagD,HP0546|cagC,HP0546|cagB,HP0547|cagA	empty	2	DEL;TRA	TRA:1459-1666206;DEL:546687-583350
GCA_015905025.1	28	26	0.9285714285714286	complete	HP0521,HP0527|cagY	complete_rearranged	1	TRA	TRA:1459-1664863
GCA_015905065.1	28	0	0.0	empty	HP0520|cag1,HP0521,HP0522|cag3,HP0523|cag4,HP0524|cag5,HP0525|virB11,HP0526|cagZ,HP0527|cagY,HP0528|cagX,HP0529|cagW,HP0530|cagV,HP0531|cagU,HP0532|cagT,HP0534|cagS,HP0535|cagQ,HP0536|cagP,HP0537|cagM,HP0538|cagN,HP0539|cagL,HP0540|cagI,HP0541,HP0542|cagG,HP0543|cagF,HP0544|cagE,HP0545|cagD,HP0546|cagC,HP0546|cagB,HP0547|cagA	empty	2	DEL;TRA	DEL:546687-587157;TRA:1459-1666206
GCA_015905125.1	28	26	0.9285714285714286	complete	HP0521,HP0527|cagY	complete_collinear	0	none	none
GCA_015905135.1	28	25	0.8928571428571429	complete	HP0521,HP0527|cagY,HP0547|cagA	complete_rearranged	2	INV;TRA	TRA:1459-1666206;INV:555811-579713
GCA_016124125.1	28	24	0.8571428571428571	complete	HP0521,HP0527|cagY,HP0535|cagQ,HP0546|cagB	complete_rearranged	3	INV;TRA	INV:516906-556727;TRA:456998-1067641;TRA:1459-1666206
GCA_016464465.1	28	24	0.8571428571428571	complete	HP0521,HP0527|cagY,HP0535|cagQ,HP0547|cagA	complete_rearranged	2	INV	INV:516627-557430;INV:555593-634313
GCA_016464485.1	28	26	0.9285714285714286	complete	HP0521,HP0535|cagQ	complete_rearranged	1	TRA	TRA:131170-1256863
GCA_016464565.1	28	26	0.9285714285714286	complete	HP0521,HP0535|cagQ	complete_rearranged	1	TRA	TRA:1459-1666206
GCA_016464575.1	28	25	0.8928571428571429	complete	HP0535|cagQ,HP0546|cagB,HP0547|cagA	complete_rearranged	3	INV;TRA	TRA:1459-1666206;INV:516790-630813;TRA:476313-815683
GCA_018120115.1	28	24	0.8571428571428571	complete	HP0521,HP0527|cagY,HP0535|cagQ,HP0546|cagB	complete_rearranged	3	INV;TRA	TRA:181741-1067641;INV:555436-683237;INV:516790-556843
